Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-16.884557753773052,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,-0.21347356828252242,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,-2.302882851066103e-14,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,-2.019188865708029e-14,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,-1.8687506602425155e-14,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,-1.8180371208941632e-14,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,-1.7937619167053177e-14,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,-1.82081658951882e-14,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,-2.7019471657089828e-14,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,-25.823006085638788,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,-26.207326610232553,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,-26.585624608334086,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,-26.890437360038277,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,-27.14636699245962,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,-27.382879278193407,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,-27.61152363541719,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,-27.765943780373604,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,-27.946121897173114,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,-28.144279774500006,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,-28.363334846542546,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,-28.616349507998756,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,-29.07785992554449,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,-29.826086956521486,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,-29.82608695652149,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,-29.826086956521493,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,-29.826086956521497,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,-29.8260869565215,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,-29.826086956521504,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,-29.826086956521507,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,-29.826086956521507,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,-29.826086956521515,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,-29.826086956521515,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,-29.826086956521518,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,-29.826086956521518,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,-29.826086956521518,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,-29.82608695652152,0.0,0.0,0.0,0.0
