Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2.899754276476803e7,1.6997905134802762e7,7.339866940461798e7,6.925471882145892e6,2.045269816791496e-9,4.138345402925554e6,0.0,2.15771601796916e-8,1.3045793458926024e8
t1,1.1853320603151585e-12,0.0,17681.024761483895,1.0232647727751703e-13,2.212982570363845e-13,4.3439297855794194e-13,0.0,1.9208955018433282e-12,17681.0247614839
t2,1.0109406098891883e-12,0.0,17735.94593909995,349.91583554858215,1.943938863047145e-13,3.799921740727135e-13,0.0,1.849241140430472e-12,18085.861774648536
t3,9.339293020145017e-13,0.0,18036.290082342515,247.08417709634614,1.7790043183134068e-13,3.539149370251588e-13,0.0,1.8299209859552823e-12,18283.374259438864
t4,8.940453265069142e-13,0.0,16534.547724359847,388.5897251433583,1.4800313001010772e-13,3.39888652595726e-13,0.0,1.8180515884726691e-12,16923.137449503207
t5,8.863387893407464e-13,0.0,16523.34500093901,299.63794144134494,1.1662696935031517e-13,3.333861770976794e-13,0.0,1.8150962403329967e-12,16822.982942380357
t6,8.969712920067061e-13,0.0,14410.086359045445,538.5424352765835,8.980429025691415e-14,3.32897318619838e-13,0.0,1.8156039905671638e-12,14948.62879432203
t7,9.276940855754956e-13,0.0,14153.69220524731,510.77318711688685,6.388332124184325e-14,3.378354896648596e-13,0.0,1.8245037587956476e-12,14664.4653923642
t8,9.869148997349798e-13,0.0,14561.714517159007,407.1615048734795,4.584193174951474e-14,3.4931922576822574e-13,0.0,1.8421643589462887e-12,14968.876022032491
t9,1.1130964797103555e-12,0.0,12685.993571714731,631.4374115864734,3.353324876690758e-14,3.708166499660847e-13,0.0,1.9080838321008975e-12,13317.430983301208
t10,1180.1742072003422,0.0,10100.858792799649,3.1356680842571424e-12,2.6425698270869666e-14,4.456327565522042e-13,0.0,2.763631859596665e-12,11281.032999999998
t11,4798.168107150492,0.0,6845.963892849504,1.3698985811320656e-12,1.840960872647424e-14,4.760547071411359e-13,0.0,2.7837746102972518e-12,11644.132000000001
t12,6394.39240545262,0.0,5767.079594547375,9.124963095383714e-13,1.5552737733729247e-14,5.037510749436479e-13,0.0,2.7910360219550806e-12,12161.472
t13,7153.888944914366,109.70058375000652,5321.453471335626,7.473881244839502e-13,1.212745835135159e-14,5.312009776304632e-13,0.0,2.7944399530129116e-12,12585.043000000001
t14,7457.913146133592,1687.9356588669252,3033.3848387045387,1018.7913562949428,9.952866503363535e-15,5.733416359152203e-13,0.0,2.811404303079103e-12,13198.025000000003
t15,7432.737974305051,3794.579906036716,2553.8807061258144,5.265514774751999e-13,1.3949440738122135e-14,5.904805768707579e-13,0.0,2.7967027607945107e-12,13781.198586467584
t16,6632.402128926612,6184.4713346623985,2022.256559136359,5.064573738901316e-13,2.4308875903666225e-14,6.292692707832992e-13,0.0,2.796642793866165e-12,14839.130022725374
t17,7041.563725484371,6039.45816194801,2136.920590839967,5.084891592818796e-13,3.580825413613836e-14,6.871891903730062e-13,0.0,2.7973299255416758e-12,15217.94247827235
t18,7425.848786852705,4289.489344210089,2783.2087695330306,5.147874165979713e-13,4.531536300948409e-14,7.975764551106723e-13,0.0,2.8024177533671752e-12,14498.54690059583
t19,7457.913146133597,2529.4508020090734,3510.282970562726,524.0091565819048,6.92635907426414e-14,126.43192471269576,0.0,2.8761374363932267e-12,14148.088
t20,7457.9131461336,976.1691439429134,3335.6809222867782,2054.292862924009,7.972338245097873e-14,126.43192471269653,0.0,2.877966218338429e-12,13950.488000000001
t21,7457.913146133591,246.624461925962,3557.1909835323845,2787.2814836953607,1.1493437855872113e-13,126.43192471269671,0.0,2.877943537138677e-12,14175.442
t22,7457.913146133594,9.140445806138542,4620.439277511296,2937.420205836272,1.0975062722565946e-13,126.43192471269683,0.0,2.8783520186649938e-12,15151.345
t23,7457.913146133601,0.0,3406.042941741265,4817.733987412432,1.4854315453800482e-13,126.43192471269685,0.0,2.8789226168711102e-12,15808.122
t24,7457.9131461335965,0.0,3958.5150944950124,3952.373834658691,2.0442594380090235e-13,126.43192471269683,0.0,2.877997009375725e-12,15495.234
t25,7457.913146133603,0.0,3640.5830065895534,3737.9829225641433,3.4201908615849083e-13,126.43192471269674,0.0,2.878349636166454e-12,14962.911000000002
t26,7457.9131461336,0.0,5196.365436749871,1597.7594924038315,4.089214618193748e-13,126.43192471269651,0.0,2.8779642825108024e-12,14378.470000000003
t27,7457.913146133602,0.0,5662.839565725913,436.218363427784,4.76394944379291e-13,126.43192471269579,0.0,2.8753703644943938e-12,13683.402999999998
t28,6397.086213789906,0.0,6460.275786210095,1.4975166551675596e-13,4.668930288658463e-13,7.955297643808898e-13,0.0,2.799972236317219e-12,12857.362000000005
t29,3483.9396301552983,0.0,8571.136369844698,6.01097009594555e-13,4.96210153715821e-13,6.85135533220749e-13,0.0,2.7944099413716584e-12,12055.076000000001
t30,2147.4834363309674,0.0,9272.150563669029,7.449605030001643e-13,5.060582663318582e-13,6.283146802771854e-13,0.0,2.7925907255518647e-12,11419.634
t31,2735.741723104514,0.0,8234.962276895485,9.576469139000184e-13,5.425717197810295e-13,5.906419206098321e-13,0.0,2.7912433400253324e-12,10970.704000000005
t32,1667.152777804018,0.0,9626.566661661998,5.206874968247909e-13,5.652218956261684e-13,5.568487354489569e-13,0.0,2.777104002148134e-12,11293.71943946602
t33,1667.1527778040172,0.0,10429.214883587254,5.62686469569194e-13,5.659050002125716e-13,5.379450504045884e-13,0.0,2.775223973743476e-12,12096.367661391276
t34,1667.1527778040172,0.0,9480.630621311951,5.641688834037925e-13,5.466952573323981e-13,5.253126834518599e-13,0.0,2.7766073046086678e-12,11147.783399115971
t35,2805.504752646509,0.0,8128.116247353485,1.666688460354245e-12,5.434977809667827e-13,5.231592638906582e-13,0.0,2.790703946460053e-12,10933.621
t36,3334.3055556080303,0.0,7348.922031913057,746.5174124789111,5.602942044714712e-13,5.195034429376332e-13,0.0,2.7967335833176096e-12,11429.745000000003
t37,3334.30555560803,67.04516998802643,7716.36813350871,891.257140895231,5.736362445324087e-13,5.124975606505795e-13,0.0,2.797691801210887e-12,12008.976000000002
t38,3334.305555608028,466.8178013958411,8513.804353992893,502.94328900323126,5.758638812991199e-13,5.038447584403211e-13,0.0,2.7963500721372894e-12,12817.870999999997
t39,2612.55247579122,2521.529082310421,8831.736441898352,4.225280188824406e-12,5.718106104015209e-13,4.904831945048687e-13,0.0,2.7886681210685626e-12,13965.818000000001
t40,1637.938280056291,3792.904157638924,10087.828789196967,4.93087970168444e-13,5.51019003819727e-13,4.660446119875246e-13,0.0,2.7495151446989385e-12,15518.671226892186
t41,1637.9382800562896,4863.11325485066,11372.587144421484,6.770997529219241e-13,5.498582717291118e-13,4.580910313707543e-13,0.0,2.7460864476748967e-12,17873.638679328436
t42,1637.93828005629,6254.791831064292,11672.277227283186,6.646664623757834e-13,5.492089290951277e-13,4.529096076933307e-13,0.0,2.7443093271757375e-12,19565.00733840377
t43,1637.9382800562892,4969.599448492175,12646.921496763855,6.645464394069247e-13,5.499292295088268e-13,4.5018629979752493e-13,0.0,2.7442857936358475e-12,19254.459225312323
t44,1637.938280056289,3322.018857859351,14293.91395214295,6.615286194821563e-13,5.450739391107186e-13,4.4948114762344717e-13,0.0,2.744237539723942e-12,19253.871090058594
