BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2353246270711438e8,6.925471882145892e6,-8.182268291760267e6,0.0,0.0,0.0,9.466730886754927e-13,0.0,0.0,-1.2227566629749997e8
t1,17681.0247614839,1.0232647727751703e-13,-2613.0197614839017,0.0,0.0,0.0,1.0412247734099301e-16,0.0,0.0,-15068.005000000001
t2,17735.945939099955,349.91583554858215,-3687.61777464854,0.0,0.0,0.0,1.0452432488668445e-16,0.0,0.0,-14398.244
t3,18036.29008234252,247.08417709634614,-4510.5822594388665,0.0,0.0,0.0,1.047853832241194e-16,0.0,0.0,-13772.792
t4,16534.547724359847,388.5897251433583,-3816.684449503211,0.0,0.0,0.0,1.0489195112346302e-16,0.0,0.0,-13106.453
t5,16523.34500093901,299.63794144134494,-4305.815942380363,0.0,0.0,0.0,1.0589768329302651e-16,0.0,0.0,-12517.167
t6,14410.086359045446,538.5424352765835,-3007.167794322031,0.0,0.0,0.0,1.0755846294450852e-16,0.0,0.0,-11941.461
t7,14153.692205247313,510.77318711688685,-3158.5483923642005,0.0,0.0,0.0,1.0878922297055916e-16,0.0,0.0,-11505.917
t8,14561.714517159011,407.1615048734795,-3725.375022032489,0.0,0.0,0.0,1.0990013917276382e-16,0.0,0.0,-11243.501
t9,12685.993571714735,631.4374115864734,-2151.3399833012054,0.0,0.0,0.0,1.116215434612382e-16,0.0,0.0,-11166.091
t10,11281.032999999994,3.1356680842571424e-12,-7.058386836638245e-13,0.0,0.0,0.0,1.1384849728776717e-16,0.0,0.0,-11281.033
t11,11644.132,1.3698985811320656e-12,-9.334899573141219e-13,0.0,0.0,0.0,1.1352468965995072e-16,0.0,0.0,-11644.132
t12,12161.471999999998,9.124963095383714e-13,-1.265262030829646e-12,0.0,0.0,0.0,1.1317113264336641e-16,0.0,0.0,-12161.472
t13,12585.043000000001,7.473881244839502e-13,-1.9907628710115414e-12,0.0,0.0,0.0,1.1172930852236104e-16,0.0,0.0,-12585.043
t14,12179.23364370506,1018.7913562949428,-5.045314559254196e-13,0.0,0.0,0.0,1.1054897983306242e-16,0.0,0.0,-13198.025
t15,13781.198586467584,5.265514774751999e-13,-29.765586467583667,0.0,0.0,0.0,1.1023099062073575e-16,0.0,0.0,-13751.433
t16,14839.130022725374,5.064573738901316e-13,-433.8720227253744,0.0,0.0,0.0,1.0917662309518623e-16,0.0,0.0,-14405.258
t17,15217.94247827235,5.084891592818796e-13,-635.7484782723493,0.0,0.0,0.0,1.0948415611610683e-16,0.0,0.0,-14582.194000000001
t18,14498.54690059583,5.147874165979713e-13,-104.28990059583305,0.0,0.0,0.0,1.0963928427369584e-16,0.0,0.0,-14394.256999999998
