Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,1198.0094261250558,0.0,0.0,0.0,0.0,157.6165182433698,0.0,3.2357766112750593e-11,1355.625944368458
t1,15.547330663769378,0.0,0.0,0.0,0.0,2.414186946913217e-15,0.0,7.052122830814638e-15,15.547330663769387
t2,3.942175738257207e-15,0.0,0.0,0.0,0.0,1.7351238198903024e-15,0.0,5.279283929361135e-15,1.0956583487508644e-14
t3,2.4071231350430976e-15,0.0,0.0,0.0,0.0,1.4403168154293473e-15,0.0,4.5348054046500196e-15,8.382245355122464e-15
t4,1.793139733056387e-15,0.0,0.0,0.0,0.0,1.2762077230913407e-15,0.0,4.099283919555126e-15,7.168631375702853e-15
t5,1.4446150965505166e-15,0.0,0.0,0.0,0.0,1.1719633592766804e-15,0.0,3.793303896662693e-15,6.40988235248989e-15
t6,1.2222193195248956e-15,0.0,0.0,0.0,0.0,1.0987815583937417e-15,0.0,3.5313299603392407e-15,5.852330838257878e-15
t7,1.058577517493077e-15,0.0,0.0,0.0,0.0,1.0381983430812344e-15,0.0,3.2678842507681507e-15,5.364660111342462e-15
t8,9.305743053718553e-16,0.0,0.0,0.0,0.0,9.786751119782672e-16,0.0,2.9690301953442976e-15,4.87827961269442e-15
t9,8.160476349073932e-16,0.0,0.0,0.0,0.0,9.126046856551835e-16,0.0,2.6071767509120554e-15,4.335829071474632e-15
t10,7.000413341523902e-16,0.0,0.0,0.0,0.0,8.345311244237422e-16,0.0,2.1712852218267722e-15,3.705857680402905e-15
t11,7.525279367745237e-16,0.0,0.0,0.0,0.0,9.225588583573715e-16,0.0,3.141787846329927e-15,4.816874641461822e-15
t12,7.804330890611737e-16,0.0,0.0,0.0,0.0,9.997092915892857e-16,0.0,3.56374887384265e-15,5.3438912544931095e-15
t13,8.335922154224056e-16,0.0,0.0,0.0,0.0,1.065897169940243e-15,0.0,3.6274496856699514e-15,5.5269390710326e-15
t14,8.584102553492307e-16,0.0,0.0,0.0,0.0,1.1176437239906145e-15,0.0,3.559484536792006e-15,5.5355385161318516e-15
t15,9.378286820791344e-16,0.0,0.0,0.0,0.0,1.1968610386681576e-15,0.0,3.768395245473254e-15,5.903084966220546e-15
t16,9.41990872125895e-16,0.0,0.0,0.0,0.0,1.2154732679852581e-15,0.0,3.6825940235099386e-15,5.840058163621092e-15
t17,9.362447129822693e-16,0.0,0.0,0.0,0.0,1.2235207746817464e-15,0.0,3.66223131253522e-15,5.821996800199236e-15
t18,9.424839936912596e-16,0.0,0.0,0.0,0.0,1.2220693585040798e-15,0.0,3.641384326176416e-15,5.805937678371755e-15
t19,9.447855649964779e-16,0.0,0.0,0.0,0.0,1.2112670743322878e-15,0.0,3.5450635081206133e-15,5.701116147449379e-15
t20,1.049306194316047e-15,0.0,0.0,0.0,0.0,1.244395511063096e-15,0.0,3.643699389172241e-15,5.937401094551384e-15
t21,1.1562289383080815e-15,0.0,0.0,0.0,0.0,1.2718048325158437e-15,0.0,3.660784871958798e-15,6.088818642782723e-15
t22,1.4474841625919142e-15,0.0,0.0,0.0,0.0,1.2946891650529459e-15,0.0,3.663111286037514e-15,6.405284613682374e-15
t23,1.825394209749014e-15,0.0,0.0,0.0,0.0,1.3140469529291935e-15,0.0,3.663498230575051e-15,6.8029393932532586e-15
t24,2.2822031977501167e-15,0.0,0.0,0.0,0.0,1.333452941631092e-15,0.0,3.660436547030032e-15,7.276092686411241e-15
t25,2.879286548781147e-15,0.0,0.0,0.0,0.0,1.3524626920884605e-15,0.0,3.666694441721339e-15,7.898443682590947e-15
t26,4.272509008101248e-15,0.0,0.0,0.0,0.0,1.372977640953561e-15,0.0,3.6658720729347316e-15,9.31135872198954e-15
t27,8.314020900092514e-15,0.0,0.0,0.0,0.0,1.3980731615426953e-15,0.0,3.679586205520507e-15,1.3391680267155717e-14
t28,1.5722666134307897,0.0,0.0,0.0,0.0,1.431716595988876e-15,0.0,3.785654747647797e-15,1.5722666134307948
t29,3.3928523413699727,0.0,0.0,0.0,0.0,1.4044492412376024e-15,0.0,3.689984000275922e-15,3.3928523413699776
t30,2.674730466990137,0.0,0.0,0.0,0.0,1.3870894695087506e-15,0.0,3.671406173694535e-15,2.674730466990142
