Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,1198.0094261250833,0.0,0.0,0.0,0.0,157.61651824304263,0.0,3.23577661127264e-11,1355.6259443681583
t1,6.898622498751952e-16,0.0,0.0,0.0,0.0,7.98361008191095e-16,0.0,2.134898075488083e-15,3.623121333554373e-15
t2,8.128106382251361e-16,0.0,0.0,0.0,0.0,8.828425422001026e-16,0.0,2.5942750549549396e-15,4.289928235380178e-15
t3,9.377495410021105e-16,0.0,0.0,0.0,0.0,9.540523664407726e-16,0.0,2.967882924359493e-15,4.859684831802376e-15
t4,1.0869112178363083e-15,0.0,0.0,0.0,0.0,1.015927884746342e-15,0.0,3.2731903822248826e-15,5.376029484807533e-15
t5,1.2549591492337695e-15,0.0,0.0,0.0,0.0,1.0751305640104423e-15,0.0,3.538352554865724e-15,5.868442268109936e-15
t6,1.4835381815327386e-15,0.0,0.0,0.0,0.0,1.1416006140425107e-15,0.0,3.799815871666469e-15,6.424954667241718e-15
t7,1.831853273695775e-15,0.0,0.0,0.0,0.0,1.2287975961470016e-15,0.0,4.102317207372658e-15,7.162968077215435e-15
t8,2.455752612505311e-15,0.0,0.0,0.0,0.0,1.3563996518097193e-15,0.0,4.528091328083922e-15,8.340243592398952e-15
t9,4.0209335434706825e-15,0.0,0.0,0.0,0.0,1.5668098377363036e-15,0.0,5.250907898932167e-15,1.0838651280139153e-14
t10,3.4367659888066333,0.0,0.0,0.0,0.0,1.978776576259762e-15,0.0,6.964469915684242e-15,3.436765988806642
t11,8.157979782124652,0.0,0.0,0.0,0.0,1.7123019115624087e-15,0.0,4.250563567015359e-15,8.157979782124658
t12,2.1407272594054736,0.0,0.0,0.0,0.0,1.5818335925206923e-15,0.0,3.7658266631420485e-15,2.140727259405479
t13,1.0618621325069388,0.0,0.0,0.0,0.0,1.5095657452769404e-15,0.0,3.699986136915067e-15,1.0618621325069442
t14,0.5466071204593388,0.0,0.0,0.0,0.0,1.4729143843449588e-15,0.0,3.7711575648065665e-15,0.546607120459344
t15,8.303229723272907e-15,0.0,0.0,0.0,0.0,1.3893117670261555e-15,0.0,3.56146434342094e-15,1.3254005833720003e-14
t16,8.261414368973613e-15,0.0,0.0,0.0,0.0,1.3857170016685628e-15,0.0,3.644391715544118e-15,1.3291523086186294e-14
t17,8.279700464960191e-15,0.0,0.0,0.0,0.0,1.3935102789209645e-15,0.0,3.664743124446397e-15,1.3337953868327552e-14
t18,8.305332769634913e-15,0.0,0.0,0.0,0.0,1.4078001329515457e-15,0.0,3.68568053831255e-15,1.3398813440899009e-14
t19,8.350722543375842e-15,0.0,0.0,0.0,0.0,1.4332361052900581e-15,0.0,3.786228913563305e-15,1.3570187562229204e-14
t20,4.26146329237507e-15,0.0,0.0,0.0,0.0,1.3997801000089717e-15,0.0,3.6833070913969015e-15,9.344550483780943e-15
t21,2.9112081002246334e-15,0.0,0.0,0.0,0.0,1.3737407017012732e-15,0.0,3.6661893001634645e-15,7.951138102089371e-15
t22,2.227368166845723e-15,0.0,0.0,0.0,0.0,1.3489042744783936e-15,0.0,3.66384236887778e-15,7.240114810201897e-15
t23,1.7039469755172263e-15,0.0,0.0,0.0,0.0,1.3275130509105005e-15,0.0,3.663447800752912e-15,6.694907827180639e-15
t24,1.3706002594531622e-15,0.0,0.0,0.0,0.0,1.3117224196588574e-15,0.0,3.666409543961506e-15,6.348732223073526e-15
t25,1.2122649529474048e-15,0.0,0.0,0.0,0.0,1.2929777299068438e-15,0.0,3.660173280321099e-15,6.165415963175347e-15
t26,1.0649229616169576e-15,0.0,0.0,0.0,0.0,1.2702594556160834e-15,0.0,3.661104310641974e-15,5.996286727875015e-15
t27,9.469910956177963e-16,0.0,0.0,0.0,0.0,1.2435666211431995e-15,0.0,3.647247395444447e-15,5.837805112205443e-15
t28,8.52454387825747e-16,0.0,0.0,0.0,0.0,1.21109986777831e-15,0.0,3.545972362582296e-15,5.609526618186353e-15
