Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,1.1225178200533777e7,0.0,0.0,0.0,0.0,1.1225178200533777e7
t1,0.0,0.0,0.0,5071.833684618972,0.0,0.0,0.0,0.0,5071.833684618972
t2,0.0,0.0,0.0,4990.162979534526,0.0,0.0,0.0,0.0,4990.162979534526
t3,0.0,0.0,0.0,5022.983863554195,0.0,0.0,0.0,0.0,5022.983863554195
t4,0.0,0.0,0.0,4934.307601542552,0.0,0.0,0.0,0.0,4934.307601542552
t5,0.0,0.0,0.0,4967.973764566736,0.0,0.0,0.0,0.0,4967.973764566736
t6,0.0,0.0,0.0,4761.658751197549,0.0,0.0,0.0,0.0,4761.658751197549
t7,0.0,0.0,0.0,4791.19594398623,0.0,0.0,0.0,0.0,4791.19594398623
t8,0.0,0.0,0.0,4917.53939358633,0.0,0.0,0.0,0.0,4917.53939358633
t9,0.0,0.0,0.0,4214.599845378524,0.0,0.0,0.0,0.0,4214.599845378524
t10,0.0,0.0,0.0,1446.8732077429058,0.0,0.0,0.0,0.0,1446.8732077429058
t11,0.0,0.0,0.0,1.4696427399092175e-10,0.0,0.0,0.0,0.0,1.4696427399092175e-10
t12,0.0,0.0,0.0,1.7305050223154355e-10,0.0,0.0,0.0,0.0,1.7305050223154355e-10
t13,0.0,0.0,0.0,1.4278362016712046e-10,0.0,0.0,0.0,0.0,1.4278362016712046e-10
t14,0.0,0.0,0.0,1.472520062541692e-10,0.0,0.0,0.0,0.0,1.472520062541692e-10
t15,0.0,0.0,0.0,1.5331052484940838e-10,0.0,0.0,0.0,0.0,1.5331052484940838e-10
t16,0.0,0.0,0.0,2.2961367127379115e-10,0.0,0.0,0.0,0.0,2.2961367127379115e-10
t17,0.0,0.0,0.0,2.26695395938323e-10,0.0,0.0,0.0,0.0,2.26695395938323e-10
t18,0.0,0.0,0.0,2.0827371307199528e-10,0.0,0.0,0.0,0.0,2.0827371307199528e-10
t19,0.0,0.0,0.0,1.523367031041707e-10,0.0,0.0,0.0,0.0,1.523367031041707e-10
t20,0.0,0.0,0.0,1.534783396826863e-10,0.0,0.0,0.0,0.0,1.534783396826863e-10
t21,0.0,0.0,0.0,1.6380470864682628e-10,0.0,0.0,0.0,0.0,1.6380470864682628e-10
t22,0.0,0.0,0.0,1.55675190784699e-10,0.0,0.0,0.0,0.0,1.55675190784699e-10
t23,0.0,0.0,0.0,4.328286921227967e-11,0.0,0.0,0.0,0.0,4.328286921227967e-11
t24,0.0,0.0,0.0,1.6929221917189947e-10,0.0,0.0,0.0,0.0,1.6929221917189947e-10
t25,0.0,0.0,0.0,1.6861241931400084e-10,0.0,0.0,0.0,0.0,1.6861241931400084e-10
t26,0.0,0.0,0.0,1.66740825924953e-10,0.0,0.0,0.0,0.0,1.66740825924953e-10
t27,0.0,0.0,0.0,1.6497736946256096e-10,0.0,0.0,0.0,0.0,1.6497736946256096e-10
t28,0.0,0.0,0.0,2.025184605348215e-10,0.0,0.0,0.0,0.0,2.025184605348215e-10
t29,0.0,0.0,0.0,2.1430530038850772e-10,0.0,0.0,0.0,0.0,2.1430530038850772e-10
t30,0.0,0.0,0.0,9.867651469981496e-10,0.0,0.0,0.0,0.0,9.867651469981496e-10
t31,0.0,0.0,0.0,1.5675405324285028e-10,0.0,0.0,0.0,0.0,1.5675405324285028e-10
t32,0.0,0.0,0.0,1080.464580432188,0.0,0.0,0.0,0.0,1080.464580432188
t33,0.0,0.0,0.0,2158.2304219665534,0.0,0.0,0.0,0.0,2158.2304219665534
t34,0.0,0.0,0.0,972.491063789289,0.0,0.0,0.0,0.0,972.491063789289
t35,0.0,0.0,0.0,1.4337299481521188e-10,0.0,0.0,0.0,0.0,1.4337299481521188e-10
t36,0.0,0.0,0.0,1.412254046739577e-10,0.0,0.0,0.0,0.0,1.412254046739577e-10
t37,0.0,0.0,0.0,1.449229862588137e-10,0.0,0.0,0.0,0.0,1.449229862588137e-10
t38,0.0,0.0,0.0,1.3781121261273452e-10,0.0,0.0,0.0,0.0,1.3781121261273452e-10
t39,0.0,0.0,0.0,2.105324509007286e-10,0.0,0.0,0.0,0.0,2.105324509007286e-10
t40,0.0,0.0,0.0,2212.863633142427,0.0,0.0,0.0,0.0,2212.863633142427
t41,0.0,0.0,0.0,4744.242365837787,0.0,0.0,0.0,0.0,4744.242365837787
t42,0.0,0.0,0.0,5824.739176474674,0.0,0.0,0.0,0.0,5824.739176474674
t43,0.0,0.0,0.0,5824.739176474301,0.0,0.0,0.0,0.0,5824.739176474301
t44,0.0,0.0,0.0,5824.739176474247,0.0,0.0,0.0,0.0,5824.739176474247
t45,0.0,0.0,0.0,3336.5298164768988,0.0,0.0,0.0,0.0,3336.5298164768988
