Deuterium exports,Deuterium inventory,Fixed plant power,Gross Electric,Imports,Net Electric,Reactor Thermal power,Recirc Power,Salt Heating,Tritium exports,Tritium inventory,Var plant power
0.0,1.6320278461989801e-12,456.6358539432481,3742.4659376356294,1.4702963403705241e-15,2024.015495685489,9377.439917011201,1718.45044195014,23.268771792085452,0.0,500.0,781.4533264176
-7724.0378617167835,0.0,456.63585394324406,3080.1712509908957,1.3300973448727028e-15,1499.6739241327234,7721.677465672412,1580.4973268581723,23.295860978354078,4.04121180963557e-14,1269.8073505228683,643.4731221393677
-6292.854753682038,0.0,456.63585394323616,2507.6974482197297,1.3251220252137996e-15,1046.4807251776188,6290.508669325628,1461.2167230421114,23.27932352453303,4.04121180963557e-14,1896.5121330990216,524.2090557771356
-7048.241350005135,0.0,456.63585394323724,2809.824291253567,1.4542015451996476e-15,1285.7245093492545,7045.8877118583005,1524.0997819043125,23.21412884234385,-7.327471962526033e-14,2598.747266138017,587.157309321525
-6471.577742571433,0.0,456.6358539432364,2579.2638676396637,1.4465939357511579e-15,1102.9486091534309,6469.229871003006,1476.3152584862326,23.48442549553924,-4.143352327901084e-13,3243.322381669892,539.1024892502505
-7724.449233224113,0.0,456.63585394323627,3080.207678059938,1.4323279375883896e-15,1500.0132281867388,7722.088833066066,1580.194449873199,22.958703377250735,-4.143352327901084e-13,4013.170864818452,643.5074027555055
-7742.574236862132,0.0,456.63585394323684,3087.746075783751,1.2935899968455257e-15,1505.282095708169,7740.213655455861,1582.463980075582,23.717831713816924,-6.417089082333405e-13,4784.831648957768,645.0178046213217
-7445.313605700465,0.0,456.63585394323684,2968.663362628318,1.288459868715155e-15,1411.4436165262314,7442.95599687078,1557.219746102086,23.245069289077872,-6.417089082333405e-13,5526.769639815162,620.246333072565
-9381.372306176903,0.0,456.63585394323127,3743.173269850129,1.2816477124991526e-15,2024.3690931571027,9378.995336953816,1718.8041766930264,23.492888206437406,4.04121180963557e-14,6462.292204287458,781.5829447461513
-14270.636151107597,0.0,456.63585394324224,5698.7499295210855,1.4045497072818145e-15,3572.798861433592,14268.210289734983,2125.9510680874946,23.205200202464198,-6.417089082333405e-13,7886.6873718883435,1189.0175241445818
-21073.103746544995,0.0,456.63585394323945,8419.594529157253,1.29682326477209e-15,5727.080064170248,21070.609861176665,2692.514464987005,22.901966148503764,7.225331444260519e-13,9991.254472637682,1755.8841550980553
-21747.0650984031,0.0,456.63585394327094,8680.473626945628,1.291809842180313e-15,5954.698243747732,21744.56447348865,2725.7753831978957,3.1261437082837925e-11,-6.417089082333405e-13,12163.210295072096,1812.0470394573872
-21747.06509840293,0.0,456.6358539432616,8680.473626945559,1.2975544063947873e-15,5954.698243747687,21744.564473488477,2725.7753831978725,3.122254510363362e-11,7.225331444260519e-13,14335.166117506493,1812.047039457373
-21747.065098403105,0.0,456.63585394326304,8680.473626945628,1.4072191341524922e-15,5954.698243747741,21744.564473488652,2725.775383197888,3.099647666926465e-11,1.6320278461989801e-12,16507.121939940906,1812.0470394573877
-21747.065098403084,0.0,456.6358539432623,8680.47362694562,1.2854485228085143e-15,5954.698243747735,21744.56447348863,2725.7753831978857,3.124249173531379e-11,1.177280495312516e-12,18679.077762375317,1812.0470394573858
-21747.0650984031,0.0,456.6358539432624,8680.47362694563,1.2923087329225901e-15,5954.698243747737,21744.56447348865,2725.775383197893,3.6799315990695676e-11,2.9962698988583725e-12,20851.033584809727,1812.0470394573872
-21747.065098403094,0.0,456.63585394326253,8680.473626945626,1.2875413691100317e-15,5954.6982437477345,21744.56447348864,2725.7753831978926,3.676891053151273e-11,2.5415225479719084e-12,23022.98940724414,1812.0470394573867
-21747.0650984031,0.0,456.63585394326253,8680.473626945628,1.2862082742872282e-15,5954.698243747741,21744.56447348865,2725.775383197887,3.1190394181226825e-11,2.9962698988583725e-12,25194.94522967855,1812.0470394573872
-21747.065098403105,0.0,456.6358539432628,8680.47362694563,1.286048902037219e-15,5954.698243747741,21744.564473488652,2725.775383197888,3.118756467242405e-11,3.4510172497448366e-12,27366.90105211296,1812.0470394573877
-21747.065098403105,0.0,456.6358539432625,8680.47362694563,1.285646922989172e-15,5954.698243747742,21744.564473488652,2725.775383197888,3.1178258381789456e-11,-1.8696155734687636e-13,29538.856874547375,1812.0470394573877
-21747.065098403113,0.0,456.63585394326265,8680.473626945632,1.3050659455112328e-15,5954.698243747744,21744.56447348866,2725.7753831978885,3.1182384789214595e-11,7.225331444260519e-13,31710.81269698179,1812.047039457388
-21747.065098403087,0.0,456.6358539432619,8680.47362694562,1.279718750997332e-15,5954.698243747736,21744.564473488634,2725.7753831978853,3.095195708612128e-11,5.270006653290693e-12,33882.7685194162,1812.047039457386
-21747.0650984031,0.0,456.6358539432627,8680.473626945628,1.302230712363707e-15,5954.69824374774,21744.56447348865,2725.7753831978875,3.1254243699162595e-11,-6.417089082333405e-13,36054.72434185061,1812.0470394573872
-21747.065098403087,0.0,456.6358539432616,8680.47362694562,1.4373008467833626e-15,5954.698243747737,21744.564473488634,2725.7753831978853,3.1054925068758695e-11,-2.005950960892733e-12,38226.680164285026,1812.047039457386
-21747.065098403116,0.0,456.6358539432631,8680.473626945633,1.3140784134429414e-15,5954.6982437477445,21744.564473488663,2725.7753831978894,3.12675715676555e-11,1.177280495312516e-12,40398.63598671944,1812.0470394573886
-21747.06509840308,0.0,456.6358539432625,8680.473626945619,1.3121881933107625e-15,5954.698243747734,21744.564473488626,2725.7753831978857,3.123648082182423e-11,4.815259302404229e-12,42570.59180915385,1812.0470394573854
-21747.065098402905,0.0,456.6358539432616,8680.473626945548,1.4427327822836781e-15,5954.69824374768,21744.56447348845,2725.77538319787,3.096632237827836e-11,1.6320278461989801e-12,44742.54763158824,1812.0470394573708
-21747.065098403087,0.0,456.63585394326503,8680.47362694562,1.4482520062707455e-15,5954.698243747734,21744.564473488634,2725.7753831978885,3.0998639943070263e-11,-2.005950960892733e-12,46914.503454022655,1812.047039457386
-20366.62373915399,0.0,456.63585394324696,8137.1995239926055,1.3133550401918997e-15,5503.046825543224,20364.136918515087,2634.1526984493826,23.412944832672046,9.49906819869284e-13,48948.43032523526,1697.0114098762572
-17392.890105138893,0.0,456.63585394323286,6947.693744428641,1.3130654596196396e-15,4561.413442938286,17390.43302153896,2386.2803014903557,23.349205955003256,-1.5512036100062687e-12,50685.01654378923,1449.2027517949132
-16327.272263123197,0.0,456.63585394322865,6521.380119522024,1.311649475969611e-15,4224.086602463174,16324.825835595124,2297.29351705885,23.1630203521546,-8.690825836765725e-13,52315.05269982067,1360.4021529662602
-12869.662137581738,0.0,456.6358539432182,5138.441529006129,1.3096951535507348e-15,3129.038177766763,12867.250285809163,2009.403351239367,23.404150348178888,1.859401521642212e-12,53599.36587662901,1072.2708571507635
-10822.83245683277,0.0,456.6358539432257,4319.604315837687,1.4463235928034448e-15,2481.067157159291,10820.441073152322,1838.5371586783967,23.10539217527126,1.6320278461989801e-12,54679.01860026379,901.7034227626934
-11627.79387754052,0.0,456.6358539432153,4641.7241663257,1.3049760739978462e-15,2735.7430810536957,11625.394444326359,1905.9810852720047,23.469871171053228,-1.7785772854495008e-12,55839.15861148227,968.7828703605298
-14627.206285799382,0.0,456.635853943215,5841.413266136688,1.302371795889934e-15,3685.6517146518754,14624.776858761077,2155.761551484813,23.30180284763528,4.133138276074533e-12,57299.20687032007,1218.7314048967564
-17779.314177117372,0.0,456.63585394321115,7102.14133717023,1.4371257413821803e-15,4683.976431616872,17776.85322931536,2418.1649055533585,23.032126036661076,2.3141488725286763e-12,59074.431245449596,1481.4044357762798
-18238.19704593844,0.0,456.6358539432077,7285.773631471104,1.2992073273819227e-15,4829.1557579700875,18235.731509353627,2456.617873501016,23.245237314466728,4.360511951517765e-12,60895.538859800145,1519.6442924461355
-16864.83707545464,0.0,456.63585394320813,6736.3316617953515,1.435451750221952e-15,4394.431610328175,16862.385272332198,2341.900051467176,22.972935032411577,-8.690825836765725e-13,62579.325583910926,1405.1987726943498
-12468.661738822007,0.0,456.63585394320535,4978.038004681488,1.300418656237274e-15,3002.0640949811846,12466.253897013321,1975.973909700304,23.391074542115334,2.0867751970854442e-12,63823.54313180357,1038.8544914177767
-8327.7062765977,0.0,456.63585394320506,3321.808495637764,1.300622663377981e-15,1690.5525670546556,8325.339843929545,1631.2559285831082,23.749264515234653,-1.3238299345630367e-12,64653.71068352837,693.7783203274621
-6818.091230223817,0.0,456.63585394320523,2717.8609478433614,1.3021502958332233e-15,1212.6880878738634,6815.739893555165,1505.172859969498,23.466191766155987,3.1099567365799885e-12,65332.93333621523,567.9783244629303
-5829.691891029634,0.0,456.6358539432051,2322.4266027014387,1.3025866425370835e-15,899.826275468499,5827.350438255535,1422.60032723294,23.2594469712339,-8.145040197859998e-12,65913.3269272667,485.61253652129454
-5985.912326851713,0.0,456.6358539432054,2384.932403848503,1.3046574379198297e-15,949.2658063731517,5983.569311888878,1435.6665974753516,23.307477744199876,-7.576606009251918e-12,66509.34084349276,498.6307759907398
-6004.443300802093,0.0,456.6358539432065,2392.3283285308466,1.3055927150810116e-15,955.1606322861298,6002.100100531371,1437.1676962447166,23.264344126689483,-1.0987211140900399e-11,67107.20765327518,500.17500837761423
-7454.882344636975,0.0,456.6358539432075,2972.386587032721,1.4490612672497624e-15,1414.6437510869146,7452.524640120857,1557.7428359458063,22.970772195320905,-7.121858658365454e-12,67850.10241277116,621.0437200100714
-8859.65654350755,0.0,456.6358539432093,3534.356612421981,1.3093029491626498e-15,1859.3768387433074,8857.284791389919,1674.9797736786732,23.144363989097464,-6.09867711887091e-12,68733.45913979253,738.1070659491598
-8764.760503321768,0.0,456.63585394321154,3496.416935993445,1.4514501246029027e-15,1829.2967706227325,8762.38970015505,1667.1201653707126,23.19267995070702,-1.1441958491786863e-11,69607.32730664132,730.1991416795875
-9209.129201537191,0.0,456.6358539432132,3674.277036872867,1.3134655330410103e-15,1969.8254668221198,9206.753954727927,1704.4515700507477,23.493730083000717,-3.711253526716973e-12,70525.62745530486,767.2294962273272
-8979.49136427569,0.0,456.6358539432189,3582.339499602005,1.452980006125905e-15,1897.2434901752472,8977.118413821834,1685.0960094267582,23.274464534513363,-9.395595412797775e-12,71420.9663462332,748.0932011518195
-10646.601049140572,0.0,456.63585394322,4249.117870755831,1.4508143831650405e-15,2425.252270922418,10644.211427756578,1823.8655998334134,23.119637113272084,-1.2237766355838176e-11,72482.99786762487,887.0176189797148
-12715.951803506014,0.0,456.63585394322683,5076.817347436368,1.4480570778276023e-15,3080.5932278091113,12713.541488821409,1996.2241196272573,23.03398515170675,-1.0646150627735551e-11,73751.94170182242,1059.4617907351173
-15449.11677757159,0.0,456.63585394323025,6170.098317742999,1.443668489355045e-15,3946.0445351785584,15446.679131510557,2224.0537825644406,23.102177864791088,2.6778579353958776e-13,75294.17196891244,1287.223260959213
