Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,1.6176908012829715e-13,0.0,0.0,0.0,0.0,2.426382402675287e-14,0.0,65.44367108284774
t2,1.3496880591583044e-13,0.0,0.0,0.0,0.0,2.36454261404692e-14,0.0,65.44367108284467
t3,1.2393740773615507e-13,0.0,0.0,0.0,0.0,2.3321702382498387e-14,0.0,65.44367108284574
t4,1.1907016848463347e-13,0.0,0.0,0.0,0.0,2.317627284743308e-14,0.0,65.44367108284484
t5,1.1838337772374104e-13,0.0,0.0,0.0,0.0,2.3138603547460427e-14,0.0,65.44367108284435
t6,1.1974271119778184e-13,0.0,0.0,0.0,0.0,2.3134130936664837e-14,0.0,65.44367108284393
t7,1.2250281788565376e-13,0.0,0.0,0.0,0.0,2.315929519055712e-14,0.0,65.44367108284355
t8,1.2592339237061218e-13,0.0,0.0,0.0,0.0,2.3195471771356504e-14,0.0,65.44367108284321
t9,1.3038861465425601e-13,0.0,0.0,0.0,0.0,2.3228686741134633e-14,0.0,65.44367108284291
t10,1.3473794571643906e-13,0.0,0.0,0.0,0.0,2.3262718553774218e-14,0.0,65.44367108284266
t11,1.3627158120646163e-13,0.0,0.0,0.0,0.0,2.3250257977595662e-14,0.0,65.4436710828427
t12,1.3632388970821862e-13,0.0,0.0,0.0,0.0,2.324404729804414e-14,0.0,65.4436710828408
t13,1.346448289966579e-13,0.0,0.0,0.0,0.0,2.3236345748617317e-14,0.0,65.44367108283915
t14,1.3321065129840938e-13,0.0,0.0,0.0,0.0,2.3243457233956366e-14,0.0,65.44367108284091
t15,1.3333736790378758e-13,0.0,0.0,0.0,0.0,2.3219561136409447e-14,0.0,65.44367108284253
t16,1.333501872288925e-13,0.0,0.0,0.0,0.0,2.3207075210802806e-14,0.0,65.44367108284146
t17,1.3433831344705258e-13,0.0,0.0,0.0,0.0,2.3200985584183772e-14,0.0,65.4436710828413
t18,1.354146334210516e-13,0.0,0.0,0.0,0.0,2.321252342488262e-14,0.0,65.44367108284116
t19,1.3706735366337697e-13,0.0,0.0,0.0,0.0,2.3227989173042e-14,0.0,65.44367108284074
t20,1.3963416570581668e-13,0.0,0.0,0.0,0.0,2.3228168818143492e-14,0.0,65.44367108284062
t21,1.438193596962581e-13,0.0,0.0,0.0,0.0,2.3204362717507946e-14,0.0,65.44367108284092
t22,1.458947331732959e-13,0.0,0.0,0.0,0.0,2.314474983680122e-14,0.0,65.44367108284082
t23,1.3760227560384694e-13,0.0,0.0,0.0,0.0,2.3110566848132052e-14,0.0,65.44367108284067
t24,1.2942593469146238e-13,0.0,0.0,0.0,0.0,2.311793283690584e-14,0.0,65.44367108284082
t25,1.2614469568868738e-13,0.0,0.0,0.0,0.0,2.311567528007812e-14,0.0,65.44367108284052
t26,1.233974922514327e-13,0.0,0.0,0.0,0.0,2.3111567472670148e-14,0.0,65.44367108284055
t27,1.213802590381007e-13,0.0,0.0,0.0,0.0,2.311089449702548e-14,0.0,65.44367108284067
t28,1.1976124149210308e-13,0.0,0.0,0.0,0.0,2.3119989548012358e-14,0.0,65.44367108284086
t29,1.1840534179135105e-13,0.0,0.0,0.0,0.0,2.3117185635310735e-14,0.0,65.4436710828405
t30,1.1783640733277536e-13,0.0,0.0,0.0,0.0,2.3115540746747978e-14,0.0,65.44367108284041
t31,1.17795168682815e-13,0.0,0.0,0.0,0.0,2.31142708501697e-14,0.0,65.44367108284051
t32,1.1745156154550846e-13,0.0,0.0,0.0,0.0,2.311299151093053e-14,0.0,65.44367108284054
t33,1.169488170812198e-13,0.0,0.0,0.0,0.0,2.3114443194810984e-14,0.0,65.44367108284057
t34,1.1721093058434174e-13,0.0,0.0,0.0,0.0,2.3115026853948802e-14,0.0,65.4436710828406
t35,1.177135826275079e-13,0.0,0.0,0.0,0.0,2.3117220551111685e-14,0.0,65.44367108284067
t36,1.1876009734898978e-13,0.0,0.0,0.0,0.0,2.3119388956005956e-14,0.0,65.4436710828408
t37,1.2120631375364547e-13,0.0,0.0,0.0,0.0,2.311543201691961e-14,0.0,65.4436710828409
t38,1.2117879649754019e-13,0.0,0.0,0.0,0.0,2.311044213769447e-14,0.0,65.44367108284098
t39,1.2148621953025806e-13,0.0,0.0,0.0,0.0,2.3103788221321626e-14,0.0,65.44367108284109
t40,1.2174591040892904e-13,0.0,0.0,0.0,0.0,2.310097650033229e-14,0.0,65.44367108284122
t41,1.2203953312212105e-13,0.0,0.0,0.0,0.0,2.3099818660680517e-14,0.0,65.44367108284138
