Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.4647890178007e6,3.4439142268498456e6,0.0,270184.5311626354,0.0,0.0,0.0,5.178887775813181e6
t1,0.0,0.0,1.5297700883820653e-9,0.0,1.515616077085724e-9,0.0,0.0,0.0,3.0453861654677894e-9
t2,0.0,0.0,1.5370460459962487e-9,0.0,1.514479208708508e-9,0.0,0.0,0.0,3.0515252547047567e-9
t3,0.0,0.0,1.546140993013978e-9,0.0,1.5140244613576215e-9,0.0,0.0,0.0,3.0601654543715995e-9
t4,0.0,0.0,1.533408067189157e-9,0.0,1.5110686035768595e-9,0.0,0.0,0.0,3.0444766707660165e-9
t5,0.0,0.0,1.5370460459962487e-9,0.0,1.5042473933135625e-9,0.0,0.0,0.0,3.0412934393098112e-9
t6,0.0,0.0,1.5224941307678819e-9,0.0,1.4779999446545844e-9,0.0,0.0,0.0,3.0004940754224663e-9
t7,0.0,0.0,1.5261321095749736e-9,0.0,1.4598811048927018e-9,0.0,0.0,0.0,2.9860132144676754e-9
t8,0.0,0.0,1.5315890777856112e-9,0.0,1.4391048352990765e-9,0.0,0.0,0.0,2.9706939130846877e-9
t9,0.0,0.0,1.5279510989785194e-9,0.0,1.41859857194504e-9,0.0,0.0,0.0,2.9465496709235595e-9
t10,0.0,0.0,1.5234036254696548e-9,0.0,1.40118316949156e-9,0.0,0.0,0.0,2.9245867949612148e-9
t11,0.0,0.0,1.5261321095749736e-9,0.0,1.3775363072454638e-9,0.0,0.0,0.0,2.9036684168204374e-9
t12,0.0,0.0,1.5133991837501526e-9,0.0,1.3678516097570537e-9,0.0,0.0,0.0,2.8812507935072063e-9
t13,0.0,1.4516103874484543e-9,1.4983925211708993e-9,0.0,1.3459793279935184e-9,0.0,0.0,0.0,4.295982236612872e-9
t14,0.0,1.2723830877803266e-9,1.2996679288335145e-9,0.0,1.141629013545753e-9,0.0,0.0,0.0,3.713680030159594e-9
t15,0.0,1.5033947420306504e-9,1.5209025150397792e-9,0.0,1.3595347070349817e-9,0.0,0.0,0.0,4.383831964105411e-9
t16,0.0,1.4815668691881e-9,1.5336354408646002e-9,0.0,1.3936372056377877e-9,0.0,0.0,0.0,4.408839515690488e-9
t17,0.0,1.4815668691881e-9,1.5286332200048491e-9,0.0,1.4107541801422485e-9,0.0,0.0,0.0,4.420954269335198e-9
t18,0.0,1.5133991837501526e-9,1.5261321095749736e-9,0.0,1.4195364883562434e-9,0.0,0.0,0.0,4.4590677816813695e-9
t19,0.0,1.514763425802812e-9,1.507942215539515e-9,0.0,1.4339889276016038e-9,0.0,0.0,0.0,4.456694568943931e-9
t20,0.0,1.2760210665874183e-9,1.2910277291666716e-9,0.0,1.2329763876550714e-9,0.0,0.0,0.0,3.800025183409161e-9
t21,0.0,1.2913687896798365e-9,1.2892087397631258e-9,0.0,1.2488214906625217e-9,0.0,0.0,0.0,3.829399020105484e-9
t22,0.0,1.161440721375584e-9,1.2769305612891912e-9,0.0,1.2440324326234986e-9,0.0,0.0,0.0,3.682403715288274e-9
t23,0.0,0.0,1.2837517715524882e-9,0.0,1.2524452586148982e-9,0.0,0.0,0.0,2.5361970301673864e-9
t24,0.0,0.0,1.2823875294998288e-9,0.0,1.273605221285834e-9,0.0,0.0,0.0,2.5559927507856628e-9
t25,0.0,0.0,1.2860255083069205e-9,0.0,1.2812222394131823e-9,0.0,0.0,0.0,2.5672477477201028e-9
t26,0.0,0.0,1.278749550692737e-9,0.0,1.2842065189033747e-9,0.0,0.0,0.0,2.5629560695961118e-9
t27,0.0,0.0,1.2814780347980559e-9,0.0,1.2882992450613528e-9,0.0,0.0,0.0,2.5697772798594087e-9
t28,0.0,0.0,1.5152181731536984e-9,0.0,1.5140813047764823e-9,0.0,0.0,0.0,3.0292994779301807e-9
t29,0.0,0.0,1.5152181731536984e-9,0.0,1.5244836504280102e-9,0.0,0.0,0.0,3.0397018235817086e-9
t30,0.0,0.0,1.5170371625572443e-9,0.0,1.5267005437635817e-9,0.0,0.0,0.0,3.043737706320826e-9
t31,0.0,0.0,1.520675141364336e-9,0.0,1.5292016541934572e-9,0.0,0.0,0.0,3.0498767955577932e-9
t32,0.0,0.0,1.520675141364336e-9,0.0,1.5338628145400435e-9,0.0,0.0,0.0,3.0545379559043795e-9
t33,0.0,0.0,1.520675141364336e-9,0.0,1.5348291526606772e-9,0.0,0.0,0.0,3.0555042940250132e-9
t34,0.0,0.0,1.521584636066109e-9,0.0,1.5325554159062449e-9,0.0,0.0,0.0,3.054140051972354e-9
t35,0.0,0.0,1.5243131201714277e-9,0.0,1.530167992314091e-9,0.0,0.0,0.0,3.0544811124855187e-9
t36,0.0,0.0,1.5261321095749736e-9,0.0,1.5297132449632045e-9,0.0,0.0,0.0,3.055845354538178e-9
t37,0.0,1.4371863699125242e-9,1.5243131201714277e-9,0.0,1.5294858712877613e-9,0.0,0.0,0.0,4.490985361371713e-9
t38,0.0,1.4464376363321207e-9,1.5224941307678819e-9,0.0,1.5309069567592815e-9,0.0,0.0,0.0,4.499838723859284e-9
t39,0.0,1.5384102880489081e-9,1.5252226148732007e-9,0.0,1.5340901882154867e-9,0.0,0.0,0.0,4.5977230911375955e-9
t40,0.0,1.5224941307678819e-9,1.5261321095749736e-9,0.0,1.5364776118076406e-9,0.0,0.0,0.0,4.585103852150496e-9
