Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
0,-8.98E-13,654.4367108,9030.313685,8.33E-16,5803.708552,22606.40611,3226.605133,33.21009889,0,500,1883.867176,,17389.54316
-18901.83252,0,654.4367108,7547.139729,7.40E-16,4629.432373,18898.37135,2917.707356,33.31521835,1.11E-14,2386.375968,1574.864279,,14537.20873
-15967.70314,0,654.4367108,6373.412917,7.37E-16,3700.442309,15964.27131,2672.970608,33.08680688,-2.16E-13,3979.371273,1330.355943,,12280.2087
-15032.67742,0,654.4367108,5999.439224,8.24E-16,3404.300187,15029.25494,2595.139037,33.17326695,1.11E-14,5478.874291,1252.437912,,11560.96534
-13765.73437,0,654.4367108,5492.660848,8.20E-16,3003.115722,13762.32456,2489.545127,33.15688789,4.66E-13,6851.696941,1146.86038,,10586.40351
-14830.73017,0,654.4367108,5918.718037,8.11E-16,3340.258014,14827.30971,2578.460023,33.3230223,-1.81E-12,8331.007455,1235.609142,,11405.62285
-14940.09041,0,654.4367108,5962.431085,7.21E-16,3374.93836,14936.66886,2587.492725,33.24246124,-2.16E-13,9821.252791,1244.722405,,11489.74528
-14166.66083,0,654.4367108,5652.870915,7.20E-16,3130.333774,14163.24701,2522.537141,32.73869802,-1.35E-12,11234.16368,1180.270584,,10894.80539
-16115.24246,0,654.4367108,6432.720368,7.16E-16,3746.685691,16111.80915,2686.034676,33.85605519,-8.98E-13,12841.91129,1342.650763,,12393.69935
-20507.9933,0,654.4367108,8189.26213,8.01E-16,5138.592237,20504.51607,3050.669894,32.43236286,-4.44E-13,14888.88567,1708.709672,,15772.70467
-26791.32088,0,654.4367108,10702.92084,7.23E-16,7127.717099,26787.78082,3575.203745,33.36081842,4.66E-13,17564.12369,2232.315068,,20605.98525
-29903.89603,0,654.4367108,11947.63804,7.19E-16,8113.846179,29900.32484,3833.791865,32.57027026,-1.35E-12,20550.58499,2491.693737,,23000.24988
-31090.18702,0,654.4367108,12417.86675,7.23E-16,8496.489193,31086.60397,3921.377559,21.29937004,-2.72E-12,23655.66233,2590.550331,,23912.77228
-31167.23672,0,654.4367108,12440.59256,8.05E-16,8534.093631,31163.6529,3906.498933,1.18E-08,-1.35E-12,26768.4438,2596.971075,,23972.04069
-28474.42873,0,654.4367108,11376.09052,7.19E-16,7660.804799,28470.87184,3715.285722,33.18521043,-8.98E-13,29611.97409,2372.572653,,21900.67065
-25373.93854,0,654.4367108,10136.05916,7.25E-16,6678.7442,25370.41265,3457.314963,33.58605082,4.66E-13,32145.48947,2114.201054,,19515.70204
-25822.57898,0,654.4367108,10315.41146,7.18E-16,6820.978814,25819.04861,3494.432649,33.31740681,1.38E-12,34723.86396,2151.587384,,19860.80662
-28331.19612,0,654.4367108,11318.80965,7.18E-16,7615.429334,28327.64066,3703.380313,33.21573294,-4.44E-13,37553.07256,2360.636722,,21790.49281
-30854.57467,0,654.4367108,12327.2434,7.18E-16,8415.972002,30850.99398,3911.271395,30.82737213,6.38E-12,40634.59127,2570.916165,,23731.53383
-31167.23672,0,654.4367108,12440.59256,7.16E-16,8534.093631,31163.6529,3906.498933,1.18E-08,3.65E-12,43747.37274,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.23E-16,8534.093631,31163.6529,3906.498933,1.18E-08,1.11E-14,46860.15421,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.10E-16,8534.093631,31163.6529,3906.498933,1.18E-08,3.19E-12,49972.93568,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.24E-16,8534.093631,31163.6529,3906.498933,1.18E-08,6.38E-12,53085.71715,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.17E-16,8534.093631,31163.6529,3906.498933,1.18E-08,2.28E-12,56198.49862,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.32E-16,8534.093631,31163.6529,3906.498933,1.18E-08,5.01E-12,59311.28009,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.29E-16,8534.093631,31163.6529,3906.498933,1.18E-08,2.28E-12,62424.06156,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.14E-16,8534.093631,31163.6529,3906.498933,1.18E-08,5.92E-12,65536.84303,2596.971075,,23972.04069
-29600.20993,0,654.4367108,11826.0082,8.18E-16,8017.935405,29596.64178,3808.072798,32.15812475,8.20E-12,68492.93905,2466.386815,,22766.64752
-24354.65587,0,654.4367108,9728.121519,7.27E-16,6356.347651,24351.14017,3371.773868,32.98432848,-1.35E-12,70924.53738,2029.261681,,18731.64629
-21257.47504,0,654.4367108,8489.455587,7.25E-16,5375.266987,21253.99032,3114.188601,33.49488239,9.21E-13,73046.45168,1771.16586,,16349.22332
-21493.12339,0,654.4367108,8583.684167,7.24E-16,5449.936869,21489.63631,3133.747299,33.41641436,9.21E-13,75191.92823,1790.803026,,16530.48947
-18152.53997,0,654.4367108,7247.522481,7.22E-16,4392.000878,18149.0863,2855.521603,33.56988624,2.38E-13,77003.38319,1512.423858,,13960.83561
-15999.87148,0,654.4367108,6386.338795,8.14E-16,3710.53312,15996.43933,2675.805675,33.24120586,4.79E-12,78599.59498,1333.036611,,12304.95333
-17677.79297,0,654.4367108,7057.502036,7.20E-16,4241.867398,17674.34404,2815.634638,33.24477622,3.88E-12,80363.58045,1472.862003,,13595.64926
-20847.26102,0,654.4367108,8325.160513,7.18E-16,5245.711614,20843.7804,3079.448898,32.93934026,5.47E-12,82444.47787,1736.9817,,16033.67723
-23632.03066,0,654.4367108,9438.841571,8.09E-16,6127.898383,23628.52219,3310.943189,32.37181414,9.56E-12,84803.82162,1969.043516,,18175.7863
-24403.11378,0,654.4367108,9747.629228,7.14E-16,6371.488984,24399.5976,3376.140244,33.31258521,7.29E-12,87240.2652,2033.2998,,18768.92123
-23375.33201,0,654.4367108,9336.191666,8.06E-16,6046.564741,23371.8261,3289.626925,32.44689113,-1.35E-12,89573.94191,1947.652175,,17978.32777
-18767.04293,0,654.4367108,7493.204468,7.15E-16,4586.782002,18763.58311,2906.422465,33.26268134,9.79E-12,91446.8404,1563.631926,,14433.52547
-13791.47096,0,654.4367108,5503.115645,7.15E-16,3011.004072,13788.06089,2492.111573,33.57864,8.65E-12,92822.23643,1149.005074,,10606.20069
-10432.50097,0,654.4367108,4159.419741,7.16E-16,1947.538867,10429.1245,2211.880873,33.25930679,-2.16E-13,93861.7724,869.0937082,,8022.40346
-8945.86465,0,654.4367108,3564.887352,7.16E-16,1476.585827,8942.503042,2088.301526,33.56508033,4.22E-12,94752.6611,745.2085868,,6878.848494
-9157.029127,0,654.4367108,3649.073749,7.17E-16,1543.908384,9153.665407,2105.165366,32.83205692,8.76E-12,95664.66392,762.8054506,,7041.281082
-9710.04765,0,654.4367108,3870.141854,7.18E-16,1719.252842,9706.6784,2150.889012,32.471287,2.97E-12,96631.96251,808.8898667,,7466.675692
-14576.65074,0,654.4367108,5817.053667,8.14E-16,3259.855178,14573.23282,2557.198489,33.23456231,7.97E-12,98085.86787,1214.436068,,11210.17909
-18559.81668,0,654.4367108,7410.093099,7.22E-16,4521.522731,18556.35893,2888.570368,32.6792648,-4.44E-13,99938.04602,1546.363244,,14274.12226
-18993.59702,0,654.4367108,7583.684578,8.17E-16,4658.752843,18990.13493,2924.931735,32.8926324,7.74E-12,101833.5974,1582.511244,,14607.7961
-19393.74244,0,654.4367108,7744.001198,7.26E-16,4785.04,19390.27635,2958.961197,33.5769762,5.47E-12,103769.159,1615.856363,,14915.5972
-18873.22187,0,654.4367108,7535.725718,8.19E-16,4620.323259,18869.76099,2915.40246,33.39451865,2.51E-12,105652.6742,1572.480083,,14515.20076
-20586.45946,0,654.4367108,8220.623905,8.18E-16,5163.479379,20582.98145,3057.144526,32.3682132,2.74E-12,107707.4943,1715.248454,,15833.06265
-22231.4392,0,654.4367108,8878.681785,8.17E-16,5684.266025,22227.94473,3194.41576,32.55917371,6.83E-12,109926.7943,1852.328728,,17098.41903
-23985.68358,0,654.4367108,9580.527134,8.15E-16,6239.518926,23982.17157,3341.008207,32.96605111,-4.44E-13,112321.4995,1998.514298,,18447.82429
-25942.81511,0,654.4367108,10363.29466,8.13E-16,6859.397096,25939.28353,3503.897565,32.76274533,6.83E-12,114911.8963,2161.606961,,19953.29502
