Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
t1,4.51E-11,0,13358.4512,2.05E-11,280.9073888,4.16E-12,0,5803.708552,19443.06714
t2,3.82E-11,0,13513.39916,6.22E-09,246.9863209,4.07E-12,0,4629.432373,18389.81786
t3,3.55E-11,0,14053.78018,5.76E-09,226.4661688,4.02E-12,0,3700.442309,17980.68866
t4,3.41E-11,0,12684.42756,5.84E-09,189.4275269,4.00E-12,0,3404.300187,16278.15528
t5,3.41E-11,0,12821.94388,5.62E-09,150.7603014,3.99E-12,0,3003.115722,15975.8199
t6,3.45E-11,0,11051.66341,5.78E-09,114.6988096,3.99E-12,0,3340.258014,14506.62023
t7,3.55E-11,0,10857.97846,5.78E-09,82.35979429,4.00E-12,0,3374.93836,14315.27661
t8,3.65E-11,0,11173.68493,5.83E-09,59.88534195,4.00E-12,0,3130.333774,14363.90405
t9,3.80E-11,0,9637.763255,6.04E-09,43.97175458,4.01E-12,0,3746.685691,13428.4207
t10,3.95E-11,0,7507.228774,5.87E-09,30.80349368,4.02E-12,0,5138.592237,12676.6245
t11,3.99E-11,0,5088.103712,7.07E-09,21.72995702,4.01E-12,0,7127.717099,12237.55077
t12,3.99E-11,0,4286.248007,7.27E-09,18.61238289,4.01E-12,0,8113.846179,12418.70657
t13,3.93E-11,135.8238025,3955.046738,7.93E-09,14.61072057,4.01E-12,0,8496.489193,12601.97045
t14,3.87E-11,2089.887144,2254.492852,307.5929184,11.95845601,4.01E-12,0,8534.093631,13198.025
t15,3.89E-11,4698.190786,1898.112538,7.14E-09,16.65808269,4.01E-12,0,7660.804799,14273.76621
t16,3.89E-11,7657.191827,1502.995234,6.66E-09,28.15122912,4.00E-12,0,6678.7442,15867.08249
t17,3.92E-11,7477.646378,1588.216614,6.97E-09,39.2721279,4.00E-12,0,6820.978814,15926.11393
t18,3.95E-11,5310.953996,2068.555297,7.29E-09,47.9734169,4.01E-12,0,7615.429334,15042.91204
t19,3.99E-11,3131.793966,2608.936315,7.98E-09,59.83881099,4.01E-12,0,8415.972002,14216.54109
t20,4.05E-11,1208.626249,2479.167397,1661.549614,67.05110936,4.01E-12,0,8534.093631,13950.488
t21,4.19E-11,305.3536369,2643.799607,2601.50629,90.68883563,4.01E-12,0,8534.093631,14175.442
t22,4.21E-11,11.31707839,3434.034215,3084.701063,87.19901384,3.99E-12,0,8534.093631,15151.345
t23,3.97E-11,0,2531.462334,4629.588871,112.9771641,3.99E-12,0,8534.093631,15808.122
t24,3.73E-11,0,2942.074434,3868.957067,150.108868,3.99E-12,0,8534.093631,15495.234
t25,3.66E-11,0,2705.778792,3485.218855,237.8197224,3.99E-12,0,8534.093631,14962.911
t26,3.57E-11,0,3862.07796,1701.902861,280.3955482,3.99E-12,0,8534.093631,14378.47
t27,3.51E-11,0,4208.774026,617.0521287,323.4832146,3.99E-12,0,8534.093631,13683.403
t28,3.46E-11,0,4801.449982,7.60E-09,343.6776501,3.99E-12,0,8017.935405,13163.06304
t29,3.42E-11,0,6370.2981,7.16E-09,363.6394307,3.99E-12,0,6356.347651,13090.28518
t30,3.40E-11,0,6891.310624,6.94E-09,370.4794814,3.99E-12,0,5375.266987,12637.05709
t31,3.41E-11,0,6120.444511,6.74E-09,395.0478268,3.99E-12,0,5449.936869,11965.42921
t32,3.40E-11,0,7154.722159,6.47E-09,416.0798195,3.99E-12,0,4392.000878,11962.80286
t33,3.37E-11,0,7751.271814,6.36E-09,416.638191,3.99E-12,0,3710.53312,11878.44313
t34,3.38E-11,0,7046.258586,6.41E-09,403.562992,3.99E-12,0,4241.867398,11691.68898
t35,3.40E-11,0,6041.03368,6.60E-09,395.7923222,3.99E-12,0,5245.711614,11682.53762
t36,3.42E-11,0,5461.915671,6.75E-09,404.7262659,3.99E-12,0,6127.898383,11994.54032
t37,3.53E-11,83.01077002,5735.011455,6.21E-09,413.1949002,3.99E-12,0,6371.488984,12602.70611
t38,3.51E-11,577.9820554,6327.687411,6.68E-09,415.1026694,3.99E-12,0,6046.564741,13367.33688
t39,3.52E-11,3121.985831,6563.983053,6.64E-09,414.8700146,3.98E-12,0,4586.782002,14687.6209
t40,3.53E-11,4696.115989,7497.544526,6.44E-09,416.2194124,3.98E-12,0,3011.004072,15620.884
t41,3.54E-11,6021.176113,8452.411344,6.19E-09,415.567979,3.98E-12,0,1947.538867,16836.6943
t42,3.55E-11,7744.257884,8675.14904,6.11E-09,415.3353242,3.98E-12,0,1476.585827,18311.32807
t43,3.57E-11,6153.020076,9399.530763,6.05E-09,415.8936957,3.98E-12,0,1543.908384,17512.35292
t44,3.57E-11,4113.097833,10623.61967,6.04E-09,412.4504048,3.99E-12,0,1719.252842,16868.42075
t45,3.55E-11,1383.531696,9781.090121,6.37E-09,410.077326,3.99E-12,0,3259.855178,14834.55432
t46,3.56E-11,98.08134608,10544.20883,5.85E-09,409.7050784,3.99E-12,0,4521.522731,15573.51799
t47,3.39E-11,0,11309.2644,6.61E-09,365.9659786,3.99E-12,0,4658.752843,16333.98322
t48,3.34E-11,0,11169.81123,6.52E-09,336.3257588,3.98E-12,0,4785.04,16291.17699
t49,3.28E-11,0,11051.66341,6.50E-09,307.3369725,3.98E-12,0,4620.323259,15979.32364
t50,3.25E-11,0,10011.57521,6.56E-09,259.6892723,3.98E-12,0,5163.479379,15434.74387
t51,3.25E-11,0,8932.750027,6.64E-09,252.6630977,3.99E-12,0,5684.266025,14869.67915
t52,3.30E-11,0,7733.840169,6.74E-09,222.1387898,3.99E-12,0,6239.518926,14195.49788
t53,3.46E-11,0,6579.477849,6.90E-09,198.3149397,4.02E-12,0,6859.397096,13637.18989
t54,3.83E-11,0,4396.64843,7.07E-09,173.9327181,4.06E-12,0,7857.984213,12428.56536
t55,4.55E-11,0,3490.202851,7.13E-09,156.9954497,4.16E-12,0,8217.141505,11864.33981
t56,159.6254373,0,2107.292287,1.43E-09,155.7856448,4.42E-12,0,8534.093631,10956.797
t57,1001.426051,0,1260.889043,6.81E-10,125.1682749,4.53E-12,0,8534.093631,10921.577
t58,1496.64755,0,892.8876328,4.66E-10,99.48318655,4.59E-12,0,8534.093631,11023.112
t59,2016.451909,0,662.4025389,3.80E-10,96.83092198,4.63E-12,0,8534.093631,11309.779
t60,2461.774592,0,701.1395294,3.62E-10,99.57624846,4.65E-12,0,8534.093631,11796.584
t61,2852.521506,71.63710624,778.6135106,7.61E-10,104.8342466,4.65E-12,0,8534.093631,12341.7
t62,2902.405565,399.9832741,819.2873507,327.2394622,99.5297175,4.65E-12,0,8534.093631,13082.539
t63,2902.405565,943.0332808,1076.888338,301.0883573,111.7208283,4.64E-12,0,8534.093631,13869.23
t64,2902.405565,1207.79633,1187.288761,464.337033,155.0876804,4.64E-12,0,8534.093631,14451.009
t65,2831.208006,1577.883655,1783.838416,3.28E-10,201.8512924,4.63E-12,0,8534.093631,14928.875
t66,1466.847263,2183.856618,2854.916205,1.78E-10,252.9422835,4.62E-12,0,8534.093631,15292.656
t67,2549.129873,1548.685593,2287.419294,2.95E-10,280.4886101,4.63E-12,0,8534.093631,15199.817
t68,2035.451245,956.0290592,3346.875986,2.94E-10,280.4420792,4.63E-12,0,8534.093631,15152.892
t69,2902.405565,465.9241175,2630.24166,420.0692832,303.9867435,4.64E-12,0,8534.093631,15256.721
t70,2902.405565,33.97009698,2343.58793,1880.662698,305.2430794,4.64E-12,0,8534.093631,15999.963
t71,2902.405565,0,2258.366551,2549.508944,303.3353101,4.64E-12,0,8534.093631,16547.71
t72,2902.405565,0,3124.13829,1324.856332,313.6651827,4.64E-12,0,8534.093631,16199.159
t73,2902.405565,0,3188.054324,632.7970158,318.5974641,4.64E-12,0,8534.093631,15575.948
t74,2902.405565,0,2268.050798,845.784208,325.1117981,4.64E-12,0,8534.093631,14875.446
t75,2685.507317,0,2432.683008,2.19E-10,330.742044,4.63E-12,0,8534.093631,13983.026
t76,1864.636505,0,2229.313808,2.60E-10,343.5380572,4.62E-12,0,8534.093631,12971.582
t77,1201.171496,0,2004.639262,2.68E-10,354.8916108,4.60E-12,0,8534.093631,12094.796
t78,1135.013034,0,2275.798196,5.18E-11,370.3398886,4.58E-12,0,8534.093631,12315.24475
t79,1135.013034,0,1444.889749,5.01E-11,378.6689299,4.58E-12,0,8534.093631,11492.66534
t80,1135.013034,0,970.3616139,5.26E-11,391.8837217,4.59E-12,0,8534.093631,11031.352
t81,1434.883369,0,697.2658304,2.64E-10,400.0731702,4.63E-12,0,8534.093631,11066.316
t82,1927.950376,0,552.0021157,2.96E-10,401.8878775,4.64E-12,0,8534.093631,11415.934
t83,2270.026068,0,482.2755327,553.2942106,402.9115586,4.65E-12,0,8534.093631,12242.601
t84,2270.026068,0,422.2331973,1909.953805,409.2862997,4.65E-12,0,8534.093631,13545.593
t85,2270.026068,94.30898662,379.6225077,3023.561579,410.6822285,4.65E-12,0,8534.093631,14712.295
t86,2270.026068,585.3004328,391.2436048,3231.367655,409.7516093,4.64E-12,0,8534.093631,15421.783
t87,2270.026068,2700.632141,606.2339025,1505.816985,408.4952735,4.64E-12,0,8534.093631,16025.298
t88,2270.026068,4158.271838,780.5503601,104.0506445,408.7744592,4.62E-12,0,8534.093631,16255.767
t89,1469.835114,5089.66739,830.9084479,2.53E-10,400.4454179,4.60E-12,0,8534.093631,16324.95
t90,918.8938357,5343.905556,1136.930673,5.23E-11,401.1899132,4.57E-12,0,8534.093631,16335.01361
t91,918.8938357,5424.464292,1665.690595,5.20E-11,394.3963934,4.56E-12,0,8534.093631,16937.53875
t92,918.8938357,4562.499017,2339.714231,5.26E-11,374.248489,4.57E-12,0,8534.093631,16729.4492
t93,1837.787671,1376.986652,2450.114654,662.7047759,363.9186165,4.62E-12,0,8534.093631,15225.606
t94,1837.787671,64.1301109,3162.875281,1928.726484,355.9618228,4.63E-12,0,8534.093631,15883.575
t95,1837.787671,0,3257.780907,2880.368116,349.7266745,4.64E-12,0,8534.093631,16859.757
t96,1837.787671,0,3153.191033,2739.185402,360.3822637,4.64E-12,0,8534.093631,16624.64
t97,1837.787671,0,2901.400594,2421.68608,363.7790236,4.64E-12,0,8534.093631,16058.747
t98,1837.787671,0,2709.652491,1853.659047,376.7611606,4.63E-12,0,8534.093631,15311.954
t99,1837.787671,0,3635.466566,2.08E-09,381.2281325,4.61E-12,0,8534.093631,14388.576
t100,686.9813691,0,3749.740688,3.14E-10,372.4803126,4.60E-12,0,8534.093631,13343.296
t101,6.72E-10,0,3666.456158,4.41E-11,352.3789391,4.57E-12,0,8534.093631,12552.92873
t102,6.30E-10,0,3468.897506,4.30E-11,354.7985488,4.56E-12,0,8534.093631,12357.78969
t103,6.14E-10,0,2758.073729,4.24E-11,354.7520179,4.55E-12,0,8534.093631,11646.91938
t104,6.09E-10,0,2914.958541,4.27E-11,358.5210254,4.55E-12,0,8534.093631,11807.5732
t105,6.12E-10,0,2891.716347,4.30E-11,355.8687609,4.55E-12,0,8534.093631,11781.67874
t106,6.25E-10,0,2758.073729,4.27E-11,334.7437063,4.56E-12,0,8534.093631,11626.91107
t107,6.56E-10,0,3542.497788,4.33E-11,322.7387193,4.58E-12,0,8534.093631,12399.33014
t108,1.38E-09,0,2403.630265,2409.982481,318.0856236,4.63E-12,0,8534.093631,13665.792
t109,1.43E-09,79.21954876,2639.925908,3211.45758,314.6423328,4.63E-12,0,8534.093631,14779.339
t110,1.42E-09,1013.595265,2779.379074,2876.176584,316.3174472,4.61E-12,0,8534.093631,15519.562
t111,1.38E-09,2324.980585,2771.631676,1891.274034,345.8180741,4.55E-12,0,8534.093631,15867.798
t112,1.24E-09,3497.958037,3238.412412,478.2019057,365.2680142,4.42E-12,0,8534.093631,16113.934
t113,4.89E-11,5747.45371,4282.374308,1.71E-11,366.3382262,4.16E-12,0,7753.557537,18149.72378
t114,4.09E-11,4306.336947,4971.892741,6.95E-09,378.2501513,4.07E-12,0,7423.977873,17080.45771
t115,3.74E-11,2946.457945,7487.860278,6.89E-09,394.1172077,4.02E-12,0,6023.635145,16852.07058
t116,3.61E-11,912.118795,7106.300921,6.98E-09,396.3972246,3.99E-12,0,7557.808565,15972.62551
t117,3.56E-11,359.4492716,6751.857457,7.25E-09,380.762823,3.99E-12,0,8283.704587,15775.77414
t118,3.52E-11,45.24945178,6412.90879,979.7108958,375.3652319,3.99E-12,0,8534.093631,16347.328
t119,3.40E-11,0,6058.465326,2094.929967,365.3610761,3.99E-12,0,8534.093631,17052.85
t120,3.35E-11,0,8917.255231,8.31E-09,373.0386841,3.98E-12,0,7468.017085,16758.311
t121,3.37E-11,0,9172.919369,9.59E-09,370.0607028,3.98E-12,0,6616.728929,16159.709
t122,3.39E-11,0,9653.258052,1.12E-08,381.2281325,3.98E-12,0,5334.048816,15368.535
t123,3.40E-11,0,10166.52318,1.35E-08,389.1383953,3.98E-12,0,3852.820428,14408.482
t124,3.42E-11,0,10799.87297,1.61E-08,387.6028737,3.98E-12,0,2131.405154,13318.881
t125,3.43E-11,0,9846.943005,2.25E-08,381.6934421,3.99E-12,0,2141.386553,12370.023
t126,3.46E-11,0,11065.22136,2.66E-08,380.5766991,3.99E-12,0,279.5629426,11725.361
t127,3.46E-11,0,11508.7599,6.98E-09,380.5301682,3.99E-12,0,9.75E-09,11889.29007
t128,3.45E-11,0,11758.61349,7.58E-09,398.4445867,3.99E-12,0,9.33E-09,12157.05808
t129,3.44E-11,0,11863.20336,7.70E-09,398.4911177,3.99E-12,0,9.28E-09,12261.69448
t130,3.45E-11,0,12496.55316,7.71E-09,399.235613,3.99E-12,0,9.40E-09,12895.78877
t131,3.43E-11,0,10635.24076,380.0965604,386.3000069,3.99E-12,0,944.69567,12346.333
t132,3.46E-11,0,11102.0215,638.230423,366.1986334,3.99E-12,0,1525.512444,13631.963
t133,3.57E-11,128.24136,11477.77031,1071.718308,344.1894906,3.99E-12,0,1730.991534,14752.911
t134,3.51E-11,1538.915182,11915.4983,1124.565957,328.7877437,3.98E-12,0,614.4168164,15522.184
t135,3.52E-11,2779.153803,12541.1007,60.37815296,313.1998731,3.98E-12,0,20.98647166,15714.819
t136,3.53E-11,4670.460238,12965.1806,3.14E-09,178.0417555,3.98E-12,0,1.37E-09,17813.68259
t137,3.53E-11,7646.116592,13991.9982,311.8759479,159.2850455,3.98E-12,0,1.38E-09,22109.27579
t138,3.58E-11,5246.543444,14816.76959,477.7594918,175.4298784,3.98E-12,0,1.39E-09,20716.50241
t139,3.59E-11,4117.176169,14370.7772,648.0747368,181.4996872,3.98E-12,0,1.37E-09,19317.52779
t140,3.59E-11,3071.512864,14233.1174,800.3410501,201.6007504,3.98E-12,0,1.34E-09,18306.57207
t141,3.60E-11,1058.816268,14246.14314,1304.354452,201.2714492,3.98E-12,0,1.36E-09,16810.58531
t142,3.63E-11,52.56533447,14804.63581,2061.71332,206.5935363,3.98E-12,0,1.33E-09,17125.508
t143,3.50E-11,0,14183.00806,3340.092673,201.794996,3.98E-12,0,1.36E-09,17724.89573
t144,3.48E-11,0,15078.50742,2386.518161,206.2364126,3.98E-12,0,1.40E-09,17671.26199
t145,3.48E-11,0,14434.01416,2469.803939,205.2550877,3.98E-12,0,1.44E-09,17109.07319
t146,3.49E-11,0,14778.68849,1690.975556,198.638199,3.98E-12,0,1.48E-09,16668.30225
t147,3.50E-11,0,14814.17655,1253.181563,196.4991834,3.98E-12,0,1.53E-09,16263.8573
t148,3.51E-11,0,14566.32326,1073.077099,189.3188067,3.98E-12,0,1.51E-09,15828.71916
t149,3.53E-11,0,14602.62779,932.4120112,186.6913336,3.98E-12,0,1.60E-09,15721.73113
t150,3.53E-11,0,14411.02729,903.6035236,183.2956971,3.98E-12,0,1.61E-09,15497.92652
t151,3.52E-11,0,14024.42571,937.8994414,178.6666045,3.98E-12,0,1.63E-09,15140.99176
t152,3.49E-11,0,13903.37678,958.2549878,177.3498865,3.98E-12,0,1.59E-09,15038.98166
t153,3.49E-11,0,14144.28567,922.6271584,167.7604606,3.98E-12,0,1.65E-09,15234.67329
t154,3.46E-11,0,14135.28975,1012.432444,167.6416947,3.98E-12,0,1.57E-09,15315.36389
t155,3.44E-11,0,13136.59397,1541.674583,162.4049207,3.98E-12,0,1.62E-09,14840.67347
t156,3.43E-11,0,12611.81415,2525.096924,158.8723894,3.98E-12,0,1.55E-09,15295.78346
t157,3.55E-11,79.74747497,12890.3687,3118.28792,148.7981709,3.98E-12,0,1.57E-09,16237.20226
t158,3.50E-11,1481.887639,12005.34108,3194.260119,141.1005515,3.98E-12,0,1.52E-09,16822.58939
t159,3.52E-11,5058.965798,12710.37568,1292.468802,137.1181372,3.98E-12,0,1.53E-09,19198.92842
t160,3.52E-11,5869.047489,12507.37207,1127.638372,135.1226933,3.98E-12,0,1.45E-09,19639.18062
t161,3.54E-11,7169.87885,12073.53841,951.3686734,135.6143203,3.98E-12,0,1.50E-09,20330.40026
t162,3.57E-11,6928.770879,12623.8699,847.7567299,137.3224144,3.98E-12,0,1.48E-09,20537.71992
t163,3.59E-11,5108.013836,13416.04141,968.2852547,145.298211,3.98E-12,0,1.41E-09,19637.63871
t164,3.61E-11,3873.122053,13914.96773,1092.666026,150.0802946,3.98E-12,0,1.46E-09,19030.8361
t165,3.59E-11,1273.742817,14081.45464,1819.73616,164.5658157,3.98E-12,0,1.46E-09,17339.49943
t166,3.58E-11,89.32864926,14589.17765,2561.854112,159.2561641,3.98E-12,0,1.46E-09,17399.61658
t167,3.47E-11,0,14603.62635,3286.740826,156.6970107,3.98E-12,0,1.51E-09,18047.06418
t168,3.44E-11,0,15026.21781,2874.779503,149.8855699,3.98E-12,0,1.45E-09,18050.88289
