Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,4025.057170133487,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,7697.305117989603,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,11568.570044390737,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,14486.536139943153,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,17668.496811561698,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,20028.443307650723,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,22613.05415140514,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,25483.824955459793,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,27565.168280618196,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,28849.112464317295,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,29395.05773082575,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,29631.71353420492,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,29647.286792237624,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,29312.946663544553,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,29793.49321353456,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,31138.371745251934,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,32374.778084436188,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,32971.540724749706,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,33034.51757172324,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,31228.485382289706,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,28400.76115390415,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,25047.825216262867,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,20015.6633997895,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,15810.275283290961,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,12021.993918804534,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,10172.099504939726,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,9501.39066939056,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,9782.635623503917,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,10735.028070923247,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,11855.057315162849,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,12770.204505113044,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,13904.752053914357,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,15065.301808981123,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,16012.531026920466,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,16701.534314502096,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,17221.14600902233,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,17767.377709614437,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,18272.886315660307,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,18936.94498477367,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,19912.91042414112,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,21709.801342777275,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,24792.490490888285,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,27569.993415887242,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,30104.524182211615,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,31004.900876368793,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,31887.682267775497,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,32664.778870270733,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,33568.94842285685,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,34606.44129414446,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,35648.78829108163,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,36762.97466874533,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,37979.73436269883,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,39380.55569741193,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,40223.95774994776,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,40894.23369155161,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,40894.23369155009,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,40894.2336915494,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,40894.23369154889,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,40894.23369154859,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,40894.23369154832,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,40894.233691547495,0.0,0.0,0.0,0.0
