1,2,3,4,5,6,7
-1.5157160332036646e-25,-3.0493068464450664e-12,-4.214340742192594e-12,-5.06110707109558e-13,-6.115288163549955e-26,-6.824344472090932e-26,-0.0
-3.0161669512457456e-25,-6.024709853896359e-12,-8.385770883167018e-12,-9.988493744007537e-13,-1.215496133330408e-25,-1.3579390379580022e-25,-0.0
-4.431318228662126e-25,-8.715835459833058e-12,-1.2457657917487833e-11,-1.4911626572187337e-12,-1.768915655337339e-25,-1.9949873537665482e-25,-0.0
-5.732163935738197e-25,-1.1344501845622306e-11,-1.6280167858318987e-11,-1.949882018375751e-12,-2.310396829297059e-25,-2.580466331554757e-25,-0.0
-7.004426966555833e-25,-1.3859306207358004e-11,-2.005775676922151e-11,-2.3534144595321413e-12,-2.8425651797126167e-25,-3.1531629328195467e-25,-0.0
-8.273408795343786e-25,-1.6244686431643133e-11,-2.3693459547137603e-11,-2.752080924508145e-12,-3.357444163399934e-25,-3.722717107149099e-25,-0.0
-9.507814851678992e-25,-1.8572168798092197e-11,-2.7253285437200777e-11,-3.1463550121354596e-12,-3.861334766514905e-25,-4.278414972438817e-25,-0.0
-1.0679772999968804e-24,-2.0825916140711137e-11,-3.068145156363483e-11,-3.537665990315793e-12,-4.342386659868182e-25,-4.8058295123860795e-25,-0.0
-1.1790226644540058e-24,-2.2951367922684252e-11,-3.405491286144641e-11,-3.923757867513705e-12,-4.823089911233929e-25,-5.304734253663119e-25,-0.0
-1.2856231050453974e-24,-2.505857825639017e-11,-3.7343213371640744e-11,-4.287562241878021e-12,-5.30265872261696e-25,-5.784612067603467e-25,-0.0
-1.3898323481445946e-24,-2.7120622126519042e-11,-4.0599696653033186e-11,-4.642768955247758e-12,-5.734043093240692e-25,-6.253785696636293e-25,-0.0
-1.4933937062125748e-24,-2.9139978722601896e-11,-4.3823684840206643e-11,-4.992987279254701e-12,-6.165064423012253e-25,-6.718079800508077e-25,-0.0
-1.5959407573853864e-24,-3.114466181436307e-11,-4.690492598699261e-11,-5.330859390061154e-12,-6.590643597155848e-25,-7.17971280728295e-25,-0.0
-1.6924386782121583e-24,-3.312064007054555e-11,-4.994763782471238e-11,-5.663044215652157e-12,-7.010850159775061e-25,-7.614120424118122e-25,-0.0
-1.788834649689778e-24,-3.5057187040529935e-11,-5.2959535164374966e-11,-5.993385063214664e-12,-7.430908534957048e-25,-8.048096754389178e-25,-0.0
-1.883810622769774e-24,-3.6932634655951354e-11,-5.592276012092829e-11,-6.312362384776453e-12,-7.827113307799089e-25,-8.473613236793838e-25,-0.0
-1.977711185736018e-24,-3.880033665290524e-11,-5.88668311883487e-11,-6.625074895005428e-12,-8.21746044503063e-25,-8.896381102563894e-25,-0.0
-2.069935124877437e-24,-4.060964287928862e-11,-6.172916902651535e-11,-6.936779245794236e-12,-8.603445771453399e-25,-9.308852000775628e-25,-0.0
-2.1590651196059654e-24,-4.24184296184957e-11,-6.452341451414645e-11,-7.239376579426122e-12,-8.986695039425864e-25,-9.707867701721778e-25,-0.0
-2.2478864082182632e-24,-4.4150557828717193e-11,-6.731454402012674e-11,-7.53184070470011e-12,-9.317399856616361e-25,-1.010630921698523e-24,-0.0
-2.3360129348427835e-24,-4.585093374879116e-11,-7.007752120030644e-11,-7.823625228307238e-12,-9.6392002998703e-25,-1.0503011765470645e-24,-0.0
-2.4234226125079084e-24,-4.7539551142244225e-11,-7.279484063595335e-11,-8.107950277915526e-12,-9.958950777111683e-25,-1.0895389063213373e-24,-0.0
-2.5083881961630156e-24,-4.9196021031710924e-11,-7.54634840043297e-11,-8.388272287594432e-12,-1.0277872780810273e-24,-1.127787516893935e-24,-0.0
-2.5915164769225532e-24,-5.079594416538056e-11,-7.81213768068673e-11,-8.66852666507595e-12,-1.0589540602268897e-24,-1.165214974866837e-24,-0.0
-2.6735601627879682e-24,-5.2363509443406306e-11,-8.075918161351248e-11,-8.946150724429506e-12,-1.089240811415951e-24,-1.2018248737946354e-24,-0.0
-2.754260599486707e-24,-5.392559749959293e-11,-8.334759846653591e-11,-9.220237798254129e-12,-1.1190603668045208e-24,-1.2381470438374895e-24,-0.0
-2.8331652313263716e-24,-5.547186717639443e-11,-8.591557290606694e-11,-9.476044952017431e-12,-1.14693585035446e-24,-1.2736674559596427e-24,-0.0
-2.911811916609491e-24,-5.69507017426034e-11,-8.836571683014786e-11,-9.708937260722206e-12,-1.1745473505952195e-24,-1.309078048919399e-24,-0.0
-2.9838965730103448e-24,-5.822267661754389e-11,-9.070882350136282e-11,-9.937501912462018e-12,-1.2019791286257293e-24,-1.3413439517668507e-24,-0.0
-3.0554536417088396e-24,-5.948767515027062e-11,-9.299901007270516e-11,-1.0157562158867304e-11,-1.2292074867871348e-24,-1.3733154685668468e-24,-0.0
-3.1235780089837284e-24,-6.07237682567754e-11,-9.52486368934991e-11,-1.037508472883114e-11,-1.2564209954313575e-24,-1.4039857528714477e-24,-0.0
-3.1890382410174996e-24,-6.191788664848414e-11,-9.743476601331309e-11,-1.0589233380867948e-11,-1.2832576907419837e-24,-1.433447911656773e-24,-0.0
-3.2541456199501633e-24,-6.297818539699036e-11,-9.960929991572238e-11,-1.080304726161346e-11,-1.309952111318224e-24,-1.4624131783546268e-24,-0.0
-3.318416253843843e-24,-6.396665508098494e-11,-1.0174177174627432e-10,-1.1005566419659085e-11,-1.3362750552437763e-24,-1.4913510217537976e-24,-0.0
-3.380745299804308e-24,-6.491604089036104e-11,-1.0386924277779814e-10,-1.1206520306908705e-11,-1.362490286472071e-24,-1.5194152006668913e-24,-0.0
-3.440807725506534e-24,-6.581084090570419e-11,-1.0599667424008561e-10,-1.1404723633443514e-11,-1.3880636379820301e-24,-1.546447825258592e-24,-0.0
-3.500078759847525e-24,-6.665956249663667e-11,-1.0806025305254451e-10,-1.1601097077184781e-11,-1.4133701304452036e-24,-1.5731078248939641e-24,-0.0
-3.5582116086615184e-24,-6.745795313763215e-11,-1.1008724442100335e-10,-1.179593414014709e-11,-1.4385980668760494e-24,-1.5992121183788724e-24,-0.0
-3.615481783380163e-24,-6.812532208965533e-11,-1.1210310752555087e-10,-1.198599603783269e-11,-1.4633595880452844e-24,-1.6248585078534429e-24,-0.0
-3.6724996061441834e-24,-6.875914842189285e-11,-1.1410772891277022e-10,-1.2173089346689707e-11,-1.4877825444183349e-24,-1.650446962751094e-24,-0.0
-3.728886420779651e-24,-6.935240676644465e-11,-1.1606513528375356e-10,-1.23598219325303e-11,-1.5120560396699974e-24,-1.6758168234921016e-24,-0.0
-3.784318502960608e-24,-6.994526200343721e-11,-1.1799266344155316e-10,-1.2545945071486055e-11,-1.5347428567373967e-24,-1.7007418932894244e-24,-0.0
-3.839656079185734e-24,-7.05375087262269e-11,-1.1991169677708756e-10,-1.2731372915281374e-11,-1.5573991111820705e-24,-1.7255854753375164e-24,-0.0
