1,2,3,4,5,6,7
-4.6377419829400704e-35,-3.2712864894638796e-21,-1.6303654644641443e-21,-8.176931237535056e-22,-1.0919553415176777e-21,-6.147686279162507e-35,NaN
-9.228776229134983e-35,-6.463289180282931e-21,-3.2441304766712888e-21,-1.6137818339736967e-21,-2.1704087524368385e-21,-1.223294519456712e-34,NaN
-1.355881322004365e-34,-9.350319997274741e-21,-4.819386110249244e-21,-2.4091832756698006e-21,-3.1586032364802915e-21,-1.7971772134321278e-34,NaN
-1.7539101490982202e-34,-1.2170344765580762e-20,-6.2981673897761636e-21,-3.1503090058344024e-21,-4.125480421043483e-21,-2.3246038539258265e-34,NaN
-2.143193335533492e-34,-1.4868218723979402e-20,-7.759570459921349e-21,-3.8022724946716744e-21,-5.075728483410483e-21,-2.84051553630311e-34,NaN
-2.531472549715768e-34,-1.7427246887719446e-20,-9.166083271955346e-21,-4.446374313705962e-21,-5.995104384326631e-21,-3.353596374629066e-34,NaN
-2.909172373828668e-34,-1.9924162417459133e-20,-1.054324225024071e-20,-5.083379628547589e-21,-6.894859262423083e-21,-3.854194806577033e-34,NaN
-3.2677645762931544e-34,-2.234197525291373e-20,-1.1869467157265201e-20,-5.7155976227779544e-21,-7.753832986057671e-21,-4.329314306175087e-34,NaN
-3.6075378171060605e-34,-2.462215302724348e-20,-1.3174528881533117e-20,-6.339383424356491e-21,-8.612184169150622e-21,-4.778750855736928e-34,NaN
-3.933710614582945e-34,-2.6882761435068085e-20,-1.4446645190242277e-20,-6.927160626321023e-21,-9.46850967861115e-21,-5.2110470659444525e-34,NaN
-4.252566898441107e-34,-2.9094915407338356e-20,-1.5706452643501235e-20,-7.501047096125825e-21,-1.0238796303136097e-20,-5.633700449510573e-34,NaN
-4.569440803315626e-34,-3.1261274610537887e-20,-1.695368900139319e-20,-8.06687412039181e-21,-1.1008434676283324e-20,-6.051958130309338e-34,NaN
-4.883211162692004e-34,-3.3411892125918575e-20,-1.8145702049391804e-20,-8.612754098494533e-21,-1.1768355451913645e-20,-6.467818571317949e-34,NaN
-5.178472576361178e-34,-3.553171518684141e-20,-1.932280959764231e-20,-9.149445466381801e-21,-1.2518682809057302e-20,-6.859153117295669e-34,NaN
-5.473422048501505e-34,-3.760923649189065e-20,-2.0487996208192108e-20,-9.68315762807352e-21,-1.3268745560414122e-20,-7.250099140316578e-34,NaN
-5.76402665257941e-34,-3.9621210607640194e-20,-2.1634353355879533e-20,-1.0198510413166692e-20,-1.397621494937668e-20,-7.633424139682431e-34,NaN
-6.051340749382754e-34,-4.162487524903332e-20,-2.2773300604542933e-20,-1.0703741513267837e-20,-1.4673224853319913e-20,-8.014273057596017e-34,NaN
-6.333524763418843e-34,-4.356589309726037e-20,-2.3880628427434618e-20,-1.120734378981261e-20,-1.5362446240215466e-20,-8.385845989158948e-34,NaN
-6.606242020105788e-34,-4.5506353641330496e-20,-2.4961613953037458e-20,-1.1696232397583908e-20,-1.604678207869595e-20,-8.745297854449309e-34,NaN
-6.878014707173973e-34,-4.73645751642719e-20,-2.6041394025834706e-20,-1.2168749380176327e-20,-1.6637293730704777e-20,-9.10423246662362e-34,NaN
-7.14766158256749e-34,-4.9188732933383413e-20,-2.7110283052431044e-20,-1.2640168370566494e-20,-1.7211905594473287e-20,-9.46160053680331e-34,NaN
-7.415115065239952e-34,-5.1000276193293983e-20,-2.8161508863254064e-20,-1.3099535530181325e-20,-1.7782857007127357e-20,-9.81507222034052e-34,NaN
-7.675090183131542e-34,-5.277733171525087e-20,-2.9193903785955174e-20,-1.3552435215035425e-20,-1.8352329084570776e-20,-1.0159633458970584e-33,NaN
-7.929443577304773e-34,-5.449372406109034e-20,-3.0222139730457996e-20,-1.4005225630549892e-20,-1.8908847981667787e-20,-1.049679737381242e-33,NaN
-8.180478360890819e-34,-5.617540300440055e-20,-3.1242604406153483e-20,-1.445376639669653e-20,-1.9449652909475376e-20,-1.0826596337273877e-33,NaN
-8.427403111385326e-34,-5.785120600189605e-20,-3.224396279242644e-20,-1.4896592664601582e-20,-1.998211551659034e-20,-1.1153803305379116e-33,NaN
-8.668833112595896e-34,-5.951003909331991e-20,-3.323741279942797e-20,-1.5309885147255834e-20,-2.0479864475358533e-20,-1.147378766596731e-33,NaN
-8.909473856750106e-34,-6.109652801693592e-20,-3.418527873651162e-20,-1.568615547058205e-20,-2.0972899707204603e-20,-1.1792782724563762e-33,NaN
-9.130036303799928e-34,-6.246109853504606e-20,-3.509173609959539e-20,-1.6055433854610195e-20,-2.1462725791383015e-20,-1.2083448954897372e-33,NaN
-9.348984453987203e-34,-6.381818485586843e-20,-3.597772072246039e-20,-1.6410972174130774e-20,-2.194891957882088e-20,-1.237146321906468e-33,NaN
-9.557429328390355e-34,-6.51442615292418e-20,-3.6848014346285056e-20,-1.676241051997497e-20,-2.2434848210976233e-20,-1.264775537689539e-33,NaN
-9.757722562522308e-34,-6.642530786479546e-20,-3.7693743165058686e-20,-1.7108397826253543e-20,-2.2914048405789446e-20,-1.291316417924964e-33,NaN
-9.9569361474291e-34,-6.756279292138382e-20,-3.853498624260586e-20,-1.7453844262364625e-20,-2.3390708120873483e-20,-1.3174096747028008e-33,NaN
-1.0153589485224095e-33,-6.862321999065888e-20,-3.935995713109308e-20,-1.778104248329934e-20,-2.3860734691253305e-20,-1.343478227300224e-33,NaN
-1.0344302011103016e-33,-6.964171800607554e-20,-4.018299340381738e-20,-1.81057117888234e-20,-2.4328837927000742e-20,-1.3687597423740263e-33,NaN
-1.0528079201008218e-33,-7.060165655879177e-20,-4.1006014368734273e-20,-1.8425937176146614e-20,-2.4785479658918712e-20,-1.3931119854314802e-33,NaN
-1.070943491561031e-33,-7.151216232733077e-20,-4.1804333212616494e-20,-1.8743206130111405e-20,-2.523735631429774e-20,-1.4171285506314248e-33,NaN
-1.0887308044630868e-33,-7.236867321610791e-20,-4.2588497789252707e-20,-1.905799284455671e-20,-2.568783026097663e-20,-1.4406445099357523e-33,NaN
-1.1062541589598774e-33,-7.308462446213823e-20,-4.3368357270911954e-20,-1.9365064607002976e-20,-2.612997582438624e-20,-1.4637479680521576e-33,NaN
-1.1237002995703728e-33,-7.37645912945127e-20,-4.4143867766854496e-20,-1.9667340196125334e-20,-2.656607592227148e-20,-1.4867992360124134e-33,NaN
-1.1409533662260338e-33,-7.44010369213464e-20,-4.49011125988215e-20,-1.996903298641343e-20,-2.699950721918636e-20,-1.5096535842094599e-33,NaN
-1.1579143067386862e-33,-7.503705009569868e-20,-4.564679870549917e-20,-2.0269741129429645e-20,-2.7404606544291593e-20,-1.5321072440777198e-33,NaN
-1.1748463306053843e-33,-7.567241045798882e-20,-4.638919849393747e-20,-2.0569325925194594e-20,-2.780916013846407e-20,-1.554487495998899e-33,NaN
-1.191737271089871e-33,-7.628490392015885e-20,-4.7124732615601465e-20,-2.08666695433505e-20,-2.8207463364393226e-20,-1.5768621814288534e-33,NaN
-1.2085914821881534e-33,-7.684959052096499e-20,-4.785496181918838e-20,-2.1157955578600603e-20,-2.8601253708732463e-20,-1.5991924408579123e-33,NaN
-1.22494936097276e-33,-7.728895552029098e-20,-4.8580109660905477e-20,-2.1444756532284184e-20,-2.899156947537604e-20,-1.6206306516036804e-33,NaN
-1.240803427179901e-33,-7.766446439394673e-20,-4.923815408360001e-20,-2.1712848203055297e-20,-2.937481782812275e-20,-1.6416315458264388e-33,NaN
-1.2565740793949661e-33,-7.80230894154293e-20,-4.989548838714857e-20,-2.197781554000111e-20,-2.975075413771937e-20,-1.662502456593263e-33,NaN
-1.2720904002912884e-33,-7.835729621711613e-20,-5.0536143141943684e-20,-2.223139019007448e-20,-3.0121043976237634e-20,-1.6828660755298197e-33,NaN
-1.2872008840374388e-33,-7.8639645505452e-20,-5.1170381637689786e-20,-2.2479242528079627e-20,-3.048413472835039e-20,-1.70288903002986e-33,NaN
-1.3019068190338744e-33,-7.892024174639862e-20,-5.180028669568212e-20,-2.2724934636296412e-20,-3.0846490504980154e-20,-1.7223545034890073e-33,NaN
-1.3166042947961387e-33,-7.918773434544227e-20,-5.2429588683124026e-20,-2.2970581724691597e-20,-3.1204739596229874e-20,-1.7418158540252836e-33,NaN
-1.3310999909136567e-33,-7.94340206833716e-20,-5.304014714893879e-20,-2.32126316593933e-20,-3.156051143012303e-20,-1.7610300655959864e-33,NaN
-1.345275999566049e-33,-7.967349473114576e-20,-5.364858348603133e-20,-2.3448715672216737e-20,-3.1892467547484966e-20,-1.7797039628452693e-33,NaN
-1.3593698478506836e-33,-7.981879298356422e-20,-5.4247842281789e-20,-2.3683581828397865e-20,-3.22098044875216e-20,-1.7983045235063895e-33,NaN
-1.373216017994415e-33,-7.996345472497947e-20,-5.483890865670493e-20,-2.3918413472086264e-20,-3.2508495177646774e-20,-1.816593706999086e-33,NaN
-1.3869688108765857e-33,-8.009467528386515e-20,-5.542855016645609e-20,-2.4152764973656354e-20,-3.279709586813893e-20,-1.8348138167077604e-33,NaN
-1.400474623029182e-33,-8.019947914403535e-20,-5.601599469059606e-20,-2.4384670147385686e-20,-3.307978037639786e-20,-1.852712845520366e-33,NaN
-1.4135423188749295e-33,-8.027956254681115e-20,-5.660264645361275e-20,-2.4614339892031204e-20,-3.336127584036671e-20,-1.8699699394988775e-33,NaN
-1.426547781532945e-33,-8.035252591000783e-20,-5.717598679296368e-20,-2.4839167456046066e-20,-3.3637774256589473e-20,-1.8871691486645268e-33,NaN
-1.4392273152865177e-33,-8.04123789541891e-20,-5.773833214560739e-20,-2.5055363514929698e-20,-3.3906186750689896e-20,-1.9039673176042133e-33,NaN
-1.4517693623505213e-33,-8.045512174644734e-20,-5.829587700572447e-20,-2.526888860619539e-20,-3.41744241440144e-20,-1.9205383255224727e-33,NaN
-1.4630924979413724e-33,-8.048696536323993e-20,-5.883103319618461e-20,-2.547288817849045e-20,-3.443603510699853e-20,-1.935539894498259e-33,NaN
