Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,7.376870440212435e6,0.0,0.0,0.0,7.376870440212435e6
t1,0.0,0.0,0.0,2631.4264537524828,0.0,0.0,0.0,2631.4264537524828
t2,0.0,0.0,0.0,3618.6565430683913,0.0,0.0,0.0,3618.6565430683913
t3,0.0,0.0,0.0,4498.436926656024,0.0,0.0,0.0,4498.436926656024
t4,0.0,0.0,0.0,3682.5142801155357,0.0,0.0,0.0,3682.5142801155357
t5,0.0,0.0,0.0,4219.901722262203,0.0,0.0,0.0,4219.901722262203
t6,0.0,0.0,0.0,2802.987316186442,0.0,0.0,0.0,2802.987316186442
t7,0.0,0.0,0.0,2965.4524617227926,0.0,0.0,0.0,2965.4524617227926
t8,0.0,0.0,0.0,3581.704852377082,0.0,0.0,0.0,3581.704852377082
t9,0.0,0.0,0.0,1938.8440070375004,0.0,0.0,0.0,1938.8440070375004
t10,0.0,0.0,0.0,2.9586826211452e-10,0.0,0.0,0.0,2.9586826211452e-10
t11,0.0,0.0,0.0,3.889322614494338e-10,0.0,0.0,0.0,3.889322614494338e-10
t12,0.0,0.0,0.0,5.30588869578669e-10,0.0,0.0,0.0,5.30588869578669e-10
t13,0.0,0.0,0.0,8.841116894252377e-10,0.0,0.0,0.0,8.841116894252377e-10
t14,0.0,0.0,0.0,2.0903398927186748e-10,0.0,0.0,0.0,2.0903398927186748e-10
t15,0.0,0.0,0.0,25.669118307070352,0.0,0.0,0.0,25.669118307070352
t16,0.0,0.0,0.0,408.21689415048826,0.0,0.0,0.0,408.21689415048826
t17,0.0,0.0,0.0,662.747101949845,0.0,0.0,0.0,662.747101949845
t18,0.0,0.0,0.0,107.04287365741376,0.0,0.0,0.0,107.04287365741376
t19,0.0,0.0,0.0,1.0192278951405477e-10,0.0,0.0,0.0,1.0192278951405477e-10
t20,0.0,0.0,0.0,1.0192413930602838e-10,0.0,0.0,0.0,1.0192413930602838e-10
t21,0.0,0.0,0.0,1.0192533844631017e-10,0.0,0.0,0.0,1.0192533844631017e-10
t22,0.0,0.0,0.0,1.0192703007529089e-10,0.0,0.0,0.0,1.0192703007529089e-10
t23,0.0,0.0,0.0,1.0192785754699161e-10,0.0,0.0,0.0,1.0192785754699161e-10
t24,0.0,0.0,0.0,1.0192643809187852e-10,0.0,0.0,0.0,1.0192643809187852e-10
t25,0.0,0.0,0.0,1.0192663989514886e-10,0.0,0.0,0.0,1.0192663989514886e-10
t26,0.0,0.0,0.0,1.0192649356478092e-10,0.0,0.0,0.0,1.0192649356478092e-10
t27,0.0,0.0,0.0,4.285670921820143e-11,0.0,0.0,0.0,4.285670921820143e-11
t28,0.0,0.0,0.0,1.843422850420544e-9,0.0,0.0,0.0,1.843422850420544e-9
t29,0.0,0.0,0.0,8.92505281981382e-10,0.0,0.0,0.0,8.92505281981382e-10
t30,0.0,0.0,0.0,6.166059769053671e-10,0.0,0.0,0.0,6.166059769053671e-10
t31,0.0,0.0,0.0,4.149263410811794e-10,0.0,0.0,0.0,4.149263410811794e-10
t32,0.0,0.0,0.0,564.1204394677194,0.0,0.0,0.0,564.1204394677194
t33,0.0,0.0,0.0,1479.3916613926644,0.0,0.0,0.0,1479.3916613926644
t34,0.0,0.0,0.0,485.6913991171726,0.0,0.0,0.0,485.6913991171726
t35,0.0,0.0,0.0,3.5148440763408613e-10,0.0,0.0,0.0,3.5148440763408613e-10
t36,0.0,0.0,0.0,2.34324544948187e-10,0.0,0.0,0.0,2.34324544948187e-10
t37,0.0,0.0,0.0,2.343244072201004e-10,0.0,0.0,0.0,2.343244072201004e-10
t38,0.0,0.0,0.0,2.0498935993125279e-10,0.0,0.0,0.0,2.0498935993125279e-10
t39,0.0,0.0,0.0,1.937173536384135e-10,0.0,0.0,0.0,1.937173536384135e-10
t40,0.0,0.0,0.0,958.6192268924525,0.0,0.0,0.0,958.6192268924525
t41,0.0,0.0,0.0,2990.0866793282785,0.0,0.0,0.0,2990.0866793282785
t42,0.0,0.0,0.0,4604.428338403034,0.0,0.0,0.0,4604.428338403034
t43,0.0,0.0,0.0,4761.131225312058,0.0,0.0,0.0,4761.131225312058
t44,0.0,0.0,0.0,5140.375090059002,0.0,0.0,0.0,5140.375090059002
t45,0.0,0.0,0.0,2059.7926526438437,0.0,0.0,0.0,2059.7926526438437
t46,0.0,0.0,0.0,1290.250399645456,0.0,0.0,0.0,1290.250399645456
t47,0.0,0.0,0.0,1365.0634872708927,0.0,0.0,0.0,1365.0634872708927
t48,0.0,0.0,0.0,1358.3604353922194,0.0,0.0,0.0,1358.3604353922194
