Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,1.857568015326906e-12,0.0,0.0,0.0,0.0,1.1467608227140257e-12,0.0
t2,1.5766456289688587e-12,0.0,0.0,0.0,0.0,9.834420904691984e-13,0.0
t3,1.4438903890281152e-12,0.0,0.0,0.0,0.0,9.04950364887559e-13,0.0
t4,1.3738645517120706e-12,0.0,0.0,0.0,0.0,8.627450692038547e-13,0.0
t5,1.354593699044761e-12,0.0,0.0,0.0,0.0,8.428653741114701e-13,0.0
t6,1.3643097057623975e-12,0.0,0.0,0.0,0.0,8.402323124104513e-13,0.0
t7,1.4049656113324908e-12,0.0,0.0,0.0,0.0,8.542382668578032e-13,0.0
t8,1.4939749608315375e-12,0.0,0.0,0.0,0.0,8.879623007472409e-13,0.0
t9,1.6891031107052797e-12,0.0,0.0,0.0,0.0,9.50592890093191e-13,0.0
t10,3.7244043923251025,0.0,0.0,0.0,0.0,1.0703808375740486e-12,0.0
t11,10.817788134288502,0.0,0.0,0.0,0.0,1.1638883291499462e-12,0.0
t12,13.219740404439847,0.0,0.0,0.0,0.0,1.2471942236423838e-12,0.0
t13,14.419219293703458,0.0,0.0,0.0,0.0,1.329763810134316e-12,0.0
t14,14.915826292265516,0.0,0.0,0.0,0.0,1.4206468837372303e-12,0.0
t15,14.91582629226594,0.0,0.0,0.0,0.0,1.509271300438127e-12,0.0
t16,14.915826292266491,0.0,0.0,0.0,0.0,1.6277346333402668e-12,0.0
t17,14.915826292267187,0.0,0.0,0.0,0.0,1.8046479566541632e-12,0.0
t18,14.915826292268342,0.0,0.0,0.0,0.0,2.138339519947596e-12,0.0
t19,14.915826292271523,0.0,0.0,0.0,0.0,0.2528638494200134,0.0
t20,14.915826292271689,0.0,0.0,0.0,0.0,0.25286384942046947,0.0
t21,14.915826292271484,0.0,0.0,0.0,0.0,0.25286384942065854,0.0
t22,14.91582629227141,0.0,0.0,0.0,0.0,0.2528638494207484,0.0
t23,14.915826292271731,0.0,0.0,0.0,0.0,0.25286384942077383,0.0
t24,14.91582629227166,0.0,0.0,0.0,0.0,0.25286384942074847,0.0
t25,14.915826292271513,0.0,0.0,0.0,0.0,0.2528638494206593,0.0
t26,14.915826292271392,0.0,0.0,0.0,0.0,0.25286384942047,0.0
t27,14.915826292271598,0.0,0.0,0.0,0.0,0.25286384942001366,0.0
t28,13.22114478173215,0.0,0.0,0.0,0.0,2.1440699098024575e-12,0.0
t29,10.029929246640275,0.0,0.0,0.0,0.0,1.8123006448877135e-12,0.0
t30,7.932768083561065,0.0,0.0,0.0,0.0,1.6372586703954687e-12,0.0
t31,7.366117259691298,0.0,0.0,0.0,0.0,1.521140795218687e-12,0.0
t32,6.668611111218295,0.0,0.0,0.0,0.0,1.4356988975798172e-12,0.0
t33,6.668611111216936,0.0,0.0,0.0,0.0,1.3778722844996327e-12,0.0
t34,6.668611111216295,0.0,0.0,0.0,0.0,1.3386604633817654e-12,0.0
t35,6.668611111215891,0.0,0.0,0.0,0.0,1.3132595403323356e-12,0.0
t36,6.668611111215473,0.0,0.0,0.0,0.0,1.2916661120467015e-12,0.0
t37,6.668611111214838,0.0,0.0,0.0,0.0,1.2685636843808725e-12,0.0
t38,6.668611111213472,0.0,0.0,0.0,0.0,1.242295731258552e-12,0.0
t39,6.61142112362162,0.0,0.0,0.0,0.0,1.2109565187239258e-12,0.0
t40,6.551753120228739,0.0,0.0,0.0,0.0,1.1758357192984205e-12,0.0
t41,6.551753120228246,0.0,0.0,0.0,0.0,1.151722884198834e-12,0.0
t42,6.551753120228062,0.0,0.0,0.0,0.0,1.136112446684549e-12,0.0
t43,6.551753120228003,0.0,0.0,0.0,0.0,1.1275323145426889e-12,0.0
t44,6.551753120227931,0.0,0.0,0.0,0.0,1.1251797769987339e-12,0.0
t45,6.551753120227976,0.0,0.0,0.0,0.0,1.1288180855604636e-12,0.0
t46,6.551753120228152,0.0,0.0,0.0,0.0,1.138811555116231e-12,0.0
t47,6.551753120228118,0.0,0.0,0.0,0.0,1.1561821548062882e-12,0.0
t48,6.551753120227841,0.0,0.0,0.0,0.0,1.1827828471665946e-12,0.0
t49,6.551753120227799,0.0,0.0,0.0,0.0,1.221635985892652e-12,0.0
t50,6.551753120228871,0.0,0.0,0.0,0.0,1.2778170945115834e-12,0.0
t51,6.555591026923007,0.0,0.0,0.0,0.0,1.360887077522214e-12,0.0
t52,7.955473675769016,0.0,0.0,0.0,0.0,1.4565102741852238e-12,0.0
t53,9.642141251007523,0.0,0.0,0.0,0.0,1.5781528605350443e-12,0.0
t54,11.993178448497648,0.0,0.0,0.0,0.0,1.752678835714611e-12,0.0
t55,13.395320762370844,0.0,0.0,0.0,0.0,2.065939594806696e-12,0.0
t56,14.915826292271387,0.0,0.0,0.0,0.0,3.0014709728649853,0.0
t57,14.915826292271372,0.0,0.0,0.0,0.0,5.332671956773166,0.0
t58,14.915826292271623,0.0,0.0,0.0,0.0,6.348728795059368,0.0
t59,14.915826292271497,0.0,0.0,0.0,0.0,7.094006148506733,0.0
t60,14.915826292271436,0.0,0.0,0.0,0.0,7.656044096329547,0.0
t61,14.915826292271648,0.0,0.0,0.0,0.0,8.093266436282395,0.0
t62,14.915826292271339,0.0,0.0,0.0,0.0,8.394987421198199,0.0
t63,14.915826292271682,0.0,0.0,0.0,0.0,8.394987421199007,0.0
t64,14.915826292271516,0.0,0.0,0.0,0.0,8.394987421199355,0.0
t65,14.91582629227157,0.0,0.0,0.0,0.0,8.394987421199577,0.0
t66,14.915826292271479,0.0,0.0,0.0,0.0,8.394987421199843,0.0
t67,14.915826292271708,0.0,0.0,0.0,0.0,8.394987421200097,0.0
t68,14.915826292271488,0.0,0.0,0.0,0.0,8.394987421200337,0.0
t69,14.915826292271504,0.0,0.0,0.0,0.0,8.394987421200627,0.0
t70,14.915826292271824,0.0,0.0,0.0,0.0,8.394987421200765,0.0
t71,14.915826292271541,0.0,0.0,0.0,0.0,8.394987421200915,0.0
t72,14.915826292271738,0.0,0.0,0.0,0.0,8.39498742120097,0.0
t73,14.915826292271467,0.0,0.0,0.0,0.0,8.394987421200986,0.0
t74,14.915826292271653,0.0,0.0,0.0,0.0,8.394987421201069,0.0
t75,14.915826292271428,0.0,0.0,0.0,0.0,8.394987421201124,0.0
t76,14.915826292271568,0.0,0.0,0.0,0.0,8.394987421201202,0.0
t77,14.915826292271746,0.0,0.0,0.0,0.0,8.39498742120123,0.0
t78,14.915826292271664,0.0,0.0,0.0,0.0,8.394987421201202,0.0
t79,14.915826292271744,0.0,0.0,0.0,0.0,8.394987421201298,0.0
t80,14.915826292271817,0.0,0.0,0.0,0.0,8.394987421201408,0.0
t81,14.9158262922715,0.0,0.0,0.0,0.0,8.394987421201495,0.0
t82,14.915826292271737,0.0,0.0,0.0,0.0,8.394987421201598,0.0
t83,14.915826292271557,0.0,0.0,0.0,0.0,8.394987421201678,0.0
t84,14.91582629227145,0.0,0.0,0.0,0.0,8.394987421201662,0.0
t85,14.915826292271817,0.0,0.0,0.0,0.0,8.394987421201694,0.0
t86,14.915826292271573,0.0,0.0,0.0,0.0,8.394987421201664,0.0
t87,14.915826292271797,0.0,0.0,0.0,0.0,8.39498742120162,0.0
t88,14.915826292271502,0.0,0.0,0.0,0.0,8.39498742120154,0.0
t89,14.915826292271593,0.0,0.0,0.0,0.0,8.394987421201398,0.0
t90,14.91582629227173,0.0,0.0,0.0,0.0,8.394987421201261,0.0
t91,14.915826292271825,0.0,0.0,0.0,0.0,8.39498742120113,0.0
t92,14.91582629227183,0.0,0.0,0.0,0.0,8.394987421200982,0.0
t93,14.915826292271808,0.0,0.0,0.0,0.0,8.394987421200812,0.0
t94,14.915826292271824,0.0,0.0,0.0,0.0,8.394987421200689,0.0
t95,14.915826292271795,0.0,0.0,0.0,0.0,8.394987421200558,0.0
t96,14.915826292271829,0.0,0.0,0.0,0.0,8.394987421200327,0.0
t97,14.915826292271563,0.0,0.0,0.0,0.0,8.394987421199955,0.0
t98,14.915826292271472,0.0,0.0,0.0,0.0,8.39498742119916,0.0
t99,14.91582629227154,0.0,0.0,0.0,0.0,6.424112384090521,0.0
t100,14.915826292271568,0.0,0.0,0.0,0.0,4.050637405443595,0.0
t101,14.915826292271545,0.0,0.0,0.0,0.0,1.585512185464631,0.0
t102,14.915826292271602,0.0,0.0,0.0,0.0,1.5855121854637744,0.0
t103,14.915826292272072,0.0,0.0,0.0,0.0,1.5855121854633918,0.0
t104,14.915826292271587,0.0,0.0,0.0,0.0,1.5855121854630905,0.0
t105,14.915826292271678,0.0,0.0,0.0,0.0,1.5855121854628662,0.0
t106,14.915826292271472,0.0,0.0,0.0,0.0,1.5855121854627465,0.0
t107,14.915826292271563,0.0,0.0,0.0,0.0,1.5855121854626189,0.0
t108,14.915826292271555,0.0,0.0,0.0,0.0,1.5855121854624905,0.0
t109,14.9158262922714,0.0,0.0,0.0,0.0,1.5855121854623844,0.0
t110,14.915826292271575,0.0,0.0,0.0,0.0,1.5855121854621514,0.0
t111,14.91582629227149,0.0,0.0,0.0,0.0,1.585512185461777,0.0
t112,14.915826292271504,0.0,0.0,0.0,0.0,1.5855121854609675,0.0
t113,14.915826292269369,0.0,0.0,0.0,0.0,2.1490004044459585e-12,0.0
t114,14.915826292268658,0.0,0.0,0.0,0.0,1.8282501689227336e-12,0.0
t115,14.915826292268253,0.0,0.0,0.0,0.0,1.6595102785806385e-12,0.0
t116,14.915826292267923,0.0,0.0,0.0,0.0,1.5492750746129696e-12,0.0
t117,14.915826292267889,0.0,0.0,0.0,0.0,1.4702980722515381e-12,0.0
t118,14.915826292267687,0.0,0.0,0.0,0.0,1.4104309732275707e-12,0.0
t119,14.91582629226731,0.0,0.0,0.0,0.0,1.3476022899869296e-12,0.0
t120,11.477230395845297,0.0,0.0,0.0,0.0,1.2765933600143984e-12,0.0
t121,9.57673805674506,0.0,0.0,0.0,0.0,1.2071776877056121e-12,0.0
t122,7.005334808600264,0.0,0.0,0.0,0.0,1.1324381719929752e-12,0.0
t123,2.306538620895593,0.0,0.0,0.0,0.0,1.0439721077880663e-12,0.0
t124,1.6022530952742507e-12,0.0,0.0,0.0,0.0,9.25526544771929e-13,0.0
t125,1.3798911314436727e-12,0.0,0.0,0.0,0.0,8.591094323577486e-13,0.0
t126,1.261921468403502e-12,0.0,0.0,0.0,0.0,8.176206896061556e-13,0.0
t127,1.1862756334935058e-12,0.0,0.0,0.0,0.0,7.907911273923307e-13,0.0
t128,1.1342255070531105e-12,0.0,0.0,0.0,0.0,7.732676535672344e-13,0.0
t129,1.0971965259777705e-12,0.0,0.0,0.0,0.0,7.617412033862862e-13,0.0
t130,1.0704141877646442e-12,0.0,0.0,0.0,0.0,7.541415349207482e-13,0.0
t131,1.0509918640731998e-12,0.0,0.0,0.0,0.0,7.491282838951956e-13,0.0
t132,1.0365799649476985e-12,0.0,0.0,0.0,0.0,7.458238008016644e-13,0.0
t133,1.0258672540684418e-12,0.0,0.0,0.0,0.0,7.436461488985979e-13,0.0
t134,1.0180590360278104e-12,0.0,0.0,0.0,0.0,7.42210131134453e-13,0.0
t135,1.012340631174646e-12,0.0,0.0,0.0,0.0,7.412631605940149e-13,0.0
t136,1.0083144381113268e-12,0.0,0.0,0.0,0.0,7.406380577095047e-13,0.0
t137,1.0052256968391863e-12,0.0,0.0,0.0,0.0,7.402269837335941e-13,0.0
t138,1.0028973153505708e-12,0.0,0.0,0.0,0.0,7.399567488509409e-13,0.0
t139,1.0012330433403648e-12,0.0,0.0,0.0,0.0,7.397791378767883e-13,0.0
t140,1.0000496255120847e-12,0.0,0.0,0.0,0.0,7.396623904554742e-13,0.0
t141,9.994307261231723e-13,0.0,0.0,0.0,0.0,7.395861112659211e-13,0.0
t142,9.98839824346645e-13,0.0,0.0,0.0,0.0,7.395360969763601e-13,0.0
t143,9.985468904322937e-13,0.0,0.0,0.0,0.0,7.395033701918808e-13,0.0
t144,9.982276499299087e-13,0.0,0.0,0.0,0.0,7.394818397473922e-13,0.0
t145,9.980309976108476e-13,0.0,0.0,0.0,0.0,7.394679103193191e-13,0.0
t146,9.980706896942836e-13,0.0,0.0,0.0,0.0,7.394590367477766e-13,0.0
t147,9.978853060637384e-13,0.0,0.0,0.0,0.0,7.394524293531206e-13,0.0
t148,9.976937344720473e-13,0.0,0.0,0.0,0.0,7.394476824779138e-13,0.0
t149,9.97513790025109e-13,0.0,0.0,0.0,0.0,7.394444007722164e-13,0.0
t150,9.974149433464616e-13,0.0,0.0,0.0,0.0,7.394421832664302e-13,0.0
t151,9.97543941124464e-13,0.0,0.0,0.0,0.0,7.394402499583959e-13,0.0
t152,9.974785541530572e-13,0.0,0.0,0.0,0.0,7.394390551859569e-13,0.0
t153,9.973788599964394e-13,0.0,0.0,0.0,0.0,7.394382212172935e-13,0.0
t154,9.972796983956571e-13,0.0,0.0,0.0,0.0,7.394377883309315e-13,0.0
t155,9.97232619302733e-13,0.0,0.0,0.0,0.0,7.394376880096396e-13,0.0
t156,9.97256316547043e-13,0.0,0.0,0.0,0.0,7.39437209852303e-13,0.0
t157,9.970386366743574e-13,0.0,0.0,0.0,0.0,7.394380444560344e-13,0.0
t158,9.969149586598969e-13,0.0,0.0,0.0,0.0,7.394382138055484e-13,0.0
t159,9.967636451292964e-13,0.0,0.0,0.0,0.0,7.394379116670763e-13,0.0
