Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,2.1178197045741943e6,1.278139037418548e7,0.0,4.1032136935037515e-7,0.0,0.0,1.4899210078760084e7
t1,0.0,0.0,274.1555157891562,0.0,9.538217870737021e-11,0.0,0.0,274.1555157892516
t2,0.0,0.0,425.82997196529686,0.0,8.343836618918272e-11,0.0,0.0,425.8299719653803
t3,0.0,0.0,816.8399155730622,0.0,7.63335076564504e-11,0.0,0.0,816.8399155731385
t4,0.0,0.0,570.4044244880461,0.0,6.366462643963043e-11,0.0,0.0,570.4044244881097
t5,0.0,0.0,734.3879458745214,0.0,5.0536347843223644e-11,0.0,0.0,734.387945874572
t6,0.0,0.0,540.5070964073857,0.0,3.869430473809702e-11,0.0,0.0,540.5070964074243
t7,0.0,0.0,516.6961805632345,0.0,2.7656493793930656e-11,0.0,0.0,516.6961805632621
t8,0.0,0.0,500.4626649724614,0.0,2.0000530108100245e-11,0.0,0.0,500.46266497248143
t9,0.0,0.0,321.0171685179903,0.0,1.4700651946964333e-11,0.0,0.0,321.017168518005
t10,0.0,0.0,3.8198777474462986e-11,0.0,8.854149831868334e-12,0.0,0.0,4.705292730633132e-11
t11,0.0,0.0,3.8198777474462986e-11,0.0,6.4803904297081374e-12,0.0,0.0,4.4679167904171125e-11
t12,0.0,0.0,3.8198777474462986e-11,0.0,5.68076842959129e-12,0.0,0.0,4.387954590405428e-11
t13,0.0,3.7914560380158946e-11,3.8198777474462986e-11,0.0,4.524438103308799e-12,0.0,0.0,8.063777595793073e-11
t14,0.0,3.1377567211166024e-11,3.228706191293895e-11,0.0,3.699089730344486e-12,0.0,0.0,6.736371885444946e-11
t15,0.0,3.728928277269006e-11,3.8198777474462986e-11,0.0,5.120555309854233e-12,0.0,0.0,8.060861555700727e-11
t16,0.0,3.637978807091713e-11,3.7971403799019754e-11,0.0,8.151793603867386e-12,0.0,0.0,8.250298547380427e-11
t17,0.0,3.728928277269006e-11,3.774403012357652e-11,0.0,1.0879812554412316e-11,0.0,0.0,8.591312545067889e-11
t18,0.0,3.8198777474462986e-11,3.8198777474462986e-11,0.0,1.2814252790324053e-11,0.0,0.0,8.921180773925003e-11
t19,0.0,1.0459189070388675e-11,1.6370904631912708e-11,0.0,1.02541105073706e-11,0.0,0.0,3.7084204209671984e-11
t20,0.0,9.890754881780595e-12,1.546140993013978e-11,0.0,1.0728610183567983e-11,0.0,0.0,3.608077499548836e-11
t21,0.0,1.1254996934439987e-11,1.6370904631912708e-11,0.0,1.1888918870170177e-11,0.0,0.0,3.951482043652287e-11
t22,0.0,1.5656809182473808e-11,1.546140993013978e-11,0.0,1.1716119462650648e-11,0.0,0.0,4.2834338575264236e-11
t23,0.0,0.0,1.546140993013978e-11,0.0,1.2571098994868478e-11,0.0,0.0,2.8032508925008258e-11
t24,0.0,0.0,1.4551915228366852e-11,0.0,1.3270768521458975e-11,0.0,0.0,2.7822683749825827e-11
t25,0.0,0.0,1.5006662579253316e-11,0.0,1.4135928737478734e-11,0.0,0.0,2.914259131673205e-11
t26,0.0,0.0,1.546140993013978e-11,0.0,1.43633705286119e-11,0.0,0.0,2.982478045875168e-11
t27,0.0,0.0,1.6370904631912708e-11,0.0,1.4531052736364466e-11,0.0,0.0,3.0901957368277175e-11
t28,0.0,0.0,3.8198777474462986e-11,0.0,3.1927772379043954e-11,0.0,0.0,7.012654985350694e-11
t29,0.0,0.0,3.8198777474462986e-11,0.0,3.2232302171382e-11,0.0,0.0,7.043107964584499e-11
t30,0.0,0.0,3.637978807091713e-11,0.0,3.232654841055391e-11,0.0,0.0,6.870633648147104e-11
t31,0.0,0.0,3.8198777474462986e-11,0.0,3.2655843457377194e-11,0.0,0.0,7.085462093184018e-11
t32,0.0,0.0,4.18367562815547e-11,0.0,3.625080235261576e-11,0.0,0.0,7.808755863417046e-11
t33,0.0,0.0,4.18367562815547e-11,0.0,3.6256427267365426e-11,0.0,0.0,7.809318354892012e-11
t34,0.0,0.0,4.18367562815547e-11,0.0,3.605593813049182e-11,0.0,0.0,7.789269441204652e-11
t35,0.0,0.0,3.637978807091713e-11,0.0,3.266471134250691e-11,0.0,0.0,6.904449941342404e-11
t36,0.0,0.0,3.637978807091713e-11,0.0,3.133852841836427e-11,0.0,0.0,6.77183164892814e-11
t37,0.0,3.596767328417627e-11,3.54702933691442e-11,0.0,3.1435113545140264e-11,0.0,0.0,1.0287308019846074e-10
t38,0.0,3.575451046344824e-11,3.456079866737127e-11,0.0,3.145149151279185e-11,0.0,0.0,1.0176680064361136e-10
t39,0.0,3.865352482534945e-11,3.637978807091713e-11,0.0,3.2904271367455756e-11,0.0,0.0,1.0793758426372234e-10
t40,0.0,5.093170329928398e-11,5.093170329928398e-11,0.0,4.228453418807753e-11,0.0,0.0,1.441479407866455e-10
t41,0.0,5.184119800105691e-11,5.093170329928398e-11,0.0,4.225126510733349e-11,0.0,0.0,1.4502416640767438e-10
