Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,2.8997542764773224e7,1.707023406776704e7,7.320263136165047e7,6.243783140596004e6,8.66106300591769e-7,4.1383454029236836e6,0.0,1.2965253673771128e8
t1,5.048660457517506e-10,0.0,17699.43145375166,3.889304296415825e-11,9.242195022399697e-11,1.8965415869042418e-10,0.0,17699.431453752484
t2,4.317044243957452e-10,0.0,17756.237055218444,260.66348784927186,8.168741091330148e-11,1.6504394477933073e-10,0.0,18016.900543068394
t3,3.9842674397988625e-10,0.0,18092.301312640386,178.92761401500962,7.50732664878206e-11,1.5333613493000859e-10,0.0,18271.228926656026
t4,3.808470544305583e-10,0.0,16496.29429430604,292.67298580890525,6.297950290931702e-11,1.470406723763094e-10,0.0,16788.967280115536
t5,3.7602617538197465e-10,0.0,16517.33682407766,219.73189818397125,5.025632695181192e-11,1.4407551442752583e-10,0.0,16737.068722262204
t6,3.78468449340664e-10,0.0,14329.333014974358,415.1153012115209,3.798901111676799e-11,1.436834644434308e-10,0.0,14744.44831618644
t7,3.886816620006632e-10,0.0,14092.543858764851,378.8256029573762,2.740617114039432e-11,1.4577150362797288e-10,0.0,14471.36946172279
t8,4.110079043017333e-10,0.0,14533.555491803087,291.650360573413,2.0036560157705545e-11,1.5080063386890203e-10,0.0,14825.205852377081
t9,4.6006073525995994e-10,0.0,12646.442416872049,458.49259016481363,1.469721153492104e-11,1.6017719075613723e-10,0.0,13104.935007037497
t10,1180.1742071990864,0.0,10100.85879279976,1.2420242570258611e-9,1.1739909030574116e-11,1.924175040473733e-10,0.0,11281.033000000292
t11,4798.168107150049,0.0,6845.963892849566,5.627098440744528e-10,8.04744263488495e-12,2.0639454460763725e-10,0.0,11644.13200000039
t12,6394.392405452498,0.0,5767.079594547421,3.863641020023656e-10,6.762771668561248e-12,2.1877074846252838e-10,0.0,12161.472000000529
t13,7153.888944914764,109.70058374992678,5321.453471335665,2.906899694353715e-10,5.243740873740942e-12,2.3106861043431027e-10,0.0,12585.043000000884
t14,7457.91314613255,1687.9356588662492,3033.384838704551,1018.7913562966969,4.29588478271852e-12,2.49967703723342e-10,0.0,13198.025000000298
t15,7428.641506145558,3794.579906035229,2553.8807061258135,2.0902511086362617e-10,6.0164130779922875e-12,2.5781581134119436e-10,0.0,13777.102118307073
t16,6606.747000353647,6184.471334659999,2022.2565591363507,2.090339677040793e-10,1.0669060794588327e-11,2.754792732884154e-10,0.0,14813.474894150493
t17,7068.562349163693,6039.458161945665,2136.920590839961,2.0903356063079159e-10,1.537605705268954e-11,3.0187362616702925e-10,0.0,15244.941101949844
t18,7428.601759915383,4289.489344208413,2783.208769533033,2.090319911939368e-10,1.925897181266411e-11,3.5323420249392486e-10,0.0,14501.29987365741
t19,7457.913146135773,2529.4508020080975,3510.282970562761,524.0091565838569,2.9751870908189804e-11,126.43192470961314,0.0,14148.088000000133
t20,7457.91314613577,976.169143942531,3335.6809222868114,2054.2928629249827,3.4099243020026533e-11,126.43192470997798,0.0,13950.488000000109
t21,7457.913146135694,246.62446192585713,3557.19098353242,2787.281483695999,4.874223025807806e-11,126.43192471007272,0.0,14175.442000000092
t22,7457.913146135777,9.140445806119436,4620.439277511347,2937.4202058366873,4.6581865897194e-11,126.43192471011731,0.0,15151.345000000096
t23,7457.9131461358,0.0,3406.0429417412993,4817.733987412835,6.296118940091742e-11,126.43192471013015,0.0,15808.122000000129
t24,7457.913146135777,0.0,3958.5150944950556,3952.3738346590494,8.708638237014125e-11,126.43192471011737,0.0,15495.234000000088
t25,7457.913146135787,0.0,3640.5830065895916,3737.9829225645144,1.4486140486666532e-10,126.43192471007288,0.0,14962.911000000113
t26,7457.913146135759,0.0,5196.365436749931,1597.7594924042676,1.730985610500561e-10,126.43192470997813,0.0,14378.470000000108
t27,7457.9131461357265,0.0,5662.839565725979,436.21836342852527,2.0173767416952664e-10,126.43192470961364,0.0,13683.403000000046
t28,6397.086213791092,0.0,6460.275786210153,4.64116919753155e-11,1.9784219553334266e-10,3.541409516199262e-10,0.0,12857.362000001845
t29,3483.9396301553634,0.0,8571.136369844786,2.3226873445900394e-10,2.1088336249627318e-10,3.030656613665251e-10,0.0,12055.076000000898
t30,2147.483436330713,0.0,9272.150563669127,2.8240312085416616e-10,2.1536211724317235e-10,2.7695254787833503e-10,0.0,11419.634000000613
t31,2735.741723103957,0.0,8234.962276895565,3.980888603751749e-10,2.3145829512591043e-10,2.596272229076262e-10,0.0,10970.70400000041
t32,1667.1527778049272,0.0,9626.566661662097,2.0865857378972924e-10,2.419245365415842e-10,2.443450128677998e-10,0.0,11293.719439467719
t33,1667.1527778045859,0.0,10429.214883587365,2.343247870232153e-10,2.4229221782977913e-10,2.357126255948349e-10,0.0,12096.367661392664
t34,1667.152777804426,0.0,9480.630621312048,2.3432474061375074e-10,2.337511200477006e-10,2.2987425409047085e-10,0.0,11147.783399117172
t35,2805.504752645627,0.0,8128.116247353567,7.029791695166571e-10,2.3194716884470684e-10,2.2863702100136304e-10,0.0,10933.621000000358
t36,3334.305555607033,0.0,7348.922031913128,746.5174124796085,2.392462510159627e-10,2.268757806577407e-10,0.0,11429.745000000237
t37,3334.305555606714,67.04516998796495,7716.368133508787,891.2571408963018,2.4481147663384607e-10,2.234402427331425e-10,0.0,12008.976000000237
t38,3334.305555606036,466.81780139562704,8513.804353992982,502.9432890050967,2.460705615262551e-10,2.1952114391396243e-10,0.0,12817.871000000207
t39,2612.5524757905296,2521.529082309419,8831.736441898443,1.3399809104677387e-9,2.444622374203643e-10,2.1337980462560916e-10,0.0,13965.818000000188
t40,1637.9382800573383,3792.9041576374243,10087.828789197063,1.7958847565154342e-10,2.359841312568586e-10,2.0258740668680505e-10,0.0,15518.671226892444
t41,1637.9382800572039,4863.113254848751,11372.587144421599,2.829154863008711e-10,2.355818764341673e-10,1.9897562628562884e-10,0.0,17873.638679328273
t42,1637.9382800571545,6254.791831061851,11672.277227283306,2.8291582753910534e-10,2.3543262768286715e-10,1.9664860951954077e-10,0.0,19565.00733840303
t43,1637.9382800571238,4969.599448490226,12646.92149676399,2.8291555483801264e-10,2.357886762801328e-10,1.9536936588196756e-10,0.0,19254.459225312054
t44,1637.9382800571445,3322.018857858031,14293.913952143108,2.829153953576964e-10,2.335386351148518e-10,1.9501817305666142e-10,0.0,19253.871090058994
t45,1637.938280057138,1117.4347338763075,13160.303638709694,2.8291494331145906e-10,2.3199589477953945e-10,1.9555985315561799e-10,0.0,15915.676652643853
t46,1637.9382800571789,79.21719698645282,14187.067922601109,2.829149377195593e-10,2.3175656777556808e-10,1.970509011618543e-10,0.0,15904.22339964545
t47,1637.9382800571439,0.0,15216.438207213057,2.829149328591784e-10,2.0354545565317852e-10,1.996406099762512e-10,0.0,16854.37648727089
t48,1637.9382800571525,0.0,15028.806155334425,2.829152168323738e-10,1.8455316614836252e-10,2.0360617729963273e-10,0.0,16666.74443539225
t49,1637.9382800571518,0.0,14869.840111381694,2.829159373195516e-10,1.6610995294335423e-10,2.0939910955277e-10,0.0,16507.778391439508
t50,1637.9382800573082,0.0,13470.41772445355,2.82915980709132e-10,1.3619708396777429e-10,2.1779342153973619e-10,0.0,15108.356004511495
t51,1639.7316768840506,0.0,12018.875323114682,1.219067708988081e-9,1.390622443365388e-10,2.3572743029635555e-10,0.0,13658.607000000326
t52,2467.1721228968827,0.0,10405.760877102539,5.903238168747505e-10,1.1964346916255548e-10,2.5000140770027333e-10,0.0,12872.933000000383
t53,3261.9735523369823,0.0,8852.584447662737,4.0879780402545025e-10,1.0466560293662275e-10,2.681368845936206e-10,0.0,12114.558000000501
t54,5596.202364382024,0.0,5915.621635618007,3.139038431260649e-10,8.95702555533852e-11,2.941611527596566e-10,0.0,11511.824000000728
t55,6439.765701594027,0.0,4696.013298406885,2.435414039772645e-10,7.923506815776578e-11,3.411137996738289e-10,0.0,11135.779000001578
t56,7457.9131461357165,0.0,2835.3287839437876,2.0752312631409375e-9,9.006495016880722e-11,663.5550699184391,0.0,10956.79700000011
