BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2340875359711674e8,6.243783140596004e6,-7.376870440212435e6,0.0,0.0,0.0,3.433680454286361e-10,0.0,0.0,-1.222756662975001e8
t1,17699.431453752444,3.889304296415825e-11,-2631.4264537524828,0.0,0.0,0.0,3.914727361557787e-14,0.0,0.0,-15068.005000000001
t2,17756.23705521912,260.66348784927186,-3618.6565430683913,0.0,0.0,0.0,3.9147273611545365e-14,0.0,0.0,-14398.244
t3,18092.301312641015,178.92761401500962,-4498.436926656024,0.0,0.0,0.0,3.914727360731899e-14,0.0,0.0,-13772.792
t4,16496.29429430663,292.67298580890525,-3682.5142801155357,0.0,0.0,0.0,3.914727361038214e-14,0.0,0.0,-13106.453
t5,16517.336824078233,219.73189818397125,-4219.901722262203,0.0,0.0,0.0,3.914727360834004e-14,0.0,0.0,-12517.167
t6,14329.333014974918,415.1153012115209,-2802.987316186442,0.0,0.0,0.0,3.91472736121399e-14,0.0,0.0,-11941.461
t7,14092.543858765413,378.8256029573762,-2965.4524617227926,0.0,0.0,0.0,3.91472736122433e-14,0.0,0.0,-11505.917
t8,14533.555491803669,291.650360573413,-3581.704852377082,0.0,0.0,0.0,3.914727361166169e-14,0.0,0.0,-11243.501
t9,12646.442416872684,458.49259016481363,-1938.8440070375004,0.0,0.0,0.0,3.9147273617516575e-14,0.0,0.0,-11166.091
t10,11281.03299999905,1.2420242570258611e-9,-2.9586826211452e-10,0.0,0.0,0.0,3.918771766908219e-14,0.0,0.0,-11281.033
t11,11644.131999999829,5.627098440744528e-10,-3.889322614494338e-10,0.0,0.0,0.0,3.9187717697542375e-14,0.0,0.0,-11644.132
t12,12161.472000000143,3.863641020023656e-10,-5.30588869578669e-10,0.0,0.0,0.0,3.918771766060359e-14,0.0,0.0,-12161.472
t13,12585.043000000593,2.906899694353715e-10,-8.841116894252377e-10,0.0,0.0,0.0,3.918771769799474e-14,0.0,0.0,-12585.043
t14,12179.233643703603,1018.7913562966969,-2.0903398927186748e-10,0.0,0.0,0.0,3.919506592134589e-14,0.0,0.0,-13198.025
t15,13777.102118306864,2.0902511086362617e-10,-25.669118307070352,0.0,0.0,0.0,3.9187717505197034e-14,0.0,0.0,-13751.433
