Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,1115.7037643597146,0.0,0.0,0.0,0.0,231.9749876642889,0.0,1347.6787520240034
t1,14.915826292269653,0.0,0.0,0.0,0.0,0.15935562660968572,0.0,15.07518191887934
t2,3.077048815758443e-13,0.0,0.0,0.0,0.0,2.149379583498397e-13,0.0,5.22642839925684e-13
t3,1.6853043798487298e-13,0.0,0.0,0.0,0.0,1.3647705115306973e-13,0.0,3.050074891379427e-13
t4,1.2099765499885383e-13,0.0,0.0,0.0,0.0,1.0635136174798319e-13,0.0,2.2734901674683702e-13
t5,9.654490556318777e-14,0.0,0.0,0.0,0.0,9.030514942142581e-14,0.0,1.8685005498461358e-13
t6,8.104138910342198e-14,0.0,0.0,0.0,0.0,8.01213469386775e-14,0.0,1.6116273604209948e-13
t7,7.002913136299251e-14,0.0,0.0,0.0,0.0,7.255807363163359e-14,0.0,1.425872049946261e-13
t8,6.132993158120613e-14,0.0,0.0,0.0,0.0,6.610731468704865e-14,0.0,1.2743724626825478e-13
t9,5.397655461116898e-14,0.0,0.0,0.0,0.0,5.996460430859954e-14,0.0,1.1394115891976852e-13
t10,4.6647929064693255e-14,0.0,0.0,0.0,0.0,5.3654914438582066e-14,0.0,1.0030284350327532e-13
t11,4.8119578258490775e-14,0.0,0.0,0.0,0.0,5.793785800752962e-14,0.0,1.0605743626602039e-13
t12,4.913620025991703e-14,0.0,0.0,0.0,0.0,6.10713244071068e-14,0.0,1.1020752466702383e-13
t13,5.007311887236739e-14,0.0,0.0,0.0,0.0,6.299364631900629e-14,0.0,1.1306676519137368e-13
t14,5.0743690561224954e-14,0.0,0.0,0.0,0.0,6.34732119037229e-14,0.0,1.1421690246494786e-13
t15,5.6239278418374526e-14,0.0,0.0,0.0,0.0,6.523705698658207e-14,0.0,1.214763354049566e-13
t16,4.312333752682948e-14,0.0,0.0,0.0,0.0,6.26811464457755e-14,0.0,1.0580448397260498e-13
t17,3.3566708383391034e-14,0.0,0.0,0.0,0.0,5.915811658034387e-14,0.0,9.272482496373491e-14
t18,2.6697025837663528e-14,0.0,0.0,0.0,0.0,5.4855954146368145e-14,0.0,8.155297998403167e-14
t19,2.1547443779081763e-14,0.0,0.0,0.0,0.0,4.9072175193011726e-14,0.0,7.061961897209349e-14
t20,2.4227589905179506e-14,0.0,0.0,0.0,0.0,5.730773809808207e-14,0.0,8.153532800326157e-14
t21,2.7021472646534704e-14,0.0,0.0,0.0,0.0,6.76024001739842e-14,0.0,9.46238728205189e-14
t22,2.9472249794506567e-14,0.0,0.0,0.0,0.0,8.18884602956821e-14,0.0,1.1136071009018867e-13
t23,3.219128897449066e-14,0.0,0.0,0.0,0.0,1.0272898175071238e-13,0.0,1.3492027072520305e-13
t24,3.6262933924439675e-14,0.0,0.0,0.0,0.0,1.2841126765054406e-13,0.0,1.6467420157498374e-13
t25,4.406339978607734e-14,0.0,0.0,0.0,0.0,1.7121503471645496e-13,0.0,2.152784345025323e-13
t26,5.893412947203121e-14,0.0,0.0,0.0,0.0,2.568225641860283e-13,0.0,3.1575669365805953e-13
t27,1.0330334859095002e-13,0.0,0.0,0.0,0.0,5.136448845967602e-13,0.0,6.169482331877103e-13
