Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,1115.703764359669,0.0,0.0,0.0,0.0,231.9749876641881,0.0,1347.6787520238572
t1,2.08437195422739e-14,0.0,0.0,0.0,0.0,4.3683855487799995e-14,0.0,6.45275750300739e-14
t2,2.6782495218430207e-14,0.0,0.0,0.0,0.0,5.1619226104896096e-14,0.0,7.84017213233263e-14
t3,3.577519804378059e-14,0.0,0.0,0.0,0.0,5.798532557175342e-14,0.0,9.376052361553401e-14
t4,5.097181768234386e-14,0.0,0.0,0.0,0.0,6.414606606420134e-14,0.0,1.151178837465452e-13
t5,7.727405289605914e-14,0.0,0.0,0.0,0.0,7.042545432927383e-14,0.0,1.4769950722533297e-13
t6,9.075739582123947e-14,0.0,0.0,0.0,0.0,7.748828523778798e-14,0.0,1.6824568105902745e-13
t7,1.106850369332409e-13,0.0,0.0,0.0,0.0,8.65640280786494e-14,0.0,1.972490650118903e-13
t8,1.5033928107970998e-13,0.0,0.0,0.0,0.0,9.983134857666729e-14,0.0,2.5017062965637727e-13
t9,2.4910470448478194e-13,0.0,0.0,0.0,0.0,1.2259519365464013e-13,0.0,3.7169989813942207e-13
t10,3.7244043923234593,0.0,0.0,0.0,0.0,1.734428619193234e-13,0.0,3.724404392323633
t11,7.093383741963024,0.0,0.0,0.0,0.0,1.5144534958360813e-13,0.0,7.093383741963176
t12,2.401952270151393,0.0,0.0,0.0,0.0,1.4437721889954445e-13,0.0,2.4019522701515372
t13,1.1994788892635315,0.0,0.0,0.0,0.0,1.455632328112744e-13,0.0,1.1994788892636772
t14,0.4966069985621109,0.0,0.0,0.0,0.0,1.543562855057326e-13,0.0,0.49660699856226526
t15,4.860225506799904e-13,0.0,0.0,0.0,0.0,1.5386147368778899e-13,0.0,6.398840243677794e-13
t16,5.87627419649871e-13,0.0,0.0,0.0,0.0,1.8114447934856152e-13,0.0,7.687718989984326e-13
t17,7.670046561548592e-13,0.0,0.0,0.0,0.0,2.360714398938266e-13,0.0,1.0030760960486858e-12
t18,1.1834623772516265e-12,0.0,0.0,0.0,0.0,3.885475174396845e-13,0.0,1.572009894691311e-12
t19,3.236820159346399e-12,0.0,0.0,0.0,0.0,0.25286384941792434,0.0,0.25286384942116114
t20,1.0405000719417411e-13,0.0,0.0,0.0,0.0,5.136448590060668e-13,0.0,6.17694866200241e-13
t21,5.859817605629705e-14,0.0,0.0,0.0,0.0,2.5682265491316246e-13,0.0,3.154208309694595e-13
t22,4.396212991881594e-14,0.0,0.0,0.0,0.0,1.7121511127501918e-13,0.0,2.1517724119383512e-13
t23,3.685348043218008e-14,0.0,0.0,0.0,0.0,1.2841132013153502e-13,0.0,1.652648005637151e-13
t24,3.24288966158509e-14,0.0,0.0,0.0,0.0,1.0272903301825522e-13,0.0,1.3515792963410613e-13
t25,2.912293585822769e-14,0.0,0.0,0.0,0.0,8.189673573959287e-14,0.0,1.1101967159782056e-13
t26,2.664116091440931e-14,0.0,0.0,0.0,0.0,6.762014684371522e-14,0.0,9.426130775812453e-14
t27,2.4316090426473933e-14,0.0,0.0,0.0,0.0,5.733811189208723e-14,0.0,8.165420231856117e-14
t28,2.1618625419060762e-14,0.0,0.0,0.0,0.0,4.911272163727164e-14,0.0,7.07313470563324e-14
t29,2.62989395070554e-14,0.0,0.0,0.0,0.0,5.495583732122642e-14,0.0,8.125477682828182e-14
t30,3.276226478780714e-14,0.0,0.0,0.0,0.0,5.943638900741139e-14,0.0,9.219865379521853e-14
t31,4.159279594408388e-14,0.0,0.0,0.0,0.0,6.334702365033207e-14,0.0,1.0493981959441595e-13
t32,5.2821957457599976e-14,0.0,0.0,0.0,0.0,6.660214888252844e-14,0.0,1.1942410634012841e-13
t33,5.488402751733049e-14,0.0,0.0,0.0,0.0,7.122630521075296e-14,0.0,1.2611033272808345e-13
t34,5.71136445780674e-14,0.0,0.0,0.0,0.0,7.552037446542593e-14,0.0,1.3263401904349332e-13
t35,5.953208670518711e-14,0.0,0.0,0.0,0.0,7.951649484047713e-14,0.0,1.3904858154566425e-13
t36,5.953208146028042e-14,0.0,0.0,0.0,0.0,8.037421719633933e-14,0.0,1.3990629865661975e-13
t37,5.711368148094682e-14,0.0,0.0,0.0,0.0,7.923932645176093e-14,0.0,1.3635300793270775e-13
t38,5.4884091855076644e-14,0.0,0.0,0.0,0.0,7.753464787613444e-14,0.0,1.324187397312111e-13
t39,5.282204548004738e-14,0.0,0.0,0.0,0.0,7.526618705079989e-14,0.0,1.2808823253084728e-13
