Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,2420.9123374523247,0.0,0.0,0.0
t2,0.0,0.0,0.0,5466.74647897821,0.0,0.0,0.0
t3,0.0,0.0,0.0,9410.821914528917,0.0,0.0,0.0
t4,0.0,0.0,0.0,12480.612241573357,0.0,0.0,0.0
t5,0.0,0.0,0.0,16124.082806289398,0.0,0.0,0.0
t6,0.0,0.0,0.0,18251.618853255357,0.0,0.0,0.0
t7,0.0,0.0,0.0,20568.06815830414,0.0,0.0,0.0
t8,0.0,0.0,0.0,23546.225360998214,0.0,0.0,0.0
t9,0.0,0.0,0.0,24831.600336424002,0.0,0.0,0.0
t10,0.0,0.0,0.0,24831.600336422925,0.0,0.0,0.0
t11,0.0,0.0,0.0,24831.60033642267,0.0,0.0,0.0
t12,0.0,0.0,0.0,24831.60033642281,0.0,0.0,0.0
t13,0.0,0.0,0.0,24831.600336423307,0.0,0.0,0.0
t14,0.0,0.0,0.0,23724.21842740535,0.0,0.0,0.0
t15,0.0,0.0,0.0,23747.83401624763,0.0,0.0,0.0
t16,0.0,0.0,0.0,24123.393558865853,0.0,0.0,0.0
t17,0.0,0.0,0.0,24733.12089265942,0.0,0.0,0.0
t18,0.0,0.0,0.0,24831.600336424013,0.0,0.0,0.0
t19,0.0,0.0,0.0,24262.025166224263,0.0,0.0,0.0
t20,0.0,0.0,0.0,22029.098141305898,0.0,0.0,0.0
t21,0.0,0.0,0.0,18999.44435467991,0.0,0.0,0.0
t22,0.0,0.0,0.0,15806.59630485751,0.0,0.0,0.0
t23,0.0,0.0,0.0,10569.928927234958,0.0,0.0,0.0
t24,0.0,0.0,0.0,6273.870411301304,0.0,0.0,0.0
t25,0.0,0.0,0.0,2210.845495470403,0.0,0.0,0.0
t26,0.0,0.0,0.0,474.1503950310756,0.0,0.0,0.0
t27,0.0,0.0,0.0,1.0850510632243689e-10,0.0,0.0,0.0
t28,0.0,0.0,0.0,1.7540066374318205e-9,0.0,0.0,0.0
t29,0.0,0.0,0.0,2.3226454811383835e-9,0.0,0.0,0.0
t30,0.0,0.0,0.0,2.5829630659194016e-9,0.0,0.0,0.0
t31,0.0,0.0,0.0,2.5319900166975924e-9,0.0,0.0,0.0
t32,0.0,0.0,0.0,518.9908043126072,0.0,0.0,0.0
t33,0.0,0.0,0.0,1880.031132793604,0.0,0.0,0.0
t34,0.0,0.0,0.0,2326.867219981148,0.0,0.0,0.0
t35,0.0,0.0,0.0,2326.8672199807074,0.0,0.0,0.0
t36,0.0,0.0,0.0,1515.435249894392,0.0,0.0,0.0
t37,0.0,0.0,0.0,546.677488050771,0.0,0.0,0.0
t38,0.0,0.0,0.0,1.9414163487216922e-9,0.0,0.0,0.0
t39,0.0,0.0,0.0,6.631353244301863e-10,0.0,0.0,0.0
t40,0.0,0.0,0.0,881.9296887415243,0.0,0.0,0.0
t41,0.0,0.0,0.0,3632.8094337232333,0.0,0.0,0.0
t42,0.0,0.0,0.0,7868.883505053744,0.0,0.0,0.0
t43,0.0,0.0,0.0,12249.12423234053,0.0,0.0,0.0
t44,0.0,0.0,0.0,16978.269315194502,0.0,0.0,0.0
t45,0.0,0.0,0.0,18873.27855562653,0.0,0.0,0.0
t46,0.0,0.0,0.0,20060.30892330004,0.0,0.0,0.0
t47,0.0,0.0,0.0,21316.167331589015,0.0,0.0,0.0
t48,0.0,0.0,0.0,22565.858932149546,0.0,0.0,0.0
t49,0.0,0.0,0.0,24089.53017227358,0.0,0.0,0.0
t50,0.0,0.0,0.0,24831.600336423864,0.0,0.0,0.0
t51,0.0,0.0,0.0,24831.600336422816,0.0,0.0,0.0
t52,0.0,0.0,0.0,24831.60033642262,0.0,0.0,0.0
t53,0.0,0.0,0.0,24831.600336422638,0.0,0.0,0.0
t54,0.0,0.0,0.0,24831.60033642297,0.0,0.0,0.0
t55,0.0,0.0,0.0,24831.600336424155,0.0,0.0,0.0
t56,0.0,0.0,0.0,24831.600336422005,0.0,0.0,0.0
t57,0.0,0.0,0.0,24831.60033642098,0.0,0.0,0.0
t58,0.0,0.0,0.0,24831.600336420295,0.0,0.0,0.0
t59,0.0,0.0,0.0,24831.600336419757,0.0,0.0,0.0
t60,0.0,0.0,0.0,24831.60033641931,0.0,0.0,0.0
t61,0.0,0.0,0.0,24831.600336418927,0.0,0.0,0.0
t62,0.0,0.0,0.0,24829.70901518302,0.0,0.0,0.0
t63,0.0,0.0,0.0,24826.199637250556,0.0,0.0,0.0
t64,0.0,0.0,0.0,24584.216097041222,0.0,0.0,0.0
t65,0.0,0.0,0.0,24584.216097040884,0.0,0.0,0.0
t66,0.0,0.0,0.0,24584.216097040546,0.0,0.0,0.0
t67,0.0,0.0,0.0,24584.216097040196,0.0,0.0,0.0
t68,0.0,0.0,0.0,24584.216097039858,0.0,0.0,0.0
t69,0.0,0.0,0.0,24584.21609703952,0.0,0.0,0.0
t70,0.0,0.0,0.0,23319.152292778523,0.0,0.0,0.0
t71,0.0,0.0,0.0,21304.254137215074,0.0,0.0,0.0
t72,0.0,0.0,0.0,20934.392201303694,0.0,0.0,0.0
t73,0.0,0.0,0.0,20934.392201303355,0.0,0.0,0.0
t74,0.0,0.0,0.0,20751.33535400375,0.0,0.0,0.0
t75,0.0,0.0,0.0,20751.33535400341,0.0,0.0,0.0
t76,0.0,0.0,0.0,20751.335354003073,0.0,0.0,0.0
t77,0.0,0.0,0.0,20751.335354002727,0.0,0.0,0.0
t78,0.0,0.0,0.0,21015.200651473762,0.0,0.0,0.0
t79,0.0,0.0,0.0,21015.200651473424,0.0,0.0,0.0
t80,0.0,0.0,0.0,21015.200651473086,0.0,0.0,0.0
t81,0.0,0.0,0.0,21015.200651472747,0.0,0.0,0.0
t82,0.0,0.0,0.0,21015.200651472405,0.0,0.0,0.0
t83,0.0,0.0,0.0,21015.200651472067,0.0,0.0,0.0
t84,0.0,0.0,0.0,19578.15936213882,0.0,0.0,0.0
t85,0.0,0.0,0.0,16893.44020961649,0.0,0.0,0.0
t86,0.0,0.0,0.0,13885.575671900979,0.0,0.0,0.0
t87,0.0,0.0,0.0,12393.186686178178,0.0,0.0,0.0
t88,0.0,0.0,0.0,12184.885183801533,0.0,0.0,0.0
t89,0.0,0.0,0.0,12184.885183801192,0.0,0.0,0.0
t90,0.0,0.0,0.0,12184.885183800852,0.0,0.0,0.0
t91,0.0,0.0,0.0,12184.885183800512,0.0,0.0,0.0
t92,0.0,0.0,0.0,12184.88518380017,0.0,0.0,0.0
t93,0.0,0.0,0.0,12184.88518379983,0.0,0.0,0.0
t94,0.0,0.0,0.0,12184.88518379949,0.0,0.0,0.0
t95,0.0,0.0,0.0,11292.431997580366,0.0,0.0,0.0
t96,0.0,0.0,0.0,10502.579856025239,0.0,0.0,0.0
t97,0.0,0.0,0.0,9959.589569176702,0.0,0.0,0.0
t98,0.0,0.0,0.0,9947.902465661298,0.0,0.0,0.0
t99,0.0,0.0,0.0,9947.902465660958,0.0,0.0,0.0
t100,0.0,0.0,0.0,9947.902465660618,0.0,0.0,0.0
t101,0.0,0.0,0.0,10158.134736557686,0.0,0.0,0.0
t102,0.0,0.0,0.0,10717.282459839436,0.0,0.0,0.0
t103,0.0,0.0,0.0,10717.282459839409,0.0,0.0,0.0
t104,0.0,0.0,0.0,11053.237993533477,0.0,0.0,0.0
t105,0.0,0.0,0.0,11339.329519272787,0.0,0.0,0.0
t106,0.0,0.0,0.0,11339.329519272447,0.0,0.0,0.0
t107,0.0,0.0,0.0,11408.028947743973,0.0,0.0,0.0
