Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-4.3314283844348005e-14,0.0,0.0,0.0
t2,0.0,0.0,0.0,-3.7968726264940264e-14,0.0,0.0,0.0
t3,0.0,0.0,0.0,-3.6268128930234646e-14,0.0,0.0,0.0
t4,0.0,0.0,0.0,-3.56422367008129e-14,0.0,0.0,0.0
t5,0.0,0.0,0.0,-3.5549527843325945e-14,0.0,0.0,0.0
t6,0.0,0.0,0.0,-3.5266958927399884e-14,0.0,0.0,0.0
t7,0.0,0.0,0.0,-3.6303233012144115e-14,0.0,0.0,0.0
t8,0.0,0.0,0.0,-3.841118123300256e-14,0.0,0.0,0.0
t9,0.0,0.0,0.0,-4.692316945879787e-14,0.0,0.0,0.0
t10,0.0,0.0,0.0,-48.1993743059646,0.0,0.0,0.0
t11,0.0,0.0,0.0,-50.228869526516874,0.0,0.0,0.0
t12,0.0,0.0,0.0,-51.87754509342208,0.0,0.0,0.0
t13,0.0,0.0,0.0,-53.70180326254339,0.0,0.0,0.0
t14,0.0,0.0,0.0,-56.08140362941463,0.0,0.0,0.0
t15,0.0,0.0,0.0,-56.08140362941464,0.0,0.0,0.0
t16,0.0,0.0,0.0,-56.081403629414645,0.0,0.0,0.0
t17,0.0,0.0,0.0,-56.081403629414666,0.0,0.0,0.0
t18,0.0,0.0,0.0,-56.08140362941481,0.0,0.0,0.0
t19,0.0,0.0,0.0,-114.99248765400898,0.0,0.0,0.0
t20,0.0,0.0,0.0,-114.992487654009,0.0,0.0,0.0
t21,0.0,0.0,0.0,-114.99248765400901,0.0,0.0,0.0
t22,0.0,0.0,0.0,-114.99248765400901,0.0,0.0,0.0
t23,0.0,0.0,0.0,-114.99248765400901,0.0,0.0,0.0
t24,0.0,0.0,0.0,-114.99248765400901,0.0,0.0,0.0
t25,0.0,0.0,0.0,-114.99248765400901,0.0,0.0,0.0
t26,0.0,0.0,0.0,-114.99248765400898,0.0,0.0,0.0
t27,0.0,0.0,0.0,-86.05328330358473,0.0,0.0,0.0
t28,0.0,0.0,0.0,-55.75344808102061,0.0,0.0,0.0
t29,0.0,0.0,0.0,-54.27076589800979,0.0,0.0,0.0
t30,0.0,0.0,0.0,-53.07280795081631,0.0,0.0,0.0
t31,0.0,0.0,0.0,-51.12258225950657,0.0,0.0,0.0
t32,0.0,0.0,0.0,-50.02877322084371,0.0,0.0,0.0
t33,0.0,0.0,0.0,-50.02877322084369,0.0,0.0,0.0
t34,0.0,0.0,0.0,-50.02877322084368,0.0,0.0,0.0
t35,0.0,0.0,0.0,-50.028773220843675,0.0,0.0,0.0
t36,0.0,0.0,0.0,-50.02877322084367,0.0,0.0,0.0
t37,0.0,0.0,0.0,-50.02877322084365,0.0,0.0,0.0
t38,0.0,0.0,0.0,-48.34159240964119,0.0,0.0,0.0
t39,0.0,0.0,0.0,-44.84177076209198,0.0,0.0,0.0
t40,0.0,0.0,0.0,-41.434842301998295,0.0,0.0,0.0
t41,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t42,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t43,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t44,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t45,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t46,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t47,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t48,0.0,0.0,0.0,-41.43484230199827,0.0,0.0,0.0
t49,0.0,0.0,0.0,-41.43484230199828,0.0,0.0,0.0
t50,0.0,0.0,0.0,-41.434842301998295,0.0,0.0,0.0
t51,0.0,0.0,0.0,-48.31582768647092,0.0,0.0,0.0
t52,0.0,0.0,0.0,-50.245629340565024,0.0,0.0,0.0
t53,0.0,0.0,0.0,-51.986605326185654,0.0,0.0,0.0
t54,0.0,0.0,0.0,-53.559526167583286,0.0,0.0,0.0
t55,0.0,0.0,0.0,-55.3530414669271,0.0,0.0,0.0
t56,0.0,0.0,0.0,-108.39676188100758,0.0,0.0,0.0
t57,0.0,0.0,0.0,-109.12059819290981,0.0,0.0,0.0
t58,0.0,0.0,0.0,-109.71478820095494,0.0,0.0,0.0
t59,0.0,0.0,0.0,-110.30368194736394,0.0,0.0,0.0
t60,0.0,0.0,0.0,-110.8917991299534,0.0,0.0,0.0
t61,0.0,0.0,0.0,-111.50955980147886,0.0,0.0,0.0
