Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,3.093636786615589e-14,0.0,0.0,0.0,0.0,26.847832115262666,0.0
t2,2.914209229353751e-14,0.0,0.0,0.0,0.0,26.79538757298969,0.0
t3,2.802417071037029e-14,0.0,0.0,0.0,0.0,26.795387572989668,0.0
t4,2.7364403645219475e-14,0.0,0.0,0.0,0.0,26.79538757298967,0.0
t5,2.7062158116209855e-14,0.0,0.0,0.0,0.0,26.79538757298967,0.0
t6,2.7069324145179336e-14,0.0,0.0,0.0,0.0,26.795387572989664,0.0
t7,2.7404764677520234e-14,0.0,0.0,0.0,0.0,26.795387572989668,0.0
t8,2.8094214657637764e-14,0.0,0.0,0.0,0.0,26.79538757298966,0.0
t9,2.922950139332433e-14,0.0,0.0,0.0,0.0,26.795387572989686,0.0
t10,3.1037750424051385e-14,0.0,0.0,0.0,0.0,26.80029723902501,0.0
t11,3.232983674043497e-14,0.0,0.0,0.0,0.0,26.805158314389796,0.0
t12,3.329760938640221e-14,0.0,0.0,0.0,0.0,26.80999401643146,0.0
t13,3.400266215728104e-14,0.0,0.0,0.0,0.0,26.814818390132192,0.0
t14,3.450318188479682e-14,0.0,0.0,0.0,0.0,26.819637953154313,0.0
t15,3.490329964892854e-14,0.0,0.0,0.0,0.0,26.824445543065195,0.0
t16,3.5224558840452535e-14,0.0,0.0,0.0,0.0,26.829265379667035,0.0
t17,3.5486103239875066e-14,0.0,0.0,0.0,0.0,26.834109422451395,0.0
t18,3.572069914268119e-14,0.0,0.0,0.0,0.0,26.838997431688863,0.0
t19,3.5935142848456507e-14,0.0,0.0,0.0,0.0,26.8438951188702,0.0
t20,3.615206203139449e-14,0.0,0.0,0.0,0.0,26.848787292455942,0.0
t21,3.6437796032130254e-14,0.0,0.0,0.0,0.0,26.85365968248074,0.0
t22,3.660606909683236e-14,0.0,0.0,0.0,0.0,26.858537021309996,0.0
t23,3.6643247559183874e-14,0.0,0.0,0.0,0.0,26.863365241175003,0.0
t24,3.641560775379663e-14,0.0,0.0,0.0,0.0,26.863365241175025,0.0
t25,3.6305170524711674e-14,0.0,0.0,0.0,0.0,26.863365241175035,0.0
t26,3.62312535284371e-14,0.0,0.0,0.0,0.0,26.86336524117505,0.0
t27,3.618528930551008e-14,0.0,0.0,0.0,0.0,26.863365241175067,0.0
t28,3.616329055039774e-14,0.0,0.0,0.0,0.0,26.86336524117508,0.0
t29,3.613208902073537e-14,0.0,0.0,0.0,0.0,26.863365241175106,0.0
t30,3.610260229679592e-14,0.0,0.0,0.0,0.0,26.863365241175128,0.0
t31,3.6069590246900844e-14,0.0,0.0,0.0,0.0,26.863365241175142,0.0
t32,3.6057131626917195e-14,0.0,0.0,0.0,0.0,26.86336524117516,0.0
t33,3.605624648228884e-14,0.0,0.0,0.0,0.0,26.863365241175174,0.0
t34,3.606517181481333e-14,0.0,0.0,0.0,0.0,26.86336524117519,0.0
t35,3.60786026605929e-14,0.0,0.0,0.0,0.0,26.86336524117521,0.0
t36,3.6093472344144477e-14,0.0,0.0,0.0,0.0,26.863365241175227,0.0
t37,3.61225368453337e-14,0.0,0.0,0.0,0.0,26.863365241175245,0.0
t38,3.61474155964837e-14,0.0,0.0,0.0,0.0,26.863365241175263,0.0
t39,3.6177196583340933e-14,0.0,0.0,0.0,0.0,26.863365241175273,0.0
t40,3.6197725673023395e-14,0.0,0.0,0.0,0.0,26.863365241175295,0.0
t41,3.621034712908117e-14,0.0,0.0,0.0,0.0,26.86336524117531,0.0
t42,3.6224071285099104e-14,0.0,0.0,0.0,0.0,26.863365241175323,0.0
t43,3.6233255785581505e-14,0.0,0.0,0.0,0.0,26.863365241175345,0.0
t44,3.6232199640515905e-14,0.0,0.0,0.0,0.0,26.863365241175362,0.0
t45,3.6221043295838684e-14,0.0,0.0,0.0,0.0,26.863365241175376,0.0
t46,3.620116968035873e-14,0.0,0.0,0.0,0.0,26.863365241175398,0.0
t47,3.617804473000287e-14,0.0,0.0,0.0,0.0,26.863365241175412,0.0
t48,3.616520009554935e-14,0.0,0.0,0.0,0.0,26.863365241175433,0.0
t49,3.6160454106421e-14,0.0,0.0,0.0,0.0,26.86336524117545,0.0
t50,3.6164446534205184e-14,0.0,0.0,0.0,0.0,26.863365241175465,0.0
t51,3.6166511229708106e-14,0.0,0.0,0.0,0.0,26.863365241175483,0.0
t52,3.619053028599872e-14,0.0,0.0,0.0,0.0,26.863365241175497,0.0
t53,3.622042603515743e-14,0.0,0.0,0.0,0.0,26.86336524117552,0.0
t54,3.6243450210997525e-14,0.0,0.0,0.0,0.0,26.86336524117553,0.0
t55,3.6273037801159924e-14,0.0,0.0,0.0,0.0,26.863365241175543,0.0
t56,3.6298051356603106e-14,0.0,0.0,0.0,0.0,26.863365241175565,0.0
t57,3.632942864757951e-14,0.0,0.0,0.0,0.0,26.86336524117558,0.0
t58,3.636196307973767e-14,0.0,0.0,0.0,0.0,26.863365241175597,0.0
t59,3.6384101346311407e-14,0.0,0.0,0.0,0.0,26.86336524117561,0.0
t60,3.638817787561642e-14,0.0,0.0,0.0,0.0,26.86336524117563,0.0
t61,3.6381275448641904e-14,0.0,0.0,0.0,0.0,26.863365241175636,0.0
t62,3.6374523511670203e-14,0.0,0.0,0.0,0.0,26.863365241175664,0.0
t63,3.6354555099023764e-14,0.0,0.0,0.0,0.0,26.863365241175682,0.0
t64,3.636983338907319e-14,0.0,0.0,0.0,0.0,26.863365241175696,0.0
t65,3.6397829686144255e-14,0.0,0.0,0.0,0.0,26.863365241175718,0.0
t66,3.64528000442363e-14,0.0,0.0,0.0,0.0,26.86336524117573,0.0
t67,3.6521330969305156e-14,0.0,0.0,0.0,0.0,26.863365241175742,0.0
t68,3.662027085630542e-14,0.0,0.0,0.0,0.0,26.863365241175764,0.0
t69,3.674551108277188e-14,0.0,0.0,0.0,0.0,26.86336524117578,0.0
t70,3.6904410989317883e-14,0.0,0.0,0.0,0.0,26.8633652411758,0.0
t71,3.695947491694345e-14,0.0,0.0,0.0,0.0,26.863365241175806,0.0
t72,3.6910812472475803e-14,0.0,0.0,0.0,0.0,26.863365241175813,0.0
t73,3.6743495601484565e-14,0.0,0.0,0.0,0.0,26.863365241175817,0.0
t74,3.6617931405214017e-14,0.0,0.0,0.0,0.0,26.863365241175824,0.0
t75,3.6528335041635675e-14,0.0,0.0,0.0,0.0,26.863365241175817,0.0
t76,3.6468358027063256e-14,0.0,0.0,0.0,0.0,26.86336524117582,0.0
t77,3.64401471105958e-14,0.0,0.0,0.0,0.0,26.863365241175813,0.0
t78,3.6437380209793417e-14,0.0,0.0,0.0,0.0,26.863365241175813,0.0
t79,3.646538980846511e-14,0.0,0.0,0.0,0.0,26.863365241175817,0.0
t80,3.6529903926850116e-14,0.0,0.0,0.0,0.0,26.86336524117582,0.0
t81,3.6623159396013746e-14,0.0,0.0,0.0,0.0,26.86336524117582,0.0
t82,3.676277314391366e-14,0.0,0.0,0.0,0.0,26.86336524117582,0.0
t83,3.696299062184505e-14,0.0,0.0,0.0,0.0,26.86336524117582,0.0
t84,3.720625016850115e-14,0.0,0.0,0.0,0.0,26.86336524117583,0.0
t85,3.7514773633398914e-14,0.0,0.0,0.0,0.0,26.86336524117584,0.0
t86,3.7707306651874985e-14,0.0,0.0,0.0,0.0,26.863365241175835,0.0
t87,3.781418461767079e-14,0.0,0.0,0.0,0.0,26.86336524117584,0.0
t88,3.780235291802849e-14,0.0,0.0,0.0,0.0,26.86336524117583,0.0
t89,3.768373515716443e-14,0.0,0.0,0.0,0.0,26.863365241175824,0.0
t90,3.7438457197654145e-14,0.0,0.0,0.0,0.0,26.86336524117584,0.0
t91,3.7267143470005087e-14,0.0,0.0,0.0,0.0,26.86336524117583,0.0
t92,3.716435488032068e-14,0.0,0.0,0.0,0.0,26.863365241175824,0.0
t93,3.712083914217952e-14,0.0,0.0,0.0,0.0,26.863365241175856,0.0
t94,3.7130434390827314e-14,0.0,0.0,0.0,0.0,26.863365241175842,0.0
t95,3.721259394262169e-14,0.0,0.0,0.0,0.0,26.863365241175824,0.0
t96,3.720494181217645e-14,0.0,0.0,0.0,0.0,26.863365241175817,0.0
t97,3.710693502119969e-14,0.0,0.0,0.0,0.0,26.8633652411758,0.0
t98,3.6908953290668154e-14,0.0,0.0,0.0,0.0,26.82169619676073,0.0
t99,3.6759267356319533e-14,0.0,0.0,0.0,0.0,26.77469883703214,0.0
t100,3.664217874038651e-14,0.0,0.0,0.0,0.0,26.727293475898467,0.0
t101,3.655046443330461e-14,0.0,0.0,0.0,0.0,26.67912737491098,0.0
t102,3.648366296456163e-14,0.0,0.0,0.0,0.0,26.630158636424675,0.0
t103,3.6435442278168404e-14,0.0,0.0,0.0,0.0,26.58018463974915,0.0
t104,3.640328777440829e-14,0.0,0.0,0.0,0.0,26.529293319689923,0.0
t105,3.63834979552389e-14,0.0,0.0,0.0,0.0,26.477437180821205,0.0
t106,3.637434153421665e-14,0.0,0.0,0.0,0.0,26.424638843732083,0.0
t107,3.637346990816227e-14,0.0,0.0,0.0,0.0,26.37138049304998,0.0
t108,3.637583963708201e-14,0.0,0.0,0.0,0.0,26.31765980152302,0.0
t109,3.6387274974063416e-14,0.0,0.0,0.0,0.0,26.26363482091314,0.0
t110,3.640576659179089e-14,0.0,0.0,0.0,0.0,26.207257762810745,0.0
t111,3.6422668303130705e-14,0.0,0.0,0.0,0.0,26.121136924817097,0.0
t112,3.6440997396488973e-14,0.0,0.0,0.0,0.0,26.008355701783003,0.0
t113,3.6457682567395897e-14,0.0,0.0,0.0,0.0,25.888109481394643,0.0
t114,3.647224005923242e-14,0.0,0.0,0.0,0.0,25.766178428676618,0.0
