Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,7.528866004134242e6,0.0,0.0,0.0,7.528866004134242e6
t1,0.0,0.0,0.0,2548.239614972438,0.0,0.0,0.0,2548.239614972438
t2,0.0,0.0,0.0,3624.490086400889,0.0,0.0,0.0,3624.490086400889
t3,0.0,0.0,0.0,4587.763672720709,0.0,0.0,0.0,4587.763672720709
t4,0.0,0.0,0.0,3769.108277025113,0.0,0.0,0.0,3769.108277025113
t5,0.0,0.0,0.0,4318.234660934218,0.0,0.0,0.0,4318.234660934218
t6,0.0,0.0,0.0,2913.707187732591,0.0,0.0,0.0,2913.707187732591
t7,0.0,0.0,0.0,3054.225398929998,0.0,0.0,0.0,3054.225398929998
t8,0.0,0.0,0.0,3635.6221535182744,0.0,0.0,0.0,3635.6221535182744
t9,0.0,0.0,0.0,1982.2966712705281,0.0,0.0,0.0,1982.2966712705281
t10,0.0,0.0,0.0,2.0781060278211557e-9,0.0,0.0,0.0,2.0781060278211557e-9
t11,0.0,0.0,0.0,2.327275670458457e-9,0.0,0.0,0.0,2.327275670458457e-9
t12,0.0,0.0,0.0,3.150620683447007e-9,0.0,0.0,0.0,3.150620683447007e-9
t13,0.0,0.0,0.0,5.666690774467933e-9,0.0,0.0,0.0,5.666690774467933e-9
t14,0.0,0.0,0.0,1.4907864003096117e-9,0.0,0.0,0.0,1.4907864003096117e-9
t15,0.0,0.0,0.0,24.905334453121224,0.0,0.0,0.0,24.905334453121224
t16,0.0,0.0,0.0,452.1437763641087,0.0,0.0,0.0,452.1437763641087
t17,0.0,0.0,0.0,630.5811479952217,0.0,0.0,0.0,630.5811479952217
t18,0.0,0.0,0.0,96.04572929891468,0.0,0.0,0.0,96.04572929891468
t19,0.0,0.0,0.0,7.240486302665644e-10,0.0,0.0,0.0,7.240486302665644e-10
t20,0.0,0.0,0.0,7.370128446996419e-10,0.0,0.0,0.0,7.370128446996419e-10
t21,0.0,0.0,0.0,7.316873067726876e-10,0.0,0.0,0.0,7.316873067726876e-10
t22,0.0,0.0,0.0,7.26859308542096e-10,0.0,0.0,0.0,7.26859308542096e-10
t23,0.0,0.0,0.0,6.990292197371527e-10,0.0,0.0,0.0,6.990292197371527e-10
t24,0.0,0.0,0.0,7.834147896403579e-10,0.0,0.0,0.0,7.834147896403579e-10
t25,0.0,0.0,0.0,8.118332125030937e-10,0.0,0.0,0.0,8.118332125030937e-10
t26,0.0,0.0,0.0,7.319334672533951e-10,0.0,0.0,0.0,7.319334672533951e-10
t27,0.0,0.0,0.0,3.142716651789331e-10,0.0,0.0,0.0,3.142716651789331e-10
t28,0.0,0.0,0.0,1.3429887918666784e-8,0.0,0.0,0.0,1.3429887918666784e-8
t29,0.0,0.0,0.0,6.087811545898094e-9,0.0,0.0,0.0,6.087811545898094e-9
t30,0.0,0.0,0.0,4.559176918192673e-9,0.0,0.0,0.0,4.559176918192673e-9
t31,0.0,0.0,0.0,2.8408389231832342e-9,0.0,0.0,0.0,2.8408389231832342e-9
t32,0.0,0.0,0.0,564.1204394741152,0.0,0.0,0.0,564.1204394741152
t33,0.0,0.0,0.0,1479.3916613969554,0.0,0.0,0.0,1479.3916613969554
t34,0.0,0.0,0.0,485.69139912112496,0.0,0.0,0.0,485.69139912112496
t35,0.0,0.0,0.0,2.3378568205969013e-9,0.0,0.0,0.0,2.3378568205969013e-9
t36,0.0,0.0,0.0,1.5128284143596833e-9,0.0,0.0,0.0,1.5128284143596833e-9
t37,0.0,0.0,0.0,1.5260429342815e-9,0.0,0.0,0.0,1.5260429342815e-9
t38,0.0,0.0,0.0,1.3451899721326334e-9,0.0,0.0,0.0,1.3451899721326334e-9
t39,0.0,0.0,0.0,1.3593280053680228e-9,0.0,0.0,0.0,1.3593280053680228e-9
t40,0.0,0.0,0.0,958.619226913927,0.0,0.0,0.0,958.619226913927
t41,0.0,0.0,0.0,2990.0866793525556,0.0,0.0,0.0,2990.0866793525556
t42,0.0,0.0,0.0,4604.42833843198,0.0,0.0,0.0,4604.42833843198
t43,0.0,0.0,0.0,4761.131225335289,0.0,0.0,0.0,4761.131225335289
t44,0.0,0.0,0.0,5140.375090075188,0.0,0.0,0.0,5140.375090075188
t45,0.0,0.0,0.0,2059.792652652464,0.0,0.0,0.0,2059.792652652464
t46,0.0,0.0,0.0,1290.2503996494916,0.0,0.0,0.0,1290.2503996494916
t47,0.0,0.0,0.0,1365.063487273204,0.0,0.0,0.0,1365.063487273204
t48,0.0,0.0,0.0,1358.3604353953442,0.0,0.0,0.0,1358.3604353953442
t49,0.0,0.0,0.0,1656.1643914434765,0.0,0.0,0.0,1656.1643914434765
t50,0.0,0.0,0.0,806.5980045165982,0.0,0.0,0.0,806.5980045165982
t51,0.0,0.0,0.0,2.156465052553632e-9,0.0,0.0,0.0,2.156465052553632e-9
t52,0.0,0.0,0.0,2.813950566888862e-9,0.0,0.0,0.0,2.813950566888862e-9
t53,0.0,0.0,0.0,3.685810845582029e-9,0.0,0.0,0.0,3.685810845582029e-9
t54,0.0,0.0,0.0,4.585310570711527e-9,0.0,0.0,0.0,4.585310570711527e-9
t55,0.0,0.0,0.0,9.842579162847033e-9,0.0,0.0,0.0,9.842579162847033e-9
t56,0.0,0.0,0.0,7.968952469647577e-10,0.0,0.0,0.0,7.968952469647577e-10
t57,0.0,0.0,0.0,7.165343646087164e-10,0.0,0.0,0.0,7.165343646087164e-10
t58,0.0,0.0,0.0,7.789099590882038e-10,0.0,0.0,0.0,7.789099590882038e-10
t59,0.0,0.0,0.0,8.447404445075797e-10,0.0,0.0,0.0,8.447404445075797e-10
t60,0.0,0.0,0.0,8.899062593033408e-10,0.0,0.0,0.0,8.899062593033408e-10
t61,0.0,0.0,0.0,9.266299600086101e-10,0.0,0.0,0.0,9.266299600086101e-10
t62,0.0,0.0,0.0,6.925920531033747e-10,0.0,0.0,0.0,6.925920531033747e-10
t63,0.0,0.0,0.0,6.707129747258183e-10,0.0,0.0,0.0,6.707129747258183e-10
t64,0.0,0.0,0.0,7.701327851399606e-10,0.0,0.0,0.0,7.701327851399606e-10
t65,0.0,0.0,0.0,9.897496183959382e-10,0.0,0.0,0.0,9.897496183959382e-10
t66,0.0,0.0,0.0,1.0042505629959404e-9,0.0,0.0,0.0,1.0042505629959404e-9
t67,0.0,0.0,0.0,1.0231364061598543e-9,0.0,0.0,0.0,1.0231364061598543e-9
t68,0.0,0.0,0.0,9.888630115120405e-10,0.0,0.0,0.0,9.888630115120405e-10
t69,0.0,0.0,0.0,1.0068838304160165e-9,0.0,0.0,0.0,1.0068838304160165e-9
t70,0.0,0.0,0.0,7.171111041152498e-10,0.0,0.0,0.0,7.171111041152498e-10
t71,0.0,0.0,0.0,7.141856252772319e-10,0.0,0.0,0.0,7.141856252772319e-10
t72,0.0,0.0,0.0,7.162030011652657e-10,0.0,0.0,0.0,7.162030011652657e-10
t73,0.0,0.0,0.0,9.56547262523672e-10,0.0,0.0,0.0,9.56547262523672e-10
t74,0.0,0.0,0.0,7.155997653153303e-10,0.0,0.0,0.0,7.155997653153303e-10
t75,0.0,0.0,0.0,9.230883977465179e-10,0.0,0.0,0.0,9.230883977465179e-10
t76,0.0,0.0,0.0,9.580425732520145e-10,0.0,0.0,0.0,9.580425732520145e-10
t77,0.0,0.0,0.0,1.1719063733685583e-9,0.0,0.0,0.0,1.1719063733685583e-9
t78,0.0,0.0,0.0,286.81010594583427,0.0,0.0,0.0,286.81010594583427
t79,0.0,0.0,0.0,1.9270252456078168e-9,0.0,0.0,0.0,1.9270252456078168e-9
t80,0.0,0.0,0.0,9.887578245389832e-10,0.0,0.0,0.0,9.887578245389832e-10
t81,0.0,0.0,0.0,1.0023034733090526e-9,0.0,0.0,0.0,1.0023034733090526e-9
t82,0.0,0.0,0.0,9.922106760136937e-10,0.0,0.0,0.0,9.922106760136937e-10
t83,0.0,0.0,0.0,9.939527414797778e-10,0.0,0.0,0.0,9.939527414797778e-10
t84,0.0,0.0,0.0,7.094385882904651e-10,0.0,0.0,0.0,7.094385882904651e-10
t85,0.0,0.0,0.0,6.560573629985084e-10,0.0,0.0,0.0,6.560573629985084e-10
t86,0.0,0.0,0.0,7.315130160009981e-10,0.0,0.0,0.0,7.315130160009981e-10
t87,0.0,0.0,0.0,7.279851509588771e-10,0.0,0.0,0.0,7.279851509588771e-10
t88,0.0,0.0,0.0,7.930880742683525e-10,0.0,0.0,0.0,7.930880742683525e-10
t89,0.0,0.0,0.0,9.865485253162638e-10,0.0,0.0,0.0,9.865485253162638e-10
t90,0.0,0.0,0.0,1.0357385032362626e-9,0.0,0.0,0.0,1.0357385032362626e-9
t91,0.0,0.0,0.0,1.2912044748315894e-9,0.0,0.0,0.0,1.2912044748315894e-9
t92,0.0,0.0,0.0,1.3124371799050359e-9,0.0,0.0,0.0,1.3124371799050359e-9
t93,0.0,0.0,0.0,9.556598659992384e-10,0.0,0.0,0.0,9.556598659992384e-10
t94,0.0,0.0,0.0,1.0054511586488967e-9,0.0,0.0,0.0,1.0054511586488967e-9
t95,0.0,0.0,0.0,7.949442698256642e-10,0.0,0.0,0.0,7.949442698256642e-10
t96,0.0,0.0,0.0,7.974868073692993e-10,0.0,0.0,0.0,7.974868073692993e-10
t97,0.0,0.0,0.0,8.096533322142932e-10,0.0,0.0,0.0,8.096533322142932e-10
t98,0.0,0.0,0.0,9.598254300539041e-10,0.0,0.0,0.0,9.598254300539041e-10
t99,0.0,0.0,0.0,1.2243645985278356e-9,0.0,0.0,0.0,1.2243645985278356e-9
t100,0.0,0.0,0.0,1.4394140960062448e-9,0.0,0.0,0.0,1.4394140960062448e-9
t101,0.0,0.0,0.0,228.5133379309754,0.0,0.0,0.0,228.5133379309754
t102,0.0,0.0,0.0,607.7692644349838,0.0,0.0,0.0,607.7692644349838
t103,0.0,0.0,0.0,2.2197660731606453e-9,0.0,0.0,0.0,2.2197660731606453e-9
t104,0.0,0.0,0.0,365.1690583615173,0.0,0.0,0.0,365.1690583615173
t105,0.0,0.0,0.0,310.96904971494183,0.0,0.0,0.0,310.96904971494183
t106,0.0,0.0,0.0,4.16760975559619e-9,0.0,0.0,0.0,4.16760975559619e-9
t107,0.0,0.0,0.0,74.673291814437,0.0,0.0,0.0,74.673291814437
t108,0.0,0.0,0.0,7.676426302574124e-10,0.0,0.0,0.0,7.676426302574124e-10
t109,0.0,0.0,0.0,8.102506192318789e-10,0.0,0.0,0.0,8.102506192318789e-10
t110,0.0,0.0,0.0,8.400844795746889e-10,0.0,0.0,0.0,8.400844795746889e-10
t111,0.0,0.0,0.0,7.786910798023098e-10,0.0,0.0,0.0,7.786910798023098e-10
t112,0.0,0.0,0.0,3.2562737806695806e-10,0.0,0.0,0.0,3.2562737806695806e-10
t113,0.0,0.0,0.0,526.6523641937471,0.0,0.0,0.0,526.6523641937471
t114,0.0,0.0,0.0,346.188350259073,0.0,0.0,0.0,346.188350259073
