Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,2344.3804457751467,0.0,0.0,0.0
t2,0.0,0.0,0.0,5340.03382824271,0.0,0.0,0.0
t3,0.0,0.0,0.0,9321.468685321437,0.0,0.0,0.0
t4,0.0,0.0,0.0,12409.367531935575,0.0,0.0,0.0
t5,0.0,0.0,0.0,16097.760633368298,0.0,0.0,0.0
t6,0.0,0.0,0.0,18255.933481630975,0.0,0.0,0.0
t7,0.0,0.0,0.0,20587.998081675505,0.0,0.0,0.0
t8,0.0,0.0,0.0,23558.203101533723,0.0,0.0,0.0
t9,0.0,0.0,0.0,24831.6003365437,0.0,0.0,0.0
t10,0.0,0.0,0.0,24831.600336534928,0.0,0.0,0.0
t11,0.0,0.0,0.0,24831.600336533087,0.0,0.0,0.0
t12,0.0,0.0,0.0,24831.600336533123,0.0,0.0,0.0
t13,0.0,0.0,0.0,24831.60033653606,0.0,0.0,0.0
t14,0.0,0.0,0.0,23724.21842748752,0.0,0.0,0.0
t15,0.0,0.0,0.0,23747.1313351827,0.0,0.0,0.0
t16,0.0,0.0,0.0,24163.103609436217,0.0,0.0,0.0
t17,0.0,0.0,0.0,24743.2382655904,0.0,0.0,0.0
t18,0.0,0.0,0.0,24831.600336543735,0.0,0.0,0.0
t19,0.0,0.0,0.0,24262.025166336476,0.0,0.0,0.0
t20,0.0,0.0,0.0,22029.098141407187,0.0,0.0,0.0
t21,0.0,0.0,0.0,18999.444354768577,0.0,0.0,0.0
t22,0.0,0.0,0.0,15806.596304931238,0.0,0.0,0.0
t23,0.0,0.0,0.0,10569.928927294866,0.0,0.0,0.0
t24,0.0,0.0,0.0,6273.870411347369,0.0,0.0,0.0
t25,0.0,0.0,0.0,2210.845495503035,0.0,0.0,0.0
t26,0.0,0.0,0.0,474.1503950493036,0.0,0.0,0.0
t27,0.0,0.0,0.0,1.025049793640763e-9,0.0,0.0,0.0
t28,0.0,0.0,0.0,1.3032689353528621e-8,0.0,0.0,0.0
t29,0.0,0.0,0.0,1.6863562130040264e-8,0.0,0.0,0.0
