Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,1340.5473103323493,0.0,0.0,0.0,0.0,93.35706764089213,0.0,1433.9043779732415
t1,3.8324572008946003e-16,0.0,0.0,0.0,0.0,3.8719755368357664e-16,0.0,7.704432737730367e-16
t2,4.515778221182719e-16,0.0,0.0,0.0,0.0,4.201664379021614e-16,0.0,8.717442600204333e-16
t3,5.189002935229532e-16,0.0,0.0,0.0,0.0,4.4406532869906837e-16,0.0,9.629656222220215e-16
t4,5.898534015278485e-16,0.0,0.0,0.0,0.0,4.620158756084953e-16,0.0,1.0518692771363438e-15
t5,6.743959082961212e-16,0.0,0.0,0.0,0.0,4.777253886390911e-16,0.0,1.1521212969352123e-15
t6,7.845169419721098e-16,0.0,0.0,0.0,0.0,4.956412726134095e-16,0.0,1.2801582145855193e-15
t7,9.539770606157394e-16,0.0,0.0,0.0,0.0,5.226731369216901e-16,0.0,1.4766501975374295e-15
t8,1.2602903664697107e-15,0.0,0.0,0.0,0.0,5.631089098312942e-16,0.0,1.823399276301005e-15
t9,2.028127371422884e-15,0.0,0.0,0.0,0.0,6.292241419157555e-16,0.0,2.6573515133386394e-15
t10,2.7251647233262126,0.0,0.0,0.0,0.0,7.557575913677364e-16,0.0,2.7251647233262135
t11,8.080443848072594,0.0,0.0,0.0,0.0,6.762682309874028e-16,0.0,8.080443848072594
t12,2.6510207639812484,0.0,0.0,0.0,0.0,6.384228384439601e-16,0.0,2.651020763981249
t13,1.2548451017007685,0.0,0.0,0.0,0.0,6.195814904429985e-16,0.0,1.2548451017007691
t14,0.744583409284016,0.0,0.0,0.0,0.0,6.117529762721147e-16,0.0,0.7445834092840167
t15,4.725512638241303e-15,0.0,0.0,0.0,0.0,5.873047430204694e-16,0.0,5.312817381261773e-15
t16,4.737824132065187e-15,0.0,0.0,0.0,0.0,5.893282455694668e-16,0.0,5.3271523776346536e-15
t17,4.7508650584490844e-15,0.0,0.0,0.0,0.0,5.939143198411071e-16,0.0,5.3447793782901915e-15
t18,4.75280230481312e-15,0.0,0.0,0.0,0.0,6.012006636299847e-16,0.0,5.354002968443105e-15
t19,4.748187465666874e-15,0.0,0.0,0.0,0.0,6.116741639200186e-16,0.0,5.3598616295868925e-15
t20,2.406267542829107e-15,0.0,0.0,0.0,0.0,6.023331971996715e-16,0.0,3.0086007400287783e-15
t21,1.629967387883186e-15,0.0,0.0,0.0,0.0,5.95702053551964e-16,0.0,2.22566944143515e-15
t22,1.2297772027612283e-15,0.0,0.0,0.0,0.0,5.910231986646597e-16,0.0,1.820800401425888e-15
t23,9.625900407445306e-16,0.0,0.0,0.0,0.0,5.876047869821821e-16,0.0,1.5501948277267127e-15
t24,7.897738149182798e-16,0.0,0.0,0.0,0.0,5.83293183121642e-16,0.0,1.3730669980399218e-15
t25,6.824516862512529e-16,0.0,0.0,0.0,0.0,5.774132161993733e-16,0.0,1.2598649024506262e-15
t26,5.974303957657235e-16,0.0,0.0,0.0,0.0,5.702016724600227e-16,0.0,1.1676320682257461e-15
t27,5.308065510077732e-16,0.0,0.0,0.0,0.0,5.618933102458985e-16,0.0,1.0926998612536718e-15
t28,4.775788159354529e-16,0.0,0.0,0.0,0.0,5.509028088563046e-16,0.0,1.0284816247917575e-15
t29,4.76626151169532e-16,0.0,0.0,0.0,0.0,5.550427801492264e-16,0.0,1.0316689313187584e-15
t30,4.763428946725514e-16,0.0,0.0,0.0,0.0,5.557797216207831e-16,0.0,1.0321226162933345e-15
t31,4.759850307110983e-16,0.0,0.0,0.0,0.0,5.541614351744085e-16,0.0,1.0301464658855068e-15
t32,4.767082674062026e-16,0.0,0.0,0.0,0.0,5.510253800640648e-16,0.0,1.0277336474702674e-15
t33,4.992470652674113e-16,0.0,0.0,0.0,0.0,5.633254308375577e-16,0.0,1.062572496104969e-15
t34,5.238372655929236e-16,0.0,0.0,0.0,0.0,5.749124274822258e-16,0.0,1.0987496930751494e-15
t35,5.508070973822105e-16,0.0,0.0,0.0,0.0,5.871916634882969e-16,0.0,1.1379987608705074e-15
t36,5.503204791827154e-16,0.0,0.0,0.0,0.0,5.810121193468326e-16,0.0,1.131332598529548e-15
t37,5.238062553959175e-16,0.0,0.0,0.0,0.0,5.658117104161929e-16,0.0,1.0896179658121103e-15
t38,4.986580538865201e-16,0.0,0.0,0.0,0.0,5.496237987946266e-16,0.0,1.0482818526811467e-15
t39,4.765254663436967e-16,0.0,0.0,0.0,0.0,5.313683572119747e-16,0.0,1.0078938235556714e-15
t40,4.761208330814999e-16,0.0,0.0,0.0,0.0,5.172252451248522e-16,0.0,9.933460782063521e-16
t41,5.232762042020577e-16,0.0,0.0,0.0,0.0,5.289624550424567e-16,0.0,1.0522386592445144e-15
t42,5.824756720430487e-16,0.0,0.0,0.0,0.0,5.37200039143369e-16,0.0,1.1196757111864177e-15
t43,6.570455005549281e-16,0.0,0.0,0.0,0.0,5.430463616796591e-16,0.0,1.2000918622345872e-15
t44,7.523298167212765e-16,0.0,0.0,0.0,0.0,5.475044295190642e-16,0.0,1.2998342462403407e-15
t45,8.755573165645329e-16,0.0,0.0,0.0,0.0,5.509921515920108e-16,0.0,1.4265494681565437e-15
t46,1.048455302015473e-15,0.0,0.0,0.0,0.0,5.552487077690303e-16,0.0,1.6037040097845034e-15
t47,1.3101670276843709e-15,0.0,0.0,0.0,0.0,5.618270535612877e-16,0.0,1.8719940812456586e-15
t48,1.7472257868221162e-15,0.0,0.0,0.0,0.0,5.720798824041345e-16,0.0,2.3193056692262507e-15
t49,2.6203246372583083e-15,0.0,0.0,0.0,0.0,5.87367262657967e-16,0.0,3.2076918999162754e-15
t50,5.235457833676146e-15,0.0,0.0,0.0,0.0,6.105313015380759e-16,0.0,5.845989135214222e-15
t51,1.072993193447563,0.0,0.0,0.0,0.0,6.473102499952911e-16,0.0,1.0729931934475636
t52,2.2545483771710897,0.0,0.0,0.0,0.0,6.547679644691516e-16,0.0,2.25454837717109
t53,2.2573203739021968,0.0,0.0,0.0,0.0,6.807800222347593e-16,0.0,2.2573203739021976
t54,3.207412875229011,0.0,0.0,0.0,0.0,7.331906384772905e-16,0.0,3.207412875229012
t55,1.9608222798929127,0.0,0.0,0.0,0.0,8.348819538445684e-16,0.0,1.9608222798929136
t56,2.587535184650839,0.0,0.0,0.0,0.0,1.0422085826061356e-15,0.0,2.58753518465084
t57,1.8646375884891138,0.0,0.0,0.0,0.0,1.621746766569512e-15,0.0,1.8646375884891153
t58,0.9123252283120828,0.0,0.0,0.0,0.0,0.3500879443698955,0.0,1.2624131726819783
t59,6.187974428419852e-16,0.0,0.0,0.0,0.0,1.5835984570048327,0.0,1.5835984570048334
t60,3.671781513900243e-16,0.0,0.0,0.0,0.0,0.33517917902746497,0.0,0.33517917902746536
t61,2.814375868364924e-16,0.0,0.0,0.0,0.0,0.03984951901479325,0.0,0.039849519014793534
t62,2.2981881150306606e-16,0.0,0.0,0.0,0.0,5.0464641824270446e-15,0.0,5.276282993930111e-15
t63,2.0127024365762633e-16,0.0,0.0,0.0,0.0,2.535991930931703e-15,0.0,2.7372621745893295e-15
t64,1.8321098165969224e-16,0.0,0.0,0.0,0.0,1.6942355450056645e-15,0.0,1.8774465266653568e-15
t65,1.701771351621658e-16,0.0,0.0,0.0,0.0,1.2722947807558652e-15,0.0,1.442471915918031e-15
t66,1.5968132111480248e-16,0.0,0.0,0.0,0.0,1.0188911139255337e-15,0.0,1.1785724350403361e-15
t67,1.747724077872813e-16,0.0,0.0,0.0,0.0,1.3233186788692687e-15,0.0,1.49809108665655e-15
t68,1.6984683436010834e-16,0.0,0.0,0.0,0.0,1.3234297835061131e-15,0.0,1.4932766178662215e-15
t69,1.88635469599806e-16,0.0,0.0,0.0,0.0,1.884527378515619e-15,0.0,2.073162848115425e-15
t70,1.786909134470346e-16,0.0,0.0,0.0,0.0,1.377518531992391e-15,0.0,1.5562094454394257e-15
t71,1.7038393507250135e-16,0.0,0.0,0.0,0.0,1.0849183383395564e-15,0.0,1.2553022734120578e-15
t72,1.632341737535005e-16,0.0,0.0,0.0,0.0,8.949474443447577e-16,0.0,1.0581816180982582e-15
t73,1.5679828143947395e-16,0.0,0.0,0.0,0.0,7.613695673827544e-16,0.0,9.181678488222284e-16
t74,1.5095743027576453e-16,0.0,0.0,0.0,0.0,6.627790426991399e-16,0.0,8.1373647297490445e-16
t75,1.4488400049698648e-16,0.0,0.0,0.0,0.0,5.862819971546996e-16,0.0,7.311659976516861e-16
t76,1.4201251878553015e-16,0.0,0.0,0.0,0.0,5.861406984817437e-16,0.0,7.281532172672738e-16
t77,1.5337942159716432e-16,0.0,0.0,0.0,0.0,6.756609531422383e-16,0.0,8.290403747394026e-16
t78,1.652785776308571e-16,0.0,0.0,0.0,0.0,7.969500821578695e-16,0.0,9.622286597887266e-16
t79,1.7818272297917223e-16,0.0,0.0,0.0,0.0,9.712856372244813e-16,0.0,1.1494683602036535e-15
t80,1.9254697166257573e-16,0.0,0.0,0.0,0.0,1.242917388303567e-15,0.0,1.4354643599661427e-15
t81,2.0922100335117075e-16,0.0,0.0,0.0,0.0,1.724806272120886e-15,0.0,1.934027275472057e-15
t82,1.9768167324718912e-16,0.0,0.0,0.0,0.0,1.7071407972489172e-15,0.0,1.9048224704961063e-15
t83,1.898126256358457e-16,0.0,0.0,0.0,0.0,1.7095916010695541e-15,0.0,1.8994042267054e-15
