Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-2.088076689714852e-13,0.0,0.0,0.0
t2,0.0,0.0,0.0,-1.7279750071368198e-13,0.0,0.0,0.0
t3,0.0,0.0,0.0,-1.5986640758664758e-13,0.0,0.0,0.0
t4,0.0,0.0,0.0,-1.5574391231310266e-13,0.0,0.0,0.0
t5,0.0,0.0,0.0,-1.569100547695198e-13,0.0,0.0,0.0
t6,0.0,0.0,0.0,-1.5722082887069975e-13,0.0,0.0,0.0
t7,0.0,0.0,0.0,-1.6979212202450516e-13,0.0,0.0,0.0
t8,0.0,0.0,0.0,-1.9262033844348747e-13,0.0,0.0,0.0
t9,0.0,0.0,0.0,-2.681201191662919e-13,0.0,0.0,0.0
t10,0.0,0.0,0.0,-57.42275640190321,0.0,0.0,0.0
t11,0.0,0.0,0.0,-59.20279407048423,0.0,0.0,0.0
t12,0.0,0.0,0.0,-60.747563857225984,0.0,0.0,0.0
t13,0.0,0.0,0.0,-62.12278045926312,0.0,0.0,0.0
t14,0.0,0.0,0.0,-63.558519455726255,0.0,0.0,0.0
t15,0.0,0.0,0.0,-63.55851945572642,0.0,0.0,0.0
t16,0.0,0.0,0.0,-63.5585194557266,0.0,0.0,0.0
t17,0.0,0.0,0.0,-63.55851945572676,0.0,0.0,0.0
t18,0.0,0.0,0.0,-63.558519455726916,0.0,0.0,0.0
t19,0.0,0.0,0.0,-63.55851945572708,0.0,0.0,0.0
t20,0.0,0.0,0.0,-63.55851945572722,0.0,0.0,0.0
t21,0.0,0.0,0.0,-63.55851945572724,0.0,0.0,0.0
t22,0.0,0.0,0.0,-63.55851945572726,0.0,0.0,0.0
t23,0.0,0.0,0.0,-63.55851945572726,0.0,0.0,0.0
t24,0.0,0.0,0.0,-63.55851945572724,0.0,0.0,0.0
t25,0.0,0.0,0.0,-63.55851945572718,0.0,0.0,0.0
t26,0.0,0.0,0.0,-63.558519455726085,0.0,0.0,0.0
t27,0.0,0.0,0.0,-62.975819229123466,0.0,0.0,0.0
t28,0.0,0.0,0.0,-62.3443794462954,0.0,0.0,0.0
t29,0.0,0.0,0.0,-61.73500447426968,0.0,0.0,0.0
t30,0.0,0.0,0.0,-61.19192802137301,0.0,0.0,0.0
t31,0.0,0.0,0.0,-60.26680573969313,0.0,0.0,0.0
t32,0.0,0.0,0.0,-59.774897002723975,0.0,0.0,0.0
t33,0.0,0.0,0.0,-59.77489700272381,0.0,0.0,0.0
t34,0.0,0.0,0.0,-59.774897002723776,0.0,0.0,0.0
t35,0.0,0.0,0.0,-59.77489700272374,0.0,0.0,0.0
t36,0.0,0.0,0.0,-59.77489700272365,0.0,0.0,0.0
t37,0.0,0.0,0.0,-59.7748970027235,0.0,0.0,0.0
t38,0.0,0.0,0.0,-58.207065158467685,0.0,0.0,0.0
t39,0.0,0.0,0.0,-55.21498730359438,0.0,0.0,0.0
t40,0.0,0.0,0.0,-52.304595017096744,0.0,0.0,0.0
t41,0.0,0.0,0.0,-52.304595017096474,0.0,0.0,0.0
t42,0.0,0.0,0.0,-52.30459501709645,0.0,0.0,0.0
t43,0.0,0.0,0.0,-52.304595017096446,0.0,0.0,0.0
t44,0.0,0.0,0.0,-52.304595017096446,0.0,0.0,0.0
t45,0.0,0.0,0.0,-52.30459501709647,0.0,0.0,0.0
t46,0.0,0.0,0.0,-52.30459501709648,0.0,0.0,0.0
t47,0.0,0.0,0.0,-52.30459501709651,0.0,0.0,0.0
t48,0.0,0.0,0.0,-52.304595017096545,0.0,0.0,0.0
t49,0.0,0.0,0.0,-52.3045950170966,0.0,0.0,0.0
t50,0.0,0.0,0.0,-52.30459501709685,0.0,0.0,0.0
t51,0.0,0.0,0.0,-57.84753167074554,0.0,0.0,0.0
t52,0.0,0.0,0.0,-59.26015448323515,0.0,0.0,0.0
t53,0.0,0.0,0.0,-60.69108869843851,0.0,0.0,0.0
t54,0.0,0.0,0.0,-62.31684996413968,0.0,0.0,0.0
t55,0.0,0.0,0.0,-63.49639248563314,0.0,0.0,0.0
t56,0.0,0.0,0.0,-64.41931938641885,0.0,0.0,0.0
t57,0.0,0.0,0.0,-65.97286155644306,0.0,0.0,0.0
t58,0.0,0.0,0.0,-191.4336056540154,0.0,0.0,0.0
t59,0.0,0.0,0.0,-193.49487101064227,0.0,0.0,0.0
t60,0.0,0.0,0.0,-194.9492740280036,0.0,0.0,0.0
t61,0.0,0.0,0.0,-196.36704585219454,0.0,0.0,0.0
t62,0.0,0.0,0.0,-196.36704585219482,0.0,0.0,0.0
t63,0.0,0.0,0.0,-196.3670458521949,0.0,0.0,0.0
t64,0.0,0.0,0.0,-196.36704585219496,0.0,0.0,0.0
t65,0.0,0.0,0.0,-196.367045852195,0.0,0.0,0.0
t66,0.0,0.0,0.0,-196.36704585219502,0.0,0.0,0.0
t67,0.0,0.0,0.0,-196.36704585219505,0.0,0.0,0.0
t68,0.0,0.0,0.0,-196.36704585219508,0.0,0.0,0.0
t69,0.0,0.0,0.0,-196.36704585219513,0.0,0.0,0.0
t70,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t71,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t72,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t73,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t74,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t75,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t76,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t77,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t78,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t79,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t80,0.0,0.0,0.0,-196.36704585219528,0.0,0.0,0.0
t81,0.0,0.0,0.0,-196.36704585219525,0.0,0.0,0.0
t82,0.0,0.0,0.0,-196.36704585219528,0.0,0.0,0.0
t83,0.0,0.0,0.0,-196.36704585219528,0.0,0.0,0.0
t84,0.0,0.0,0.0,-196.3670458521953,0.0,0.0,0.0
t85,0.0,0.0,0.0,-196.36704585219533,0.0,0.0,0.0
t86,0.0,0.0,0.0,-196.36704585219528,0.0,0.0,0.0
t87,0.0,0.0,0.0,-196.36704585219528,0.0,0.0,0.0
t88,0.0,0.0,0.0,-196.36704585219525,0.0,0.0,0.0
t89,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t90,0.0,0.0,0.0,-196.36704585219522,0.0,0.0,0.0
t91,0.0,0.0,0.0,-196.3670458521952,0.0,0.0,0.0
t92,0.0,0.0,0.0,-196.36704585219516,0.0,0.0,0.0
t93,0.0,0.0,0.0,-196.36704585219516,0.0,0.0,0.0
t94,0.0,0.0,0.0,-196.36704585219513,0.0,0.0,0.0
t95,0.0,0.0,0.0,-196.3670458521951,0.0,0.0,0.0
t96,0.0,0.0,0.0,-196.36704585219502,0.0,0.0,0.0
t97,0.0,0.0,0.0,-196.36704585219493,0.0,0.0,0.0
t98,0.0,0.0,0.0,-135.25330793754148,0.0,0.0,0.0
t99,0.0,0.0,0.0,-67.00664257583253,0.0,0.0,0.0
t100,0.0,0.0,0.0,-67.00664257583223,0.0,0.0,0.0
t101,0.0,0.0,0.0,-67.00664257583213,0.0,0.0,0.0
t102,0.0,0.0,0.0,-67.00664257583209,0.0,0.0,0.0
t103,0.0,0.0,0.0,-67.00664257583206,0.0,0.0,0.0
t104,0.0,0.0,0.0,-67.00664257583202,0.0,0.0,0.0
t105,0.0,0.0,0.0,-67.00664257583199,0.0,0.0,0.0
t106,0.0,0.0,0.0,-67.00664257583196,0.0,0.0,0.0
t107,0.0,0.0,0.0,-67.00664257583193,0.0,0.0,0.0
t108,0.0,0.0,0.0,-67.0066425758319,0.0,0.0,0.0
t109,0.0,0.0,0.0,-67.00664257583185,0.0,0.0,0.0
t110,0.0,0.0,0.0,-67.00664257583158,0.0,0.0,0.0
t111,0.0,0.0,0.0,-65.52214175282089,0.0,0.0,0.0
t112,0.0,0.0,0.0,-63.91491734234323,0.0,0.0,0.0
t113,0.0,0.0,0.0,-62.58107310858932,0.0,0.0,0.0
t114,0.0,0.0,0.0,-61.15900279875039,0.0,0.0,0.0
t115,0.0,0.0,0.0,-59.77489700272477,0.0,0.0,0.0
t116,0.0,0.0,0.0,-59.77489700272451,0.0,0.0,0.0
t117,0.0,0.0,0.0,-59.77489700272436,0.0,0.0,0.0
t118,0.0,0.0,0.0,-59.77489700272421,0.0,0.0,0.0
t119,0.0,0.0,0.0,-59.23520697425571,0.0,0.0,0.0
t120,0.0,0.0,0.0,-58.681106399341886,0.0,0.0,0.0
t121,0.0,0.0,0.0,-57.802552700611216,0.0,0.0,0.0
t122,0.0,0.0,0.0,-57.09094745918966,0.0,0.0,0.0
t123,0.0,0.0,0.0,-31.62262610306289,0.0,0.0,0.0
t124,0.0,0.0,0.0,-3.623767952376511e-13,0.0,0.0,0.0
t125,0.0,0.0,0.0,-2.4158453015843406e-13,0.0,0.0,0.0
t126,0.0,0.0,0.0,-1.2150585598212892e-13,0.0,0.0,0.0
t127,0.0,0.0,0.0,-9.492320524277411e-14,0.0,0.0,0.0
t128,0.0,0.0,0.0,-8.05483978605578e-14,0.0,0.0,0.0
t129,0.0,0.0,0.0,-7.212819706046402e-14,0.0,0.0,0.0
t130,0.0,0.0,0.0,-6.756801401299079e-14,0.0,0.0,0.0
t131,0.0,0.0,0.0,-5.699953411525043e-14,0.0,0.0,0.0
t132,0.0,0.0,0.0,-5.501886133021157e-14,0.0,0.0,0.0
t133,0.0,0.0,0.0,-5.195719234397385e-14,0.0,0.0,0.0
t134,0.0,0.0,0.0,-4.747633618354566e-14,0.0,0.0,0.0
t135,0.0,0.0,0.0,-4.2735620451242936e-14,0.0,0.0,0.0
t136,0.0,0.0,0.0,-2.8903921597441e-14,0.0,0.0,0.0
t137,0.0,0.0,0.0,-2.6025169211912395e-14,0.0,0.0,0.0
t138,0.0,0.0,0.0,-2.456198044990158e-14,0.0,0.0,0.0
t139,0.0,0.0,0.0,-2.425751213895875e-14,0.0,0.0,0.0
t140,0.0,0.0,0.0,-2.4943211849162573e-14,0.0,0.0,0.0
t141,0.0,0.0,0.0,-1.845622988769676e-14,0.0,0.0,0.0
t142,0.0,0.0,0.0,-1.9846987555505252e-14,0.0,0.0,0.0
t143,0.0,0.0,0.0,-2.082809602712545e-14,0.0,0.0,0.0
t144,0.0,0.0,0.0,-2.1114865312939454e-14,0.0,0.0,0.0
t145,0.0,0.0,0.0,-2.1290752499834406e-14,0.0,0.0,0.0
t146,0.0,0.0,0.0,-1.2974201844293938e-14,0.0,0.0,0.0
t147,0.0,0.0,0.0,-1.2810786765745458e-14,0.0,0.0,0.0
t148,0.0,0.0,0.0,-1.273246357252085e-14,0.0,0.0,0.0
t149,0.0,0.0,0.0,-1.2996088348749392e-14,0.0,0.0,0.0
t150,0.0,0.0,0.0,-1.3684669291872529e-14,0.0,0.0,0.0
t151,0.0,0.0,0.0,-7.118233801854034e-15,0.0,0.0,0.0
t152,0.0,0.0,0.0,-8.454288145213253e-15,0.0,0.0,0.0
t153,0.0,0.0,0.0,-1.013840616499693e-14,0.0,0.0,0.0
t154,0.0,0.0,0.0,-1.2353258360000397e-14,0.0,0.0,0.0
t155,0.0,0.0,0.0,-1.5148478420231975e-14,0.0,0.0,0.0
t156,0.0,0.0,0.0,-1.1016814210934992e-14,0.0,0.0,0.0
t157,0.0,0.0,0.0,-1.3061788197023782e-14,0.0,0.0,0.0
t158,0.0,0.0,0.0,-1.3963817208122631e-14,0.0,0.0,0.0
t159,0.0,0.0,0.0,-1.4143664724872008e-14,0.0,0.0,0.0
t160,0.0,0.0,0.0,-1.4699662983491515e-14,0.0,0.0,0.0
t161,0.0,0.0,0.0,-7.786792899795364e-15,0.0,0.0,0.0
t162,0.0,0.0,0.0,-8.919111676254246e-15,0.0,0.0,0.0
t163,0.0,0.0,0.0,-1.0403404869987458e-14,0.0,0.0,0.0
t164,0.0,0.0,0.0,-1.2364050795666527e-14,0.0,0.0,0.0
t165,0.0,0.0,0.0,-1.479032257628025e-14,0.0,0.0,0.0
t166,0.0,0.0,0.0,-9.744557308741618e-15,0.0,0.0,0.0
t167,0.0,0.0,0.0,-1.1657797409839377e-14,0.0,0.0,0.0
t168,0.0,0.0,0.0,-1.3026399067270955e-14,0.0,0.0,0.0
t169,0.0,0.0,0.0,-1.4157765409124703e-14,0.0,0.0,0.0
t170,0.0,0.0,0.0,-1.5189492020815628e-14,0.0,0.0,0.0
t171,0.0,0.0,0.0,-8.234550924014101e-15,0.0,0.0,0.0
t172,0.0,0.0,0.0,-9.14107829486931e-15,0.0,0.0,0.0
t173,0.0,0.0,0.0,-1.0063521755520244e-14,0.0,0.0,0.0
t174,0.0,0.0,0.0,-1.1187276472550194e-14,0.0,0.0,0.0
t175,0.0,0.0,0.0,-1.2651558024766566e-14,0.0,0.0,0.0
t176,0.0,0.0,0.0,-7.043389774913347e-15,0.0,0.0,0.0
t177,0.0,0.0,0.0,-9.077183200377164e-15,0.0,0.0,0.0
t178,0.0,0.0,0.0,-1.14522916108938e-14,0.0,0.0,0.0
t179,0.0,0.0,0.0,-1.4247560382621142e-14,0.0,0.0,0.0
t180,0.0,0.0,0.0,-1.7257295770411848e-14,0.0,0.0,0.0
t181,0.0,0.0,0.0,-1.3191502008192435e-14,0.0,0.0,0.0
t182,0.0,0.0,0.0,-1.5337693378519614e-14,0.0,0.0,0.0
t183,0.0,0.0,0.0,-1.690526839947714e-14,0.0,0.0,0.0
t184,0.0,0.0,0.0,-1.8638458033833127e-14,0.0,0.0,0.0
t185,0.0,0.0,0.0,-2.1110216516151624e-14,0.0,0.0,0.0
t186,0.0,0.0,0.0,-1.737447203390409e-14,0.0,0.0,0.0
t187,0.0,0.0,0.0,-2.1901645784295294e-14,0.0,0.0,0.0
t188,0.0,0.0,0.0,-2.7752875732447558e-14,0.0,0.0,0.0
t189,0.0,0.0,0.0,-3.5135386040140543e-14,0.0,0.0,0.0
t190,0.0,0.0,0.0,-4.235948242434303e-14,0.0,0.0,0.0
t191,0.0,0.0,0.0,-4.1929901410330256e-14,0.0,0.0,0.0
t192,0.0,0.0,0.0,-4.6209324139838667e-14,0.0,0.0,0.0
t193,0.0,0.0,0.0,-4.985499648417245e-14,0.0,0.0,0.0
t194,0.0,0.0,0.0,-5.342503194252172e-14,0.0,0.0,0.0
t195,0.0,0.0,0.0,-5.807394071403084e-14,0.0,0.0,0.0
t196,0.0,0.0,0.0,-5.782183003251306e-14,0.0,0.0,0.0
t197,0.0,0.0,0.0,-6.659611228020898e-14,0.0,0.0,0.0
t198,0.0,0.0,0.0,-8.005870579554077e-14,0.0,0.0,0.0
t199,0.0,0.0,0.0,-1.0176206843268764e-13,0.0,0.0,0.0
t200,0.0,0.0,0.0,-1.483212220310121e-13,0.0,0.0,0.0
t201,0.0,0.0,0.0,-1.9398134899332848e-13,0.0,0.0,0.0
t202,0.0,0.0,0.0,-2.22026595166747e-13,0.0,0.0,0.0
t203,0.0,0.0,0.0,-2.3271138441296056e-13,0.0,0.0,0.0
t204,0.0,0.0,0.0,-2.3443788404850584e-13,0.0,0.0,0.0
t205,0.0,0.0,0.0,-2.279339658967952e-13,0.0,0.0,0.0
t206,0.0,0.0,0.0,-1.9852756939264888e-13,0.0,0.0,0.0
