Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,3.903988760563237e6,2.337780087566215e7,0.0,6.70087784235153e-6,0.0,0.0,2.728178963623209e7
t1,0.0,0.0,1448.497201619859,0.0,1.5083695031352127e-9,0.0,0.0,1448.4972016213674
t2,0.0,0.0,2680.371810804845,0.0,1.326160968854325e-9,0.0,0.0,2680.371810806171
t3,0.0,0.0,4162.547394164314,0.0,1.2149505166085562e-9,0.0,0.0,4162.547394165529
t4,0.0,0.0,2724.290790234787,0.0,1.0136267603038003e-9,0.0,0.0,2724.2907902358006
t5,0.0,0.0,3482.1517690063156,0.0,8.038639550373396e-10,0.0,0.0,3482.1517690071196
t6,0.0,0.0,1563.6803893141841,0.0,5.920624831518667e-10,0.0,0.0,1563.6803893147762
t7,0.0,0.0,1578.7030722501368,0.0,4.185951181702605e-10,0.0,0.0,1578.7030722505554
t8,0.0,0.0,2103.5077216972095,0.0,2.9447608843527626e-10,0.0,0.0,2103.507721697504
t9,0.0,0.0,699.7985183364053,0.0,2.1143037172965964e-10,0.0,0.0,699.7985183366168
t10,0.0,0.0,232.42729723158118,0.0,1.462160423053663e-10,0.0,0.0,232.4272972317274
t11,0.0,0.0,1.7644197214394808e-10,0.0,8.048983213364354e-11,0.0,0.0,2.569318042775916e-10
t12,0.0,0.0,1.7644197214394808e-10,0.0,7.24592391182681e-11,0.0,0.0,2.4890121126221615e-10
t13,0.0,1.6066792341007385e-10,1.8189894035458565e-10,0.0,5.895943609329985e-11,0.0,0.0,4.0152629985795935e-10
t14,0.0,1.5143086784519255e-10,2.0691004465334117e-10,0.0,4.9663249441112435e-11,0.0,0.0,4.0800416193964616e-10
t15,0.0,1.6552803572267294e-10,1.9917933968827128e-10,0.0,6.573586970334711e-11,0.0,0.0,4.3044324511429133e-10
t16,0.0,1.77351466845721e-10,2.1645973902195692e-10,0.0,9.555850009783842e-11,0.0,0.0,4.893697059655164e-10
t17,0.0,1.7826096154749393e-10,2.1373125491663814e-10,0.0,1.1426089295650296e-10,0.0,0.0,5.06253109420635e-10
t18,0.0,1.7553247744217515e-10,2.1827872842550278e-10,0.0,1.2432412327867986e-10,0.0,0.0,5.181353291463578e-10
t19,0.0,1.6143530956469476e-10,1.964508555829525e-10,0.0,1.432331531962776e-10,0.0,0.0,5.011193183439248e-10
t20,0.0,1.737134880386293e-10,1.9826984498649836e-10,0.0,1.4801498986659385e-10,0.0,0.0,5.199983228917215e-10
t21,0.0,2.078763827739749e-10,1.9190338207408786e-10,0.0,1.551282307804282e-10,0.0,0.0,5.54907995628491e-10
t22,0.0,1.9797674610799731e-10,1.9917933968827128e-10,0.0,1.5993595510746073e-10,0.0,0.0,5.570920409037293e-10
t23,0.0,0.0,1.432454155292362e-10,0.0,1.250750231769198e-10,0.0,0.0,2.68320438706156e-10
t24,0.0,0.0,1.90084392670542e-10,0.0,1.771614158141329e-10,0.0,0.0,3.672458084846749e-10
t25,0.0,0.0,1.9463186617940664e-10,0.0,1.8818232188781523e-10,0.0,0.0,3.828141880672219e-10
t26,0.0,0.0,1.9190338207408786e-10,0.0,1.8627745567359575e-10,0.0,0.0,3.781808377476836e-10
t27,0.0,0.0,1.90084392670542e-10,0.0,1.85604866002049e-10,0.0,0.0,3.75689258672591e-10
t28,0.0,0.0,2.2100721253082156e-10,0.0,1.9967783608366104e-10,0.0,0.0,4.206850486144826e-10
t29,0.0,0.0,2.2919266484677792e-10,0.0,2.086334522678242e-10,0.0,0.0,4.3782611711460213e-10
t30,0.0,0.0,2.582964953035116e-10,0.0,2.3565362911743587e-10,0.0,0.0,4.939501244209475e-10
t31,0.0,0.0,2.3646862246096134e-10,0.0,2.1397069049085995e-10,0.0,0.0,4.504393129518213e-10
t32,0.0,0.0,2.7466739993542433e-10,0.0,2.486515748920989e-10,0.0,0.0,5.233189748275232e-10
t33,0.0,0.0,2.764863893389702e-10,0.0,2.500763827828701e-10,0.0,0.0,5.265627721218403e-10
t34,0.0,0.0,2.7830537874251604e-10,0.0,2.5061576857920117e-10,0.0,0.0,5.289211473217172e-10
t35,0.0,0.0,2.382876118645072e-10,0.0,2.1611696598013117e-10,0.0,0.0,4.5440457784463836e-10
t36,0.0,0.0,2.4010660126805305e-10,0.0,2.1646363245432194e-10,0.0,0.0,4.56570233722375e-10
t37,0.0,1.8881962660088902e-10,2.4010660126805305e-10,0.0,2.1672062110000745e-10,0.0,0.0,6.456468489689495e-10
t38,0.0,1.780335878720507e-10,2.419255906715989e-10,0.0,2.1836258095956753e-10,0.0,0.0,6.383217595032171e-10
t39,0.0,2.482920535840094e-10,2.9103830456733704e-10,0.0,2.5262244513563067e-10,0.0,0.0,7.919528032869771e-10
t40,0.0,3.0377123039215803e-10,3.6197889130562544e-10,0.0,2.960337753347478e-10,0.0,0.0,9.617838970325313e-10
t41,0.0,4.001776687800884e-10,5.475158104673028e-10,0.0,3.408922463045937e-10,0.0,0.0,1.288585725551985e-9
t42,0.0,413.9184138875744,492.44795702616284,0.0,2.228150876149422e-9,0.0,0.0,906.3663709159654
t43,0.0,435.0755239511873,537.3204162639831,0.0,2.2300172823883012e-9,0.0,0.0,972.3959402174004
t44,0.0,539.5013574462173,776.3761535694393,0.0,2.206615581815375e-9,0.0,0.0,1315.8775110178633
t45,0.0,2.6193447411060333e-10,3.9108272176235914e-10,0.0,2.9692612361655793e-10,0.0,0.0,9.499433194895204e-10
t46,0.0,2.170708057747106e-10,3.710738383233547e-10,0.0,2.95753475560047e-10,0.0,0.0,8.838981196581123e-10
t47,0.0,0.0,3.637978807091713e-10,0.0,2.8982350520923486e-10,0.0,0.0,6.536213859184062e-10
t48,0.0,0.0,3.637978807091713e-10,0.0,2.838431405721464e-10,0.0,0.0,6.476410212813177e-10
t49,0.0,0.0,3.4560798667371273e-10,0.0,2.786102681458005e-10,0.0,0.0,6.242182548195132e-10
t50,0.0,0.0,3.3651303965598345e-10,0.0,2.6968858594277035e-10,0.0,0.0,6.062016255987538e-10
t51,0.0,0.0,3.128661774098873e-10,0.0,2.655327488987501e-10,0.0,0.0,5.783989263086374e-10
t52,0.0,0.0,2.2919266484677792e-10,0.0,2.0730575019587686e-10,0.0,0.0,4.3649841504265477e-10
t53,0.0,0.0,2.2009771782904863e-10,0.0,2.012715582418913e-10,0.0,0.0,4.213692760709399e-10
t54,0.0,0.0,1.9463186617940664e-10,0.0,1.9085654042327886e-10,0.0,0.0,3.854884066026855e-10
t55,0.0,0.0,1.9190338207408786e-10,0.0,1.8663292035745306e-10,0.0,0.0,3.785363024315409e-10
t56,0.0,0.0,2.1827872842550278e-10,0.0,1.8114332496006856e-10,0.0,0.0,3.9942205338557134e-10
t57,0.0,0.0,2.1532287064474076e-10,0.0,1.5969114873103365e-10,0.0,0.0,3.750140193757744e-10
t58,0.0,0.0,2.2441781766247004e-10,0.0,1.4403055943103558e-10,0.0,0.0,3.684483770935056e-10
t59,0.0,0.0,1.8712853488977998e-10,0.0,1.197675034761611e-10,0.0,0.0,3.068960383659411e-10
t60,0.0,0.0,1.9235812942497432e-10,0.0,1.2416603321081972e-10,0.0,0.0,3.1652416263579405e-10
t61,0.0,1.7131185359176015e-10,1.9190338207408786e-10,0.0,1.3096870952659363e-10,0.0,0.0,4.941839451924416e-10
t62,0.0,1.7496404325356707e-10,1.9167600839864463e-10,0.0,1.3223168510585123e-10,0.0,0.0,4.988717367580629e-10
t63,0.0,1.4995293895481154e-10,1.8712853488977998e-10,0.0,1.3888830138729273e-10,0.0,0.0,4.759697752318843e-10
t64,0.0,1.425632945029065e-10,1.8553691916167736e-10,0.0,1.523978891153923e-10,0.0,0.0,4.804981027799762e-10
t65,0.0,1.3233147910796106e-10,1.8917489796876907e-10,0.0,1.4745372030229809e-10,0.0,0.0,4.689600973790282e-10
t66,0.0,1.559783413540572e-10,2.000888343900442e-10,0.0,1.6719917499601728e-10,0.0,0.0,5.232663507401187e-10
t67,0.0,1.3142198440618813e-10,1.7917045624926686e-10,0.0,1.3272390129072967e-10,0.0,0.0,4.4331634194618466e-10
t68,0.0,1.6473222785862163e-10,1.90084392670542e-10,0.0,1.5996266908267287e-10,0.0,0.0,5.147792896118365e-10
t69,0.0,1.7035972632584162e-10,1.673470251262188e-10,0.0,1.3228473550342128e-10,0.0,0.0,4.699914869554817e-10
t70,0.0,1.7151791098513058e-10,1.7189449863508344e-10,0.0,1.3113705207248108e-10,0.0,0.0,4.745494616926951e-10
t71,0.0,0.0,1.7780621419660747e-10,0.0,1.300184913698835e-10,0.0,0.0,3.0782470556649097e-10
t72,0.0,0.0,1.6189005691558123e-10,0.0,1.308272560420163e-10,0.0,0.0,2.927173129575975e-10
