Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,2.3887685986468755e7,1.9583758496457677e7,8.001352398840843e7,8.160987896260987e6,1.3881032180734729e-5,271708.8621457691,0.0,1.319176652297555e8
t1,1.4807622259772155e-9,0.0,20163.80857130174,3.0258701129933697e-10,1.5199005466708134e-9,2.1102773498912938e-10,0.0,20163.808571305253
t2,1.2903464610842027e-9,0.0,19182.62041446324,182.05937733730147,1.3364292952454575e-9,2.041815635057291e-10,0.0,19364.67979180337
t3,1.1993827810003952e-9,0.0,18574.71383366215,178.92385914482327,1.2264260499652268e-9,2.0051013082192153e-10,0.0,18753.6376928096
t4,1.1524350047773972e-9,0.0,17797.52891497959,189.2416429822211,1.0284615903273628e-9,1.9877342908695711e-10,0.0,17986.770557964195
t5,1.1325285297441686e-9,0.0,17262.15216266557,175.2660244105588,8.2137953699041e-10,1.9823458555573065e-10,0.0,17437.418187078278
t6,1.1305721076682848e-9,0.0,16316.530824299072,237.4903303084723,6.444267785297391e-10,1.981676162685714e-10,0.0,16554.021154609516
t7,1.1539342415436843e-9,0.0,15988.15007593001,212.1751736178556,4.692693821041582e-10,1.9921882495889543e-10,0.0,16200.325249549689
t8,1.206012330501385e-9,0.0,15974.119073138907,170.08954999799744,3.5110674312019103e-10,2.0154360874499068e-10,0.0,16144.208623138664
t9,1.3013706960934611e-9,0.0,14892.898817615149,295.06549348187366,2.625989801117673e-10,2.0561988712998115e-10,0.0,15187.96431109879
t10,1.5031847106063427e-9,0.0,11913.331318955763,460.6327360033583,1.8585531316450104e-10,2.1276041422959736e-10,0.0,12373.964054961021
t11,3412.215621060691,0.0,8231.916378927623,1.2141551836964177e-8,1.5376594279751665e-10,2.3162185431676884e-10,0.0,11644.13200000084
t12,5226.858011961337,0.0,6934.613988034548,4.7205525376661764e-9,1.2818810557651582e-10,2.3953353972420015e-10,0.0,12161.472000000973
t13,5887.792908399587,134.28248719929138,6398.771696143925,164.19590825767395,9.854872949210548e-11,2.4516318785378473e-10,0.0,12585.04300000082
t14,5887.792908402266,2066.1713069987773,3647.487881641194,1596.5729029583113,7.925266952528623e-11,2.485190408647273e-10,0.0,13198.025000000878
t15,5887.79290840351,4644.876173319583,3070.9090412442793,147.85487703312583,1.1384350379848448e-10,2.4974536901632937e-10,0.0,13751.433000000863
t16,4403.300654988111,7570.2987572489765,2431.658587760717,2.9098793630353057e-9,2.079206087530222e-10,2.4958571295964466e-10,0.0,14405.258000001171
t17,4619.867090595558,7392.790772850755,2569.5361365512886,2.985222875057543e-9,3.0910500434949106e-10,2.497098478394902e-10,0.0,14582.194000001145
t18,5796.907055627846,5250.68580554407,3346.664138825397,3.205721275642444e-9,3.9284440767212563e-10,2.501571715604414e-10,0.0,14394.257000001162
t19,5887.792908406833,3096.2546718662206,4220.933141383795,943.1072783432949,5.018480599974526e-10,2.5126745057447375e-10,0.0,14148.088000000898
t20,5887.7929084074985,1194.9108755402358,4010.98323754361,2856.8009785087147,5.748170693963652e-10,2.517892739682508e-10,0.0,13950.488000000883
t21,5887.792908407976,301.88851343847136,4277.33759316176,3708.4229849915787,8.225259562449063e-10,2.51991547503464e-10,0.0,14175.442000000863
t22,5887.792908408011,11.188653286799832,5555.838500128842,3696.524938176145,7.800968547876019e-10,2.526865911579207e-10,0.0,15151.34500000083
t23,5887.792908411183,0.0,4095.589915210605,5824.739176377035,1.0928543591204183e-9,2.5797724061708344e-10,0.0,15808.122000000176
t24,5887.792908407708,0.0,4759.909013928752,4847.532077662719,1.4410594191492992e-9,2.522179124963262e-10,0.0,15495.234000000872
t25,5887.7929084068,0.0,4377.612174100352,4697.505917491118,2.375589124949786e-9,2.5030721102456815e-10,0.0,14962.911000000897
t26,5887.792908405569,0.0,6248.359824736021,2242.31726685622,2.836474792153324e-9,2.4833033732921286e-10,0.0,14378.470000000894
t27,5887.792908402784,0.0,6809.27076186129,986.3393297331806,3.3016459847932953e-9,2.466212331411241e-10,0.0,13683.403000000802
t28,5089.215557907842,0.0,7768.146442086577,2.942510396987241e-9,3.5052753837055237e-9,2.4478279837858385e-10,0.0,12857.362000001112
t29,1748.7292278998057,0.0,10306.346772094761,2.696788420365074e-9,3.7115140447065158e-9,2.433588894679604e-10,0.0,12055.076000001218
t30,270.3540318901697,0.0,11149.279968109797,1.053455486395818e-9,3.758231767032238e-9,2.412968490065443e-10,0.0,11419.63400000502
t31,540.7080637717934,0.0,9902.114867686041,527.8810685387649,4.044769200655928e-9,2.416906870732735e-10,0.0,10970.704000000887
t32,234.61664324895392,0.0,11575.44693709881,8.573801302799615e-10,4.236819815759795e-9,2.3923522799204527e-10,0.0,11810.063580353097
t33,234.61664324796655,0.0,12540.589778632786,8.148865180168238e-10,4.241414428209868e-9,2.391146317255461e-10,0.0,12775.206421886047
t34,234.61664324752053,0.0,11399.966420456265,8.092339811893497e-10,4.09992028276545e-9,2.3994098426222566e-10,0.0,11634.583063708935
t35,469.233286489376,0.0,9773.638060858464,690.7496526487073,4.050648818954448e-9,2.4305198762209673e-10,0.0,10933.621000000841
t36,469.2332864886176,0.0,8836.697445213462,2123.814268294338,4.146612877933754e-9,2.4378534944988747e-10,0.0,11429.745000000808
