BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2375667733349448e8,8.160987896260987e6,-9.641998932255456e6,0.0,0.0,0.0,3.2810028082567847e-9,0.0,0.0,-1.2227566629749997e8
t1,20163.80857130495,3.0258701129933697e-10,-5095.803571305252,0.0,0.0,0.0,3.738615720680501e-13,0.0,0.0,-15068.005000000001
t2,19182.62041446607,182.05937733730147,-4966.435791803369,0.0,0.0,0.0,3.74034846053084e-13,0.0,0.0,-14398.244
t3,18574.713833664777,178.92385914482327,-4980.8456928095975,0.0,0.0,0.0,3.7425312492964414e-13,0.0,0.0,-13772.792
t4,17797.528914981973,189.2416429822211,-4880.317557964197,0.0,0.0,0.0,3.748175536558976e-13,0.0,0.0,-13106.453
t5,17262.15216266772,175.2660244105588,-4920.251187078282,0.0,0.0,0.0,3.748298922458739e-13,0.0,0.0,-12517.167
t6,16316.530824301046,237.4903303084723,-4612.560154609518,0.0,0.0,0.0,3.7440021988942355e-13,0.0,0.0,-11941.461
t7,15988.150075931833,212.1751736178556,-4694.408249549689,0.0,0.0,0.0,3.744677607134139e-13,0.0,0.0,-11505.917
t8,15974.119073140666,170.08954999799744,-4900.707623138663,0.0,0.0,0.0,3.7470914351546667e-13,0.0,0.0,-11243.501
t9,14892.898817616917,295.06549348187366,-4021.873311098791,0.0,0.0,0.0,3.750623153230676e-13,0.0,0.0,-11166.091
t10,11913.331318957664,460.6327360033583,-1092.9310549609795,0.0,0.0,0.0,3.767502762631518e-13,0.0,0.0,-11281.033
t11,11644.131999988698,1.2141551836964177e-8,-8.417429371376841e-10,0.0,0.0,0.0,3.7792760563336696e-13,0.0,0.0,-11644.132
t12,12161.471999996253,4.7205525376661764e-9,-9.744850788575548e-10,0.0,0.0,0.0,3.7800338479360977e-13,0.0,0.0,-12161.472
t13,12420.847091743146,164.19590825767395,-8.185953366468017e-10,0.0,0.0,0.0,3.7985438564306187e-13,0.0,0.0,-12585.043
t14,11601.452097042567,1596.5729029583113,-8.720875366764034e-10,0.0,0.0,0.0,3.7469942775701447e-13,0.0,0.0,-13198.025
t15,13603.578122967738,147.85487703312583,-8.613525435255872e-10,0.0,0.0,0.0,3.7260014034421523e-13,0.0,0.0,-13751.433
t16,14405.25799999826,2.9098793630353057e-9,-1.1718716358677534e-9,0.0,0.0,0.0,3.7184828662710524e-13,0.0,0.0,-14405.258
t17,14582.19399999816,2.985222875057543e-9,-1.1441242113059212e-9,0.0,0.0,0.0,3.7133824535084723e-13,0.0,0.0,-14582.194000000001
t18,14394.256999997957,3.205721275642444e-9,-1.1675118170345084e-9,0.0,0.0,0.0,3.722854419810466e-13,0.0,0.0,-14394.256999999998
t19,13204.980721657603,943.1072783432949,-8.984542551258125e-10,0.0,0.0,0.0,3.7304137743508056e-13,0.0,0.0,-14148.088
t20,11093.68702149217,2856.8009785087147,-8.880400623382771e-10,0.0,0.0,0.0,3.7314496870935426e-13,0.0,0.0,-13950.488
t21,10467.019015009284,3708.4229849915787,-8.616996407571226e-10,0.0,0.0,0.0,3.7802235577907815e-13,0.0,0.0,-14175.442
t22,11454.820061824685,3696.524938176145,-8.31020740862432e-10,0.0,0.0,0.0,3.893371866056227e-13,0.0,0.0,-15151.344999999998
