Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,246.29868144194631,0.0,0.0,0.0,0.0,3.503259816188114e-12,0.0,246.2986814419498
t1,2.1536779450506026e-15,0.0,0.0,0.0,0.0,3.887731813875452e-16,0.0,2.5424511264381478e-15
t2,2.11028588796922e-15,0.0,0.0,0.0,0.0,3.8904110271610283e-16,0.0,2.499326990685323e-15
t3,2.0812444622756514e-15,0.0,0.0,0.0,0.0,3.891701866643789e-16,0.0,2.4704146489400303e-15
t4,2.0613626246527177e-15,0.0,0.0,0.0,0.0,3.892303806234038e-16,0.0,2.4505930052761215e-15
t5,2.0528998301880943e-15,0.0,0.0,0.0,0.0,3.8925713442968597e-16,0.0,2.4421569646177803e-15
t6,2.05058369484954e-15,0.0,0.0,0.0,0.0,3.8919365973987356e-16,0.0,2.4397773545894137e-15
t7,2.0501974668507463e-15,0.0,0.0,0.0,0.0,3.8916857831830655e-16,0.0,2.439366045169053e-15
t8,2.050818668931296e-15,0.0,0.0,0.0,0.0,3.890942109652212e-16,0.0,2.4399128798965173e-15
t9,2.052066908993789e-15,0.0,0.0,0.0,0.0,3.8904946366386406e-16,0.0,2.441116372657653e-15
t10,2.0541281991621505e-15,0.0,0.0,0.0,0.0,3.889992067095483e-16,0.0,2.4431274058716988e-15
t11,2.0578721242868887e-15,0.0,0.0,0.0,0.0,3.889294710864483e-16,0.0,2.446801595373337e-15
t12,2.0646566744310527e-15,0.0,0.0,0.0,0.0,3.890435865682301e-16,0.0,2.453700260999283e-15
t13,2.071552069711205e-15,0.0,0.0,0.0,0.0,3.8904299667213107e-16,0.0,2.460595066383336e-15
t14,2.076580806608344e-15,0.0,0.0,0.0,0.0,3.8904411229320816e-16,0.0,2.465624918901552e-15
t15,2.0760865128133446e-15,0.0,0.0,0.0,0.0,3.8905502975897475e-16,0.0,2.4651415425723194e-15
t16,2.0710821660861993e-15,0.0,0.0,0.0,0.0,3.8895595769077443e-16,0.0,2.4600381237769737e-15
t17,2.0656670583465144e-15,0.0,0.0,0.0,0.0,3.8893321588494653e-16,0.0,2.454600274231461e-15
t18,2.060138892284489e-15,0.0,0.0,0.0,0.0,3.888690476041905e-16,0.0,2.4490079398886794e-15
t19,2.0568906741540524e-15,0.0,0.0,0.0,0.0,3.888572893125624e-16,0.0,2.445747963466615e-15
t20,2.053920139275705e-15,0.0,0.0,0.0,0.0,3.888683102889967e-16,0.0,2.4427884495647017e-15
t21,2.035945133109134e-15,0.0,0.0,0.0,0.0,3.887519137694341e-16,0.0,2.424697046878568e-15
t22,2.042366406595521e-15,0.0,0.0,0.0,0.0,3.885330821076386e-16,0.0,2.4308994887031594e-15
t23,2.1699870021093392e-15,0.0,0.0,0.0,0.0,3.8914085763159234e-16,0.0,2.5591278597409316e-15
t24,2.148363175870184e-15,0.0,0.0,0.0,0.0,3.89025249127579e-16,0.0,2.537388424997763e-15
t25,2.157609702135388e-15,0.0,0.0,0.0,0.0,3.888951918979147e-16,0.0,2.5465048940333028e-15
t26,2.1334410822325442e-15,0.0,0.0,0.0,0.0,3.8881513184907967e-16,0.0,2.522256214081624e-15
t27,2.1023926640052868e-15,0.0,0.0,0.0,0.0,3.888811288839984e-16,0.0,2.491273792889285e-15
t28,2.0750304902157117e-15,0.0,0.0,0.0,0.0,3.8892576435441415e-16,0.0,2.463956254570126e-15
t29,2.0644266482206036e-15,0.0,0.0,0.0,0.0,3.889772661509283e-16,0.0,2.453403914371532e-15
t30,2.0588987394117486e-15,0.0,0.0,0.0,0.0,3.890260036617005e-16,0.0,2.447924743073449e-15
t31,2.0545672434702365e-15,0.0,0.0,0.0,0.0,3.890025287315118e-16,0.0,2.4435697722017483e-15
t32,2.0498578657176876e-15,0.0,0.0,0.0,0.0,3.8902750239987934e-16,0.0,2.438885368117567e-15
t33,2.045920414799779e-15,0.0,0.0,0.0,0.0,3.890311779316948e-16,0.0,2.434951592731474e-15
t34,2.0435630740923207e-15,0.0,0.0,0.0,0.0,3.8903283175654496e-16,0.0,2.4325959058488657e-15
t35,2.042515729200925e-15,0.0,0.0,0.0,0.0,3.8903254264722735e-16,0.0,2.431548271848152e-15
t36,2.0426432759277365e-15,0.0,0.0,0.0,0.0,3.8900492423364107e-16,0.0,2.4316482001613776e-15
t37,2.0425915544178345e-15,0.0,0.0,0.0,0.0,3.890981903566648e-16,0.0,2.4316897447744993e-15
t38,2.0439342932090926e-15,0.0,0.0,0.0,0.0,3.8902712863056474e-16,0.0,2.4329614218396573e-15
t39,2.0472282937184823e-15,0.0,0.0,0.0,0.0,3.889581419451924e-16,0.0,2.4361864356636747e-15
t40,2.052790017308887e-15,0.0,0.0,0.0,0.0,3.889627311238438e-16,0.0,2.4417527484327308e-15
t41,2.058730588211049e-15,0.0,0.0,0.0,0.0,3.8893801919674783e-16,0.0,2.4476686074077968e-15
t42,2.062383314165862e-15,0.0,0.0,0.0,0.0,3.889808075566999e-16,0.0,2.451364121722562e-15
t43,2.0647466672743768e-15,0.0,0.0,0.0,0.0,3.889961324734147e-16,0.0,2.4537427997477915e-15
t44,2.066711926762554e-15,0.0,0.0,0.0,0.0,3.889990181834545e-16,0.0,2.4557109449460084e-15
t45,2.068810418784429e-15,0.0,0.0,0.0,0.0,3.889812517914629e-16,0.0,2.457791670575892e-15
t46,2.069935354987966e-15,0.0,0.0,0.0,0.0,3.889179059253374e-16,0.0,2.4588532609133032e-15
t47,2.0667723960564005e-15,0.0,0.0,0.0,0.0,3.888616782973497e-16,0.0,2.4556340743537502e-15
t48,2.059949885676273e-15,0.0,0.0,0.0,0.0,3.8895692693319484e-16,0.0,2.448906812609468e-15
t49,2.053394332729876e-15,0.0,0.0,0.0,0.0,3.8900709327892177e-16,0.0,2.442401426008798e-15
t50,2.0519776344017305e-15,0.0,0.0,0.0,0.0,3.8901381736226655e-16,0.0,2.440991451763997e-15
t51,2.0656958689697015e-15,0.0,0.0,0.0,0.0,3.8884398103956277e-16,0.0,2.4545398500092643e-15
t52,2.1114118859753955e-15,0.0,0.0,0.0,0.0,3.8819607128743697e-16,0.0,2.4996079572628325e-15
t53,2.1646251231189548e-15,0.0,0.0,0.0,0.0,3.857962766304074e-16,0.0,2.5504213997493622e-15
t54,2.182796563406956e-15,0.0,0.0,0.0,0.0,3.7952224439498223e-16,0.0,2.562318807801938e-15
t55,1.999357776808625e-15,0.0,0.0,0.0,0.0,3.657832232596628e-16,0.0,2.365141000068288e-15
t56,2.373585189202064e-15,0.0,0.0,0.0,0.0,3.9122797592973827e-16,0.0,2.7648131651318024e-15
t57,3.153591465316542e-15,0.0,0.0,0.0,0.0,4.082837635656147e-16,0.0,3.561875228882157e-15
t58,4.9927797145457375e-15,0.0,0.0,0.0,0.0,4.221062057429255e-16,0.0,5.414885920288663e-15
t59,9.379842240746184e-15,0.0,0.0,0.0,0.0,4.322221664959431e-16,0.0,9.812064407242127e-15
t60,8.795036776389515e-15,0.0,0.0,0.0,0.0,4.3503202910771225e-16,0.0,9.230068805497227e-15
t61,9.615458801128524e-15,0.0,0.0,0.0,0.0,4.357737187977315e-16,0.0,1.0051232519926255e-14
t62,1.0444676849899751e-14,0.0,0.0,0.0,0.0,4.35978592284291e-16,0.0,1.0880655442184042e-14
t63,1.1436826372363706e-14,0.0,0.0,0.0,0.0,4.3606798034226503e-16,0.0,1.1872894352705972e-14
t64,1.2798197198883594e-14,0.0,0.0,0.0,0.0,4.3648573770012425e-16,0.0,1.3234682936583718e-14
t65,1.4629917340389788e-14,0.0,0.0,0.0,0.0,4.372945123355888e-16,0.0,1.5067211852725377e-14
t66,2.259746730321171e-14,0.0,0.0,0.0,0.0,4.3902097843586435e-16,0.0,2.3036488281647574e-14
t67,6.732072132045161e-15,0.0,0.0,0.0,0.0,4.3148708921019243e-16,0.0,7.163559221255353e-15
t68,6.7758745072743374e-15,0.0,0.0,0.0,0.0,4.329693902052061e-16,0.0,7.208843897479544e-15
t69,7.136309579358745e-15,0.0,0.0,0.0,0.0,4.339587157404776e-16,0.0,7.570268295099222e-15
t70,7.147182958208152e-15,0.0,0.0,0.0,0.0,4.3424977227679254e-16,0.0,7.581432730484944e-15
t71,7.64598469186599e-15,0.0,0.0,0.0,0.0,4.353123759104543e-16,0.0,8.081297067776444e-15
t72,8.143657623375376e-15,0.0,0.0,0.0,0.0,4.358625186042742e-16,0.0,8.57952014197965e-15
t73,9.108491995354725e-15,0.0,0.0,0.0,0.0,4.3622924126094025e-16,0.0,9.544721236615665e-15
t74,8.999551139823587e-15,0.0,0.0,0.0,0.0,4.35916965923095e-16,0.0,9.435468105746682e-15
t75,9.66743477225968e-15,0.0,0.0,0.0,0.0,4.3599671512973427e-16,0.0,1.0103431487389415e-14
t76,1.1428885257434041e-14,0.0,0.0,0.0,0.0,4.362413371715052e-16,0.0,1.1865126594605546e-14
t77,1.1263705776187081e-14,0.0,0.0,0.0,0.0,4.3594273923923915e-16,0.0,1.169964851542632e-14
t78,1.1181784423141143e-14,0.0,0.0,0.0,0.0,4.3568867205179963e-16,0.0,1.1617473095192943e-14
t79,1.1756840707795242e-14,0.0,0.0,0.0,0.0,4.354668565168901e-16,0.0,1.2192307564312132e-14
t80,1.4044706825074197e-14,0.0,0.0,0.0,0.0,4.3560176660518196e-16,0.0,1.448030859167938e-14
t81,1.6134142671667504e-14,0.0,0.0,0.0,0.0,4.356613216447318e-16,0.0,1.6569803993312236e-14
t82,1.8482105800232197e-14,0.0,0.0,0.0,0.0,4.3593707752398835e-16,0.0,1.8918042877756185e-14
t83,2.1673591229404274e-14,0.0,0.0,0.0,0.0,4.3624615113971926e-16,0.0,2.2109837380543993e-14
t84,2.6484539435352922e-14,0.0,0.0,0.0,0.0,4.363729840161247e-16,0.0,2.6920912419369047e-14
t85,3.464419065997851e-14,0.0,0.0,0.0,0.0,4.3638565645542073e-16,0.0,3.508057631643393e-14
t86,5.147342647114308e-14,0.0,0.0,0.0,0.0,4.359062554818949e-16,0.0,5.190933272662498e-14
t87,1.023562974529282e-13,0.0,0.0,0.0,0.0,4.3606038926700954e-16,0.0,1.027923578421952e-13
t88,2.5559184520640517,0.0,0.0,0.0,0.0,4.359852254908595e-16,0.0,2.555918452064052
t89,3.581508615517416,0.0,0.0,0.0,0.0,4.377494799997134e-16,0.0,3.5815086155174165
t90,5.087437762745659,0.0,0.0,0.0,0.0,4.3948858276049235e-16,0.0,5.087437762745659
t91,0.853811416056615,0.0,0.0,0.0,0.0,4.4030730741906715e-16,0.0,0.8538114160566155
t92,1.212914509276857e-14,0.0,0.0,0.0,0.0,4.348047024819716e-16,0.0,1.2563949795250541e-14
t93,6.382056061675445e-15,0.0,0.0,0.0,0.0,4.291294217049998e-16,0.0,6.811185483380445e-15
t94,6.996702745848645e-15,0.0,0.0,0.0,0.0,4.321601050668255e-16,0.0,7.42886285091547e-15
t95,7.643784977855955e-15,0.0,0.0,0.0,0.0,4.3423580822405056e-16,0.0,8.078020786080005e-15
t96,8.500407984989773e-15,0.0,0.0,0.0,0.0,4.362724578096439e-16,0.0,8.936680442799417e-15
