1,2,3,4,5,6,7,8
-2.1427040817557003e-26,-2.93828480285637e-16,-1.9339886998413278e-16,-5.4916018057848884e-17,-6.270190707366385e-17,-1.1831214797912762e-19,NaN,-4.762384753412441e-25
-4.229808460772181e-26,-5.749698395240067e-16,-3.8669497888262943e-16,-1.0857921816840072e-16,-1.237816406085297e-16,-2.3382840261548714e-19,NaN,-9.410287996511203e-25
-6.116963560755074e-26,-8.509055825075511e-16,-5.629052436100423e-16,-1.5683617751992764e-16,-1.8467599362920926e-16,-3.3715814520870414e-19,NaN,-1.3523163649146092e-24
-7.92103668712425e-26,-1.1191995589516155e-15,-7.356715815005305e-16,-2.0450451547399917e-16,-2.3960294796907415e-16,-4.371094732167835e-19,NaN,-1.754519359460411e-24
-9.721741026156826e-26,-1.3506881046320404e-15,-9.071031215687254e-16,-2.476353325131995e-16,-2.8731256996276094e-16,-5.360092042389175e-19,NaN,-2.147345003703766e-24
-1.1246978662179356e-25,-1.561070401680449e-15,-1.0458308600277996e-15,-2.8920595230154637e-16,-3.3162145009743945e-16,-6.20836528573627e-19,NaN,-2.487675566741051e-24
-1.267043170775606e-25,-1.7590467292958382e-15,-1.1837397845915823e-15,-3.304421967510487e-16,-3.747408502806518e-16,-6.989281639206356e-19,NaN,-2.799358348978732e-24
-1.40920655532756e-25,-1.9496974858208892e-15,-1.3179798673147687e-15,-3.7054749877833054e-16,-4.166231552753324e-16,-7.766762454337422e-19,NaN,-3.109828512189488e-24
-1.54390788966221e-25,-2.13067902842399e-15,-1.4476648715137772e-15,-4.088500666819764e-16,-4.581893006575508e-16,-8.508500837244659e-19,NaN,-3.405712400783059e-24
-1.6769688446785676e-25,-2.3113578919467937e-15,-1.5767791131588236e-15,-4.451741539123029e-16,-4.984587287576943e-16,-9.235669472760904e-19,NaN,-3.696225227417896e-24
-1.8055894311648077e-25,-2.4883104859620284e-15,-1.7044103520424946e-15,-4.795872578364535e-16,-5.3733619382027495e-16,-9.95152444467897e-19,NaN,-3.984243819411673e-24
-1.9321221620123042e-25,-2.6597858247882655e-15,-1.82887430501647e-15,-5.111016376222423e-16,-5.7095518957162e-16,-1.0639334089658847e-18,NaN,-4.257849212834469e-24
-2.0527878444628784e-25,-2.816741744148612e-15,-1.9412175338981823e-15,-5.401729057282115e-16,-6.03875265546062e-16,-1.1313682324914447e-18,NaN,-4.526866483137655e-24
-2.1627441224962767e-25,-2.9638715290388534e-15,-2.044816730097433e-15,-5.667542439460319e-16,-6.348535030289351e-16,-1.19212760889388e-18,NaN,-4.771194336726556e-24
-2.2651755578582895e-25,-3.10440670624436e-15,-2.1474723405949235e-15,-5.92871393821378e-16,-6.644186737604592e-16,-1.2483887027684896e-18,NaN,-4.997699497104717e-24
-2.3675450218404225e-25,-3.2438826853432895e-15,-2.2477472578693246e-15,-6.183549965860008e-16,-6.895046378330392e-16,-1.3045431714805092e-18,NaN,-5.2216831088427726e-24
-2.469257538064513e-25,-3.37105883489752e-15,-2.3428269763041646e-15,-6.429515697523585e-16,-7.142570040552973e-16,-1.3603336730433096e-18,NaN,-5.444913616161395e-24
-2.563054928153036e-25,-3.497539959038699e-15,-2.431306078199402e-15,-6.653880730110147e-16,-7.377075076151222e-16,-1.411983429064783e-18,NaN,-5.650344650081147e-24
-2.655622112684516e-25,-3.613241440346135e-15,-2.5185582506878914e-15,-6.873113979131188e-16,-7.597424784119603e-16,-1.4624931786398805e-18,NaN,-5.852479707067566e-24
-2.740353607693533e-25,-3.725150160377554e-15,-2.6026116831138927e-15,-7.082331249390432e-16,-7.803259485605676e-16,-1.5089661840592345e-18,NaN,-6.037953371498077e-24
-2.811194650876401e-25,-3.815427866579224e-15,-2.675456629006531e-15,-7.290607803643158e-16,-7.996466307281463e-16,-1.5474820422602828e-18,NaN,-6.1914171682336105e-24
-2.8669432713737015e-25,-3.889078390434747e-15,-2.7348263549100645e-15,-7.421132786958787e-16,-8.183328061298172e-16,-1.5781767457187224e-18,NaN,-6.31543520790177e-24
-2.9184354388686725e-25,-3.955158032742722e-15,-2.7889793673670138e-15,-7.537900995799523e-16,-8.304267784989633e-16,-1.6065945194211003e-18,NaN,-6.428579209806619e-24
-2.9678573986420985e-25,-4.015545380270237e-15,-2.8394796807178486e-15,-7.639421464642017e-16,-8.417857397636008e-16,-1.6339451291775544e-18,NaN,-6.5377400940157524e-24
-2.9857719525172036e-25,-4.039381115173387e-15,-2.858686125937161e-15,-7.687392060175801e-16,-8.477438670633055e-16,-1.6437386374351341e-18,NaN,-6.577429104306974e-24
-3.0023967267129843e-25,-4.0596713140431375e-15,-2.8763790245523678e-15,-7.718311103019206e-16,-8.519069715459822e-16,-1.6528351912200383e-18,NaN,-6.6138038999935934e-24
-3.018635680352223e-25,-4.078220303316348e-15,-2.8929571041896688e-15,-7.748886732427594e-16,-8.539538316625501e-16,-1.6618241264095712e-18,NaN,-6.64952152923692e-24
-3.00353750729011e-25,-4.078220303316348e-15,-2.8766165834740547e-15,-7.748886651580019e-16,-8.511056704956916e-16,-1.6534907152304262e-18,NaN,-6.616488743553421e-24
-2.98758508431483e-25,-4.078220303316348e-15,-2.859525375156134e-15,-7.748886564243048e-16,-8.47043224780049e-16,-1.6446758122307197e-18,NaN,-6.5808927102220154e-24
