Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,8.17432611334974e6,0.0,0.0,0.0,0.0,8.17432611334974e6
t1,0.0,0.0,0.0,3342.9141002277206,0.0,0.0,0.0,0.0,3342.9141002277206
t2,0.0,0.0,0.0,3416.796950518538,0.0,0.0,0.0,0.0,3416.796950518538
t3,0.0,0.0,0.0,4158.72265933526,0.0,0.0,0.0,0.0,4158.72265933526
t4,0.0,0.0,0.0,3488.088732063588,0.0,0.0,0.0,0.0,3488.088732063588
t5,0.0,0.0,0.0,4000.227421026054,0.0,0.0,0.0,0.0,4000.227421026054
t6,0.0,0.0,0.0,2912.9675877552254,0.0,0.0,0.0,0.0,2912.9675877552254
t7,0.0,0.0,0.0,3097.041810188254,0.0,0.0,0.0,0.0,3097.041810188254
t8,0.0,0.0,0.0,3556.186571512675,0.0,0.0,0.0,0.0,3556.186571512675
t9,0.0,0.0,0.0,2404.773146821834,0.0,0.0,0.0,0.0,2404.773146821834
t10,0.0,0.0,0.0,1086.4632091376861,0.0,0.0,0.0,0.0,1086.4632091376861
t11,0.0,0.0,0.0,341.3087990151203,0.0,0.0,0.0,0.0,341.3087990151203
t12,0.0,0.0,0.0,100.22746345864614,0.0,0.0,0.0,0.0,100.22746345864614
t13,0.0,0.0,0.0,3.745977024293278e-5,0.0,0.0,0.0,0.0,3.745977024293278e-5
t14,0.0,0.0,0.0,4.229038398840885e-5,0.0,0.0,0.0,0.0,4.229038398840885e-5
t15,0.0,0.0,0.0,292.3106491611164,0.0,0.0,0.0,0.0,292.3106491611164
t16,0.0,0.0,0.0,834.920871120151,0.0,0.0,0.0,0.0,834.920871120151
t17,0.0,0.0,0.0,768.1202987045378,0.0,0.0,0.0,0.0,768.1202987045378
t18,0.0,0.0,0.0,364.64145748822455,0.0,0.0,0.0,0.0,364.64145748822455
t19,0.0,0.0,0.0,37.28255859894189,0.0,0.0,0.0,0.0,37.28255859894189
t20,0.0,0.0,0.0,4.154643805930332e-5,0.0,0.0,0.0,0.0,4.154643805930332e-5
t21,0.0,0.0,0.0,4.230520189048816e-5,0.0,0.0,0.0,0.0,4.230520189048816e-5
t22,0.0,0.0,0.0,3.4916921577034977e-5,0.0,0.0,0.0,0.0,3.4916921577034977e-5
t23,0.0,0.0,0.0,2.9793605352614486e-5,0.0,0.0,0.0,0.0,2.9793605352614486e-5
t24,0.0,0.0,0.0,3.5198665283217165e-5,0.0,0.0,0.0,0.0,3.5198665283217165e-5
t25,0.0,0.0,0.0,3.604122389561062e-5,0.0,0.0,0.0,0.0,3.604122389561062e-5
t26,0.0,0.0,0.0,3.707175619652628e-5,0.0,0.0,0.0,0.0,3.707175619652628e-5
t27,0.0,0.0,0.0,3.781930871793553e-5,0.0,0.0,0.0,0.0,3.781930871793553e-5
t28,0.0,0.0,0.0,164.8601842776269,0.0,0.0,0.0,0.0,164.8601842776269
t29,0.0,0.0,0.0,647.0527161254842,0.0,0.0,0.0,0.0,647.0527161254842
t30,0.0,0.0,0.0,936.3374981667669,0.0,0.0,0.0,0.0,936.3374981667669
