Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,2.9433323838579285e-9,0.0,0.0,0.0,0.0,4.050640630243726e-10,0.0,37.76667805037618
t2,2.522338594132898e-9,0.0,0.0,0.0,0.0,3.954920880041565e-10,0.0,37.742321343343455
t3,2.3532156526534227e-9,0.0,0.0,0.0,0.0,3.9049576165029375e-10,0.0,37.74726906924167
t4,2.2904677568026465e-9,0.0,0.0,0.0,0.0,3.882743539555731e-10,0.0,37.86805668695001
t5,2.2749003751002235e-9,0.0,0.0,0.0,0.0,3.876565840783047e-10,0.0,37.82031767833417
t6,2.27141782155153e-9,0.0,0.0,0.0,0.0,3.8753622148292344e-10,0.0,37.89896906992371
t7,2.2925996962503415e-9,0.0,0.0,0.0,0.0,3.877635929852532e-10,0.0,37.767803841630155
t8,2.3233855696859407e-9,0.0,0.0,0.0,0.0,3.8810665884451417e-10,0.0,37.24097931201098
t9,2.362052326306633e-9,0.0,0.0,0.0,0.0,3.884566415467304e-10,0.0,36.723565440209235
t10,2.399188821339447e-9,0.0,0.0,0.0,0.0,3.888044081431413e-10,0.0,36.87560702319002
t11,2.4330355899836327e-9,0.0,0.0,0.0,0.0,3.891884640648511e-10,0.0,39.09088107715554
t12,2.44934676079783e-9,0.0,0.0,0.0,0.0,3.894862929081467e-10,0.0,41.10254869906765
t13,2.4437329652939697e-9,0.0,0.0,0.0,0.0,3.8969125339117097e-10,0.0,42.105235523223406
t14,2.42970340118224e-9,0.0,0.0,0.0,0.0,3.9002274175422893e-10,0.0,42.10523552922676
t15,2.4178324632930237e-9,0.0,0.0,0.0,0.0,3.900410289697233e-10,0.0,39.86459689819945
t16,2.412701456198907e-9,0.0,0.0,0.0,0.0,3.8993401172590355e-10,0.0,37.73011997241404
t17,2.4122606519468046e-9,0.0,0.0,0.0,0.0,3.898099625957512e-10,0.0,37.80918685062401
t18,2.4223000050262275e-9,0.0,0.0,0.0,0.0,3.8968394034369124e-10,0.0,39.87097679204971
t19,2.439284863625909e-9,0.0,0.0,0.0,0.0,3.8949918273214977e-10,0.0,41.804007161816884
t20,2.4694778445978945e-9,0.0,0.0,0.0,0.0,3.8919264288575786e-10,0.0,42.10523557394508
t21,2.525581566368545e-9,0.0,0.0,0.0,0.0,3.8873357272248367e-10,0.0,42.10523551283761
t22,2.609658950681946e-9,0.0,0.0,0.0,0.0,3.8849587703539513e-10,0.0,42.1052355244268
t23,2.586268966477805e-9,0.0,0.0,0.0,0.0,3.883530344307959e-10,0.0,42.10523555220162
t24,2.457355764153473e-9,0.0,0.0,0.0,0.0,3.882998869313323e-10,0.0,42.10523555344782
t25,2.404347333213361e-9,0.0,0.0,0.0,0.0,3.8820313041090915e-10,0.0,42.10523559102795
t26,2.334957453518562e-9,0.0,0.0,0.0,0.0,3.8798371871124755e-10,0.0,42.105235591455504
t27,2.2975959982766275e-9,0.0,0.0,0.0,0.0,3.878271762144445e-10,0.0,42.10523560532025
t28,2.2806852517424635e-9,0.0,0.0,0.0,0.0,3.878161008672444e-10,0.0,40.94176040442485
t29,2.268326263694807e-9,0.0,0.0,0.0,0.0,3.87748782319131e-10,0.0,38.807201238436036
t30,2.2602586889902503e-9,0.0,0.0,0.0,0.0,3.8767702768724556e-10,0.0,38.1924386520171
t31,2.2426701309708445e-9,0.0,0.0,0.0,0.0,3.876363639332842e-10,0.0,38.269668648112706
t32,2.241093363423369e-9,0.0,0.0,0.0,0.0,3.87642179390976e-10,0.0,37.749826851132276
t33,2.246752774350607e-9,0.0,0.0,0.0,0.0,3.877154407850634e-10,0.0,37.506554277911896
t34,2.257186011112113e-9,0.0,0.0,0.0,0.0,3.8785340956162623e-10,0.0,37.561297180521436
t35,2.27006800757881e-9,0.0,0.0,0.0,0.0,3.880205658882127e-10,0.0,38.00075604484302
t36,2.279337153228514e-9,0.0,0.0,0.0,0.0,3.881946713878409e-10,0.0,38.27625773512727
t37,2.308593205898626e-9,0.0,0.0,0.0,0.0,3.8823616905282474e-10,0.0,38.21001612379949
