Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,2.0494192711389984e6,4.541493612017879e6,0.0,375433.3994122945,0.0,0.0,0.0,6.966346282569173e6
t1,0.0,0.0,1.926312324940227e-5,0.0,1.8786091857236897e-5,0.0,0.0,0.0,3.804921510663917e-5
t2,0.0,0.0,1.962954229384195e-5,0.0,1.8737778248123504e-5,0.0,0.0,0.0,3.8367320541965455e-5
t3,0.0,0.0,1.9853418052662164e-5,0.0,1.869810250809678e-5,0.0,0.0,0.0,3.8551520560758945e-5
t4,0.0,0.0,1.984262235055212e-5,0.0,1.8548090253034388e-5,0.0,0.0,0.0,3.839071260358651e-5
t5,0.0,0.0,1.997355866478756e-5,0.0,1.8475663438266565e-5,0.0,0.0,0.0,3.8449222103054126e-5
t6,0.0,0.0,1.99192018044414e-5,0.0,1.7618841212652114e-5,0.0,0.0,0.0,3.7538043017093514e-5
t7,0.0,0.0,1.9961396901635453e-5,0.0,1.7503026782605957e-5,0.0,0.0,0.0,3.746442368424141e-5
t8,0.0,0.0,1.9958213670179248e-5,0.0,1.698299483621213e-5,0.0,0.0,0.0,3.6941208506391376e-5
t9,0.0,0.0,1.9788703866652213e-5,0.0,1.6128438751650265e-5,0.0,0.0,0.0,3.591714261830248e-5
t10,0.0,0.0,1.951985905179754e-5,0.0,1.5196847918730327e-5,0.0,0.0,0.0,3.4716706970527866e-5
t11,0.0,0.0,1.8714637917582877e-5,0.0,1.4058467051825119e-5,0.0,0.0,0.0,3.2773104969407996e-5
t12,0.0,0.0,1.838157004385721e-5,0.0,1.3558715835415569e-5,0.0,0.0,0.0,3.194028587927278e-5
t13,0.0,1.26129353077431e-5,1.5712393178546336e-5,0.0,1.1205406547531993e-5,0.0,0.0,0.0,3.953073503382143e-5
t14,0.0,1.5769930996611947e-5,1.609331184226903e-5,0.0,1.0547228624702143e-5,0.0,0.0,0.0,4.241047146358312e-5
t15,0.0,1.8846989405574277e-5,1.834310069170897e-5,0.0,1.3159288240416345e-5,0.0,0.0,0.0,5.034937833769959e-5
t16,0.0,1.9134278772980906e-5,1.8814756003848743e-5,0.0,1.4938599022684684e-5,0.0,0.0,0.0,5.288763379951433e-5
t17,0.0,1.906540092022624e-5,1.8654468476597685e-5,0.0,1.579731120671113e-5,0.0,0.0,0.0,5.351718060353505e-5
t18,0.0,1.8620819901116192e-5,1.8803261355060386e-5,0.0,1.6142286192177835e-5,0.0,0.0,0.0,5.356636744835441e-5
t19,0.0,1.795425032469211e-5,1.8030898445431376e-5,0.0,1.659404895804073e-5,0.0,0.0,0.0,5.257919772816422e-5
t20,0.0,1.5497224922000896e-5,1.5641563095414313e-5,0.0,1.4665682883219233e-5,0.0,0.0,0.0,4.580447090063444e-5
t21,0.0,1.538138701562275e-5,1.5341255220846506e-5,0.0,1.485885695728939e-5,0.0,0.0,0.0,4.5581499193758646e-5
t22,0.0,1.0007669251521634e-5,1.4579753042198718e-5,0.0,1.4907298591992912e-5,0.0,0.0,0.0,3.9494720885713264e-5
t23,0.0,0.0,1.4680903859698446e-5,0.0,1.4519022187187147e-5,0.0,0.0,0.0,2.9199926046885594e-5
t24,0.0,0.0,1.5069652363308705e-5,0.0,1.5501940367812495e-5,0.0,0.0,0.0,3.05715927311212e-5
t25,0.0,0.0,1.5526977222179994e-5,0.0,1.5665866669678508e-5,0.0,0.0,0.0,3.11928438918585e-5
t26,0.0,0.0,1.527658469058224e-5,0.0,1.578462729412422e-5,0.0,0.0,0.0,3.106121198470646e-5
t27,0.0,0.0,1.5329098459915258e-5,0.0,1.5795371552940196e-5,0.0,0.0,0.0,3.1124470012855454e-5
t28,0.0,0.0,1.9037753190787043e-5,0.0,1.8507871175188484e-5,0.0,0.0,0.0,3.754562436597553e-5
t29,0.0,0.0,1.9387383872526698e-5,0.0,1.8818396370079427e-5,0.0,0.0,0.0,3.8205780242606124e-5
t30,0.0,0.0,1.9602336578827817e-5,0.0,1.8909343452833127e-5,0.0,0.0,0.0,3.8511680031660944e-5
t31,0.0,0.0,1.9699178665177897e-5,0.0,1.8934831871320057e-5,0.0,0.0,0.0,3.8634010536497954e-5
