Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,,Net+Recirc-Gross,Recirc-heating-fixed-var-magnet
2.00E-05,4090.878603,6206.53659,2115.657987,22.34668942,377.6667805,1294.592157,15535.11209,15516.34147,0.390773064,18508.78889,0.248906974,18695.21724,37.76667805,,0,1.069694407
1.99E-05,3375.627786,5302.762311,1927.134525,22.35357301,377.4232134,1106.305379,13275.66986,13256.90578,0.369380626,16348.03038,0.266139734,16988.53325,37.74232134,,,1.070038586
1.99E-05,2952.894834,4768.867538,1815.972705,22.37174697,377.4726907,995.075907,11940.91566,11922.16885,0.347559932,15074.80894,0.284518499,15900.68983,37.74726907,,,1.070947284
1.99E-05,3094.206062,4948.809876,1854.603814,22.30144244,378.6805669,1032.569445,12390.83829,12372.02469,0.333507489,14408.95219,0.298034297,15302.86824,37.86805669,,,1.067432058
1.99E-05,2921.877073,4730.511195,1808.634122,22.2868593,378.2031768,987.0917256,11845.10545,11826.27799,0.317979965,14075.1069,0.31285116,15037.45434,37.82031768,,,1.066702901
1.99E-05,3155.158946,5026.028707,1870.86976,22.15980184,378.9896907,1048.667908,12584.01993,12565.07177,0.307560306,14080.36323,0.32448482,15090.53607,37.89896907,,,1.060350028
1.99E-05,3146.842641,5013.838892,1866.99625,22.13556941,377.6780384,1046.130283,12553.56841,12534.59723,0.295169283,14333.0799,0.337667673,15393.86389,37.76780384,,,1.059138406
1.99E-05,3041.73036,4874.414054,1832.683694,22.13830451,372.4097931,1017.083237,12205.00372,12186.03514,0.276360694,14906.31904,0.355229063,15988.67141,37.24097931,,,1.059275161
1.99E-05,3438.796918,5369.297693,1930.500775,22.01939346,367.2356544,1120.193367,13442.32578,13423.24423,0.258424335,16018.3751,0.371626694,16975.25744,36.72356544,,,
1.99E-05,4479.568237,6685.712733,2206.144495,21.87852223,368.7560702,1394.457543,16733.49721,16714.28183,0.250743291,17836.53205,0.37933884,18395.10829,36.87560702,,,
1.99E-05,6638.242624,9440.041471,2801.798847,21.53465252,390.9088108,1968.303024,23619.64573,23600.10368,0.273273026,20383.33681,0.363392882,20184.02873,39.09088108,,,
