Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2.629775575362208e6,2.3120802910596706e7,6.227528610208245e7,6.91874962267107e6,2.0241672437597448e6,0.007312411251580649,0.0,3.3481211139352113e7,1.3044999260113671e8
t1,8.308785480016383e-7,0.0,13966.981019442059,2.4582645974594766e-7,353.05947622979045,7.013522258775404e-8,0.0,4090.8786233674214,18410.91912018611
t2,7.244518074819908e-7,0.0,14128.987468705394,3.874194894665824e-5,310.42565619087895,6.867440037494496e-8,0.0,3375.6278060206614,17815.04097045201
t3,6.828492759430135e-7,0.0,14693.984961565286,3.662271307214274e-5,284.6348267950728,6.792086534344505e-8,0.0,2952.8948535289946,17931.514679262837
t4,6.687970053109401e-7,0.0,13262.252962973129,3.444467286559181e-5,238.0826722270724,6.760658623855678e-8,0.0,3094.206081592709,16594.541751973986
t5,6.668466484834285e-7,0.0,13406.0336868886,3.373662209119091e-5,189.48362635644833,6.752667386149451e-8,0.0,2921.877093216044,16517.39444093209
t6,6.633420944226124e-7,0.0,11555.109999923015,3.342443099563096e-5,144.15960723028084,6.749739232690828e-8,0.0,3155.158966332697,14854.428607641263
t7,6.714904015235689e-7,0.0,11352.601937843627,3.438350363705523e-5,103.51419587747871,6.755340997279117e-8,0.0,3146.8426612224735,14602.958830066127
t8,6.810576620382348e-7,0.0,11682.690078967435,3.413860325573042e-5,75.2670974919829,6.762454851046693e-8,0.0,3041.730380043907,14799.68759139061
t9,6.935688011592417e-7,0.0,10076.801147182006,3.413492167809305e-5,55.26604694759384,6.769460859431792e-8,0.0,3438.796937664634,13570.86416669042
t10,7.053379314461994e-7,0.0,7849.212465041731,3.560988876671861e-5,38.71547025958973,6.775841732706308e-8,0.0,4479.568257362254,12367.49622904656
t11,7.159101634072574e-7,0.0,5319.886771002414,4.0081134125206606e-5,27.311363144186092,6.785645381116392e-8,0.0,6638.24264390051,11985.440818912011
t12,7.221512777843383e-7,0.0,4481.503394501505,4.028010752022956e-5,23.393029013149814,6.791536848755379e-8,0.0,7756.803018763798,12261.699483348628
t13,7.197351893586039e-7,143.9014012153308,4135.214611087082,70.75272341335621,18.363527213507986,6.79310272730962e-8,0.0,8216.810793659202,12585.043057376144
t14,7.126259387793324e-7,2214.1753282339414,2357.1938260196116,394.81509313007,15.030019305195054,6.800469667499926e-8,0.0,8216.810794837897,13198.025062307344
t15,7.09854331253013e-7,4977.598045784821,1984.578989621388,3.828491436735909e-5,20.936759942531513,6.800153446198873e-8,0.0,7060.629834759309,14043.74366917082
t16,7.088169119537587e-7,8112.574576333628,1571.4625425938596,3.599612269149994e-5,35.38196195134777,6.797152192742462e-8,0.0,5520.759773488858,15240.178891140604
t17,7.081530724706268e-7,7922.351335431632,1660.566090050512,3.6341336823627044e-5,49.359304029325315,6.79488320076624e-8,0.0,5718.037552020294,15350.314318649202
