BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2353124297846563e8,6.91874962267107e6,-8.17432611334974e6,0.0,0.0,0.0,7.264286693136469e-6,0.0,0.0,-1.2227566629749997e8
t1,18410.91911994028,2.4582645974594766e-7,-3342.9141002277206,0.0,0.0,0.0,8.33622312750622e-10,0.0,0.0,-15068.005000000001
t2,17815.04093171006,3.874194894665824e-5,-3416.796950518538,0.0,0.0,0.0,8.306582006888217e-10,0.0,0.0,-14398.244
t3,17931.514642640122,3.662271307214274e-5,-4158.72265933526,0.0,0.0,0.0,8.278722461475732e-10,0.0,0.0,-13772.792
t4,16594.54171752931,3.444467286559181e-5,-3488.088732063588,0.0,0.0,0.0,8.251595322975379e-10,0.0,0.0,-13106.453
t5,16517.39440719547,3.373662209119091e-5,-4000.227421026054,0.0,0.0,0.0,8.224243193866797e-10,0.0,0.0,-12517.167
t6,14854.428574216832,3.342443099563096e-5,-2912.9675877552254,0.0,0.0,0.0,8.198376932302782e-10,0.0,0.0,-11941.461
t7,14602.958795682624,3.438350363705523e-5,-3097.041810188254,0.0,0.0,0.0,8.186045340740967e-10,0.0,0.0,-11505.917
t8,14799.687557252006,3.413860325573042e-5,-3556.186571512675,0.0,0.0,0.0,8.197272187595399e-10,0.0,0.0,-11243.501
t9,13570.864132555498,3.413492167809305e-5,-2404.773146821834,0.0,0.0,0.0,8.209310131867284e-10,0.0,0.0,-11166.091
t10,12367.496193436671,3.560988876671861e-5,-1086.4632091376861,0.0,0.0,0.0,8.227642682588082e-10,0.0,0.0,-11281.033
t11,11985.440778830878,4.0081134125206606e-5,-341.3087990151203,0.0,0.0,0.0,8.231108091408084e-10,0.0,0.0,-11644.132
t12,12261.699443068519,4.028010752022956e-5,-100.22746345864614,0.0,0.0,0.0,8.223491127834295e-10,0.0,0.0,-12161.472
t13,12514.290333962788,70.75272341335621,-3.745977024293278e-5,0.0,0.0,0.0,8.246604327374709e-10,0.0,0.0,-12585.043
t14,12803.209969177275,394.81509313007,-4.229038398840885e-5,0.0,0.0,0.0,8.297421571821877e-10,0.0,0.0,-13198.025
t15,14043.743630885905,3.828491436735909e-5,-292.3106491611164,0.0,0.0,0.0,8.287582192063101e-10,0.0,0.0,-13751.433
t16,15240.17885514448,3.599612269149994e-5,-834.920871120151,0.0,0.0,0.0,8.304315084798199e-10,0.0,0.0,-14405.258
t17,15350.314282307865,3.6341336823627044e-5,-768.1202987045378,0.0,0.0,0.0,8.279060047087542e-10,0.0,0.0,-14582.194000000001
t18,14758.898434458732,4.28929317699704e-5,-364.64145748822455,0.0,0.0,0.0,8.284441302935901e-10,0.0,0.0,-14394.256999999998
t19,14185.37052182278,5.6643571186883476e-5,-37.28255859894189,0.0,0.0,0.0,8.285272148208801e-10,0.0,0.0,-14148.088
t20,12173.692152863136,1776.795908558702,-4.154643805930332e-5,0.0,0.0,0.0,8.309345241083853e-10,0.0,0.0,-13950.488
t21,11418.54179806133,2756.900264159993,-4.230520189048816e-5,0.0,0.0,0.0,8.230672531974859e-10,0.0,0.0,-14175.442
t22,11928.865224470104,3222.47983031077,-3.4916921577034977e-5,0.0,0.0,0.0,8.47489871042957e-10,0.0,0.0,-15151.344999999998
t23,11005.58692493619,4802.535124830295,-2.9793605352614486e-5,0.0,0.0,0.0,8.224023039474285e-10,0.0,0.0,-15808.122
t24,11481.573126243524,4013.660928805788,-3.5198665283217165e-5,0.0,0.0,0.0,8.262056315690325e-10,0.0,0.0,-15495.234000000002
t25,11344.75300864329,3618.158047251989,-3.604122389561062e-5,0.0,0.0,0.0,8.28838540925557e-10,0.0,0.0,-14962.910999999998
t26,12607.237722092137,1771.2323348425653,-3.707175619652628e-5,0.0,0.0,0.0,8.298602317361886e-10,0.0,0.0,-14378.47
t27,13023.88204843903,659.5210092492276,-3.781930871793553e-5,0.0,0.0,0.0,8.272046556091718e-10,0.0,0.0,-13683.403
t28,13022.222166035135,3.8122054457168753e-5,-164.8601842776269,0.0,0.0,0.0,8.261663906868035e-10,0.0,0.0,-12857.362
t29,12702.12869573278,4.029408086352483e-5,-647.0527161254842,0.0,0.0,0.0,8.240266460943391e-10,0.0,0.0,-12055.076
t30,12355.971479622562,3.8446433260680924e-5,-936.3374981667669,0.0,0.0,0.0,8.218339278963099e-10,0.0,0.0,-11419.634
t31,11694.576339481098,3.836548205076617e-5,-723.8723579538009,0.0,0.0,0.0,8.189917204417866e-10,0.0,0.0,-10970.704
t32,11847.566560587402,3.782810721226889e-5,-1117.9675785169063,0.0,0.0,0.0,8.19133915380698e-10,0.0,0.0,-10729.599
t33,12033.513266435337,3.8020304103749756e-5,-1416.5372845597228,0.0,0.0,0.0,8.201334250759107e-10,0.0,0.0,-10616.976
t34,11666.098144018046,3.8754763576245936e-5,-1004.0061628835963,0.0,0.0,0.0,8.208637842608795e-10,0.0,0.0,-10662.092
t35,11566.856958145461,3.921702816011692e-5,-633.2359774784608,0.0,0.0,0.0,8.220802481567474e-10,0.0,0.0,-10933.621
t36,11862.793905944334,3.880441784293393e-5,-433.0489248594573,0.0,0.0,0.0,8.245919566242928e-10,0.0,0.0,-11429.745
t37,12444.413714926133,3.434913831607897e-5,-435.43772931885906,0.0,0.0,0.0,8.251628098098631e-10,0.0,0.0,-12008.976
t38,13286.39238990574,3.654372069249189e-5,-468.5214064790811,0.0,0.0,0.0,8.290791762042012e-10,0.0,0.0,-12817.871
t39,14743.995723065284,3.785116389703161e-5,-778.1777409898366,0.0,0.0,0.0,8.367677225236009e-10,0.0,0.0,-13965.818
t40,16244.337306627556,3.85989268127724e-5,-1684.285325299101,0.0,0.0,0.0,8.38137575522302e-10,0.0,0.0,-14560.052
t41,18100.63155650723,3.8676376960210504e-5,-3217.0795752559475,0.0,0.0,0.0,8.39033616656133e-10,0.0,0.0,-14883.552
t42,19790.44322441975,3.854857344883963e-5,-4829.864243047731,0.0,0.0,0.0,8.383551169753754e-10,0.0,0.0,-14960.579
t43,18978.89202060965,3.7986748447706194e-5,-4485.564038665826,0.0,0.0,0.0,8.369412435288095e-10,0.0,0.0,-14493.328
t44,18244.281779190263,3.6703424293537876e-5,-4130.785795959166,0.0,0.0,0.0,8.348240832923266e-10,0.0,0.0,-14113.495999999997
t45,15402.845507673206,3.54044842814091e-5,-1546.9615231271925,0.0,0.0,0.0,8.330283833323989e-10,0.0,0.0,-13855.884
t46,15663.535990152734,3.601738493274444e-5,-1049.5630061617462,0.0,0.0,0.0,8.31486245285657e-10,0.0,0.0,-14613.973
t47,16462.372874957677,3.992321499148715e-5,-973.0598948733726,0.0,0.0,0.0,8.346501900795062e-10,0.0,0.0,-15489.312999999998
t48,16369.037093788633,4.174022563431656e-5,-1060.65311558052,0.0,0.0,0.0,8.350799194774129e-10,0.0,0.0,-15308.384
t49,16185.567458808575,3.9974230705654396e-5,-1333.953478837916,0.0,0.0,0.0,8.338175161928592e-10,0.0,0.0,-14851.613999999998
t50,15536.278612018315,3.853648646467752e-5,-1234.5206306210785,0.0,0.0,0.0,8.322707968284283e-10,0.0,0.0,-14301.758000000002
t51,14865.500284630984,3.808506311244067e-5,-1206.893302793373,0.0,0.0,0.0,8.307805011564883e-10,0.0,0.0,-13658.607
t52,14113.357012287543,3.7196691571117295e-5,-1240.4240295738973,0.0,0.0,0.0,8.275822912198467e-10,0.0,0.0,-12872.933
t53,13464.83002983213,3.690593830130896e-5,-1350.2720468448467,0.0,0.0,0.0,8.233218498259856e-10,0.0,0.0,-12114.558
t54,12137.332919430115,3.88067661834365e-5,-625.5089383845954,0.0,0.0,0.0,8.18420908792843e-10,0.0,0.0,-11511.824
t55,11602.021495628473,4.076995415538198e-5,-466.2425165149589,0.0,0.0,0.0,8.154860099037519e-10,0.0,0.0,-11135.779
t56,10956.796951513656,7.029152210460637e-5,-1.8387718603768285e-6,0.0,0.0,0.0,8.178578381979138e-10,0.0,0.0,-10956.797
t57,10921.577019445096,1.184619795054747e-6,-7.939665396635828e-7,0.0,0.0,0.0,8.162469004829376e-10,0.0,0.0,-10921.577
t58,11023.112018154989,2.5171313866703323e-6,-5.53269438201182e-7,0.0,0.0,0.0,8.124470917287101e-10,0.0,0.0,-11023.112
