Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,173.9518315198255,0.0,0.0,0.0,0.0,1.2774710241666274e-6,0.0,183927.16140719282,184101.1132399901
t1,1.6901648636325108,0.0,0.0,0.0,0.0,7.531486994306649e-11,0.0,23.304805225139837,24.994970088847662
t2,6.896732511446942e-10,0.0,0.0,0.0,0.0,6.933673201298644e-11,0.0,21.10294081257694,21.102940813335948
t3,4.705268410774285e-10,0.0,0.0,0.0,0.0,6.586395324270758e-11,0.0,21.084372730188935,21.084372730725327
t4,3.840492616943867e-10,0.0,0.0,0.0,0.0,6.357398997422917e-11,0.0,21.026156397888972,21.026156398336596
t5,3.4589384740330606e-10,0.0,0.0,0.0,0.0,6.211981565860678e-11,0.0,21.110413694873678,21.110413695281693
t6,3.36436660883683e-10,0.0,0.0,0.0,0.0,6.165381500805861e-11,0.0,21.0472061579581,21.047206158356193
t7,3.2290779038162154e-10,0.0,0.0,0.0,0.0,6.14314822184571e-11,0.0,21.15222444335746,21.1522244437418
t8,3.2056962128064053e-10,0.0,0.0,0.0,0.0,6.139618829849249e-11,0.0,21.353667840586336,21.353667840968303
t9,3.1976242875760534e-10,0.0,0.0,0.0,0.0,6.143460706360399e-11,0.0,21.40385252232574,21.403852522706934
t10,3.234799873110678e-10,0.0,0.0,0.0,0.0,6.147988304335175e-11,0.0,20.887232347486542,20.887232347871503
t11,3.2818020462902674e-10,0.0,0.0,0.0,0.0,6.151553489633645e-11,0.0,19.588412565284653,19.58841256567435
t12,3.3919516385301083e-10,0.0,0.0,0.0,0.0,6.160818359489466e-11,0.0,19.373116013154227,19.37311601355503
t13,3.5260520793613107e-10,0.0,0.0,0.0,0.0,6.169118078082499e-11,0.0,20.09837542303083,20.098375423445127
t14,3.5749504098223695e-10,0.0,0.0,0.0,0.0,6.164517677214281e-11,0.0,20.62197170020348,20.62197170062262
t15,3.5605766934076e-10,0.0,0.0,0.0,0.0,6.183154280728493e-11,0.0,21.731086116861185,21.731086117279073
t16,3.515000710351018e-10,0.0,0.0,0.0,0.0,6.190243768853246e-11,0.0,21.531707460023274,21.531707460436674
t17,3.4937120781824177e-10,0.0,0.0,0.0,0.0,6.190381047885666e-11,0.0,20.49554937978298,20.495549380194255
t18,3.456438433327664e-10,0.0,0.0,0.0,0.0,6.188229480943391e-11,0.0,20.494414427968856,20.49441442837638
t19,3.4447596170603854e-10,0.0,0.0,0.0,0.0,6.187669336262032e-11,0.0,20.13361146422626,20.13361146463261
t20,3.379808012080767e-10,0.0,0.0,0.0,0.0,6.190400690199947e-11,0.0,20.951309829812782,20.95130983021267
t21,3.245278002614387e-10,0.0,0.0,0.0,0.0,6.195489034755633e-11,0.0,21.44719836180947,21.44719836219595
