Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,173.9518314406087,0.0,0.0,0.0,0.0,1.2765073449497367e-6,0.0,183927.16140719285,184101.11323990996
t1,2.1100995478040517e-10,0.0,0.0,0.0,0.0,5.7436127763038234e-11,0.0,18.96624728358573,18.966247283854177
t2,2.6779895411025697e-10,0.0,0.0,0.0,0.0,5.965469357909362e-11,0.0,21.078584105544248,21.078584105871702
t3,3.0052339228854185e-10,0.0,0.0,0.0,0.0,6.075756347516911e-11,0.0,21.089320456087126,21.08932045644841
t4,3.2042085853420067e-10,0.0,0.0,0.0,0.0,6.12425188658314e-11,0.0,21.146944015597278,21.146944015978942
t5,3.294459583914746e-10,0.0,0.0,0.0,0.0,6.139198236766241e-11,0.0,21.062674686257854,21.06267468664869
t6,3.32073600025572e-10,0.0,0.0,0.0,0.0,6.14233889990005e-11,0.0,21.125857549547636,21.125857549941134
t7,3.432091577710221e-10,0.0,0.0,0.0,0.0,6.154879030711024e-11,0.0,21.021059215063904,21.02105921546866
t8,3.5047498740683286e-10,0.0,0.0,0.0,0.0,6.16291907440782e-11,0.0,20.826843310967146,20.82684331137925
t9,3.575486780688905e-10,0.0,0.0,0.0,0.0,6.167452635214442e-11,0.0,20.886438650524017,20.88643865094324
t10,3.597359750344548e-10,0.0,0.0,0.0,0.0,6.171758622608407e-11,0.0,21.039273930469143,21.039273930890598
t11,3.611464659638003e-10,0.0,0.0,0.0,0.0,6.178952740437074e-11,0.0,21.803686619250065,21.803686619673
t12,3.546258273578034e-10,0.0,0.0,0.0,0.0,6.179594902451432e-11,0.0,21.38478363506633,21.38478363548275
t13,3.4611090512285835e-10,0.0,0.0,0.0,0.0,6.178607785017143e-11,0.0,21.101062247186583,21.10106224759448
t14,3.4258496956109226e-10,0.0,0.0,0.0,0.0,6.186660172152403e-11,0.0,20.62197170620682,20.621971706611273
t15,3.433062241421272e-10,0.0,0.0,0.0,0.0,6.173976660910253e-11,0.0,19.490447485833975,19.49044748623902
t16,3.4548855663157414e-10,0.0,0.0,0.0,0.0,6.168535703103578e-11,0.0,19.39723053423784,19.39723053464501
t17,3.4804989625673416e-10,0.0,0.0,0.0,0.0,6.166969793502871e-11,0.0,20.574616257992997,20.574616258402717
t18,3.5480268910277455e-10,0.0,0.0,0.0,0.0,6.164620914369698e-11,0.0,22.556204369392834,22.556204369809283
t19,3.6058031299630336e-10,0.0,0.0,0.0,0.0,6.158187233740279e-11,0.0,22.066641833993284,22.066641834415446
t20,3.6729327487065283e-10,0.0,0.0,0.0,0.0,6.148740364193031e-11,0.0,21.252538241939344,21.252538242368125
t21,3.797510147226825e-10,0.0,0.0,0.0,0.0,6.138575677060483e-11,0.0,21.4471983007027,21.447198301143835
t22,4.1130707529976064e-10,0.0,0.0,0.0,0.0,6.145298763451782e-11,0.0,20.200516717703447,20.200516718176207
t23,3.5158086875765644e-10,0.0,0.0,0.0,0.0,6.147299578207978e-11,0.0,20.587876035776347,20.5878760361894
t24,3.0880320565604616e-10,0.0,0.0,0.0,0.0,6.147613534713581e-11,0.0,21.628264591700923,21.6282645920712
t25,3.2543406455572486e-10,0.0,0.0,0.0,0.0,6.142759388183112e-11,0.0,21.171743697059924,21.171743697446786
t26,3.184788336264505e-10,0.0,0.0,0.0,0.0,6.135403170574508e-11,0.0,21.08996462192563,21.089964622305462
t27,3.23352549792951e-10,0.0,0.0,0.0,0.0,6.137021829711604e-11,0.0,21.08687018430115,21.086870184685875
t28,3.2568691109392964e-10,0.0,0.0,0.0,0.0,6.142522812829848e-11,0.0,20.504750441464587,20.504750441851698
t29,3.249548028472802e-10,0.0,0.0,0.0,0.0,6.138582883418774e-11,0.0,20.019182269345638,20.019182269731978
t30,3.249533252487246e-10,0.0,0.0,0.0,0.0,6.13727151712744e-11,0.0,20.77915363501894,20.779153635405265
t31,3.20773378698872e-10,0.0,0.0,0.0,0.0,6.138641688846512e-11,0.0,21.125146596063793,21.12514659644595
t32,3.26804232018183e-10,0.0,0.0,0.0,0.0,6.141421246518873e-11,0.0,20.826607530969046,20.826607531357265
t33,3.300608537164797e-10,0.0,0.0,0.0,0.0,6.145606100464835e-11,0.0,20.96490496093375,20.964904961325267
t34,3.3293434708222875e-10,0.0,0.0,0.0,0.0,6.14971007301628e-11,0.0,21.11405337385707,21.114053374251505
t35,3.352984356785443e-10,0.0,0.0,0.0,0.0,6.152444509124554e-11,0.0,21.307739882317364,21.307739882714188
t36,3.3593258371672863e-10,0.0,0.0,0.0,0.0,6.15455792869952e-11,0.0,21.26087707940793,21.260877079805407
t37,3.465330003582468e-10,0.0,0.0,0.0,0.0,6.150422592057589e-11,0.0,20.789381151832245,20.78938115224028
