Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,3075.4809725324844,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,6218.934124895184,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,10044.958931676327,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,13254.000527734966,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,16934.209718408696,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,19614.1398628126,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,22463.418290807884,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,25735.109899492367,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,27947.501157465278,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,28947.04727116555,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,29261.05132269301,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,29353.260545293222,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,29276.355445611258,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,28847.20864415964,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,29116.134399773833,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,29884.26156207815,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,30590.932197399667,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,30926.402291666083,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,30960.702184008012,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,29029.40232162345,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,26032.7716386312,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,22530.076203030512,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,17309.929355625092,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,12947.254465392878,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,9014.474012407338,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,7089.221508641,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,6372.350881205745,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,6524.022209304146,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,7119.310664341677,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,7980.7411208655,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,8646.703648481387,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,9675.233779599792,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,10978.44804006832,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,11902.133667796486,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,12484.710724449465,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,12883.115693141452,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,13283.718366777315,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,13714.758021016634,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,14430.681501584713,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,15980.223958904531,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,18939.937126100464,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,23383.41218781053,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,27510.131062093147,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,31310.453954480556,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,32733.658517274438,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,33699.256443793915,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,34594.47150367392,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,35570.272324638194,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,36797.50948171883,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,37933.268420002736,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,39043.61021717583,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,40184.800520667784,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,41427.050763649895,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,42002.51894478246,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,42431.462015661054,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,42431.461940948895,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,42431.461806556355,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,42431.46180432935,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,42431.461800455676,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,42431.461796460266,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,42230.71721215186,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,41641.81398189754,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,41132.59878779538,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,40480.62840157173,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,40477.27837511417,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,40477.278378078045,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,40477.27837566733,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,40477.27837357839,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,39938.487470770975,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,37770.329429467456,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,34868.216306019945,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,33343.00011356287,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,32574.56415488824,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,31530.885009385318,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,31530.885006553668,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,31530.88500475269,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,31530.885001786053,0.0,0.0,0.0,0.0
