Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,168,1,1,15068.005000000001
,,,,,,,2,14398.244
,,,,,,,3,13772.792
,,,,,,,4,13106.453
,,,,,,,5,12517.167
,,,,,,,6,11941.461
,,,,,,,7,11505.917
,,,,,,,8,11243.501
,,,,,,,9,11166.091
,,,,,,,10,11281.033
,,,,,,,11,11644.132
,,,,,,,12,12161.472
,,,,,,,13,12585.043
,,,,,,,14,13198.025
,,,,,,,15,13751.433
,,,,,,,16,14405.258
,,,,,,,17,14582.194000000001
,,,,,,,18,14394.256999999998
,,,,,,,19,14148.088
,,,,,,,20,13950.488
,,,,,,,21,14175.442
,,,,,,,22,15151.344999999998
,,,,,,,23,15808.122
,,,,,,,24,15495.234000000002
,,,,,,,25,14962.910999999998
,,,,,,,26,14378.47
,,,,,,,27,13683.403
,,,,,,,28,12857.362
,,,,,,,29,12055.076
,,,,,,,30,11419.634
,,,,,,,31,10970.704
,,,,,,,32,10729.599
,,,,,,,33,10616.976
,,,,,,,34,10662.092
,,,,,,,35,10933.621
,,,,,,,36,11429.745
,,,,,,,37,12008.976
,,,,,,,38,12817.871
,,,,,,,39,13965.818
,,,,,,,40,14560.052
,,,,,,,41,14883.552
,,,,,,,42,14960.579
,,,,,,,43,14493.328
,,,,,,,44,14113.495999999997
,,,,,,,45,13855.884
,,,,,,,46,14613.973
,,,,,,,47,15489.312999999998
,,,,,,,48,15308.384
,,,,,,,49,14851.613999999998
,,,,,,,50,14301.758000000002
,,,,,,,51,13658.607
,,,,,,,52,12872.933
,,,,,,,53,12114.558
,,,,,,,54,11511.824
,,,,,,,55,11135.779
,,,,,,,56,10956.797
,,,,,,,57,10921.577
,,,,,,,58,11023.112
,,,,,,,59,11309.779
,,,,,,,60,11796.584
,,,,,,,61,12341.7
,,,,,,,62,13082.539
,,,,,,,63,13869.23
,,,,,,,64,14451.009
,,,,,,,65,14928.874999999998
,,,,,,,66,15292.656
,,,,,,,67,15199.816999999997
,,,,,,,68,15152.892
,,,,,,,69,15256.720999999998
,,,,,,,70,15999.963000000002
,,,,,,,71,16547.71
,,,,,,,72,16199.158999999998
,,,,,,,73,15575.948
,,,,,,,74,14875.446
,,,,,,,75,13983.026000000002
,,,,,,,76,12971.582
,,,,,,,77,12094.796
,,,,,,,78,11492.402
,,,,,,,79,11151.613
,,,,,,,80,11031.352
,,,,,,,81,11066.316
,,,,,,,82,11415.934
,,,,,,,83,12242.601
,,,,,,,84,13545.593
,,,,,,,85,14712.294999999998
,,,,,,,86,15421.783000000001
,,,,,,,87,16025.298
,,,,,,,88,16255.767000000002
,,,,,,,89,16324.949999999999
,,,,,,,90,16111.795
,,,,,,,91,15872.199
,,,,,,,92,15620.176
,,,,,,,93,15225.606
,,,,,,,94,15883.575
,,,,,,,95,16859.757
,,,,,,,96,16624.64
,,,,,,,97,16058.747000000001
,,,,,,,98,15311.954000000002
,,,,,,,99,14388.575999999997
