1,2,3,4,5,6,7,8
-3.078818821213522e-28,-2.6450237925676704e-17,-1.6773382538221156e-17,-6.129308361798893e-18,-4.482749959552197e-18,-2.3344529519761022e-20,NaN,-2.5784723982353198e-27
-6.050773962614373e-28,-5.2037766434481204e-17,-3.30972039878725e-17,-1.2254987664509599e-17,-8.54195203661176e-18,-4.652638111720822e-20,NaN,-5.131254253373418e-27
-8.809945120017972e-28,-7.590520535152383e-17,-4.775973060803141e-17,-1.8076208068413468e-17,-1.226744343729796e-17,-6.799695256330706e-20,NaN,-7.52282462046324e-27
-1.1091371789857754e-27,-9.516296596372204e-17,-6.097272395814758e-17,-2.2687974904665833e-17,-1.588057788808089e-17,-8.553055648983866e-20,NaN,-9.441845217044044e-27
-1.3116673423190074e-27,-1.1368842868479068e-16,-7.281791732352428e-17,-2.726961399713193e-17,-1.9043915720569585e-17,-1.0119523592137822e-19,NaN,-1.116868277384695e-26
-1.4992002848826387e-27,-1.305269137464705e-16,-8.328584950087242e-17,-3.1337256262799806e-17,-2.1946029634478213e-17,-1.152324741044307e-19,NaN,-1.2725305217379337e-26
-1.6714680108718896e-27,-1.4625268915811474e-16,-9.348831576936519e-17,-3.5167867535694645e-17,-2.478067726573404e-17,-1.2869490214103715e-19,NaN,-1.4188453249516125e-26
-1.8418340835656446e-27,-1.5920235402991511e-16,-1.0266404525542706e-16,-3.8474920262030776e-17,-2.6744533243619497e-17,-1.4169155269415637e-19,NaN,-1.5641317135185327e-26
-1.9643904274028524e-27,-1.6970109925864154e-16,-1.1015556419285088e-16,-4.1385786734694315e-17,-2.845783335489778e-17,-1.5121902286710713e-19,NaN,-1.6675926886669937e-26
-2.0794559694488018e-27,-1.7975592633195622e-16,-1.1696238110181733e-16,-4.3992368169624813e-17,-2.99596537213486e-17,-1.5997898746313393e-19,NaN,-1.7648317251879457e-26
-2.1841429047488706e-27,-1.8828211593739278e-16,-1.2321381164615376e-16,-4.648748149592125e-17,-3.136959390103666e-17,-1.6797599666624833e-19,NaN,-1.8519565626048633e-26
-2.281629406814633e-27,-1.9667760993910808e-16,-1.29457565888584e-16,-4.8795962101909e-17,-3.2746690498016925e-17,-1.7573858334617355e-19,NaN,-1.9360565067742562e-26
-2.369797566017876e-27,-2.0397830803273394e-16,-1.3454653525394862e-16,-5.091398650553447e-17,-3.396808664718569e-17,-1.8243815676849556e-19,NaN,-2.010515728065963e-26
-2.4507556311318807e-27,-2.104795465516577e-16,-1.3940491723346432e-16,-5.252516954927062e-17,-3.5054817069142563e-17,-1.8862700630141746e-19,NaN,-2.0782409056407907e-26
-2.522145608159781e-27,-2.1664819500629576e-16,-1.4369954948040506e-16,-5.411403179570063e-17,-3.6111394920263645e-17,-1.9407285490230516e-19,NaN,-2.1384698104843885e-26
-2.59075025482033e-27,-2.228165018497505e-16,-1.4750255781232856e-16,-5.563425410096217e-17,-3.695430664153612e-17,-1.9931187474366152e-19,NaN,-2.1961293760554938e-26
-2.648850796679603e-27,-2.281794458874495e-16,-1.5111103293356029e-16,-5.707509163051177e-17,-3.7727447164925614e-17,-2.0385136248464841e-19,NaN,-2.2463386410695045e-26
-2.6704871396647423e-27,-2.2985218730753803e-16,-1.5236491522501077e-16,-5.758809537744296e-17,-3.808671376273583e-17,-2.054637900446734e-19,NaN,-2.2639298250114073e-26
-2.6245421334569663e-27,-2.2985218730753803e-16,-1.5012649470047033e-16,-5.758809532329594e-17,-3.7562355836665545e-17,-2.0204238251063895e-19,NaN,-2.2262081612171723e-26
-2.578031679127183e-27,-2.2985218730753803e-16,-1.473210012354943e-16,-5.758809488042472e-17,-3.7015342312610753e-17,-1.9852435522963712e-19,NaN,-2.1872832655819716e-26
-2.524257845613777e-27,-2.2985218730753803e-16,-1.4427172671894838e-16,-5.758809406348675e-17,-3.6361742677047586e-17,-1.9451545359632915e-19,NaN,-2.1432101639875477e-26
-2.468620188598803e-27,-2.2985218730753803e-16,-1.4076305427052732e-16,-5.758809321254936e-17,-3.568646861355885e-17,-1.9026594557090873e-19,NaN,-2.0965549750257363e-26
-2.3845525946496535e-27,-2.2985218730753803e-16,-1.358388979792438e-16,-5.758809234119682e-17,-3.475154558083217e-17,-1.8392487258301255e-19,NaN,-2.0253100619685062e-26
-2.2782165736836166e-27,-2.2985218730753803e-16,-1.2876832225413843e-16,-5.758809095290861e-17,-3.28456811330675e-17,-1.754501717951368e-19,NaN,-1.9323590053015797e-26
-2.1306930020464604e-27,-2.2985218730753803e-16,-1.1911695872262385e-16,-5.758808954514352e-17,-3.089177715170231e-17,-1.640429770985726e-19,NaN,-1.8067350414092623e-26
-1.9478210362009924e-27,-2.2985218730753803e-16,-1.0714861915967535e-16,-5.758808797745779e-17,-2.892495519248091e-17,-1.5022458969241512e-19,NaN,-1.6570234335800624e-26
-1.7278967161426008e-27,-2.2985218730753803e-16,-9.344824289164383e-17,-5.758808630574862e-17,-2.5774513531802243e-17,-1.3388043513913557e-19,NaN,-1.4751935185648626e-26
-1.4623462011288086e-27,-2.2985218730753803e-16,-7.623852856127101e-17,-5.758808410735976e-17,-2.2576804696140483e-17,-1.1398550374979148e-19,NaN,-1.2562567568114175e-26
-1.1804384104732156e-27,-2.2985218730753803e-16,-5.815654718811736e-17,-5.758808166188789e-17,-1.920803127000839e-17,-9.239185423973938e-20,NaN,-1.020527876834329e-26
-8.862677254702246e-28,-2.2985218730753803e-16,-3.9928132006440084e-17,-5.758807897039248e-17,-1.4680151826605854e-17,-7.012319628419455e-20,NaN,-7.752067816920765e-27
-5.836605070716998e-28,-2.2985218730753803e-16,-2.1138132054338594e-17,-5.758807616361376e-17,-1.0143614994367309e-17,-4.729133057489889e-20,NaN,-5.245419385606972e-27
-2.318731351977094e-28,-2.2985218730753803e-16,1.9638995575512463e-18,-5.75880733337165e-17,-5.441416684585211e-18,-1.9994993452359923e-20,NaN,-2.245950961838423e-27
1.9294313622892856e-28,-2.2985218730753803e-16,3.0018597852216606e-17,-5.758807050129397e-17,-7.331329360274767e-19,1.2059596162657239e-20,NaN,1.242604610101807e-27
6.276641999937901e-28,-2.2985218730753803e-16,5.9374589893869e-17,-5.758806755382274e-17,4.209018398758667e-18,4.534750435530215e-20,NaN,4.886079911374706e-27
1.0792443263101434e-27,-2.2985218730753803e-16,8.995012443293193e-17,-5.758806408347182e-17,9.15160365193094e-18,8.013336686580424e-20,NaN,8.722146491627963e-27
