Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,2.983700862557405e7,0.0,0.0,0.0,0.0,2.983700862557405e7
t1,0.0,0.0,0.0,9366.176171547086,0.0,0.0,0.0,0.0,9366.176171547086
t2,0.0,0.0,0.0,8941.682411524003,0.0,0.0,0.0,0.0,8941.682411524003
t3,0.0,0.0,0.0,8843.25886988094,0.0,0.0,0.0,0.0,8843.25886988094
t4,0.0,0.0,0.0,8750.018393967992,0.0,0.0,0.0,0.0,8750.018393967992
t5,0.0,0.0,0.0,8750.37284457742,0.0,0.0,0.0,0.0,8750.37284457742
t6,0.0,0.0,0.0,8636.359527494196,0.0,0.0,0.0,0.0,8636.359527494196
t7,0.0,0.0,0.0,8645.955701867868,0.0,0.0,0.0,0.0,8645.955701867868
t8,0.0,0.0,0.0,8675.921407938496,0.0,0.0,0.0,0.0,8675.921407938496
t9,0.0,0.0,0.0,8489.929052358068,0.0,0.0,0.0,0.0,8489.929052358068
t10,0.0,0.0,0.0,7709.599959586915,0.0,0.0,0.0,0.0,7709.599959586915
t11,0.0,0.0,0.0,3842.4615814246367,0.0,0.0,0.0,0.0,3842.4615814246367
t12,0.0,0.0,0.0,2393.0426783200646,0.0,0.0,0.0,0.0,2393.0426783200646
t13,0.0,0.0,0.0,2070.174091599143,0.0,0.0,0.0,0.0,2070.174091599143
t14,0.0,0.0,0.0,1524.1467673420195,0.0,0.0,0.0,0.0,1524.1467673420195
t15,0.0,0.0,0.0,2384.7957592836947,0.0,0.0,0.0,0.0,2384.7957592836947
t16,0.0,0.0,0.0,4431.458936466908,0.0,0.0,0.0,0.0,4431.458936466908
t17,0.0,0.0,0.0,4250.0166744555345,0.0,0.0,0.0,0.0,4250.0166744555345
t18,0.0,0.0,0.0,2725.3020170666723,0.0,0.0,0.0,0.0,2725.3020170666723
t19,0.0,0.0,0.0,1901.0384212803444,0.0,0.0,0.0,0.0,1901.0384212803444
t20,0.0,0.0,0.0,1207.7688900570174,0.0,0.0,0.0,0.0,1207.7688900570174
t21,0.0,0.0,0.0,1004.1233909953968,0.0,0.0,0.0,0.0,1004.1233909953968
