Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.4731351504939443e6,3.500760879878791e6,0.0,157436.92011650134,0.0,0.0,0.0,5.131332950489236e6
t1,0.0,0.0,1.922388037201017e-6,0.0,1.8892484661137132e-6,0.0,0.0,0.0,3.8116365033147304e-6
t2,0.0,0.0,1.898204573080875e-6,0.0,1.911221374939487e-6,0.0,0.0,0.0,3.809425948020362e-6
t3,0.0,0.0,1.864624209702015e-6,0.0,1.927510126620291e-6,0.0,0.0,0.0,3.792134336322306e-6
t4,0.0,0.0,1.819920726120472e-6,0.0,1.9008481331184157e-6,0.0,0.0,0.0,3.7207688592388877e-6
t5,0.0,0.0,1.796104697859846e-6,0.0,1.9052929900453819e-6,0.0,0.0,0.0,3.701397687905228e-6
t6,0.0,0.0,1.8060272850561887e-6,0.0,1.8895471782798268e-6,0.0,0.0,0.0,3.6955744633360155e-6
t7,0.0,0.0,1.800879545044154e-6,0.0,1.8603590064003583e-6,0.0,0.0,0.0,3.6612385514445123e-6
t8,0.0,0.0,1.799093297449872e-6,0.0,1.7431448462446042e-6,0.0,0.0,0.0,3.542238143694476e-6
t9,0.0,0.0,1.83961856237147e-6,0.0,1.6998541951807056e-6,0.0,0.0,0.0,3.5394727575521756e-6
t10,0.0,0.0,1.8449363778927363e-6,0.0,1.6633669659427142e-6,0.0,0.0,0.0,3.5083033438354505e-6
t11,0.0,0.0,1.8718637875281274e-6,0.0,1.5873795859988604e-6,0.0,0.0,0.0,3.459243373526988e-6
t12,0.0,0.0,1.8755972632789053e-6,0.0,1.5681369909259502e-6,0.0,0.0,0.0,3.4437342542048555e-6
t13,0.0,1.8843244333766052e-6,1.8148712115362287e-6,0.0,1.5540974240835226e-6,0.0,0.0,0.0,5.253293068996356e-6
t14,0.0,9.725567906571086e-7,1.5352975424320903e-6,0.0,1.305110419735911e-6,0.0,0.0,0.0,3.81296475282511e-6
t15,0.0,1.5099067240953445e-6,1.8351081507717026e-6,0.0,1.5561293746912952e-6,0.0,0.0,0.0,4.901144249558342e-6
t16,0.0,1.8715709302341565e-6,1.8481739516573725e-6,0.0,1.6487685350341508e-6,0.0,0.0,0.0,5.36851341692568e-6
t17,0.0,1.8816053852788173e-6,1.8416078546579229e-6,0.0,1.6943194864893485e-6,0.0,0.0,0.0,5.417532726426089e-6
t18,0.0,1.8178034224547446e-6,1.814197275962215e-6,0.0,1.710082592865092e-6,0.0,0.0,0.0,5.3420832912820515e-6
t19,0.0,1.4784259292355273e-6,1.8141590771847405e-6,0.0,1.7401423555440942e-6,0.0,0.0,0.0,5.032727361964362e-6
t20,0.0,1.3128187674738001e-6,1.5946557141433004e-6,0.0,1.5331566842746724e-6,0.0,0.0,0.0,4.440631165891773e-6
t21,0.0,1.5745187624816026e-6,1.6138023966050241e-6,0.0,1.6077078299758796e-6,0.0,0.0,0.0,4.796028989062506e-6
t22,0.0,1.450460413110477e-6,1.6048061297624372e-6,0.0,1.5084769344753113e-6,0.0,0.0,0.0,4.5637434773482255e-6
t23,0.0,0.0,1.6287931430269964e-6,0.0,1.633485425145409e-6,0.0,0.0,0.0,3.2622785681724054e-6
