Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2.630037099853781e6,2.1396963968456842e7,6.127684999078629e7,6.450781535917161e6,835686.0966206911,0.0005362272365342442,0.0,3.730678137919957e7,1.2989710007137057e8
t1,1.4287607194752256e-7,0.0,13540.725346328316,3.61436668616638e-8,146.1207752390582,9.16130866581248e-9,0.0,4143.0437633257225,17829.889885081277
t2,1.2195321523500764e-7,0.0,13697.787551348882,7.579410627329261e-6,128.4759107932762,8.986697775356272e-9,0.0,3429.557212987055,17255.820682839563
t3,1.1380323162671413e-7,0.0,14245.541991307351,7.74714615064634e-6,117.80185698974489,8.84682766619759e-9,0.0,3062.1357966381215,17425.479652805014
t4,1.1112841907558624e-7,0.0,12857.504754696516,7.912138213399464e-6,98.53531095145209,8.698009641458318e-9,0.0,3128.180571714668,16084.220645394602
t5,1.093775955259964e-7,0.0,12996.897461654622,8.037397199871673e-6,78.4216177560808,8.629578997830552e-9,0.0,2944.2854988060585,16019.604586372167
t6,1.0738045394674519e-7,0.0,11202.461769561018,7.149191846122734e-6,59.66335998245479,8.651581258360106e-9,0.0,3213.115498099466,14475.240634908161
t7,1.0604420736342423e-7,0.0,11006.134013320687,7.435504067420006e-6,42.8414385102063,8.590176740194434e-9,0.0,3141.8813210305357,14190.856780411566
t8,1.0507752504595545e-7,0.0,11326.148256002603,7.977405363072272e-6,31.150808289011966,8.531401966257762e-9,0.0,3010.0488653505136,14367.347937733142
t9,1.0477282386503151e-7,0.0,9769.26914893543,8.164243167640156e-6,22.872970701379828,8.509487354840599e-9,0.0,3319.9062066136144,13112.048334527946
t10,1.0743309575817337e-7,0.0,7609.66383022984,7.860492381773311e-6,16.023181119296442,8.499965542053567e-9,0.0,4534.341167098577,12160.028186424139
t11,1.0821289099347727e-7,0.0,5157.530154696876,7.275960303839507e-6,11.303361493441882,8.509380700466934e-9,0.0,6927.42591751053,12096.25944109353
t12,1.0996430167117752e-7,0.0,4344.7332438368585,7.422332687770348e-6,9.681679871538785,8.492565146020368e-9,0.0,8060.859165413732,12415.274096662919
t13,1.119271526998181e-7,130.75131106982508,4009.012780717815,8.07749800640501e-6,7.6001183760480595,8.442701772261086e-9,0.0,8549.468047978915,12696.832266340472
t14,1.122603136813255e-7,2011.8380042100243,2285.255081162081,204.0973690249159,6.2204790198812665,8.446454683992346e-9,0.0,8690.614075747333,13198.025009284942
t15,1.1040251256746137e-7,4522.731672866476,1924.0120093705887,8.189423025704038e-6,8.665103332380445,8.445444879736745e-9,0.0,7655.914927919198,14111.323721796914
t16,1.0570912559478797e-7,7371.225558579117,1523.503386616745,8.73516861491841e-6,14.643541528741077,8.555763098344189e-9,0.0,6160.711852686914,15070.084348260953
t17,1.037112723381805e-7,7198.38543247402,1609.887599371322,8.335238908038598e-6,20.428346143396404,8.555449600770025e-9,0.0,6382.213850642082,15210.915237078327
t18,1.045056989401736e-7,5112.610564926508,2096.780434887521,7.934309965848545e-6,24.95453220068172,8.579726619569808e-9,0.0,7543.373168672911,14777.718708735018
t19,1.0612463489438897e-7,3014.8336676778067,2644.534874812446,9.301060734614005e-6,31.126604088415263,8.57615132721957e-9,0.0,8549.749984406273,14240.245140400704
t20,1.087441101248006e-7,1163.488768507483,2512.9952783474787,1548.511631638847,34.8782558532753,8.579921499142789e-9,0.0,8690.61407434076,13950.488008805169
t21,1.1027773780744774e-7,293.94986725130076,2679.8738711369897,2463.830206191875,47.17399120711239,8.537617401702634e-9,0.0,8690.614074462457,14175.44201036855
t22,1.1125470110822417e-7,10.894428180492191,3480.891116627541,2923.5867143656055,45.35867603640408,8.48934349962489e-9,0.0,8690.614074563075,15151.345009892862
t23,1.1025536412125168e-7,0.0,2566.003772499621,4492.736360017423,58.767804705346535,8.594702204407416e-9,0.0,8690.61407412888,15808.122011470121
t24,1.0867341551380237e-7,0.0,2982.2186157270494,3744.3185619680726,78.08275917132404,8.577770711089538e-9,0.0,8690.614074177935,15495.234011161632
t25,1.070975997321471e-7,0.0,2742.6987531417185,3405.890498998051,123.70768294864881,8.577328872743436e-9,0.0,8690.614074416219,14962.911009620311
t26,1.0618788745231255e-7,0.0,3914.7754579132948,1627.2259479999445,145.85452925962423,8.681942283992476e-9,0.0,8690.614074727666,14378.4700100154
t27,1.0654641910726259e-7,0.0,4266.2021416025145,558.3191707947051,168.26762179666338,8.685117142330573e-9,0.0,8690.61407501395,13683.403009323065
t28,1.0723742161106609e-7,0.0,4866.9650754450995,8.062122435679911e-6,178.77224588470517,8.674041568304785e-9,0.0,8083.984356015738,13129.721685523577
t29,1.0793704449430964e-7,0.0,6457.219901045277,8.539595572047707e-6,189.15584922382672,8.624960929167307e-9,0.0,6076.724885642393,12723.100644567654
