BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2344631853545342e8,6.450781535917161e6,-7.621433761715011e6,0.0,0.0,0.0,3.379387535038294e-7,0.0,0.0,-1.2227566629749997e8
t1,17829.889885045133,3.61436668616638e-8,-2761.8848838170484,0.0,0.0,0.0,3.7155972329955333e-11,0.0,0.0,-15068.005000000001
t2,17255.82067526015,7.579410627329261e-6,-2857.5766815579727,0.0,0.0,0.0,3.754768904353503e-11,0.0,0.0,-14398.244
t3,17425.47964505787,7.74714615064634e-6,-3652.6876515177637,0.0,0.0,0.0,3.7657294101182003e-11,0.0,0.0,-13772.792
t4,16084.220637482464,7.912138213399464e-6,-2977.7676441123344,0.0,0.0,0.0,3.821809131742461e-11,0.0,0.0,-13106.453
t5,16019.604578334769,8.037397199871673e-6,-3502.437585087774,0.0,0.0,0.0,3.8346339979917447e-11,0.0,0.0,-12517.167
t6,14475.240627758969,7.149191846122734e-6,-2533.77963362302,0.0,0.0,0.0,3.7824592939495487e-11,0.0,0.0,-11941.461
t7,14190.856772976062,7.435504067420006e-6,-2684.939779123726,0.0,0.0,0.0,3.784799783733375e-11,0.0,0.0,-11505.917
t8,14367.347929755739,7.977405363072272e-6,-3123.8469364456128,0.0,0.0,0.0,3.798778300244787e-11,0.0,0.0,-11243.501
t9,13112.048326363703,8.164243167640156e-6,-1945.9573332538964,0.0,0.0,0.0,3.757594709230968e-11,0.0,0.0,-11166.091
t10,12160.028178563647,7.860492381773311e-6,-878.9951851737616,0.0,0.0,0.0,3.8158248112250326e-11,0.0,0.0,-11281.033
t11,12096.25943381757,7.275960303839507e-6,-452.127439865902,0.0,0.0,0.0,3.7694272492911465e-11,0.0,0.0,-11644.132
t12,12415.274089240585,7.422332687770348e-6,-253.8020954381018,0.0,0.0,0.0,3.776091773027886e-11,0.0,0.0,-12161.472
t13,12696.832258262973,8.07749800640501e-6,-111.78926511232089,0.0,0.0,0.0,4.321816560785727e-11,0.0,0.0,-12585.043
t14,12993.927640260026,204.0973690249159,-8.074839250181856e-6,0.0,0.0,0.0,4.210100019659518e-11,0.0,0.0,-13198.025
t15,14111.323713607491,8.189423025704038e-6,-359.8907205902815,0.0,0.0,0.0,4.124019574481611e-11,0.0,0.0,-13751.433
t16,15070.084339525783,8.73516861491841e-6,-664.8263470678289,0.0,0.0,0.0,3.718746511750955e-11,0.0,0.0,-14405.258
t17,15210.915228743088,8.335238908038598e-6,-628.7212358463635,0.0,0.0,0.0,3.7232917888436084e-11,0.0,0.0,-14582.194000000001
t18,14777.718700800706,7.934309965848545e-6,-383.46170747642094,0.0,0.0,0.0,3.780270775079861e-11,0.0,0.0,-14394.256999999998
t19,14240.245131099644,9.301060734614005e-6,-92.15713914225755,0.0,0.0,0.0,3.7801181292348865e-11,0.0,0.0,-14148.088
t20,12401.97637716632,1548.511631638847,-7.531937941883004e-6,0.0,0.0,0.0,3.875977815408225e-11,0.0,0.0,-13950.488
t21,11711.611804176675,2463.830206191875,-9.132453538683953e-6,0.0,0.0,0.0,3.8689613155928115e-11,0.0,0.0,-14175.442
t22,12227.758295527256,2923.5867143656055,-8.643950067452983e-6,0.0,0.0,0.0,3.8328973389501075e-11,0.0,0.0,-15151.344999999998
t23,11315.385651452698,4492.736360017423,-1.0239599834915977e-5,0.0,0.0,0.0,3.866071775369388e-11,0.0,0.0,-15808.122
t24,11750.915449193559,3744.3185619680726,-9.887755707744848e-6,0.0,0.0,0.0,3.811762015833343e-11,0.0,0.0,-15495.234000000002
t25,11557.02051062226,3405.890498998051,-8.330136908396439e-6,0.0,0.0,0.0,3.814532117645567e-11,0.0,0.0,-14962.910999999998
t26,12751.244062015456,1627.2259479999445,-8.735716617019633e-6,0.0,0.0,0.0,3.775470677094652e-11,0.0,0.0,-14378.47
t27,13125.083838528359,558.3191707947051,-8.058438049905699e-6,0.0,0.0,0.0,3.781469220256447e-11,0.0,0.0,-13683.403
t28,13129.721677461454,8.062122435679911e-6,-272.35968427379913,0.0,0.0,0.0,3.791074616870755e-11,0.0,0.0,-12857.362
t29,12723.100636028059,8.539595572047707e-6,-668.0246433258156,0.0,0.0,0.0,3.794266899257809e-11,0.0,0.0,-12055.076
t30,12245.022910154017,8.533798944675062e-6,-825.388917439977,0.0,0.0,0.0,3.8141787739969714e-11,0.0,0.0,-11419.634
t31,11677.984471562184,7.44910048202659e-6,-707.2804777575567,0.0,0.0,0.0,3.760817083633338e-11,0.0,0.0,-10970.704
t32,11701.330363553134,7.65597376448239e-6,-971.7313699500493,0.0,0.0,0.0,3.7758240728816184e-11,0.0,0.0,-10729.599
t33,11833.84618556517,7.6282591163568345e-6,-1216.8701919306784,0.0,0.0,0.0,3.7788376262752764e-11,0.0,0.0,-10616.976
t34,11564.905124221703,7.668146243420677e-6,-902.8131306287735,0.0,0.0,0.0,3.7690763031883227e-11,0.0,0.0,-10662.092
t35,11528.838295189122,7.663659765320403e-6,-595.2173016060559,0.0,0.0,0.0,3.777054766252204e-11,0.0,0.0,-10933.621
