Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,242.82754406615194,0.0,0.0,0.0,0.0,5.05837481632383e-8,0.0,21674.062984297907,21916.890528414642
t1,5.94178452596321e-11,0.0,0.0,0.0,0.0,5.599034792981617e-12,0.0,2.4746138431672184,2.4746138432322353
t2,3.378287054130866e-11,0.0,0.0,0.0,0.0,5.5487380246647274e-12,0.0,2.4747545301022904,2.474754530141622
t3,3.0106255066194886e-11,0.0,0.0,0.0,0.0,5.518475533211619e-12,0.0,2.474744421704068,2.474744421739693
t4,2.845977956429633e-11,0.0,0.0,0.0,0.0,5.4921565477055895e-12,0.0,2.4747412877457013,2.4747412877796533
t5,2.764284275638902e-11,0.0,0.0,0.0,0.0,5.4738971033997825e-12,0.0,2.4747564170474647,2.4747564170805814
t6,2.8354727731893005e-11,0.0,0.0,0.0,0.0,5.467809087181713e-12,0.0,2.4747392775241077,2.4747392775579304
t7,2.7259852363643742e-11,0.0,0.0,0.0,0.0,5.463957450746853e-12,0.0,2.4747684413274795,2.474768441360203
t8,2.732063498857497e-11,0.0,0.0,0.0,0.0,5.462998379198451e-12,0.0,2.4747949343347724,2.474794934367556
t9,2.649339201702238e-11,0.0,0.0,0.0,0.0,5.463821204853993e-12,0.0,2.475411102889327,2.475411102921284
t10,2.5678278768091563e-11,0.0,0.0,0.0,0.0,5.473098379137808e-12,0.0,2.4710587626340734,2.471058762665225
t11,2.551674805345122e-11,0.0,0.0,0.0,0.0,5.4940354674572075e-12,0.0,2.4706965172982365,2.470696517329247
t12,2.7696727290096935e-11,0.0,0.0,0.0,0.0,5.490853860705422e-12,0.0,2.4714413930345054,2.471441393067693
t13,2.966584260024487e-11,0.0,0.0,0.0,0.0,5.478514068106318e-12,0.0,2.470670537256194,2.4706705372913382
t14,3.281445572940638e-11,0.0,0.0,0.0,0.0,5.448608728863709e-12,0.0,2.470736795107137,2.4707367951454002
t15,2.953048223642486e-11,0.0,0.0,0.0,0.0,5.459275413747118e-12,0.0,2.4706800112677243,2.470680011302714
t16,2.831281321142865e-11,0.0,0.0,0.0,0.0,5.45950142588246e-12,0.0,2.470947912779852,2.470947912813624
t17,2.7408456326979032e-11,0.0,0.0,0.0,0.0,5.467847432729764e-12,0.0,2.471682698701361,2.4716826987342375
t18,2.7428052320010836e-11,0.0,0.0,0.0,0.0,5.471497899406474e-12,0.0,2.4749229183070005,2.4749229183399
t19,2.7671487588026582e-11,0.0,0.0,0.0,0.0,5.465545529257357e-12,0.0,2.474793996585833,2.47479399661897
t20,2.673625780638469e-11,0.0,0.0,0.0,0.0,5.455729395812016e-12,0.0,2.4748261505621922,2.4748261505943843
t21,2.5591571031303314e-11,0.0,0.0,0.0,0.0,5.455144716137606e-12,0.0,2.472929410900368,2.472929410931415
t22,2.824060267818316e-11,0.0,0.0,0.0,0.0,5.4356474452665106e-12,0.0,2.47617865422253,2.476178654256206
t23,3.316691903997154e-11,0.0,0.0,0.0,0.0,5.464847213685932e-12,0.0,2.4707921489815767,2.4707921490202085
t24,3.8643023799410307e-11,0.0,0.0,0.0,0.0,5.431772833672913e-12,0.0,2.474691775335106,2.474691775379181
t25,3.354983713747701e-11,0.0,0.0,0.0,0.0,5.448882391555592e-12,0.0,2.4745444776406864,2.474544477679685
t26,3.225867543208108e-11,0.0,0.0,0.0,0.0,5.46321065894411e-12,0.0,2.474839414098012,2.474839414135734
t27,2.942725748886856e-11,0.0,0.0,0.0,0.0,5.467909041800687e-12,0.0,2.474769274468742,2.4747692745036374
t28,2.7405589063062927e-11,0.0,0.0,0.0,0.0,5.469531817186165e-12,0.0,2.4747454462017755,2.4747454462346505
t29,2.7327589141834568e-11,0.0,0.0,0.0,0.0,5.47604613317372e-12,0.0,2.474753752785798,2.4747537528186014
t30,2.7204650930011185e-11,0.0,0.0,0.0,0.0,5.475105756545581e-12,0.0,2.4747350710809606,2.47473507111364
t31,2.786664121854666e-11,0.0,0.0,0.0,0.0,5.473113756381469e-12,0.0,2.4747347723652395,2.474734772398579
t32,2.7370155642072824e-11,0.0,0.0,0.0,0.0,5.476341492487767e-12,0.0,2.4747358918365676,2.4747358918694142
t33,2.7531542975942754e-11,0.0,0.0,0.0,0.0,5.4770313984024256e-12,0.0,2.474736740029094,2.4747367400621028
t34,2.7804381261734505e-11,0.0,0.0,0.0,0.0,5.477927495377288e-12,0.0,2.4747355975776055,2.474735597610888
t35,2.785946347566179e-11,0.0,0.0,0.0,0.0,5.4782178901597565e-12,0.0,2.4747946374279883,2.474794637461326
t36,2.7995738057281846e-11,0.0,0.0,0.0,0.0,5.477331227962241e-12,0.0,2.4755445957524227,2.475544595785896
t37,2.623434527357677e-11,0.0,0.0,0.0,0.0,5.486404583488785e-12,0.0,2.471493699922882,2.471493699954603
t38,2.666510553932864e-11,0.0,0.0,0.0,0.0,5.487190367066533e-12,0.0,2.4706550239939316,2.470655024026084
t39,2.7316985492456003e-11,0.0,0.0,0.0,0.0,5.4755829614637496e-12,0.0,2.476279813282482,2.4762798133152746
t40,2.9043883284028267e-11,0.0,0.0,0.0,0.0,5.47291034826194e-12,0.0,2.4748323591429866,2.4748323591775034
t41,3.018576707709282e-11,0.0,0.0,0.0,0.0,5.468533680249246e-12,0.0,2.474740856684254,2.474740856719908
t42,3.0153489955181634e-11,0.0,0.0,0.0,0.0,5.4695420300850545e-12,0.0,2.4747370436808596,2.4747370437164826
t43,2.985046688746989e-11,0.0,0.0,0.0,0.0,5.470481632258026e-12,0.0,2.4747509280396707,2.4747509280749918
t44,3.024238253897691e-11,0.0,0.0,0.0,0.0,5.4720446785490645e-12,0.0,2.474787137468978,2.4747871375046926
t45,3.0963254261565405e-11,0.0,0.0,0.0,0.0,5.471955475903163e-12,0.0,2.4756047476088083,2.4756047476452436
t46,3.312847554060501e-11,0.0,0.0,0.0,0.0,5.461363143174102e-12,0.0,2.4717600013019725,2.4717600013405625
t47,3.247907326729627e-11,0.0,0.0,0.0,0.0,5.466155839853187e-12,0.0,2.4706360704388204,2.4706360704767656
t48,2.9894156783890646e-11,0.0,0.0,0.0,0.0,5.472551362353342e-12,0.0,2.4764121390362943,2.476412139071661
t49,2.8697093871712182e-11,0.0,0.0,0.0,0.0,5.476136567767456e-12,0.0,2.4748166749021285,2.4748166749363016
t50,2.798598342411921e-11,0.0,0.0,0.0,0.0,5.478017365459098e-12,0.0,2.47473426126009,2.474734261293554
t51,2.8199862661434796e-11,0.0,0.0,0.0,0.0,5.477049873305399e-12,0.0,2.474735014538419,2.474735014572096
t52,2.7259858847519313e-11,0.0,0.0,0.0,0.0,5.475597419007625e-12,0.0,2.474764450968079,2.4747644510008144
t53,2.7717556092261713e-11,0.0,0.0,0.0,0.0,5.461553699931308e-12,0.0,2.4747806540902233,2.4747806541234025
t54,2.9025128374093696e-11,0.0,0.0,0.0,0.0,5.406995418976181e-12,0.0,2.474832359643405,2.474832359677837
t55,2.9450204620492696e-11,0.0,0.0,0.0,0.0,5.261991166544761e-12,0.0,0.3599258958278469,0.3599258958625591
t56,3.425643537873911e-11,0.0,0.0,0.0,0.0,5.216026234687544e-12,0.0,2.238947566354634,2.2389475663941063
t57,4.901106723964827e-11,0.0,0.0,0.0,0.0,5.5989824182793e-12,0.0,2.471715245465097,2.471715245519707
t58,6.497165162258736e-11,0.0,0.0,0.0,0.0,5.8544561133918544e-12,0.0,2.47074055416368,2.470740554234506
t59,8.67660633513125e-11,0.0,0.0,0.0,0.0,6.046385922332708e-12,0.0,2.4716117146259764,2.471611714718789
t60,1.0901956136492779e-10,0.0,0.0,0.0,0.0,6.172821752831342e-12,0.0,2.4706853694951705,2.470685369610363
t61,1.2631257236005796e-10,0.0,0.0,0.0,0.0,6.20220092123505e-12,0.0,2.4706861368552504,2.4706861369877653
t62,1.495018361737144e-10,0.0,0.0,0.0,0.0,6.207840250066283e-12,0.0,2.471081309091678,2.4710813092473876
t63,1.7689933768695688e-10,0.0,0.0,0.0,0.0,6.202780758547601e-12,0.0,2.4714601589876066,2.4714601591707086
t64,2.167510822749434e-10,0.0,0.0,0.0,0.0,6.216044668898108e-12,0.0,2.4705530748108937,2.4705530750338607
t65,2.925849410898963e-10,0.0,0.0,0.0,0.0,6.241976214392506e-12,0.0,2.470565693332644,2.4705656936314706
t66,5.166883655334828e-10,0.0,0.0,0.0,0.0,6.2757937018441095e-12,0.0,2.4750286996844593,2.4750287002074236
t67,1.1464798301641389e-10,0.0,0.0,0.0,0.0,6.153163108313494e-12,0.0,2.4746905455580945,2.4746905456788957
t68,1.1152156452263091e-10,0.0,0.0,0.0,0.0,6.188443195337175e-12,0.0,2.474713821931956,2.474713822049666
t69,8.240753134059916e-11,0.0,0.0,0.0,0.0,6.133118744074658e-12,0.0,2.47300076374665,2.4730007638351905
t70,8.907362727200807e-11,0.0,0.0,0.0,0.0,6.1398013024794384e-12,0.0,2.4725193545501236,2.4725193546453372
t71,1.0103982565329206e-10,0.0,0.0,0.0,0.0,6.179224202764228e-12,0.0,2.4708359143801903,2.4708359144874095
t72,1.0981213788954836e-10,0.0,0.0,0.0,0.0,6.217637054958413e-12,0.0,2.473102107599382,2.473102107715412
t73,1.2297641493495186e-10,0.0,0.0,0.0,0.0,6.235373114572869e-12,0.0,2.4747102785808175,2.4747102787100292
t74,1.2203715197171126e-10,0.0,0.0,0.0,0.0,6.229746609461353e-12,0.0,2.4747313673789413,2.474731367507208
t75,1.4307671790087072e-10,0.0,0.0,0.0,0.0,6.24621340624254e-12,0.0,2.474716687806824,2.4747166879561466
t76,1.330716881245094e-10,0.0,0.0,0.0,0.0,6.2260066672889344e-12,0.0,2.474693530509235,2.474693530648533
t77,1.3298109838027844e-10,0.0,0.0,0.0,0.0,6.230772126661372e-12,0.0,2.4745580591902203,2.474558059329432
