Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,242.82754401328404,0.0,0.0,0.0,0.0,5.05441967898e-8,0.0,21674.062984297903,21916.89052836173
t1,2.3395504243145085e-11,0.0,0.0,0.0,0.0,5.41327132245823e-12,0.0,2.474613843257328,2.474613843286137
t2,2.6377780893716363e-11,0.0,0.0,0.0,0.0,5.442188314541266e-12,0.0,2.4747545300953666,2.4747545301271865
t3,2.7152611129497422e-11,0.0,0.0,0.0,0.0,5.455330082469329e-12,0.0,2.4747444217042944,2.4747444217369026
t4,2.710861841508771e-11,0.0,0.0,0.0,0.0,5.462113571311475e-12,0.0,2.474741287751455,2.474741287784026
t5,2.696104179347734e-11,0.0,0.0,0.0,0.0,5.465677350556052e-12,0.0,2.474756417050002,2.4747564170824283
t6,2.643581588636883e-11,0.0,0.0,0.0,0.0,5.470464233375259e-12,0.0,2.4747392775353134,2.47473927756722
t7,2.737001410252654e-11,0.0,0.0,0.0,0.0,5.4775147657165206e-12,0.0,2.4747684413293394,2.474768441362187
t8,2.790377228927903e-11,0.0,0.0,0.0,0.0,5.478719771544243e-12,0.0,2.474794934338187,2.4747949343715696
t9,2.9116689164921e-11,0.0,0.0,0.0,0.0,5.474340968963948e-12,0.0,2.4754111029187063,2.4754111029532972
t10,3.039581910234955e-11,0.0,0.0,0.0,0.0,5.461929051974734e-12,0.0,2.4710587626479437,2.471058762683801
t11,3.097608564502596e-11,0.0,0.0,0.0,0.0,5.445938586865893e-12,0.0,2.470696517332584,2.470696517369006
t12,2.8910726421844637e-11,0.0,0.0,0.0,0.0,5.446889386478372e-12,0.0,2.4714413930468506,2.471441393081208
t13,2.7634613248351353e-11,0.0,0.0,0.0,0.0,5.454301363408066e-12,0.0,2.4706705372483118,2.470670537281401
t14,2.590991766709089e-11,0.0,0.0,0.0,0.0,5.47216885222515e-12,0.0,2.4707367950711623,2.4707367951025443
t15,2.7723802753993843e-11,0.0,0.0,0.0,0.0,5.458316927441736e-12,0.0,2.470680011268384,2.470680011301566
t16,2.85510698809461e-11,0.0,0.0,0.0,0.0,5.452807907492074e-12,0.0,2.470947912776633,2.470947912810637
t17,2.9416309579949416e-11,0.0,0.0,0.0,0.0,5.443981383860493e-12,0.0,2.4716826986846607,2.471682698719521
t18,3.006291109184816e-11,0.0,0.0,0.0,0.0,5.439336528642967e-12,0.0,2.4749229182798604,2.4749229183153627
t19,3.090527602221468e-11,0.0,0.0,0.0,0.0,5.443270775192291e-12,0.0,2.474793996580092,2.4747939966164405
t20,3.215090172855233e-11,0.0,0.0,0.0,0.0,5.4451847444778856e-12,0.0,2.474826150580385,2.474826150617981
t21,3.418058394011778e-11,0.0,0.0,0.0,0.0,5.447384539020363e-12,0.0,2.4729294108890483,2.472929410928676
t22,3.343310362071877e-11,0.0,0.0,0.0,0.0,5.466366197372911e-12,0.0,2.476178654296653,2.4761786543355524
t23,2.9885485270144306e-11,0.0,0.0,0.0,0.0,5.450319932731266e-12,0.0,2.4707921489161673,2.470792148951503
t24,2.4653584528394905e-11,0.0,0.0,0.0,0.0,5.479767333533326e-12,0.0,2.474691775312251,2.474691775342384
t25,2.5878926123442366e-11,0.0,0.0,0.0,0.0,5.4743434914194995e-12,0.0,2.474544477655382,2.4745444776867354
t26,2.6189821076207583e-11,0.0,0.0,0.0,0.0,5.4700147247401275e-12,0.0,2.4748394140929015,2.4748394141245615
t27,2.714777329609925e-11,0.0,0.0,0.0,0.0,5.469015953809902e-12,0.0,2.474769274463511,2.4747692744961274
t28,2.7768790202747646e-11,0.0,0.0,0.0,0.0,5.474088157808909e-12,0.0,2.474745446194007,2.47474544622725
t29,2.764526090673321e-11,0.0,0.0,0.0,0.0,5.471901220919174e-12,0.0,2.4747537527820733,2.4747537528151904
t30,2.774890861088244e-11,0.0,0.0,0.0,0.0,5.473565424422249e-12,0.0,2.4747350710791833,2.4747350711124056
t31,2.7452995254696885e-11,0.0,0.0,0.0,0.0,5.476142836613397e-12,0.0,2.4747347723647977,2.474734772397727
t32,2.789969997822803e-11,0.0,0.0,0.0,0.0,5.4754929878683416e-12,0.0,2.47473589183333,2.4747358918667053
t33,2.7818655087631498e-11,0.0,0.0,0.0,0.0,5.476648662116502e-12,0.0,2.474736740027172,2.474736740060467
t34,2.7910362012420142e-11,0.0,0.0,0.0,0.0,5.475994541846365e-12,0.0,2.4747355975797505,2.4747355976131367
t35,2.8290255731793116e-11,0.0,0.0,0.0,0.0,5.473255425113382e-12,0.0,2.474794637435579,2.474794637469343
t36,2.8815220105825116e-11,0.0,0.0,0.0,0.0,5.4713052496880815e-12,0.0,2.4755445957867295,2.475544595821016
t37,3.0872795403793654e-11,0.0,0.0,0.0,0.0,5.462298589548341e-12,0.0,2.4714936999447343,2.4714936999810693
t38,3.099498681367293e-11,0.0,0.0,0.0,0.0,5.45966726042561e-12,0.0,2.470655023996425,2.47065502403288
t39,3.102095068344936e-11,0.0,0.0,0.0,0.0,5.4661677157218675e-12,0.0,2.4762798132178503,2.4762798132543375
