Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,9168.310656817224,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,16687.897177079238,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,24075.777928587813,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,31347.9459461242,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,38613.07571292161,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,45748.56468733976,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,52886.35485351857,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,60047.25359439716,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,66983.29291563583,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,72993.35295943315,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,74218.58493886638,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,72945.7839817189,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,70596.51696090061,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,65966.45464982283,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,64572.44105774547,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,66660.27498786253,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,68553.13415463622,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,68179.98150138053,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,65622.10347840106,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,59372.478328985504,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,51949.22849841796,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,45452.463680306566,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,35684.00290340661,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,27387.063828232087,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,18923.739656229474,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,14398.668964222741,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,11527.417363755761,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,10936.849696147146,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,14274.04595685561,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,18441.76101309544,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,21405.456947371065,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,25487.470074151526,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,29842.781980426284,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,33556.14778661397,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,35904.076447184605,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,36996.03737381856,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,38204.71278611375,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,40426.46389105435,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,43588.37578777281,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,47666.299218641994,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,52364.69774279515,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,57286.18425564521,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,62279.261773968516,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,67417.64874071923,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,72470.34623141676,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,77652.62916173897,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,83103.22118304322,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,88724.21526334563,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,94579.26250274979,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,100495.94928337466,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,106487.69066909392,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,112154.87050565299,0.0,0.0,0.0,0.0
