1,2,3,4,5,6,7,8
-2.1274745762279853e-27,-3.41490816307476e-16,-1.6306136571040544e-16,-1.2574214821370034e-16,-1.7985379158912103e-16,-3.180735255275707e-17,NaN,-4.284974076230313e-25
-4.246804571036399e-27,-6.811087248292474e-16,-3.2576286568997637e-16,-2.5110645342052716e-16,-3.580916603177008e-16,-6.361054859988826e-17,NaN,-8.563122721705568e-25
-6.341643795326057e-27,-1.0184987636550587e-15,-4.872098886841588e-16,-3.7489448504784115e-16,-5.316097132833973e-16,-9.521397476881536e-17,NaN,-1.2808306248445218e-24
-8.425024295531559e-27,-1.3554969591421001e-15,-6.484572536127178e-16,-4.98383642439579e-16,-7.044802879146195e-16,-1.265824866866461e-16,NaN,-1.7028521986697543e-24
-1.0499595131458817e-26,-1.688707862979458e-15,-8.091769054588726e-16,-6.197839196674377e-16,-8.756927295351647e-16,-1.5794044914937129e-16,NaN,-2.124689655513674e-24
-1.2566453138125636e-26,-2.0212363824824478e-15,-9.697879597569994e-16,-7.410822090516567e-16,-1.0449213442385e-15,-1.8886031052263984e-16,NaN,-2.5406688608456314e-24
-1.4626513153196917e-26,-2.3502126445337196e-15,-1.1297822800649832e-15,-8.600207081133088e-16,-1.2134654958588195e-15,-2.1934332712152058e-16,NaN,-2.951750892511619e-24
-1.6673872552169905e-26,-2.6786927183357173e-15,-1.2896467665900037e-15,-9.773668002113076e-16,-1.3819516991749507e-15,-2.49800286771513e-16,NaN,-3.362458720236804e-24
-1.86810929316325e-26,-3.00296753912859e-15,-1.4491597754766804e-15,-1.0941256903047708e-15,-1.5501749421916727e-15,-2.801815555511709e-16,NaN,-3.7715055980577456e-24
-2.0680616724125156e-26,-3.3262787222554613e-15,-1.608398903692144e-15,-1.2099813088613583e-15,-1.7172710330497556e-15,-3.104598958682125e-16,NaN,-4.17924353330764e-24
-2.2674600162228042e-26,-3.649500048808609e-15,-1.7676110863067587e-15,-1.3253752925679023e-15,-1.8802572104690043e-15,-3.4034868789860677e-16,NaN,-4.5820213420132056e-24
-2.4667435222162413e-26,-3.971629881691784e-15,-1.9265991060363025e-15,-1.4401935978649347e-15,-2.0429361990520455e-15,-3.7023356305136225e-16,NaN,-4.983373619027659e-24
-2.6637279211405305e-26,-4.2924326144550736e-15,-2.0853788744413833e-15,-1.5543239704495009e-15,-2.205192971180751e-15,-3.9987914703488737e-16,NaN,-5.382323757154402e-24
-2.8598642240920257e-26,-4.612901675219266e-15,-2.2436937894788656e-15,-1.6684300910403876e-15,-2.365999808168537e-15,-4.2934362085312115e-16,NaN,-5.7795311468264086e-24
-3.0550643465299055e-26,-4.9324864148888965e-15,-2.4016127218041725e-15,-1.7825074883747157e-15,-2.526614864210334e-15,-4.584262651837569e-16,NaN,-6.171114209863976e-24
-3.2478525572807716e-26,-5.2514149263812e-15,-2.5592119726664272e-15,-1.8959138602693098e-15,-2.6865011848922e-15,-4.873992277991514e-16,NaN,-6.561799040248964e-24
-3.440242486358036e-26,-5.569739052070555e-15,-2.7165264834795623e-15,-2.0086219826609398e-15,-2.84437880526615e-15,-5.163192013237846e-16,NaN,-6.95164038454714e-24
-3.6306187812240937e-26,-5.887964612337256e-15,-2.8737337454650567e-15,-2.1207784254779933e-15,-3.0017504204712693e-15,-5.451932599813764e-16,NaN,-7.340208188678964e-24
-3.820316764236514e-26,-6.204783457612553e-15,-3.0308224236670236e-15,-2.2321694080503763e-15,-3.158877935451473e-15,-5.734065352434821e-16,NaN,-7.720649470322824e-24
-4.0095976108998856e-26,-6.521319830920017e-15,-3.186874684650213e-15,-2.3433247646176923e-15,-3.315204888546541e-15,-6.016090636523822e-16,NaN,-8.100927936446533e-24
-4.1988406215063e-26,-6.837464668014921e-15,-3.3428640927424273e-15,-2.4541137883765937e-15,-3.470673536478707e-15,-6.296794420159147e-16,NaN,-8.479514793161927e-24
-4.3862093477198537e-26,-7.153261911320668e-15,-3.4988263250354017e-15,-2.5647406377238876e-15,-3.6258391708303675e-15,-6.576903114242228e-16,NaN,-8.857173416591502e-24
-4.573495588396605e-26,-7.46905427955134e-15,-3.6546680611210836e-15,-2.6753015831731626e-15,-3.778756364960125e-15,-6.856439824911184e-16,NaN,-9.234006855654658e-24
-4.7606588846328156e-26,-7.783662735231432e-15,-3.8104519844442726e-15,-2.7853955726045945e-15,-3.928372663612696e-15,-7.134439508535174e-16,NaN,-9.608736730471735e-24
-4.94595954684549e-26,-8.096742305596444e-15,-3.965880390028364e-15,-2.894507042350444e-15,-4.077213330992927e-15,-7.412414716498905e-16,NaN,-9.983462023726302e-24
-5.131132857110934e-26,-8.408844044134902e-15,-4.121200646315981e-15,-3.002983877723659e-15,-4.225501641547205e-15,-7.689689193460429e-16,NaN,-1.0357307950598969e-23
-5.316256913408991e-26,-8.719818587252073e-15,-4.276204629052842e-15,-3.1107237360621704e-15,-4.373181320401548e-15,-7.966563719837178e-16,NaN,-1.0730107628196633e-23
