Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,1.8982832774381691e-10,0.0,0.0,0.0,0.0,3.404767012843212e-11,0.0,0.2522375295344635
t2,1.824615699264378e-10,0.0,0.0,0.0,0.0,3.394473978995697e-11,0.0,0.2522375295274459
t3,1.797433627383943e-10,0.0,0.0,0.0,0.0,3.3886800470121826e-11,0.0,0.2522375295277575
t4,1.7842946041644366e-10,0.0,0.0,0.0,0.0,3.386037686537629e-11,0.0,0.2522375295334499
t5,1.7814681989672743e-10,0.0,0.0,0.0,0.0,3.385815247321123e-11,0.0,0.2522375295360835
t6,1.7626746949969907e-10,0.0,0.0,0.0,0.0,3.386442699105382e-11,0.0,0.25223752954711975
t7,1.7665698357120702e-10,0.0,0.0,0.0,0.0,3.3883157498920026e-11,0.0,0.2522375295490838
t8,1.772780023639898e-10,0.0,0.0,0.0,0.0,3.390249826291444e-11,0.0,0.252237529552469
t9,1.8027571667582014e-10,0.0,0.0,0.0,0.0,3.3918264507843495e-11,0.0,0.2522375295818437
t10,1.8502871669183615e-10,0.0,0.0,0.0,0.0,3.391071455232925e-11,0.0,0.25223752959567236
t11,1.9072008525697025e-10,0.0,0.0,0.0,0.0,3.386788190685967e-11,0.0,0.25223752962993284
t12,1.9197248805309318e-10,0.0,0.0,0.0,0.0,3.38275368042815e-11,0.0,0.2522375296423336
t13,1.904082992995848e-10,0.0,0.0,0.0,0.0,3.3809432450368145e-11,0.0,0.252237529634608
t14,1.835480117462e-10,0.0,0.0,0.0,0.0,3.3836611945378503e-11,0.0,0.25223752959847434
t15,1.8204771058151093e-10,0.0,0.0,0.0,0.0,3.3840836669806794e-11,0.0,0.25223752959915824
t16,1.8232419961579099e-10,0.0,0.0,0.0,0.0,3.383776252306568e-11,0.0,0.2522375295958905
t17,1.8474236325082562e-10,0.0,0.0,0.0,0.0,3.381916124577281e-11,0.0,0.2522375295792634
t18,1.874149358229483e-10,0.0,0.0,0.0,0.0,3.379061924665788e-11,0.0,0.2522375295522994
t19,1.909159113302564e-10,0.0,0.0,0.0,0.0,3.377355193177517e-11,0.0,0.25223752954621576
t20,1.963688450430865e-10,0.0,0.0,0.0,0.0,3.3766626652091e-11,0.0,0.2522375295646495
t21,2.0536237792602065e-10,0.0,0.0,0.0,0.0,3.376537163384421e-11,0.0,0.252237529553338
t22,2.1055487886855732e-10,0.0,0.0,0.0,0.0,3.379970975759905e-11,0.0,0.2522375296273142
t23,2.0727741204574734e-10,0.0,0.0,0.0,0.0,3.379037191159883e-11,0.0,0.25223752956194184
t24,1.9333738758622479e-10,0.0,0.0,0.0,0.0,3.384198578310843e-11,0.0,0.25223752953924505
t25,1.8624762548656862e-10,0.0,0.0,0.0,0.0,3.387265436967249e-11,0.0,0.25223752955380613
t26,1.8022147615093546e-10,0.0,0.0,0.0,0.0,3.388307780711682e-11,0.0,0.25223752954866435
t27,1.782403218363325e-10,0.0,0.0,0.0,0.0,3.3889390771002346e-11,0.0,0.2522375295435658
t28,1.7863965065185904e-10,0.0,0.0,0.0,0.0,3.389756648327354e-11,0.0,0.2522375295357836
t29,1.793446363637694e-10,0.0,0.0,0.0,0.0,3.3899491047779126e-11,0.0,0.2522375295320267
t30,1.7992625530638474e-10,0.0,0.0,0.0,0.0,3.3901570087304276e-11,0.0,0.2522375295301725
t31,1.797954902822158e-10,0.0,0.0,0.0,0.0,3.3909811758320886e-11,0.0,0.2522375295298038
t32,1.8036243981930746e-10,0.0,0.0,0.0,0.0,3.391258262535003e-11,0.0,0.2522375295266468
t33,1.810617467381754e-10,0.0,0.0,0.0,0.0,3.391747200546862e-11,0.0,0.25223752952461453
t34,1.8120600323093705e-10,0.0,0.0,0.0,0.0,3.3919158423585985e-11,0.0,0.2522375295268043
t35,1.8192284143184317e-10,0.0,0.0,0.0,0.0,3.3919420333317286e-11,0.0,0.25223752953441964
t36,1.8278143658561109e-10,0.0,0.0,0.0,0.0,3.3917013726691886e-11,0.0,0.25223752956861867
t37,1.8778993075681365e-10,0.0,0.0,0.0,0.0,3.389883631080089e-11,0.0,0.2522375295905108
t38,1.9215709331817095e-10,0.0,0.0,0.0,0.0,3.3874932575808954e-11,0.0,0.2522375295930199
t39,1.9613089679756419e-10,0.0,0.0,0.0,0.0,3.387074096096272e-11,0.0,0.2522375295282516
t40,1.974992414386481e-10,0.0,0.0,0.0,0.0,3.386764492532237e-11,0.0,0.25223752951504175
t41,1.9791281729845042e-10,0.0,0.0,0.0,0.0,3.387094755513725e-11,0.0,0.25223752951311956
t42,1.981316356441594e-10,0.0,0.0,0.0,0.0,3.386857184082277e-11,0.0,0.2522375295126252
t43,1.9886046151261962e-10,0.0,0.0,0.0,0.0,3.386790215713834e-11,0.0,0.25223752951308986
t44,1.981465797361532e-10,0.0,0.0,0.0,0.0,3.386565920437735e-11,0.0,0.2522375295166792
t45,1.9608384321468383e-10,0.0,0.0,0.0,0.0,3.386860702722469e-11,0.0,0.2522375295574172
t46,1.896958950171217e-10,0.0,0.0,0.0,0.0,3.3889018968909087e-11,0.0,0.25223752959260953
t47,1.8390243875242513e-10,0.0,0.0,0.0,0.0,3.390455200325339e-11,0.0,0.2522375295922609
t48,1.8122825938296838e-10,0.0,0.0,0.0,0.0,3.390926253285076e-11,0.0,0.25223752953396233
t49,1.8046375729539215e-10,0.0,0.0,0.0,0.0,3.3911362871538373e-11,0.0,0.25223752952531286
t50,1.8009783021549966e-10,0.0,0.0,0.0,0.0,3.3913245834609575e-11,0.0,0.25223752953124173
t51,1.7933741276956325e-10,0.0,0.0,0.0,0.0,3.393566460997167e-11,0.0,0.2522375295351565
t52,1.7938723578450132e-10,0.0,0.0,0.0,0.0,3.402415617305601e-11,0.0,0.25223752954182715
t53,1.8411843735057683e-10,0.0,0.0,0.0,0.0,3.428264674305e-11,0.0,0.25223752954558926
t54,2.0350582038694718e-10,0.0,0.0,0.0,0.0,3.482287832236499e-11,0.0,0.25223752963744356
t55,2.913211183674455e-10,0.0,0.0,0.0,0.0,3.5882148245078935e-11,0.0,4.5204718006501
t56,8.455562822815626,0.0,0.0,0.0,0.0,3.7271460182038284e-11,0.0,4.994433965301345
t57,9.73590708438836,0.0,0.0,0.0,0.0,3.8004765347554884e-11,0.0,4.994433965495877
t58,9.735907087038562,0.0,0.0,0.0,0.0,3.838878069500708e-11,0.0,4.994433965285591
t59,9.7359070903928,0.0,0.0,0.0,0.0,3.8560174911685414e-11,0.0,4.994433965154942
t60,9.735907094010162,0.0,0.0,0.0,0.0,3.8600490683415426e-11,0.0,4.994433965325076
t61,9.735907093793399,0.0,0.0,0.0,0.0,3.861449570332199e-11,0.0,4.994433965298101
t62,9.735907097425734,0.0,0.0,0.0,0.0,3.8617079511443846e-11,0.0,4.994433965222707
t63,9.73590709629503,0.0,0.0,0.0,0.0,3.8613163568935174e-11,0.0,4.9944339653789775
t64,9.735907103033393,0.0,0.0,0.0,0.0,3.8574657916638266e-11,0.0,4.99443396525398
t65,9.735907102228058,0.0,0.0,0.0,0.0,3.847854377202334e-11,0.0,4.994433965333565
t66,9.735907100672135,0.0,0.0,0.0,0.0,3.831109697554225e-11,0.0,4.994433965306319
t67,9.735907100882152,0.0,0.0,0.0,0.0,3.838594565599444e-11,0.0,4.994433965304667
t68,9.735907079722853,0.0,0.0,0.0,0.0,3.8400224061644244e-11,0.0,4.994433963834948
t69,11.472908907813126,0.0,0.0,0.0,0.0,3.852798161921009e-11,0.0,4.99443396533342
t70,11.716797237506945,0.0,0.0,0.0,0.0,3.8646939987321294e-11,0.0,4.994433965381632
t71,11.716797238979556,0.0,0.0,0.0,0.0,3.871471253369534e-11,0.0,4.994433965312136
t72,11.716797245074817,0.0,0.0,0.0,0.0,3.872200106144924e-11,0.0,4.994433965294648
t73,11.71679724149072,0.0,0.0,0.0,0.0,3.870983331325321e-11,0.0,4.994433965291842
t74,11.716797246372865,0.0,0.0,0.0,0.0,3.871129995065798e-11,0.0,4.994433965273963
t75,11.716797234852018,0.0,0.0,0.0,0.0,3.868378100006257e-11,0.0,4.994433966110014
t76,11.7167972586983,0.0,0.0,0.0,0.0,3.8692423544448095e-11,0.0,4.994433965315012
t77,11.716797262319036,0.0,0.0,0.0,0.0,3.869916004971286e-11,0.0,4.994433965307639
t78,11.71679728295505,0.0,0.0,0.0,0.0,3.872073559666015e-11,0.0,4.994433965344317
t79,11.71679727115734,0.0,0.0,0.0,0.0,3.877119740910717e-11,0.0,4.994433965342108
t80,11.716797280527198,0.0,0.0,0.0,0.0,3.880900638149918e-11,0.0,4.994433965377783
t81,11.716797274716358,0.0,0.0,0.0,0.0,3.884045805071862e-11,0.0,4.9944339653660075
t82,11.716797262622425,0.0,0.0,0.0,0.0,3.885340437342111e-11,0.0,4.994433965356492
t83,11.716797272497674,0.0,0.0,0.0,0.0,3.8854308820234634e-11,0.0,4.994433965386674
t84,11.716797267204354,0.0,0.0,0.0,0.0,3.882668819553867e-11,0.0,4.994433965293613
t85,11.716797271933705,0.0,0.0,0.0,0.0,3.87461299976752e-11,0.0,4.994433965384141
t86,11.716797266922958,0.0,0.0,0.0,0.0,3.861511560213094e-11,0.0,4.9944339654543475
t87,11.71679726308802,0.0,0.0,0.0,0.0,3.8401840447416585e-11,0.0,4.9944339653526555
t88,9.784767064647875,0.0,0.0,0.0,0.0,3.818708355922696e-11,0.0,4.994433965220905
t89,7.273267699001416,0.0,0.0,0.0,0.0,3.801349834317523e-11,0.0,4.994433965266034
t90,3.347286636880331,0.0,0.0,0.0,0.0,3.786247833296221e-11,0.0,4.994433965330234
t91,1.641783436241602e-7,0.0,0.0,0.0,0.0,3.7688537114904515e-11,0.0,4.99443396533965
t92,1.6416373377114554e-7,0.0,0.0,0.0,0.0,3.7688308002589806e-11,0.0,4.99443396529772
t93,2.338989139055626,0.0,0.0,0.0,0.0,3.786463337780753e-11,0.0,4.994433965196921
t94,2.3389891396926945,0.0,0.0,0.0,0.0,3.7983929112280896e-11,0.0,4.9944339652642205
t95,2.3389891400837057,0.0,0.0,0.0,0.0,3.806870700287645e-11,0.0,4.99443396536342
t96,2.3389891401089655,0.0,0.0,0.0,0.0,3.8123567482215935e-11,0.0,4.994433965229478
t97,2.338989140136244,0.0,0.0,0.0,0.0,3.8156619919681345e-11,0.0,4.994433965211369
t98,2.338989140375549,0.0,0.0,0.0,0.0,3.819084543060015e-11,0.0,4.994433965231816
t99,2.338989140517112,0.0,0.0,0.0,0.0,3.825069896168453e-11,0.0,4.9944339652159195
t100,2.3389891395736027,0.0,0.0,0.0,0.0,3.8287423159605207e-11,0.0,4.994433965380325
t101,2.33898914041089,0.0,0.0,0.0,0.0,3.832983562443669e-11,0.0,4.994433965249594
t102,2.3389891412335317,0.0,0.0,0.0,0.0,3.8360727454304165e-11,0.0,4.994433966447426
t103,2.338989141033157,0.0,0.0,0.0,0.0,3.8549148647480657e-11,0.0,4.994433965339688
t104,2.338989140967674,0.0,0.0,0.0,0.0,3.8496804702901346e-11,0.0,4.994433965207779
t105,2.3389891411281254,0.0,0.0,0.0,0.0,3.847583305928426e-11,0.0,4.994433965117009
t106,2.3389891405594825,0.0,0.0,0.0,0.0,3.845004041844886e-11,0.0,4.994433965400256
t107,2.3389891406161905,0.0,0.0,0.0,0.0,3.844689695309537e-11,0.0,4.994433965272668
t108,2.3389891406854155,0.0,0.0,0.0,0.0,3.838564062778767e-11,0.0,4.994433965164577
t109,2.338989140207052,0.0,0.0,0.0,0.0,3.8145278879055054e-11,0.0,4.99443396529145
t110,2.3389891399513574,0.0,0.0,0.0,0.0,3.766674181448087e-11,0.0,4.994433965271762
t111,2.338989138882241,0.0,0.0,0.0,0.0,3.687836186807328e-11,0.0,4.994433965239147
t112,2.487745187555574e-10,0.0,0.0,0.0,0.0,3.53002867383889e-11,0.0,0.25223752951057893
t113,2.1598985395816144e-10,0.0,0.0,0.0,0.0,3.449464000865441e-11,0.0,0.2522375295132351
t114,2.0302299523650608e-10,0.0,0.0,0.0,0.0,3.408741137509926e-11,0.0,0.2522375295192136
t115,1.9777711503064268e-10,0.0,0.0,0.0,0.0,3.39002453710378e-11,0.0,0.25223752951477796
t116,1.9226215055019712e-10,0.0,0.0,0.0,0.0,3.3852012600490444e-11,0.0,0.25223752952909984
t117,1.8940286783963386e-10,0.0,0.0,0.0,0.0,3.3857468147906e-11,0.0,0.25223752956819434
t118,1.8473025814066509e-10,0.0,0.0,0.0,0.0,3.387593429848323e-11,0.0,0.2522375295816233
t119,1.816961985761652e-10,0.0,0.0,0.0,0.0,3.3892067577358105e-11,0.0,0.25223752957146395
t120,1.8060669432634374e-10,0.0,0.0,0.0,0.0,3.389651213590607e-11,0.0,0.252237529538778
t121,1.7976894242940865e-10,0.0,0.0,0.0,0.0,3.390213674490867e-11,0.0,0.2522375295269606
t122,1.8031997558589063e-10,0.0,0.0,0.0,0.0,3.3901035448058506e-11,0.0,0.25223752952296774
t123,1.8140941674456928e-10,0.0,0.0,0.0,0.0,3.3901175912394323e-11,0.0,0.25223752952106865
t124,1.8214352612251906e-10,0.0,0.0,0.0,0.0,3.3900666460856845e-11,0.0,0.2522375295197013
t125,1.8274942350593804e-10,0.0,0.0,0.0,0.0,3.390337891072126e-11,0.0,0.2522375295219773
t126,1.8209470747208438e-10,0.0,0.0,0.0,0.0,3.39060422773197e-11,0.0,0.25223752951989287
t127,1.8281089798548862e-10,0.0,0.0,0.0,0.0,3.390822902246113e-11,0.0,0.2522375295188187
t128,1.8345560692543314e-10,0.0,0.0,0.0,0.0,3.390862044250061e-11,0.0,0.25223752951708106
t129,1.8409118827013663e-10,0.0,0.0,0.0,0.0,3.3910557244051666e-11,0.0,0.2522375295168755
t130,1.8422079095896332e-10,0.0,0.0,0.0,0.0,3.3909959683958126e-11,0.0,0.2522375295162192
t131,1.8300011285360353e-10,0.0,0.0,0.0,0.0,3.3909951039362456e-11,0.0,0.2522375295251816
t132,1.8444519906520452e-10,0.0,0.0,0.0,0.0,3.389911993729509e-11,0.0,0.25223752956447987
t133,1.9020204804698016e-10,0.0,0.0,0.0,0.0,3.387736195814575e-11,0.0,0.2522375295953377
t134,1.9519209390533733e-10,0.0,0.0,0.0,0.0,3.3854307050991455e-11,0.0,0.25223752959442775
t135,1.9751400956774043e-10,0.0,0.0,0.0,0.0,3.3849770086206606e-11,0.0,0.252237529523571
t136,1.9745227106971757e-10,0.0,0.0,0.0,0.0,3.3849565211500117e-11,0.0,0.25223752951316897
t137,1.9872971778342695e-10,0.0,0.0,0.0,0.0,3.385096617147982e-11,0.0,0.2522375295123069
t138,1.9993453475946574e-10,0.0,0.0,0.0,0.0,3.385014808755613e-11,0.0,0.2522375295121869
t139,2.0016381033254796e-10,0.0,0.0,0.0,0.0,3.384941569903373e-11,0.0,0.2522375295121772
t140,1.997004122758508e-10,0.0,0.0,0.0,0.0,3.38489545336564e-11,0.0,0.2522375295180066
t141,1.970625150532247e-10,0.0,0.0,0.0,0.0,3.3855215135949696e-11,0.0,0.2522375295580466
t142,1.9261984033104788e-10,0.0,0.0,0.0,0.0,3.387362355856251e-11,0.0,0.2522375295922315
t143,1.8771385037568716e-10,0.0,0.0,0.0,0.0,3.3888907856412433e-11,0.0,0.2522375295920185
t144,1.8648602938299266e-10,0.0,0.0,0.0,0.0,3.389439893346207e-11,0.0,0.2522375295295735
t145,1.8612896743037203e-10,0.0,0.0,0.0,0.0,3.389780546565736e-11,0.0,0.2522375295184981
t146,1.8515094510659582e-10,0.0,0.0,0.0,0.0,3.389986241397112e-11,0.0,0.25223752951705064
t147,1.8592189538019584e-10,0.0,0.0,0.0,0.0,3.3900474171255845e-11,0.0,0.2522375295166522
t148,1.8642336969896484e-10,0.0,0.0,0.0,0.0,3.3899723507028126e-11,0.0,0.25223752951673656
t149,1.8734692786205992e-10,0.0,0.0,0.0,0.0,3.3901696034199515e-11,0.0,0.2522375295164127
t150,1.874492697300443e-10,0.0,0.0,0.0,0.0,3.390210060212847e-11,0.0,0.2522375295162613
t151,1.8623546189678148e-10,0.0,0.0,0.0,0.0,3.390657511732622e-11,0.0,0.2522375295166804
t152,1.8606012550258234e-10,0.0,0.0,0.0,0.0,3.3907396380554204e-11,0.0,0.25223752951635847
t153,1.8625316305829793e-10,0.0,0.0,0.0,0.0,3.390909126535093e-11,0.0,0.25223752951657946
t154,1.8602749534039065e-10,0.0,0.0,0.0,0.0,3.390769985403568e-11,0.0,0.25223752951658895
t155,1.8563610972821883e-10,0.0,0.0,0.0,0.0,3.3905045667097194e-11,0.0,0.2522375295227663
t156,1.8540002089630415e-10,0.0,0.0,0.0,0.0,3.3897102204675847e-11,0.0,0.2522375295631821
t157,1.9036970228429777e-10,0.0,0.0,0.0,0.0,3.3876743559962963e-11,0.0,0.25223752959402757
t158,1.948053912842969e-10,0.0,0.0,0.0,0.0,3.385535816336488e-11,0.0,0.25223752959532353
t159,1.9766369291626787e-10,0.0,0.0,0.0,0.0,3.3850645102245264e-11,0.0,0.2522375295269571
t160,1.9831994493119055e-10,0.0,0.0,0.0,0.0,3.384739359602556e-11,0.0,0.25223752951361256
t161,1.9820774087005894e-10,0.0,0.0,0.0,0.0,3.385008126883687e-11,0.0,0.25223752951220185
t162,1.9907978414479202e-10,0.0,0.0,0.0,0.0,3.3849350484732496e-11,0.0,0.25223752951268547
t163,2.004384823282625e-10,0.0,0.0,0.0,0.0,3.385055864387109e-11,0.0,0.25223752951519424
t164,2.0007013236810733e-10,0.0,0.0,0.0,0.0,3.3849927825012573e-11,0.0,0.25223752951939965
t165,1.9851911421584401e-10,0.0,0.0,0.0,0.0,3.385578387833416e-11,0.0,0.25223752956122103
t166,1.9274603462991133e-10,0.0,0.0,0.0,0.0,3.387726098613458e-11,0.0,0.2522375295914166
t167,1.8733345293210598e-10,0.0,0.0,0.0,0.0,3.3890707015644047e-11,0.0,0.25223752959195334
t168,1.8539458216287922e-10,0.0,0.0,0.0,0.0,3.3895079087837505e-11,0.0,0.2522375295320623
t169,1.8482604648070322e-10,0.0,0.0,0.0,0.0,3.3897217925500376e-11,0.0,0.2522375295214321
t170,1.8423372568061927e-10,0.0,0.0,0.0,0.0,3.389562236784418e-11,0.0,0.2522375295211757
t171,1.830690100634049e-10,0.0,0.0,0.0,0.0,3.3898810784672704e-11,0.0,0.2522375295219112
t172,1.829204141934838e-10,0.0,0.0,0.0,0.0,3.3897295184636125e-11,0.0,0.25223752952264517
t173,1.8307141319023285e-10,0.0,0.0,0.0,0.0,3.389802026255423e-11,0.0,0.25223752952269496
