Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2.6288136887020553e6,2.735338115185272e7,9.571201752383164e7,2.525404410070561e7,0.02470219406974836,5.4454979903836077e-5,0.0,1.1644184601185503e6,1.521126749499672e8
t1,5.297424136365411e-8,0.0,24157.865428758967,276.31573947324307,3.2460524595423003e-6,5.7937792345956185e-9,0.0,3.3078866067106446e-6,24434.181174844918
t2,5.129986688386106e-8,0.0,22689.70601410145,650.2203944733367,2.8821071965639585e-6,5.778616369116306e-9,0.0,3.300095785761752e-6,23339.92641481407
t3,5.070502284691159e-8,0.0,21927.96685109004,688.0840160793383,2.6449857023623375e-6,5.770002482102026e-9,0.0,3.3009155950990626e-6,22616.050873171756
t4,5.035805049906164e-8,0.0,21140.850399173214,715.6209925210302,2.207085468574547e-6,5.766163187767901e-9,0.0,3.3044297858779865e-6,21856.471397261885
t5,5.0338627143131715e-8,0.0,20545.143652584225,722.3961901967133,1.7296493643889705e-6,5.765896591809767e-9,0.0,3.306573195541716e-6,21267.539847873264
t6,4.963732400930669e-8,0.0,19832.65567846896,745.1648476063889,1.3520927961801563e-6,5.766890074135095e-9,0.0,3.3082494860811187e-6,20577.820530791094
t7,4.982383853404016e-8,0.0,19400.70274765938,751.1699531764526,9.64857880684347e-7,5.769995302089261e-9,0.0,3.3095882151142963e-6,20151.87270516587
t8,4.992555812216165e-8,0.0,19164.1493690955,755.2730380708432,7.050159800986569e-7,5.773252307395721e-9,0.0,3.3095355414862925e-6,19919.42241123659
t9,5.074541024028918e-8,0.0,18851.300277387763,804.7197743762956,5.262954204645462e-7,5.7761490908471864e-9,0.0,3.3102683664003943e-6,19656.020055657147
t10,5.212186940355635e-8,0.0,17994.48279361508,996.1501655008354,4.010038918065386e-7,5.775293771298715e-9,0.0,3.3119393818758833e-6,18990.632962886757
t11,5.4072606868776036e-8,0.0,13361.547519616995,2125.046061439242,2.911743332754041e-7,5.767484789199479e-9,0.0,3.3613201352999587e-6,15486.593584768572
t12,5.4347557352813216e-8,0.0,11358.066474494239,3196.4482035057986,2.4139695779581086e-7,5.760520931195737e-9,0.0,3.3843964000668066e-6,14554.51468168594
