BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.268586308492616e8,2.525404410070561e7,-2.983700862557405e7,0.0,0.0,0.0,1.764007950322492e-6,0.0,0.0,-1.2227566629749997e8
t1,24157.865435371674,276.31573947324307,-9366.176171547086,0.0,0.0,0.0,1.8571650700483323e-10,0.0,0.0,-15068.005000000001
t2,22689.70602034073,650.2203944733367,-8941.682411524003,0.0,0.0,0.0,1.838980169815962e-10,0.0,0.0,-14398.244
t3,21927.96685709242,688.0840160793383,-8843.25886988094,0.0,0.0,0.0,1.819851958230419e-10,0.0,0.0,-13772.792
t4,21140.850404740853,715.6209925210302,-8750.018393967992,0.0,0.0,0.0,1.7961240084021393e-10,0.0,0.0,-13106.453
t5,20545.14365767655,722.3961901967133,-8750.37284457742,0.0,0.0,0.0,1.7715982999545762e-10,0.0,0.0,-12517.167
t6,19832.655683184705,745.1648476063889,-8636.359527494196,0.0,0.0,0.0,1.7034697248623604e-10,0.0,0.0,-11941.461
t7,19400.702751989418,751.1699531764526,-8645.955701867868,0.0,0.0,0.0,1.6690552339437508e-10,0.0,0.0,-11505.917
t8,19164.149373165747,755.2730380708432,-8675.921407938496,0.0,0.0,0.0,1.655031753314037e-10,0.0,0.0,-11243.501
t9,18851.30028128085,804.7197743762956,-8489.929052358068,0.0,0.0,0.0,1.6600621646400812e-10,0.0,0.0,-11166.091
t10,17994.48279738592,996.1501655008354,-7709.599959586915,0.0,0.0,0.0,1.7020212726815682e-10,0.0,0.0,-11281.033
t11,13361.547523329331,2125.046061439242,-3842.4615814246367,0.0,0.0,0.0,1.711832251060197e-10,0.0,0.0,-11644.132
t12,11358.06647818014,3196.4482035057986,-2393.0426783200646,0.0,0.0,0.0,1.7634907173882204e-10,0.0,0.0,-12161.472
t13,10741.69608468698,3913.5210102823326,-2070.174091599143,0.0,0.0,0.0,1.8272587574406072e-10,0.0,0.0,-12585.043
t14,9172.47662060247,5549.695150069842,-1524.1467673420195,0.0,0.0,0.0,1.8556117964154e-10,0.0,0.0,-13198.025
t15,12835.245127240005,3300.9836353688943,-2384.7957592836947,0.0,0.0,0.0,1.8755695655669133e-10,0.0,0.0,-13751.433
t16,17006.73731166263,1829.9796281179003,-4431.458936466908,0.0,0.0,0.0,1.8913200745914454e-10,0.0,0.0,-14405.258
t17,16976.426997913382,1855.7836798273684,-4250.0166744555345,0.0,0.0,0.0,1.9023090203364822e-10,0.0,0.0,-14582.194000000001
t18,14469.562952130915,2649.996068240459,-2725.3020170666723,0.0,0.0,0.0,1.903977076921087e-10,0.0,0.0,-14394.256999999998
t19,12086.839723680168,3962.2867009128,-1901.0384212803444,0.0,0.0,0.0,1.9037542559147072e-10,0.0,0.0,-14148.088
t20,8386.346167373602,6771.910726006565,-1207.7688900570174,0.0,0.0,0.0,1.9063603494486236e-10,0.0,0.0,-13950.488
t21,7500.285512031787,7679.279882260645,-1004.1233909953968,0.0,0.0,0.0,1.9052898793970125e-10,0.0,0.0,-14175.442
