Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,2.0345823901221663e7,9.192288441268493e7,0.0,0.015147744196538564,0.0,0.0,0.0,1.1226870832905434e8
t1,0.0,0.0,15373.863998381661,0.0,2.488674347698001e-6,0.0,0.0,0.0,15373.864000870335
t2,0.0,0.0,17442.80924492611,0.0,2.1889297005129094e-6,0.0,0.0,0.0,17442.809247115038
t3,0.0,0.0,19701.153862707142,0.0,2.008410942416149e-6,0.0,0.0,0.0,19701.153864715554
t4,0.0,0.0,16371.419572620522,0.0,1.6818017756866791e-6,0.0,0.0,0.0,16371.419574302323
t5,0.0,0.0,17291.009898745313,0.0,1.340824789406172e-6,0.0,0.0,0.0,17291.009900086137
t6,0.0,0.0,12716.638638131808,0.0,1.0187480849101818e-6,0.0,0.0,0.0,12716.638639150557
t7,0.0,0.0,12451.149735619383,0.0,7.310022354773536e-7,0.0,0.0,0.0,12451.149736350386
t8,0.0,0.0,13544.774589528512,0.0,5.343975932847028e-7,0.0,0.0,0.0,13544.774590062909
t9,0.0,0.0,9232.281884115044,0.0,3.8911525086154766e-7,0.0,0.0,0.0,9232.281884504158
t10,0.0,0.0,3837.266994547299,0.0,2.744771443542611e-7,0.0,0.0,0.0,3837.2669948217763
t11,0.0,0.0,1840.2006295069168,0.0,2.0668032198017384e-7,0.0,0.0,0.0,1840.2006297135972
t12,0.0,0.0,1541.9310188154377,0.0,1.652944480148214e-7,0.0,0.0,0.0,1541.9310189807322
t13,0.0,110.73506060980017,1383.6404705143577,0.0,1.338522117404393e-7,0.0,0.0,0.0,1494.3755312580101
t14,0.0,953.5087795569548,1084.1663301435156,0.0,1.1585954249160422e-7,0.0,0.0,0.0,2037.67510981633
t15,0.0,1381.441765771152,1144.1274850033342,0.0,1.4934284416855197e-7,0.0,0.0,0.0,2525.569250923829
t16,0.0,1855.9939711971274,1174.6345179998525,0.0,2.553140480519676e-7,0.0,0.0,0.0,3030.628489452294
t17,0.0,1798.129600232287,1174.7260286968117,0.0,3.482205862193098e-7,0.0,0.0,0.0,2972.855629277319
t18,0.0,1388.7819900577124,1157.4510952516603,0.0,4.26019423427212e-7,0.0,0.0,0.0,2546.2330857353923
t19,0.0,1063.6481553220228,1085.6784694217886,0.0,5.414106849312421e-7,0.0,0.0,0.0,2149.3266252852222
t20,0.0,650.7431868732531,920.7776260103128,0.0,5.993985464480629e-7,0.0,0.0,0.0,1571.5208134829645
t21,0.0,178.01253781708743,843.5943634576215,0.0,8.070643202527686e-7,0.0,0.0,0.0,1021.6069020817732
t22,0.0,13.446204779839306,903.4681585798298,0.0,7.715638100572915e-7,0.0,0.0,0.0,916.9143641312329
t23,0.0,0.0,668.5679533314587,0.0,1.0038408863952985e-6,0.0,0.0,0.0,668.5679543352996
t24,0.0,0.0,799.7738477845978,0.0,1.3358515398279701e-6,0.0,0.0,0.0,799.7738491204493
t25,0.0,0.0,803.7185618631793,0.0,2.106113809896737e-6,0.0,0.0,0.0,803.7185639692931
t26,0.0,0.0,1040.102915598196,0.0,2.4809943454927904e-6,0.0,0.0,0.0,1040.1029180791904
t27,0.0,0.0,1193.0575873455255,0.0,2.864167754428272e-6,0.0,0.0,0.0,1193.0575902096932
t28,0.0,0.0,1646.228689069354,0.0,3.0448678444273253e-6,0.0,0.0,0.0,1646.2286921142218
t29,0.0,0.0,3221.0553186995094,0.0,3.224834065370211e-6,0.0,0.0,0.0,3221.0553219243434
t30,0.0,0.0,4546.255334282512,0.0,3.2871690343215085e-6,0.0,0.0,0.0,4546.255337569682
t31,0.0,0.0,4148.272342000586,0.0,3.5069512111250307e-6,0.0,0.0,0.0,4148.2723455075375
t32,0.0,0.0,6003.3719337364055,0.0,3.696379185540096e-6,0.0,0.0,0.0,6003.371937432785
t33,0.0,0.0,7389.926994323872,0.0,3.702103454671512e-6,0.0,0.0,0.0,7389.926998025976
t34,0.0,0.0,6079.931510883178,0.0,3.5854396204435536e-6,0.0,0.0,0.0,6079.931514468618
t35,0.0,0.0,4479.477092053732,0.0,3.5160222257092913e-6,0.0,0.0,0.0,4479.477095569754
t36,0.0,0.0,3579.6911767388847,0.0,3.6005070645701102e-6,0.0,0.0,0.0,3579.691180339392
t37,0.0,80.11528231520876,3680.6908608001468,0.0,3.677714571514086e-6,0.0,0.0,0.0,3760.80614679307
t38,0.0,472.10847028245155,4061.5577203500725,0.0,3.6913882158483946e-6,0.0,0.0,0.0,4533.666194323912
t39,0.0,2620.39133790114,5221.657290435694,0.0,3.6868918480311406e-6,0.0,0.0,0.0,7842.048632023726
t40,0.0,4185.671289599929,7455.35624706009,0.0,3.699662024861785e-6,0.0,0.0,0.0,11641.02754035968
t41,0.0,5777.193767421861,10086.673887727955,0.0,3.6935180116158523e-6,0.0,0.0,0.0,15863.867658843334
t42,0.0,7902.636583462071,11625.883923288853,0.0,3.6916544907099072e-6,0.0,0.0,0.0,19528.520510442577
t43,0.0,6226.006612028677,12593.38216388707,0.0,3.695551400653465e-6,0.0,0.0,0.0,18819.388779611298
t44,0.0,4157.978499526603,14407.847410432209,0.0,3.663885587153629e-6,0.0,0.0,0.0,18565.825913622695
t45,0.0,1323.7500330477112,9834.754804057018,0.0,3.6415197205214586e-6,0.0,0.0,0.0,11158.50484074625
t46,0.0,88.15525541803959,9796.499018025577,0.0,3.6407928117902066e-6,0.0,0.0,0.0,9884.65427708441
t47,0.0,0.0,10855.344621753575,0.0,3.249409783240485e-6,0.0,0.0,0.0,10855.344625002985
t48,0.0,0.0,10480.421099685642,0.0,2.9838561053155454e-6,0.0,0.0,0.0,10480.421102669497
t49,0.0,0.0,10376.09997532254,0.0,2.7252520236587457e-6,0.0,0.0,0.0,10376.099978047792
t50,0.0,0.0,7810.186581739159,0.0,2.3021342416650026e-6,0.0,0.0,0.0,7810.186584041293
t51,0.0,0.0,5248.3502000767985,0.0,2.239540734825225e-6,0.0,0.0,0.0,5248.350202316339
t52,0.0,0.0,3081.9142745816207,0.0,1.969814865849024e-6,0.0,0.0,0.0,3081.9142765514357
t53,0.0,0.0,1809.2267191044193,0.0,1.7588560026810603e-6,0.0,0.0,0.0,1809.2267208632754
t54,0.0,0.0,466.146816423312,0.0,1.540041529144719e-6,0.0,0.0,0.0,466.1468179633535
t55,0.0,0.0,2.621709427330643e-8,0.0,3.47003989662518e-8,0.0,0.0,0.0,6.091749323955823e-8
t56,0.0,0.0,2.305569068994373e-8,0.0,1.0757980768277097e-8,0.0,0.0,0.0,3.381367145822083e-8
t57,0.0,0.0,4.2891770135611296e-9,0.0,1.0583676363366996e-8,0.0,0.0,0.0,1.4872853376928126e-8
t58,0.0,0.0,1.1500105756567791e-8,0.0,1.0826375355531946e-8,0.0,0.0,0.0,2.2326481112099737e-8
t59,0.0,0.0,8.344386515091173e-9,0.0,1.0920468371920836e-8,0.0,0.0,0.0,1.926485488701201e-8
t60,0.0,0.0,8.250935934484005e-9,0.0,1.0895623387208912e-8,0.0,0.0,0.0,1.9146559321692917e-8
t61,0.0,2.0377882492539356e-8,8.738879841985181e-9,0.0,1.0698624990794603e-8,0.0,0.0,0.0,3.981538732531914e-8
t62,0.0,1.050739228958264e-8,8.647930371807888e-9,0.0,1.0488095615953103e-8,0.0,0.0,0.0,2.964341827734363e-8
t63,0.0,8.349616109626368e-9,7.702055881964043e-9,0.0,1.0406511001965905e-8,0.0,0.0,0.0,2.6458182993556316e-8
t64,0.0,9.957602742360905e-9,1.4879333321005106e-8,0.0,1.0576184465208237e-8,0.0,0.0,0.0,3.541312052857425e-8
t65,0.0,8.512870408594608e-9,4.7336470743175596e-8,0.0,1.0506037920320703e-8,0.0,0.0,0.0,6.635537907209091e-8
t66,0.0,1.2852069630753249e-8,4.688808985520154e-8,0.0,1.2249385618145547e-8,0.0,0.0,0.0,7.198954510410034e-8
t67,0.0,6.148638931335881e-9,1.0496478353161365e-8,0.0,1.0508707470481566e-8,0.0,0.0,0.0,2.7153824754978812e-8
