Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,242.82754383246206,0.0,0.0,0.0,0.0,8.44951320804613e-8,0.0,20940.79076502219,21183.618308939145
t1,4.092620262610223e-11,0.0,0.0,0.0,0.0,9.057393091276535e-12,0.0,2.3584699120833386,2.358469912133322
t2,4.3049753525533126e-11,0.0,0.0,0.0,0.0,9.110762315034892e-12,0.0,2.3586047023787513,2.358604702430912
t3,4.403295116029406e-11,0.0,0.0,0.0,0.0,9.13161430463654e-12,0.0,2.358603555306327,2.3586035553594917
t4,4.435878691001684e-11,0.0,0.0,0.0,0.0,9.134747173117538e-12,0.0,2.358600182255129,2.3586001823086225
t5,4.446295416540057e-11,0.0,0.0,0.0,0.0,9.141990150582697e-12,0.0,2.35860128492177,2.358601284975375
t6,4.4344843241881237e-11,0.0,0.0,0.0,0.0,9.138385184865708e-12,0.0,2.3585847261678565,2.35858472622134
t7,4.443827718881116e-11,0.0,0.0,0.0,0.0,9.138420956639057e-12,0.0,2.35860250249716,2.358602502550737
t8,4.4391106401301194e-11,0.0,0.0,0.0,0.0,9.13635687329862e-12,0.0,2.3586041282927965,2.358604128346324
t9,4.4266450811665075e-11,0.0,0.0,0.0,0.0,9.142549766881083e-12,0.0,2.3585987977581637,2.3585987978115726
t10,4.428559443354049e-11,0.0,0.0,0.0,0.0,9.139509985385034e-12,0.0,2.3586091398579407,2.358609139911366
t11,4.423952175692707e-11,0.0,0.0,0.0,0.0,9.139429252284738e-12,0.0,2.3586730563579485,2.3586730564113276
t12,4.4608728449920315e-11,0.0,0.0,0.0,0.0,9.137168798920664e-12,0.0,2.6579015037954563,2.657901503849202
t13,4.471191556386829e-11,0.0,0.0,0.0,0.0,9.141766050228322e-12,0.0,2.6561676416064577,2.6561676416603115
t14,4.4781142032136225e-11,0.0,0.0,0.0,0.0,9.138624023466113e-12,0.0,2.656015663394824,2.656015663448744
t15,4.4706611228869936e-11,0.0,0.0,0.0,0.0,9.138871963798646e-12,0.0,2.6564293825756247,2.65642938262947
t16,4.470578820188766e-11,0.0,0.0,0.0,0.0,9.135757624193776e-12,0.0,2.656449179027769,2.6564491790816103
t17,4.4685503126395664e-11,0.0,0.0,0.0,0.0,9.141524685159564e-12,0.0,2.359252219104768,2.359252219158595
t18,4.471651415562484e-11,0.0,0.0,0.0,0.0,9.139179285077174e-12,0.0,2.35863062496667,2.358630625020526
t19,4.479454948704685e-11,0.0,0.0,0.0,0.0,9.137835891855101e-12,0.0,2.3586054183791965,2.358605418433129
t20,4.475091091404422e-11,0.0,0.0,0.0,0.0,9.135183586419137e-12,0.0,2.358611192463162,2.3586111925170483
t21,4.484128925277676e-11,0.0,0.0,0.0,0.0,9.14047793950182e-12,0.0,2.360864621094506,2.3608646211484876
t22,4.53864010035621e-11,0.0,0.0,0.0,0.0,9.138069681645412e-12,0.0,2.650451120140854,2.6504511201953784
t23,4.42981161446566e-11,0.0,0.0,0.0,0.0,9.137028375406196e-12,0.0,2.654640152947711,2.654640153001146
t24,4.384580223608575e-11,0.0,0.0,0.0,0.0,9.134870871103016e-12,0.0,2.36665261817956,2.366652618232541
t25,4.457847696651475e-11,0.0,0.0,0.0,0.0,9.140629198021612e-12,0.0,2.358825471392428,2.3588254714461474
t26,4.458516658796771e-11,0.0,0.0,0.0,0.0,9.137986962397266e-12,0.0,2.3586170030915277,2.358617003145251
t27,4.4613767944979835e-11,0.0,0.0,0.0,0.0,9.13821190090683e-12,0.0,2.3586040858016633,2.3586040858554154
t28,4.464039870969901e-11,0.0,0.0,0.0,0.0,9.13582720702739e-12,0.0,2.3586020711349165,2.3586020711886926
t29,4.4628805541349735e-11,0.0,0.0,0.0,0.0,9.141914437959897e-12,0.0,2.3586030629978643,2.358603063051635
t30,4.4606290349515874e-11,0.0,0.0,0.0,0.0,9.13846037167324e-12,0.0,2.358603833793068,2.3586038338468125
t31,4.457463650378457e-11,0.0,0.0,0.0,0.0,9.138065568178995e-12,0.0,2.3586029876820596,2.358602987735772
t32,4.461763242467152e-11,0.0,0.0,0.0,0.0,9.135802257935317e-12,0.0,2.3586027924068262,2.3586027924605797
t33,4.461479945587492e-11,0.0,0.0,0.0,0.0,9.141944638789882e-12,0.0,2.3586029741526384,2.358602974206395
t34,4.4615247199991166e-11,0.0,0.0,0.0,0.0,9.138575895133994e-12,0.0,2.3586038818144077,2.3586038818681616
t35,4.465530060905847e-11,0.0,0.0,0.0,0.0,9.138336733934065e-12,0.0,2.35860400337488,2.358604003428674
t36,4.470221616714687e-11,0.0,0.0,0.0,0.0,9.136068859053725e-12,0.0,2.358602295082937,2.3586022951367753
t37,4.4839273068190234e-11,0.0,0.0,0.0,0.0,9.141739069579269e-12,0.0,2.3585900799817026,2.3585900800356834
t38,4.4897588745014673e-11,0.0,0.0,0.0,0.0,9.139137877922433e-12,0.0,2.3585981870811836,2.3585981871352204
t39,4.4897641739873667e-11,0.0,0.0,0.0,0.0,9.138526399762044e-12,0.0,2.358581446531808,2.3585814465858443
t40,4.482698361106687e-11,0.0,0.0,0.0,0.0,9.135940296772142e-12,0.0,2.35860160642622,2.358601606480183
t41,4.481197248338988e-11,0.0,0.0,0.0,0.0,9.141027848057165e-12,0.0,2.358603609812214,2.358603609866167
