Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,8809.715975765757,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,15934.65012987448,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,23016.075629483177,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,30070.134808484596,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,37194.6265149416,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,44264.89392581442,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,51462.75441276282,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,58753.49548581539,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,65923.8599450449,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,72160.80067256617,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,73157.64349530956,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,71579.0915609614,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,68901.6545964308,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,63838.983794015105,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,62051.473682827,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,63818.13342455133,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,65373.595394641634,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,64673.350342263824,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,61792.2127932407,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,55270.733305312955,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,47691.32871525681,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,41052.68767449167,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,31144.302532873175,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,22699.766264843078,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,14090.044075911215,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,9469.110274766468,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,6517.650804335093,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,5771.143615522322,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,8722.383624651378,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,12445.586522353487,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,14798.277427510118,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,18508.52505107759,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,22672.958210563258,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,26064.528836244757,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,27891.80984474831,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,28449.019943960637,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,29212.491704751876,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,31094.473726436725,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,34236.39782720137,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,38808.16521264748,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,44239.518773995755,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,50006.70902311347,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,55900.025453378046,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,61948.43429485256,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,67753.51384824445,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,73743.86694206894,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,79929.83668017926,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,86255.1478591346,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,92785.41201832668,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,99373.62893189587,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,105992.71602091167,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,112070.35503533894,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,116859.16503940712,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,117505.38473703328,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,117505.38473552607,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,117505.38473338453,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,116013.08934316285,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,113234.7307361236,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,109408.41866254112,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,105176.72851828588,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,100755.35701027465,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,96370.57715977679,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,93131.10495287186,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,90186.02161890756,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,89429.79591711497,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,90224.12572688221,0.0,0.0,0.0,0.0
