Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-8.471748228019465e-10,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,-7.436677550996244e-10,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,-7.186682056924424e-10,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,-7.20133795226087e-10,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,-7.343653650237045e-10,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,-8.158531911964769e-10,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,-8.429867962885902e-10,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,-8.730098792505711e-10,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,-9.05095057920728e-10,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,-9.385757439735802e-10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,-1.0376340165896125e-9,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,-1.0752261246104629e-9,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,-1.1132986549960343e-9,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,-1.1520843836837468e-9,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,-1.1894144491722717e-9,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,-1.2982747989735793e-9,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,-1.3369674193572594e-9,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,-1.3762843711241382e-9,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,-1.415910798413362e-9,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,-1.4550222863068214e-9,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,-1.5606926799753854e-9,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,-1.5889033541944557e-9,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,-1.6091211177878533e-9,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,-1.6117485466715004e-9,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,-1.5699247936173302e-9,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,-1.4656830130588225e-9,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,-1.2347823487853573e-9,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,-9.060550011390207e-10,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,-6.274690978883462e-10,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,-5.062768510547879e-10,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,-4.492573414155543e-10,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,-4.125858039179564e-10,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,-3.9493401555952575e-10,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,-3.8846868963934497e-10,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,-3.8829860597525244e-10,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,-4.4147323194961346e-10,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,-4.4893839353425967e-10,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,-4.5980960777025143e-10,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,-4.748229858307811e-10,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,-4.952573213695769e-10,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,-5.838407701880667e-10,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,-6.130416608967573e-10,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,-6.45613330590749e-10,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,-6.812413794058145e-10,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,-7.19831233102374e-10,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,-8.330327084040361e-10,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,-8.78924454116879e-10,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,-9.297800387934468e-10,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,-9.870646845760912e-10,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,-1.053770818408847e-9,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,-1.2109815835305984e-9,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,-1.331831580672548e-9,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,-1.5826145934774985e-9,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,-3.926842956161392e-9,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,-188.4438420276709,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,-604.1566060624598,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,-608.5966084337877,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,-608.5966084348235,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,-608.5966084351451,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,-608.5966084353124,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,-608.5966084355001,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,-608.5966084355898,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,-608.5966084356638,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,-608.5966084357307,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,-608.5966084357923,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,-608.596608435925,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,-608.5966084359869,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,-608.596608436049,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,-608.5966084361111,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,-608.5966084361723,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,-608.5966084363018,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,-608.5966084363564,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,-608.5966084364107,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,-608.5966084364649,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,-608.5966084365176,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,-608.5966084366412,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,-608.5966084366936,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,-608.5966084367458,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,-608.5966084367976,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,-608.596608436849,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,-608.5966084369687,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,-608.5966084370159,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,-608.5966084370183,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,-608.5966084370173,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,-608.5966084370127,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,-608.5966084371546,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,-608.5966084371408,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,-608.5966084371582,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,-608.5966084371864,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,-608.5966084372128,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,-608.5966084373015,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,-608.5966084373297,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,-608.5966084373571,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,-608.5966084373807,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,-608.5966084373995,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,-608.5966084374662,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,-608.596608437468,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,-608.5966084374726,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,-608.5966084374339,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,-608.5966084374309,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,-608.5966084374364,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,-608.5966084374198,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,-608.5966084373997,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,-608.596608437377,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,-608.596608437351,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,-608.5966084373329,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,-608.5966084372977,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,-608.59660843722,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,-608.5966084370001,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,-608.5966084351154,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,-296.1961351663661,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,-1.545851734701666e-8,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,-1.1810212798705392e-9,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,-7.982968688311681e-10,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,-6.244024506437581e-10,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,-5.412432280926009e-10,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,-4.842625608929531e-10,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,-4.270977107032997e-10,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,-3.484489098709079e-10,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,-2.6656180090291547e-10,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,-2.1394471319532375e-10,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,-1.678087370568303e-10,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,-1.3115334797314486e-10,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,-1.013070414577662e-10,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,-7.575725045607966e-11,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,-8.592205795429881e-11,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,-6.78151004981141e-11,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,-5.242132660739671e-11,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,-3.900350329038856e-11,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,-2.6936324616973582e-11,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,-5.572895291706927e-11,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,-4.420013926941252e-11,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,-3.256760240650465e-11,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,-2.0684813358861998e-11,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,-8.550651643332697e-12,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,-3.738012664799438e-11,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,-2.7719801567653733e-11,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,-1.9467603176069646e-11,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,-1.1730787665110902e-11,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,-3.805319445816407e-12,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,-3.7548226919860176e-11,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,-2.896411219968991e-11,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,-2.0248427675412623e-11,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,-1.1374909295857675e-11,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,-2.023346592265625e-12,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,-3.357800070288772e-11,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,-2.4537540841533552e-11,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,-1.5560693784464258e-11,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,-6.475900113963243e-12,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,2.873629102040031e-12,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,-2.929102409997648e-11,0.0,0.0,0.0,0.0
