Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,7.621433761715011e6,0.0,0.0,0.0,0.0,7.621433761715011e6
t1,0.0,0.0,0.0,2761.8848838170484,0.0,0.0,0.0,0.0,2761.8848838170484
t2,0.0,0.0,0.0,2857.5766815579727,0.0,0.0,0.0,0.0,2857.5766815579727
t3,0.0,0.0,0.0,3652.6876515177637,0.0,0.0,0.0,0.0,3652.6876515177637
t4,0.0,0.0,0.0,2977.7676441123344,0.0,0.0,0.0,0.0,2977.7676441123344
t5,0.0,0.0,0.0,3502.437585087774,0.0,0.0,0.0,0.0,3502.437585087774
t6,0.0,0.0,0.0,2533.77963362302,0.0,0.0,0.0,0.0,2533.77963362302
t7,0.0,0.0,0.0,2684.939779123726,0.0,0.0,0.0,0.0,2684.939779123726
t8,0.0,0.0,0.0,3123.8469364456128,0.0,0.0,0.0,0.0,3123.8469364456128
t9,0.0,0.0,0.0,1945.9573332538964,0.0,0.0,0.0,0.0,1945.9573332538964
t10,0.0,0.0,0.0,878.9951851737616,0.0,0.0,0.0,0.0,878.9951851737616
t11,0.0,0.0,0.0,452.127439865902,0.0,0.0,0.0,0.0,452.127439865902
t12,0.0,0.0,0.0,253.8020954381018,0.0,0.0,0.0,0.0,253.8020954381018
t13,0.0,0.0,0.0,111.78926511232089,0.0,0.0,0.0,0.0,111.78926511232089
t14,0.0,0.0,0.0,8.074839250181856e-6,0.0,0.0,0.0,0.0,8.074839250181856e-6
t15,0.0,0.0,0.0,359.8907205902815,0.0,0.0,0.0,0.0,359.8907205902815
t16,0.0,0.0,0.0,664.8263470678289,0.0,0.0,0.0,0.0,664.8263470678289
t17,0.0,0.0,0.0,628.7212358463635,0.0,0.0,0.0,0.0,628.7212358463635
t18,0.0,0.0,0.0,383.46170747642094,0.0,0.0,0.0,0.0,383.46170747642094
t19,0.0,0.0,0.0,92.15713914225755,0.0,0.0,0.0,0.0,92.15713914225755
t20,0.0,0.0,0.0,7.531937941883004e-6,0.0,0.0,0.0,0.0,7.531937941883004e-6
t21,0.0,0.0,0.0,9.132453538683953e-6,0.0,0.0,0.0,0.0,9.132453538683953e-6
t22,0.0,0.0,0.0,8.643950067452983e-6,0.0,0.0,0.0,0.0,8.643950067452983e-6
t23,0.0,0.0,0.0,1.0239599834915977e-5,0.0,0.0,0.0,0.0,1.0239599834915977e-5
t24,0.0,0.0,0.0,9.887755707744848e-6,0.0,0.0,0.0,0.0,9.887755707744848e-6
t25,0.0,0.0,0.0,8.330136908396439e-6,0.0,0.0,0.0,0.0,8.330136908396439e-6
t26,0.0,0.0,0.0,8.735716617019633e-6,0.0,0.0,0.0,0.0,8.735716617019633e-6
t27,0.0,0.0,0.0,8.058438049905699e-6,0.0,0.0,0.0,0.0,8.058438049905699e-6
t28,0.0,0.0,0.0,272.35968427379913,0.0,0.0,0.0,0.0,272.35968427379913
t29,0.0,0.0,0.0,668.0246433258156,0.0,0.0,0.0,0.0,668.0246433258156
t30,0.0,0.0,0.0,825.388917439977,0.0,0.0,0.0,0.0,825.388917439977
t31,0.0,0.0,0.0,707.2804777575567,0.0,0.0,0.0,0.0,707.2804777575567
t32,0.0,0.0,0.0,971.7313699500493,0.0,0.0,0.0,0.0,971.7313699500493
t33,0.0,0.0,0.0,1216.8701919306784,0.0,0.0,0.0,0.0,1216.8701919306784
t34,0.0,0.0,0.0,902.8131306287735,0.0,0.0,0.0,0.0,902.8131306287735
t35,0.0,0.0,0.0,595.2173016060559,0.0,0.0,0.0,0.0,595.2173016060559
t36,0.0,0.0,0.0,473.465270152455,0.0,0.0,0.0,0.0,473.465270152455
t37,0.0,0.0,0.0,482.2886756340491,0.0,0.0,0.0,0.0,482.2886756340491
t38,0.0,0.0,0.0,476.9335363024381,0.0,0.0,0.0,0.0,476.9335363024381
t39,0.0,0.0,0.0,682.7220341471009,0.0,0.0,0.0,0.0,682.7220341471009
t40,0.0,0.0,0.0,1271.8467187007695,0.0,0.0,0.0,0.0,1271.8467187007695
t41,0.0,0.0,0.0,2727.9946811782647,0.0,0.0,0.0,0.0,2727.9946811782647
t42,0.0,0.0,0.0,4225.455686017615,0.0,0.0,0.0,0.0,4225.455686017615
t43,0.0,0.0,0.0,3986.8224740281084,0.0,0.0,0.0,0.0,3986.8224740281084
t44,0.0,0.0,0.0,3694.307067760334,0.0,0.0,0.0,0.0,3694.307067760334
t45,0.0,0.0,0.0,1367.6445549552493,0.0,0.0,0.0,0.0,1367.6445549552493
t46,0.0,0.0,0.0,955.0311880679045,0.0,0.0,0.0,0.0,955.0311880679045
t47,0.0,0.0,0.0,973.1146335421676,0.0,0.0,0.0,0.0,973.1146335421676
t48,0.0,0.0,0.0,1042.868655562809,0.0,0.0,0.0,0.0,1042.868655562809
t49,0.0,0.0,0.0,1270.5763416120067,0.0,0.0,0.0,0.0,1270.5763416120067
t50,0.0,0.0,0.0,1175.7860789552117,0.0,0.0,0.0,0.0,1175.7860789552117
t51,0.0,0.0,0.0,1241.4244116365892,0.0,0.0,0.0,0.0,1241.4244116365892
t52,0.0,0.0,0.0,1205.5717001831356,0.0,0.0,0.0,0.0,1205.5717001831356
t53,0.0,0.0,0.0,1253.939853113927,0.0,0.0,0.0,0.0,1253.939853113927
t54,0.0,0.0,0.0,794.5942184199652,0.0,0.0,0.0,0.0,794.5942184199652
t55,0.0,0.0,0.0,756.1981516817119,0.0,0.0,0.0,0.0,756.1981516817119
t56,0.0,0.0,0.0,1.1155099629411565e-7,0.0,0.0,0.0,0.0,1.1155099629411565e-7
t57,0.0,0.0,0.0,1.202429057552548e-7,0.0,0.0,0.0,0.0,1.202429057552548e-7
t58,0.0,0.0,0.0,1.1650914779133643e-7,0.0,0.0,0.0,0.0,1.1650914779133643e-7
t59,0.0,0.0,0.0,8.561232922790713e-8,0.0,0.0,0.0,0.0,8.561232922790713e-8
t60,0.0,0.0,0.0,9.236477130452245e-8,0.0,0.0,0.0,0.0,9.236477130452245e-8
t61,0.0,0.0,0.0,1.1182815129944698e-7,0.0,0.0,0.0,0.0,1.1182815129944698e-7
t62,0.0,0.0,0.0,9.387363550827444e-8,0.0,0.0,0.0,0.0,9.387363550827444e-8
t63,0.0,0.0,0.0,9.320416123430007e-8,0.0,0.0,0.0,0.0,9.320416123430007e-8
t64,0.0,0.0,0.0,9.458143034644979e-8,0.0,0.0,0.0,0.0,9.458143034644979e-8
t65,0.0,0.0,0.0,9.035050643698708e-8,0.0,0.0,0.0,0.0,9.035050643698708e-8
t66,0.0,0.0,0.0,8.789149210222736e-8,0.0,0.0,0.0,0.0,8.789149210222736e-8
t67,0.0,0.0,0.0,1.1730175857602058e-7,0.0,0.0,0.0,0.0,1.1730175857602058e-7
t68,0.0,0.0,0.0,1.191765541907092e-7,0.0,0.0,0.0,0.0,1.191765541907092e-7
t69,0.0,0.0,0.0,8.05775574646092e-8,0.0,0.0,0.0,0.0,8.05775574646092e-8
t70,0.0,0.0,0.0,8.365979035181203e-8,0.0,0.0,0.0,0.0,8.365979035181203e-8
t71,0.0,0.0,0.0,9.873814059848168e-8,0.0,0.0,0.0,0.0,9.873814059848168e-8
t72,0.0,0.0,0.0,9.968026832645584e-8,0.0,0.0,0.0,0.0,9.968026832645584e-8
t73,0.0,0.0,0.0,9.790963254216633e-8,0.0,0.0,0.0,0.0,9.790963254216633e-8
t74,0.0,0.0,0.0,8.995397696367881e-8,0.0,0.0,0.0,0.0,8.995397696367881e-8
t75,0.0,0.0,0.0,1.1336769449598712e-7,0.0,0.0,0.0,0.0,1.1336769449598712e-7
t76,0.0,0.0,0.0,1.210892596239288e-7,0.0,0.0,0.0,0.0,1.210892596239288e-7
t77,0.0,0.0,0.0,1.1029585676967294e-7,0.0,0.0,0.0,0.0,1.1029585676967294e-7
t78,0.0,0.0,0.0,882.8503825680402,0.0,0.0,0.0,0.0,882.8503825680402
t79,0.0,0.0,0.0,385.72586077426087,0.0,0.0,0.0,0.0,385.72586077426087
t80,0.0,0.0,0.0,31.857851715612973,0.0,0.0,0.0,0.0,31.857851715612973
t81,0.0,0.0,0.0,1.0141208691487476e-7,0.0,0.0,0.0,0.0,1.0141208691487476e-7
t82,0.0,0.0,0.0,1.2328704635895956e-7,0.0,0.0,0.0,0.0,1.2328704635895956e-7
t83,0.0,0.0,0.0,9.544861090648214e-8,0.0,0.0,0.0,0.0,9.544861090648214e-8
t84,0.0,0.0,0.0,7.917437601503558e-8,0.0,0.0,0.0,0.0,7.917437601503558e-8
t85,0.0,0.0,0.0,8.138966030361402e-8,0.0,0.0,0.0,0.0,8.138966030361402e-8
t86,0.0,0.0,0.0,9.000420206107826e-8,0.0,0.0,0.0,0.0,9.000420206107826e-8
t87,0.0,0.0,0.0,8.929090889523722e-8,0.0,0.0,0.0,0.0,8.929090889523722e-8
t88,0.0,0.0,0.0,7.233244153677887e-8,0.0,0.0,0.0,0.0,7.233244153677887e-8
t89,0.0,0.0,0.0,1.4393895450056145e-7,0.0,0.0,0.0,0.0,1.4393895450056145e-7
t90,0.0,0.0,0.0,263.81808552131287,0.0,0.0,0.0,0.0,263.81808552131287
t91,0.0,0.0,0.0,1113.405227753252,0.0,0.0,0.0,0.0,1113.405227753252
t92,0.0,0.0,0.0,1208.3941664783483,0.0,0.0,0.0,0.0,1208.3941664783483
t93,0.0,0.0,0.0,9.535346771113824e-8,0.0,0.0,0.0,0.0,9.535346771113824e-8
t94,0.0,0.0,0.0,8.469358849556661e-8,0.0,0.0,0.0,0.0,8.469358849556661e-8
t95,0.0,0.0,0.0,8.618425231563231e-8,0.0,0.0,0.0,0.0,8.618425231563231e-8
t96,0.0,0.0,0.0,9.712748327555558e-8,0.0,0.0,0.0,0.0,9.712748327555558e-8
t97,0.0,0.0,0.0,8.697147548046833e-8,0.0,0.0,0.0,0.0,8.697147548046833e-8
t98,0.0,0.0,0.0,9.435476798402207e-8,0.0,0.0,0.0,0.0,9.435476798402207e-8
t99,0.0,0.0,0.0,1.291738459767595e-7,0.0,0.0,0.0,0.0,1.291738459767595e-7
t100,0.0,0.0,0.0,1.1939678713619606e-7,0.0,0.0,0.0,0.0,1.1939678713619606e-7
t101,0.0,0.0,0.0,190.01096489652886,0.0,0.0,0.0,0.0,190.01096489652886
t102,0.0,0.0,0.0,636.0832723669571,0.0,0.0,0.0,0.0,636.0832723669571
t103,0.0,0.0,0.0,264.169202609214,0.0,0.0,0.0,0.0,264.169202609214
t104,0.0,0.0,0.0,579.2382256401814,0.0,0.0,0.0,0.0,579.2382256401814
t105,0.0,0.0,0.0,531.3712551898269,0.0,0.0,0.0,0.0,531.3712551898269
t106,0.0,0.0,0.0,80.67339493144551,0.0,0.0,0.0,0.0,80.67339493144551
t107,0.0,0.0,0.0,61.88712328694619,0.0,0.0,0.0,0.0,61.88712328694619
t108,0.0,0.0,0.0,9.944334966079184e-8,0.0,0.0,0.0,0.0,9.944334966079184e-8
t109,0.0,0.0,0.0,1.0273138155967764e-7,0.0,0.0,0.0,0.0,1.0273138155967764e-7
t110,0.0,0.0,0.0,1.0125122470480169e-7,0.0,0.0,0.0,0.0,1.0125122470480169e-7
t111,0.0,0.0,0.0,1.1419928327789372e-7,0.0,0.0,0.0,0.0,1.1419928327789372e-7
t112,0.0,0.0,0.0,2.0815385394882894e-8,0.0,0.0,0.0,0.0,2.0815385394882894e-8
t113,0.0,0.0,0.0,1150.1060010639712,0.0,0.0,0.0,0.0,1150.1060010639712
t114,0.0,0.0,0.0,664.743820600691,0.0,0.0,0.0,0.0,664.743820600691
t115,0.0,0.0,0.0,1101.2655708939112,0.0,0.0,0.0,0.0,1101.2655708939112
t116,0.0,0.0,0.0,398.58372483376706,0.0,0.0,0.0,0.0,398.58372483376706
t117,0.0,0.0,0.0,168.92503415462232,0.0,0.0,0.0,0.0,168.92503415462232
t118,0.0,0.0,0.0,8.095785170224524e-6,0.0,0.0,0.0,0.0,8.095785170224524e-6
t119,0.0,0.0,0.0,7.806542873888475e-6,0.0,0.0,0.0,0.0,7.806542873888475e-6
t120,0.0,0.0,0.0,3.875202246276615e-5,0.0,0.0,0.0,0.0,3.875202246276615e-5
t121,0.0,0.0,0.0,2.475183392749266e-5,0.0,0.0,0.0,0.0,2.475183392749266e-5
t122,0.0,0.0,0.0,1.897183564410512e-5,0.0,0.0,0.0,0.0,1.897183564410512e-5
t123,0.0,0.0,0.0,1.571090360678573e-5,0.0,0.0,0.0,0.0,1.571090360678573e-5
t124,0.0,0.0,0.0,1.320342926824366e-5,0.0,0.0,0.0,0.0,1.320342926824366e-5
t125,0.0,0.0,0.0,1.1876114923136487e-5,0.0,0.0,0.0,0.0,1.1876114923136487e-5
t126,0.0,0.0,0.0,1.1275552418111124e-5,0.0,0.0,0.0,0.0,1.1275552418111124e-5
t127,0.0,0.0,0.0,502.3752704985082,0.0,0.0,0.0,0.0,502.3752704985082
t128,0.0,0.0,0.0,911.2286951733821,0.0,0.0,0.0,0.0,911.2286951733821
t129,0.0,0.0,0.0,1010.3038879427529,0.0,0.0,0.0,0.0,1010.3038879427529
t130,0.0,0.0,0.0,1338.7319184524256,0.0,0.0,0.0,0.0,1338.7319184524256
t131,0.0,0.0,0.0,8.868048629109685e-6,0.0,0.0,0.0,0.0,8.868048629109685e-6
t132,0.0,0.0,0.0,8.646874110549422e-6,0.0,0.0,0.0,0.0,8.646874110549422e-6
t133,0.0,0.0,0.0,1.0055244784809966e-5,0.0,0.0,0.0,0.0,1.0055244784809966e-5
t134,0.0,0.0,0.0,7.803924188154248e-6,0.0,0.0,0.0,0.0,7.803924188154248e-6
t135,0.0,0.0,0.0,3.0358651805617488e-6,0.0,0.0,0.0,0.0,3.0358651805617488e-6
