Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,155.2309863647011,0.0,0.0,0.0,0.0,1.2290785470060504e-7,0.0,222065.6245117727,222220.85549826032
t1,1.6289460370628162e-8,0.0,0.0,0.0,0.0,1.0403638389247178e-11,0.0,35.25757477453921,35.25757479083907
t2,1.2387121046831205e-10,0.0,0.0,0.0,0.0,9.972305021970447e-12,0.0,27.115630572846996,27.11563057298084
t3,8.014370179436208e-11,0.0,0.0,0.0,0.0,9.680939262773782e-12,0.0,26.304728184744704,26.304728184834527
t4,6.361390411249447e-11,0.0,0.0,0.0,0.0,9.548800402168036e-12,0.0,25.250859676865467,25.250859676938628
t5,5.851512417659476e-11,0.0,0.0,0.0,0.0,9.191311313649301e-12,0.0,25.859759966329094,25.8597599663968
t6,5.7384829467801975e-11,0.0,0.0,0.0,0.0,8.903672517001823e-12,0.0,24.762088815334142,24.762088815400432
t7,5.563045744841197e-11,0.0,0.0,0.0,0.0,9.000618514668574e-12,0.0,25.584710366207087,25.584710366271718
t8,5.4574949306885745e-11,0.0,0.0,0.0,0.0,8.969987538621596e-12,0.0,25.731885718809668,25.73188571887321
t9,5.299985446680051e-11,0.0,0.0,0.0,0.0,8.82018570337606e-12,0.0,24.63735725824075,24.637357258302572
t10,4.950226713574323e-11,0.0,0.0,0.0,0.0,8.788859078863739e-12,0.0,22.308178720355954,22.308178720414244
t11,5.142007764684674e-11,0.0,0.0,0.0,0.0,8.678464890663025e-12,0.0,19.24816201945736,19.24816201951746
t12,5.0601803598694514e-11,0.0,0.0,0.0,0.0,8.75099241082207e-12,0.0,22.570515721190972,22.570515721250324
t13,5.1423604044473005e-11,0.0,0.0,0.0,0.0,8.747426728462478e-12,0.0,24.17636470635438,24.176364706414553
t14,5.3199573662971025e-11,0.0,0.0,0.0,0.0,8.70728904416126e-12,0.0,25.06660824894062,25.066608249002527
t15,5.709180682708829e-11,0.0,0.0,0.0,0.0,8.665618549871e-12,0.0,27.81782428593201,27.817824285997766
t16,6.091259675363892e-11,0.0,0.0,0.0,0.0,8.519129453605422e-12,0.0,28.88242719515737,28.8824271952268
t17,5.6520234114512676e-11,0.0,0.0,0.0,0.0,8.658592117580873e-12,0.0,24.791953326144036,24.791953326209214
t18,5.190062491840939e-11,0.0,0.0,0.0,0.0,8.714618980933825e-12,0.0,22.49344156737823,22.493441567438847
t19,4.9970721088159817e-11,0.0,0.0,0.0,0.0,8.742423173205006e-12,0.0,22.86689111742494,22.866891117483654
t20,4.9157064882912475e-11,0.0,0.0,0.0,0.0,8.808644156189326e-12,0.0,25.022714096492486,25.02271409655045
t21,5.055084215742722e-11,0.0,0.0,0.0,0.0,8.838337207430407e-12,0.0,25.416760682263504,25.416760682322895
t22,5.238472003661833e-11,0.0,0.0,0.0,0.0,8.866279038210151e-12,0.0,25.413799805259977,25.41379980532123
t23,5.490739781054942e-11,0.0,0.0,0.0,0.0,8.501450197460935e-12,0.0,25.422756176716213,25.42275617677962
t24,5.648128387456195e-11,0.0,0.0,0.0,0.0,8.869867537983102e-12,0.0,25.337442383732135,25.337442383797487
t25,5.627753408679592e-11,0.0,0.0,0.0,0.0,8.785186346393142e-12,0.0,25.395415085271374,25.395415085336438
