1,2,3,4,5,6,7,8
6.822537820208683e-20,0.0,3.644829752290878e-8,1.9228611760359393e-18,4.616821147777439e-20,7.078893870313437e-21,0.0,1.0027435335991323e-18
1.3711203803358284e-19,0.0,7.548247545685004e-8,4.729440903839793e-18,9.37391428524977e-20,1.437506074465907e-20,0.0,2.0341554017205215e-18
2.0607165789100438e-19,0.0,1.154625124544704e-7,8.872311837245955e-18,1.5737074665273383e-19,2.1694158481845275e-20,0.0,3.083761906059787e-18
2.7511364306484075e-19,0.0,1.5654861803358213e-7,1.4877267247412698e-17,2.22874028277438e-19,2.906852822161162e-20,0.0,4.137344899653914e-18
3.5618219251153146e-19,0.0,2.027867887431895e-7,2.1041602531943154e-17,2.9022081052592744e-19,3.75902724168468e-20,0.0,5.349102468844732e-18
4.397687591962483e-19,0.0,2.5060155237541644e-7,3.0356937750454326e-17,3.583251660676758e-19,4.633648240894697e-20,0.0,6.612916302122454e-18
5.266617176344871e-19,0.0,2.9949856296682757e-7,4.073450987403386e-17,4.2655966085038177e-19,5.560727980956025e-20,0.0,7.924234428605149e-18
6.141626276715137e-19,0.0,3.502010607949259e-7,7.426063084787323e-17,4.99592881350703e-19,6.488800524319005e-20,0.0,9.261506622851797e-18
7.05220282279779e-19,0.0,4.0441296546691655e-7,1.131490548740545e-16,5.779007742254701e-19,7.444208053077353e-20,0.0,1.0612714664552792e-17
7.973352380581707e-19,0.0,4.5868525309809406e-7,1.5333440754813865e-16,6.578514753073143e-19,8.410029121507828e-20,0.0,1.1985758432576295e-17
8.920859671615913e-19,0.0,5.155992014087432e-7,2.0688121967249996e-16,7.414889568171851e-19,9.401359892716491e-20,0.0,1.3397271218119922e-17
9.959185221373576e-19,0.0,5.741103936172648e-7,2.6080412727399536e-16,8.270693164340281e-19,1.0489483069733277e-19,0.0,1.4949930637694222e-17
1.1036495049455666e-18,0.0,6.386141161657389e-7,3.198498660931901e-16,9.133093456367802e-19,1.160473552578362e-19,0.0,1.654020511569968e-17
1.2131609120115137e-18,0.0,7.034714925521997e-7,3.7900889586045977e-16,1.004936545788081e-18,1.2729060628076982e-19,0.0,1.815164113157017e-17
1.323167403314053e-18,0.0,7.710113897205151e-7,4.610928976881609e-16,1.1117643287958692e-18,1.387626699899843e-19,0.0,1.977013785741871e-17
1.433594069238421e-18,0.0,8.412327245952422e-7,5.599306875147803e-16,1.2210194086332806e-18,1.5026361800181182e-19,0.0,2.1408290822962058e-17
1.544473350350492e-18,0.0,9.123062116374609e-7,6.600547445238707e-16,1.3318928259424317e-18,1.620092119982739e-19,0.0,2.3049050020458582e-17
1.6594757306564442e-18,0.0,9.869820194157796e-7,7.616868402905412e-16,1.4434461855813655e-18,1.7444442942135054e-19,0.0,2.48010351371662e-17
1.7766142762767363e-18,0.0,1.062748292352861e-6,8.881025413943699e-16,1.5555436395860776e-18,1.869914055741754e-19,0.0,2.655563266358427e-17
1.8960786799286896e-18,0.0,1.1391279978291792e-6,1.0483914558452282e-15,1.6680997725530446e-18,1.996825456141364e-19,0.0,2.833832838369576e-17
2.0216984198969353e-18,0.0,1.2164478083892103e-6,1.2204947184766964e-9,1.783041503803037e-18,2.126487091404346e-19,0.0,3.019101372176016e-17
2.1494988783886945e-18,0.0,1.295139026013616e-6,2.5861784505031183e-9,1.8988481373431745e-18,2.2623534483638774e-19,0.0,3.2117959421002315e-17
2.282731768863323e-18,0.0,1.3764937221175506e-6,3.968580322767231e-9,2.0171425092337177e-18,2.3999148696639745e-19,0.0,3.407832785530428e-17
2.4234860538210384e-18,0.0,1.4590653871609607e-6,5.41716062611234e-9,2.1365350645322063e-18,2.545360157931418e-19,0.0,3.613738502197972e-17
2.5652300908272106e-18,0.0,1.5445008934657552e-6,7.456294630652664e-9,2.2567425682650273e-18,2.694306591989173e-19,0.0,3.8234601719102976e-17
2.7132076680792617e-18,0.0,1.6303415831932741e-6,9.570336529998673e-9,2.3814834838534767e-18,2.8480044472887895e-19,0.0,4.040335184824356e-17
2.86132707596429e-18,0.0,1.7173963596954705e-6,1.1785374696334532e-8,2.512213144315161e-18,3.003597929491222e-19,0.0,4.2595179710033834e-17
3.0116487557066686e-18,0.0,1.80662960805274e-6,1.404973881116213e-8,2.6439606940974022e-18,3.161564778634017e-19,0.0,4.4820863923731206e-17
