1,2,3,4,5,6,7,8
8.491573376532446e-29,0.0,2.78949323592269e-17,2.7658426405970804e-27,4.406032633200114e-18,2.383423070220482e-29,NaN,2.137386774734324e-28
1.7065452218078927e-28,0.0,5.77689135096755e-17,6.80282564391409e-27,8.94593290916502e-18,4.8400007179545713e-29,NaN,4.3358812175895245e-28
2.564841192410761e-28,0.0,8.83667878566748e-17,1.2761929309279698e-26,1.501857280299476e-17,7.304299056027512e-29,NaN,6.573158233974377e-28
3.424162311054504e-28,0.0,1.1981116836067568e-16,2.1399454438661623e-26,2.1269835028283305e-17,9.787207161177092e-29,NaN,8.818911291598515e-28
4.433170328740461e-28,0.0,1.5519857276682665e-16,3.026623150680126e-26,2.769703051257697e-17,1.2656429681748896e-28,NaN,1.1401819598447864e-27
5.47351848510141e-28,0.0,1.9179258916649714e-16,4.366540544609159e-26,3.419652450151916e-17,1.5601228552033617e-28,NaN,1.4095687853352988e-27
6.555019169929744e-28,0.0,2.2921488034919277e-16,5.859250046625305e-26,4.0708438242584406e-17,1.872265300178079e-28,NaN,1.6890813353642655e-27
7.644086636718881e-28,0.0,2.68018962939599e-16,1.0681645761870008e-25,4.767831518891196e-17,2.184742016344977e-28,NaN,1.9741260957072817e-27
8.77742261224211e-28,0.0,3.0950889571189246e-16,1.6275354904147775e-25,5.5151576993941174e-17,2.506422265720457e-28,NaN,2.2621413360429955e-27
9.923918134408858e-28,0.0,3.510450413027986e-16,2.2055614204122143e-25,6.27816191103315e-17,2.8316086943312684e-28,NaN,2.5548109462244993e-27
1.110321942941734e-27,0.0,3.946029259316825e-16,2.975778522340071e-25,7.076350667096537e-17,3.165384093935271e-28,NaN,2.8556803768515577e-27
1.2395556361340114e-27,0.0,4.3938322734050885e-16,3.7514053798995735e-25,7.893081151478275e-17,3.531748942858847e-28,NaN,3.1866357605430642e-27
1.373641451346668e-27,0.0,4.887497848944549e-16,4.600719018382619e-25,8.716107148788955e-17,3.9072480648357594e-28,NaN,3.525608939984701e-27
1.5099432459535553e-27,0.0,5.383870039212178e-16,5.451662233347235e-25,9.590545254648306e-17,4.285801894901212e-28,NaN,3.869092783384789e-27
1.6468612400207277e-27,0.0,5.900772333997041e-16,6.632358142107218e-25,1.0610049114552704e-16,4.672059717217882e-28,NaN,4.214081644530856e-27
1.784302198375712e-27,0.0,6.438196444210683e-16,8.05404046120422e-25,1.1652717720717484e-16,5.059290057479818e-28,NaN,4.563260309485868e-27
1.9223064977013138e-27,0.0,6.982142320511481e-16,9.494224441600624e-25,1.2710830823179135e-16,5.454757488090858e-28,NaN,4.9129945029007465e-27
2.0654425530195112e-27,0.0,7.553657795421539e-16,1.0956100044623615e-24,1.377543291015594e-16,5.873444144966195e-28,NaN,5.286436932845076e-27
2.21123735571136e-27,0.0,8.133518914411313e-16,1.2774462914036554e-24,1.4845227525615927e-16,6.295893654338835e-28,NaN,5.6604362080622204e-27
2.3599270040837637e-27,0.0,8.718074809385673e-16,1.5080057930090459e-24,1.591939951332225e-16,6.723197079320154e-28,NaN,6.0404247223601384e-27
2.5162778030960666e-27,0.0,9.309825599458837e-16,1.755559047661214e-18,1.7016338299975889e-16,7.159760387754981e-28,NaN,6.4353317954688334e-27
2.6753428019917515e-27,0.0,9.912072162969336e-16,3.719957906342958e-18,1.812153122425568e-16,7.617214639191328e-28,NaN,6.846067752888417e-27
2.8411691990667058e-27,0.0,1.053470309477029e-15,5.7084041303348746e-18,1.9250465714439592e-16,8.080376075293566e-28,NaN,7.263927896054269e-27
3.0163569913922366e-27,0.0,1.1166647840537073e-15,7.792041379478685e-18,2.0389880645120917e-16,8.570082040465982e-28,NaN,7.702823925697818e-27
3.1927766643413014e-27,0.0,1.1820510388698788e-15,1.0725130803685612e-17,2.1537072982119511e-16,9.071576163225882e-28,NaN,8.149853807415834e-27
3.376954823324209e-27,0.0,1.2477473922349024e-15,1.3765967709693615e-17,2.2727529634404073e-16,9.589068049494683e-28,NaN,8.612131317906522e-27
3.561309509760492e-27,0.0,1.3143729211927383e-15,1.6952077600180675e-17,2.397513947607758e-16,1.0112942403102978e-27,NaN,9.079327936713898e-27
3.748405222126506e-27,0.0,1.3826656974343619e-15,2.0209137912532093e-17,2.5232463476952426e-16,1.0644807747427324e-27,NaN,9.553741168382116e-27
3.938950410120785e-27,0.0,1.4516465531024145e-15,2.3474715419221538e-17,2.6501588457229403e-16,1.1194090826491577e-27,NaN,1.0036432761653568e-26
4.135499157417693e-27,0.0,1.5221185375718268e-15,2.6911175034154183e-17,2.785007087865802e-16,1.1747916684504615e-27,NaN,1.0527982768644472e-26
4.332277903462376e-27,0.0,1.5978070398136614e-15,3.045043888898192e-17,2.9211310790999883e-16,1.2307355728328418e-27,NaN,1.1032796766227491e-26
4.534770806490767e-27,0.0,1.673896421325258e-15,3.411678802805143e-17,3.0591564419012886e-16,1.2884411893500153e-27,NaN,1.154114922457831e-26
4.749229826537672e-27,0.0,1.7504754323990905e-15,3.803833687815852e-17,3.203098312252701e-16,1.3479500299061593e-27,NaN,1.2080174313821678e-26
4.965784785784313e-27,0.0,1.8273981212459427e-15,4.209959615774214e-17,3.354062121949025e-16,1.408737670119575e-27,NaN,1.263675591830274e-26
5.190783376344712e-27,0.0,1.904338335942055e-15,4.620643640637592e-17,3.505588550490724e-16,1.4718386860485956e-27,NaN,1.320647714561266e-26
5.424545305312634e-27,0.0,1.985290787669431e-15,5.038073561964112e-17,3.6589332296052345e-16,1.5365069414939633e-27,NaN,1.3792296828955068e-26
5.6679616588711536e-27,0.0,2.067289335713046e-15,5.457246866974602e-17,3.81499021337786e-16,1.6049082489739725e-27,NaN,1.4406688138765473e-26
5.914478606482262e-27,0.0,2.1570233956697353e-15,5.878226760460442e-17,3.982715017768218e-16,1.6764431047266158e-27,NaN,1.5043774216012492e-26
6.172082959155926e-27,0.0,2.2546265896354594e-15,6.300020068376792e-17,4.1536585863375083e-16,1.7500197381989358e-27,NaN,1.57136602042124e-26
6.449691038978283e-27,0.0,2.355974537872213e-15,6.729089890643754e-17,4.3299704147058703e-16,1.827823117145062e-27,NaN,1.6403207335447715e-26
6.744289861606689e-27,0.0,2.4661628105618856e-15,7.178902424722069e-17,4.51623803628785e-16,1.9100895855667647e-27,NaN,1.7133892112105947e-26
7.04016044184722e-27,0.0,2.581443451726572e-15,7.655864166818388e-17,4.706622734851132e-16,1.993356742590117e-27,NaN,1.7882357447642892e-26
7.353560274850187e-27,0.0,2.7011563085755028e-15,8.137233395096538e-17,4.900025362270754e-16,2.0808549939107093e-27,NaN,1.866448848666438e-26
7.686901980943872e-27,0.0,2.8224207607421853e-15,8.61929921338699e-17,5.10218736172177e-16,2.174424378517307e-27,NaN,1.951424048971405e-26
8.03675727306931e-27,0.0,2.945524251720385e-15,9.110911680773357e-17,5.311294442527144e-16,2.273922258328379e-27,NaN,2.0410876789866942e-26
8.391292538309988e-27,0.0,3.0691131738522883e-15,9.604989404180946e-17,5.525163924198026e-16,2.3741482992827306e-27,NaN,2.1311131482927056e-26
8.747750756173185e-27,0.0,3.2050694613861153e-15,1.0099429481471799e-16,5.756206297008638e-16,2.4758883326143098e-27,NaN,2.2223691940867032e-26
9.120384438068947e-27,0.0,3.3430313473177344e-15,1.0603091648372468e-16,5.991009254675107e-16,2.58144552932724e-27,NaN,2.3173461905948112e-26
9.496776025655e-27,0.0,3.4817173416125076e-15,1.1127438101836034e-16,6.228427504380207e-16,2.687925174235621e-27,NaN,2.4132968075783923e-26
9.877322175114978e-27,0.0,3.634108561822807e-15,1.165298037348366e-16,6.467002028907973e-16,2.7967628346182793e-27,NaN,2.5097633421173006e-26
1.0271445469761575e-26,0.0,3.788628267505295e-15,1.2181868878116483e-16,6.712437240311949e-16,2.906959770344352e-27,NaN,2.607147094634549e-26
1.0668122055567188e-26,0.0,3.94479783787776e-15,1.2722588117123966e-16,6.966721668203386e-16,3.0176267389536546e-27,NaN,2.7062808604199744e-26
1.1071546255608367e-26,0.0,4.105607433188524e-15,1.3273949133709358e-16,7.223313619803345e-16,3.131147401574921e-27,NaN,2.810023164247864e-26
1.147915415788981e-26,0.0,4.266849927672021e-15,1.3831509039470783e-16,7.484055679068358e-16,3.24635156073751e-27,NaN,2.91394764071964e-26
1.1894612975562689e-26,0.0,4.4334957886238084e-15,1.440621516369787e-16,7.752207668886253e-16,3.362587049388098e-27,NaN,3.0193522282915093e-26
1.2325040848341206e-26,0.0,4.60103685147398e-15,1.4999507945874532e-16,8.023993184884261e-16,3.483213128099497e-27,NaN,3.125389894953785e-26
1.2789008797445554e-26,0.0,4.772151655267004e-15,1.5593314260290644e-16,8.299478638096388e-16,3.6136474250659226e-27,NaN,3.242888321711745e-26
1.326251620053613e-26,0.0,4.9456618176210034e-15,1.6219526162854597e-16,8.575778374077387e-16,3.748620205560431e-27,NaN,3.363670761910694e-26
1.3751816212766952e-26,0.0,5.1199124449732856e-15,1.6854830464954278e-16,8.881036493777508e-16,3.8868378585544105e-27,NaN,3.4865773910848997e-26
1.4243532902990198e-26,0.0,5.301520529658648e-15,1.7511065482928981e-16,9.188580099472024e-16,4.026392036005926e-27,NaN,3.610166003909951e-26
1.4739882977279413e-26,0.0,5.4840076120335534e-15,1.8209504674011306e-16,9.506348160191006e-16,4.166926036892153e-27,NaN,3.737211133964402e-26
1.5245441865730236e-26,0.0,5.6912439444346595e-15,1.8915231629724042e-16,9.83623841987483e-16,4.3109210720094344e-27,NaN,3.8644638900861035e-26
1.575822556405002e-26,0.0,5.900678838202578e-15,1.9628738921997839e-16,1.0166310690553222e-15,4.4552027575622965e-27,NaN,3.9948186684675666e-26
1.6276003425734537e-26,0.0,6.12353457445532e-15,2.0350589304137286e-16,1.0500998779989994e-15,4.6009342302151235e-27,NaN,4.1252937333728985e-26
1.6794788623953437e-26,0.0,6.349902435936458e-15,2.109762423029538e-16,1.084313453330635e-15,4.748740154117757e-27,NaN,4.256682952695761e-26
1.7323882011286814e-26,0.0,6.589404944111069e-15,2.1848560799830584e-16,1.119095505433623e-15,4.8966722912502264e-27,NaN,4.390143224511862e-26
1.7901339186151537e-26,0.0,6.8318528961679214e-15,2.2604057012010907e-16,1.1548452354973682e-15,5.061003451079378e-27,NaN,4.5381387585887107e-26
1.850898488430728e-26,0.0,7.0780624854999824e-15,2.3366741570563197e-16,1.1923822247348962e-15,5.2302236027339284e-27,NaN,4.689005236563101e-26
1.911955114226879e-26,0.0,7.336199464837364e-15,2.4144844015898875e-16,1.2332592857152578e-15,5.402847577820594e-27,NaN,4.8456739418064605e-26
1.9753994526011227e-26,0.0,7.596871837457342e-15,2.4924685280450024e-16,1.2757964965062727e-15,5.5842833485860055e-27,NaN,5.0051018845815184e-26
2.0404877387160536e-26,0.0,7.860809519419092e-15,2.5716464865981503e-16,1.3187071435069009e-15,5.7660732425589404e-27,NaN,5.1653606275137945e-26
2.1067712387597422e-26,0.0,8.12620026696997e-15,2.651588399153307e-16,1.3619221342955733e-15,5.955698694520458e-27,NaN,5.331732069184426e-26
2.1760836716301996e-26,0.0,8.396707721909891e-15,2.7327193748267173e-16,1.4064982865440199e-15,6.152345481164397e-27,NaN,5.506939078075468e-26
2.2460665892615682e-26,0.0,8.676700802855039e-15,2.815299104457653e-16,1.4537016306802393e-15,6.353478357202194e-27,NaN,5.683969282035477e-26
2.3186551327039702e-26,0.0,8.963523365456895e-15,2.903783843501101e-16,1.5016958810316331e-15,6.55760695725318e-27,NaN,5.86636025261306e-26
2.39222992076315e-26,0.0,9.250601051246686e-15,2.996680441887192e-16,1.5504182226859256e-15,6.764635779926144e-27,NaN,6.050506352057205e-26
2.465895442959529e-26,0.0,9.554957619711225e-15,3.090020956550122e-16,1.6002244220615943e-15,6.971866640402639e-27,NaN,6.236854076227937e-26
2.539740175947218e-26,0.0,9.863125485573734e-15,3.1927210633780226e-16,1.6501883141998832e-15,7.181361266071178e-27,NaN,6.423965324876631e-26
2.617012058029415e-26,0.0,1.0176880860959356e-14,3.2955820233546413e-16,1.701166138253482e-15,7.397208689677139e-27,NaN,6.61802458015529e-26
2.694629405606072e-26,0.0,1.0503463078374365e-14,3.4004300570732937e-16,1.7555271947510087e-15,7.620951788333499e-27,NaN,6.814204879805334e-26
2.7770591161568924e-26,0.0,1.0832688733702612e-14,3.507463862628051e-16,1.8099191707566156e-15,7.85407801652746e-27,NaN,7.020439721468341e-26
2.860693169193458e-26,0.0,1.1163504280233247e-14,3.6155331766316155e-16,1.865259740903874e-15,8.093012747706662e-27,NaN,7.227078558510063e-26
2.9446717926520115e-26,0.0,1.1501639502394379e-14,3.724441746695012e-16,1.9216941386319207e-15,8.333708058458356e-27,NaN,7.441421903412705e-26
3.0294354573351735e-26,0.0,1.186482099036428e-14,3.84107725620219e-16,1.9786803846185135e-15,8.574766917813308e-27,NaN,7.65726124791529e-26
3.115523078193979e-26,0.0,1.2231543046043642e-14,3.9630820967894387e-16,2.0366389708711427e-15,8.816903918309021e-27,NaN,7.87414634498177e-26
3.202679274871838e-26,0.0,1.2620798128908839e-14,4.0867723663932206e-16,2.094979059088167e-15,9.062080531132819e-27,NaN,8.096940733544798e-26
3.291621015950067e-26,0.0,1.301493938187511e-14,4.2107644467036567e-16,2.1538673274547006e-15,9.310798463670304e-27,NaN,8.321540737533066e-26
3.3813466543714444e-26,0.0,1.3420708732745955e-14,4.350054189842899e-16,2.2132339399959267e-15,9.561448276101314e-27,NaN,8.549207331478261e-26
3.4710771894075406e-26,0.0,1.382708507637942e-14,4.494671858865309e-16,2.2728731798757986e-15,9.812991931146427e-27,NaN,8.777899290969005e-26
3.5615038963576837e-26,0.0,1.4236171051567152e-14,4.650880721768775e-16,2.333577842886579e-15,1.0066609851400308e-26,NaN,9.009610692775426e-26
3.653155035281691e-26,0.0,1.4648543010990057e-14,4.814492980801967e-16,2.39896641002709e-15,1.0322454976197481e-26,NaN,9.241969314728831e-26
3.7453340160119896e-26,0.0,1.5070040026030793e-14,4.981082111895262e-16,2.4651751471266464e-15,1.0581374873042022e-26,NaN,9.476425340899835e-26
3.8393245065681884e-26,0.0,1.549260248361098e-14,5.153038735881333e-16,2.5341452921309192e-15,1.084415385911297e-26,NaN,9.711353981997733e-26
3.9337105567011425e-26,0.0,1.591529641409701e-14,5.32635208818605e-16,2.603468963865818e-15,1.1109458299926411e-26,NaN,9.953984345124941e-26
4.0283716507958136e-26,0.0,1.6345516024992603e-14,5.501511510561227e-16,2.6737940855185637e-15,1.1375796448494174e-26,NaN,1.0196963974134744e-25
4.1246974330019664e-26,0.0,1.677828847754171e-14,5.679578633205989e-16,2.74669148354625e-15,1.1643467855873734e-26,NaN,1.0440021025761988e-25
4.221057240417159e-26,0.0,1.7212366307825872e-14,5.865549965235293e-16,2.8196447161358648e-15,1.1911436135962421e-26,NaN,1.068328813352077e-25
4.3187022802304663e-26,0.0,1.7647247352731473e-14,6.057160860066592e-16,2.8938444578808404e-15,1.217980630717298e-26,NaN,1.0926822063354825e-25
4.416947945067546e-26,0.0,1.8086216002364132e-14,6.249030549784123e-16,2.9684206947606554e-15,1.2454826990176246e-26,NaN,1.117168596446758e-25
4.5154716872624026e-26,0.0,1.8531664368961038e-14,6.448920288954257e-16,3.043325201712505e-15,1.2731601693767929e-26,NaN,1.1418502061422371e-25
4.6142628898276916e-26,0.0,1.8980132966110608e-14,6.650657509532783e-16,3.1195676706799704e-15,1.3010384334222605e-26,NaN,1.167455117813308e-25
4.714102995836391e-26,0.0,1.943018671675231e-14,6.85289216794613e-16,3.1963250345364923e-15,1.3295045251841512e-26,NaN,1.1931162307257552e-25
4.815377441435705e-26,0.0,1.9880599667357253e-14,7.059152192289428e-16,3.2739884365482473e-15,1.3580297862202892e-26,NaN,1.2188196538303836e-25
4.91699255414325e-26,0.0,2.033469064223869e-14,7.275677871781037e-16,3.351886391298313e-15,1.3865772770658543e-26,NaN,1.2445635374242695e-25
5.0199170583854745e-26,0.0,2.0789311433074767e-14,7.494851302332239e-16,3.4300792931374742e-15,1.4151314984121666e-26,NaN,1.270373293983289e-25
5.123141039615909e-26,0.0,2.1249332086408376e-14,7.718212098927433e-16,3.508407799756804e-15,1.4439299449844755e-26,NaN,1.296212257251836e-25
5.226587301965437e-26,0.0,2.1709837494653695e-14,7.957693945258102e-16,3.586765807690401e-15,1.4730328132438434e-26,NaN,1.3227332096388908e-25
5.330721406238569e-26,0.0,2.217291590980307e-14,8.199871881392945e-16,3.665161919445492e-15,1.502247376738456e-26,NaN,1.3493043362723267e-25
5.435474328162929e-26,0.0,2.2638798573246745e-14,8.445848157374119e-16,3.744093338926779e-15,1.5316488895061044e-26,NaN,1.3760631981895382e-25
5.540299661790393e-26,0.0,2.3107470195531923e-14,8.692741046453481e-16,3.8237479867788185e-15,1.5614627272631872e-26,NaN,1.4031606852354874e-25
5.646637545385316e-26,0.0,2.3577259210727862e-14,8.942785593311624e-16,3.9036968656907405e-15,1.5916108353151665e-26,NaN,1.4303436975599155e-25
5.75420070841577e-26,0.0,2.40473379635287e-14,9.203267761007514e-16,3.984347131587948e-15,1.622182471288344e-26,NaN,1.4575481765222693e-25
5.862262566993148e-26,0.0,2.45178747400761e-14,9.46504998182767e-16,4.066029312213367e-15,1.6529219998902424e-26,NaN,1.4854861432222422e-25
5.97611825732278e-26,0.0,2.498850547293741e-14,9.728942766638634e-16,4.149341654137815e-15,1.6848627836331958e-26,NaN,1.513750366143878e-25
6.090471202004655e-26,0.0,2.5462372646518466e-14,9.997896132242977e-16,4.232682643465801e-15,1.7168883017800053e-26,NaN,1.5421075900986176e-25
6.204945103438217e-26,0.0,2.595122462239188e-14,1.026990213216293e-15,4.316202672922975e-15,1.7496024495919923e-26,NaN,1.5711401553158021e-25
6.320443464410911e-26,0.0,2.6440340241598154e-14,1.055075748406808e-15,4.40021637579875e-15,1.7824722364868816e-26,NaN,1.6004963732353291e-25
6.436134436780043e-26,0.0,2.6930523246572643e-14,1.0847538694287172e-15,4.4843841040649156e-15,1.8154814263708566e-26,NaN,1.630312895412543e-25
6.552139399662106e-26,0.0,2.742689929626877e-14,1.115583760435993e-15,4.570053515647427e-15,1.848570378031225e-26,NaN,1.6602049670782178e-25
6.669431845557235e-26,0.0,2.7923324434194978e-14,1.146903294828387e-15,4.655990027558043e-15,1.8816861155487863e-26,NaN,1.6902057774009123e-25
6.787537467574819e-26,0.0,2.8422199705594884e-14,1.1784890934299462e-15,4.742067452528758e-15,1.9148616472194928e-26,NaN,1.7203967526365823e-25
6.905963037353686e-26,0.0,2.892879713242374e-14,1.211372871147933e-15,4.8282254300658005e-15,1.9482927569871444e-26,NaN,1.7506606735743527e-25
7.025413312798502e-26,0.0,2.9437024786334504e-14,1.2461838895270558e-15,4.914507987648077e-15,1.9817923800781427e-26,NaN,1.781076058964308e-25
7.146267643107259e-26,0.0,2.994715966756823e-14,1.2810068057194379e-15,5.000944061495258e-15,2.0153056078499275e-26,NaN,1.8115354590854343e-25
7.267206171031039e-26,0.0,3.046228225852856e-14,1.3158337837212486e-15,5.088470655224068e-15,2.0492096395080125e-26,NaN,1.8420149653649903e-25
7.388463429095354e-26,0.0,3.097806452445664e-14,1.3509774273060923e-15,5.176022924905147e-15,2.0835235970746484e-26,NaN,1.8725652949291143e-25
7.510639842576779e-26,0.0,3.150158307730434e-14,1.3863074552366375e-15,5.263937975472242e-15,2.1179406093350443e-26,NaN,1.9033136687267226e-25
7.632828102396778e-26,0.0,3.203904911022028e-14,1.4230916681111995e-15,5.351871357458475e-15,2.1525107945248128e-26,NaN,1.9341109584278336e-25
7.755486236062167e-26,0.0,3.257806004127445e-14,1.4606640197477351e-15,5.440217912917522e-15,2.1871164196785495e-26,NaN,1.9651551398784727e-25
7.880737349129492e-26,0.0,3.311749737015471e-14,1.4986609534395665e-15,5.52896222071229e-15,2.222172267855391e-26,NaN,1.9969383838292268e-25
8.006552026807155e-26,0.0,3.366603419356961e-14,1.5390081075401038e-15,5.618383515877497e-15,2.257236955291112e-26,NaN,2.0288321984381251e-25
8.132787140226597e-26,0.0,3.4222093904521293e-14,1.580423422254339e-15,5.708619290451182e-15,2.292484714276755e-26,NaN,2.0610622153320068e-25
8.259752270433447e-26,0.0,3.477833719257066e-14,1.6224006725837902e-15,5.7990364826718114e-15,2.3277544981784865e-26,NaN,2.0933026070629465e-25
8.388063801978191e-26,0.0,3.533683902233656e-14,1.6686599613718652e-15,5.890535091025372e-15,2.3643484451566428e-26,NaN,2.125573262714048e-25
8.517293116205295e-26,0.0,3.5905372353162073e-14,1.7183463488876245e-15,5.98217412644011e-15,2.400979120945465e-26,NaN,2.157872405495578e-25
8.647564512941087e-26,0.0,3.6493556038612035e-14,1.7699470876166866e-15,6.073864393009554e-15,2.4378705473225213e-26,NaN,2.190229670801397e-25
8.780771893791883e-26,0.0,3.7085282446933116e-14,1.8225543504759817e-15,6.167093814994989e-15,2.4751051438113252e-26,NaN,2.2230026410765677e-25
8.914047510254818e-26,0.0,3.7682356113484825e-14,1.875606245745155e-15,6.260627553561027e-15,2.5126795862978313e-26,NaN,2.256608158727148e-25
9.047430518728221e-26,0.0,3.828088828224711e-14,1.928767914780256e-15,6.355768002126999e-15,2.5505931763617227e-26,NaN,2.290921235400614e-25
9.183370527964059e-26,0.0,3.888207189579245e-14,1.9827564330716746e-15,6.4513295789052795e-15,2.5889642163713575e-26,NaN,2.3252503131372274e-25
9.320908013240692e-26,0.0,3.9492612053550845e-14,2.0374032390569284e-15,6.548084060804034e-15,2.627717969199246e-26,NaN,2.3598900361235024e-25
9.460216157914864e-26,0.0,4.010621636375707e-14,2.0924328082765948e-15,6.645037494945421e-15,2.66697522984652e-26,NaN,2.3946674336807682e-25
9.601486972183881e-26,0.0,4.073307099937805e-14,2.148448762813498e-15,6.742474062443666e-15,2.706485823707931e-26,NaN,2.429554423670561e-25
9.744090591630024e-26,0.0,4.136694267572896e-14,2.207090443328937e-15,6.83992501158446e-15,2.74640746718406e-26,NaN,2.464708067536273e-25
9.887184728459661e-26,0.0,4.202345444503066e-14,2.267403284234852e-15,6.93743488569026e-15,2.786647375901226e-26,NaN,2.5001125927941685e-25
1.0032932451897369e-25,0.0,4.268854356532785e-14,2.3322665767592448e-15,7.035133709829394e-15,2.827970586521606e-26,NaN,2.536399735343863e-25
1.0180383303328345e-25,0.0,4.335725458203209e-14,2.39789448488067e-15,7.13299246323355e-15,2.869309112448068e-26,NaN,2.5727664983026875e-25
