Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,3.1334904794586655e6,0.0,0.0,0.0,0.0,3.1334904794586655e6
t1,0.0,0.0,0.0,2169.4428006474727,0.0,0.0,0.0,0.0,2169.4428006474727
t2,0.0,0.0,0.0,2134.7293128756814,0.0,0.0,0.0,0.0,2134.7293128756814
t3,0.0,0.0,0.0,2386.144866093695,0.0,0.0,0.0,0.0,2386.144866093695
t4,0.0,0.0,0.0,1917.0647555641176,0.0,0.0,0.0,0.0,1917.0647555641176
t5,0.0,0.0,0.0,2184.8448946678195,0.0,0.0,0.0,0.0,2184.8448946678195
t6,0.0,0.0,0.0,1575.590847813145,0.0,0.0,0.0,0.0,1575.590847813145
t7,0.0,0.0,0.0,1645.3692608800131,0.0,0.0,0.0,0.0,1645.3692608800131
t8,0.0,0.0,0.0,1829.755062442565,0.0,0.0,0.0,0.0,1829.755062442565
t9,0.0,0.0,0.0,1347.8805492154556,0.0,0.0,0.0,0.0,1347.8805492154556
t10,0.0,0.0,0.0,947.5887781430948,0.0,0.0,0.0,0.0,947.5887781430948
t11,0.0,0.0,0.0,555.7323925803817,0.0,0.0,0.0,0.0,555.7323925803817
t12,0.0,0.0,0.0,367.42034684514334,0.0,0.0,0.0,0.0,367.42034684514334
t13,0.0,0.0,0.0,303.55068611079116,0.0,0.0,0.0,0.0,303.55068611079116
t14,0.0,0.0,0.0,276.4288301197477,0.0,0.0,0.0,0.0,276.4288301197477
t15,0.0,0.0,0.0,571.6123689081393,0.0,0.0,0.0,0.0,571.6123689081393
t16,0.0,0.0,0.0,810.044793234128,0.0,0.0,0.0,0.0,810.044793234128
t17,0.0,0.0,0.0,774.6399423436467,0.0,0.0,0.0,0.0,774.6399423436467
t18,0.0,0.0,0.0,527.3087071665844,0.0,0.0,0.0,0.0,527.3087071665844
t19,0.0,0.0,0.0,290.693069319362,0.0,0.0,0.0,0.0,290.693069319362
t20,0.0,0.0,0.0,2.1362372902691064e-7,0.0,0.0,0.0,0.0,2.1362372902691064e-7
t21,0.0,0.0,0.0,1.6717751119653382e-7,0.0,0.0,0.0,0.0,1.6717751119653382e-7
t22,0.0,0.0,0.0,1.8815931717911859e-7,0.0,0.0,0.0,0.0,1.8815931717911859e-7
t23,0.0,0.0,0.0,1.802928378657332e-7,0.0,0.0,0.0,0.0,1.802928378657332e-7
t24,0.0,0.0,0.0,1.8627543996969957e-7,0.0,0.0,0.0,0.0,1.8627543996969957e-7
t25,0.0,0.0,0.0,1.7323060630517308e-7,0.0,0.0,0.0,0.0,1.7323060630517308e-7
